标题,开发商,房子信息,发布信息,售价/万,单价
精装修 产证在手满二 户型方正 采光无遮挡,宝华花园 -宝华商圈,3室2厅 | 100.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,60,"5,942元/平"
碧桂园大学印象精装大三房，采光充足户型好。,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 123平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,110,"8,944元/平"
碧桂园大学印象峰景苑 3室2厅 南,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 一年前发布,118,"12,422元/平"
大学印象一期精装三房   业主诚心出售   北门大门边,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 98平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 一年前发布,110,"11,225元/平"
此房是精装带地暖全新未入住的房东诚心出售随时看房,濠锋星钻 -宝华商圈,2室2厅 | 90平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,1人关注 / 一年前发布,79,"8,778元/平"
户型好 采光充足 无遮挡 南北通透,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 88.07平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板塔结合,10人关注 / 一年前发布,161,"18,281元/平"
采光不挡，关键业主还急卖，还满五年，全款房，不解押,恒大雅苑 -宝华商圈,2室1厅 | 96平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,23人关注 / 一年前发布,87,"9,063元/平"
央企招商三房出售，业主急卖！！！,招商国际E城 -宝华商圈,3室2厅 | 95平米 | 南 | 简装 | 低楼层(共34层)  | 板楼,0人关注 / 11个月以前发布,90,"9,474元/平"
万达茂 碧桂园翡翠华府 精装修 采光好 三房两厅 有证,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 96.2平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 11个月以前发布,92,"9,564元/平"
仙林东宝华 恒大雅苑 双地铁 配套齐全户型方正无遮挡,恒大雅苑 -宝华商圈,4室2厅 | 158.14平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,140,"8,853元/平"
精装修 边户 户型方正 中间楼层  看房方便,远洋心里 -宝华商圈,3室2厅 | 99.22平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 一年前发布,148,"14,917元/平"
碧桂园大学印象    山脚下的住宅  适合居住,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 123.8平米 | 南 | 精装 | 中楼层(共13层)  | 板塔结合,1人关注 / 一年前发布,140,"11,309元/平"
恒大经典二房采光好户型方正满二年....,恒大雅苑 -宝华商圈,2室2厅 | 95.91平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,8人关注 / 一年前发布,98,"10,218元/平"
大学印象双阳台 山景房带车位 纯东户 楼层好跳楼价,碧桂园大学印象 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 8个月以前发布,84,"8,660元/平"
楼层好 位置好 采光充足 视野开阔 配套设施齐全,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115.36平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,0人关注 / 一年前发布,125,"10,836元/平"
万达茂旁 碧桂园大学印象 精装房拎包住 有地暖双地铁,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 96平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,90,"9,375元/平"
近地铁配套全 交通便利 户型方正 三开间朝南 采光足,仙林悦城 -宝华商圈,3室2厅 | 89.9平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,1人关注 / 一年前发布,110,"12,236元/平"
通透户型  楼层好 采光足 视野开阔,恒大雅苑 -宝华商圈,2室2厅 | 86平米 | 南 北 | 精装 | 高楼层(共33层)  | 塔楼,13人关注 / 一年前发布,84,"9,768元/平"
南北格局好，采光好，视野开阔，朝南，户型方正,京东紫晶 -宝华商圈,4室2厅 | 110平米 | 南 | 精装 | 中楼层(共35层)  | 塔楼,2人关注 / 一年前发布,105,"9,546元/平"
仙林东宝华二次装修婚房 满二 无抵押 入住时间不到2周,恒大雅苑 -宝华商圈,3室2厅 | 111平米 | 东南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,158,"14,235元/平"
高档装修房子很新，视野开阔 中高好楼层，品牌电器,春天里 -宝华商圈,3室2厅 | 118.94平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,126,"10,594元/平"
仙林湖万达旁 精装带地暖 三室两厅 山景房 急售,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 96.1平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,85,"8,845元/平"
小户型大感受 仙林悦城精装修两房 拎包即住 万达旁,仙林悦城 -宝华商圈,2室1厅 | 64平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,60,"9,375元/平"
高品质小区 精装改善房  婚装不带走,恒大雅苑 -宝华商圈,4室2厅 | 163.5平米 | 南 北 | 精装 | 低楼层(共32层)  | 塔楼,1人关注 / 5个月以前发布,155,"9,481元/平"
翡翠华府二期双阳台 采光好 满两年 随时看房,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 96.32平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,33人关注 / 5个月以前发布,92,"9,552元/平"
依山傍水，刚需，养老，经典三房，精装带地暖。,碧桂园大学印象 -宝华商圈,3室2厅 | 96.89平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 4个月以前发布,96,"9,909元/平"
西边户 户型方正 采光充足 价格优惠 房东诚心出售,天正理想城 -宝华商圈,3室2厅 | 85.39平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,82,"9,603元/平"
仙林悦城 精装三室 设施配套齐全 交通便捷随时看房,仙林悦城 -宝华商圈,3室1厅 | 83平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,71,"8,555元/平"
此房户型方正采光好 小区环境好  交通便利..,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共17层)  | 板塔结合,1人关注 / 10个月以前发布,128,"9,143元/平"
临南京 近地铁 交通便利 生活设施配套齐全,仙林悦城新街坊 -宝华商圈,3室1厅 | 115.9平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,15人关注 / 一年前发布,108,"9,319元/平"
视野宽阔，采光好，小区环境 好 ，无遮挡,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 133平米 | 西南 | 简装 | 中楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,190,"14,286元/平"
房子格局好，楼层好，采光足，视野好，朝南面多,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 140平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,5人关注 / 一年前发布,127,"9,072元/平"
宝华山下 南京后花园 宝华CBD 户型佳 中楼层三房两卫,恒大雅苑 -宝华商圈,3室2厅 | 132平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,2人关注 / 一年前发布,115,"8,713元/平"
房子格局好，楼层好，采光足， 三开间朝南，户型方正,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 118平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,1人关注 / 一年前发布,126,"10,678元/平"
碧桂园精装修三房 随时看房  三南户型 户型方正,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,116,"12,211元/平"
宝华山麓，宝华山麓，天然氧吧，精装三房，价格实惠,碧桂园仙林东郡 -宝华商圈,3室2厅 | 83平米 | 南 | 简装 | 中楼层(共11层)  | 板楼,18人关注 / 一年前发布,81,"9,760元/平"
大学印象一期峰景苑，风景优美，视野开阔,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 140平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,149,"10,643元/平"
仙林湖把万达旁 山景房 南北三室 有钥匙 诚售,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 一年前发布,85,"8,948元/平"
宝华大平层，业主诚意售卖。碧桂园大学印象178平,碧桂园大学印象 -宝华商圈,4室2厅 | 178平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 暂无数据,3人关注 / 一年前发布,173,"9,720元/平"
楼层好 视野宽阔 采光充足 户型方正,恒大雅苑 -宝华商圈,3室2厅 | 105.07平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,110,"10,470元/平"
楼层好，视野宽阔，采光充足，配套设施完整，交通便利,香山壹境 -宝华商圈,3室2厅 | 106平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,36人关注 / 一年前发布,76,"7,170元/平"
花园洋房户型方正采光充足楼层佳,碧桂园中天东方骏庭 -宝华商圈,4室2厅 | 135.78平米 | 南 | 毛坯 | 7层  | 板楼,12人关注 / 一年前发布,150,"11,048元/平"
仙林大道 碧桂园 大学印象 峰景苑 四房 精装修交付,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 125平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,115,"9,200元/平"
卖点：小区中间位置，不临街楼间距大，,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 130平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 10个月以前发布,147,"11,308元/平"
仙林东宝华山旁精装山景房诚意出售,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 123平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 5个月以前发布,110,"8,944元/平"
精装带地暖 布局好 楼层好 山景洋房 随时看,青筑伯爵台阅山花园 -宝华商圈,3室2厅 | 133.29平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,1人关注 / 6个月以前发布,124,"9,304元/平"
碧桂园大学印象    山脚下的住宅  适合居住,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 123.8平米 | 南 | 精装 | 中楼层(共13层)  | 板塔结合,1人关注 / 一年前发布,140,"11,309元/平"
楼层好 位置好 采光充足 视野开阔 配套设施齐全,碧桂园翡翠华府 -宝华商圈,3室2厅 | 115.36平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,0人关注 / 一年前发布,125,"10,836元/平"
万达茂旁 碧桂园大学印象 精装房拎包住 有地暖双地铁,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 96平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,90,"9,375元/平"
招商央企 经典4房，采光好，楼间距大,招商国际E城 -宝华商圈,4室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,1人关注 / 7个月以前发布,100,"8,475元/平"
大学印象双阳台 山景房带车位 纯东户 楼层好跳楼价,碧桂园大学印象 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,1人关注 / 8个月以前发布,84,"8,660元/平"
改善大户型 精装带地暖交通便利 小区环境优美,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 123平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,105,"8,537元/平"
精装修 边户 户型方正 中间楼层  看房方便,远洋心里 -宝华商圈,3室2厅 | 99.22平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 一年前发布,148,"14,917元/平"
泰达青筑 小高层 中间楼层 有钥匙 看房方便 精装三房,泰达青筑 -宝华商圈,3室2厅 | 87平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,87,"10,000元/平"
恒大方正3室好户型二次装修11万近南京万达茂 随时看房,恒大雅苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,0人关注 / 5个月以前发布,111,"11,685元/平"
碧桂园·江南世家 3室2厅 南 北,碧桂园·江南世家 -句容市区,3室2厅 | 123.48平米 | 南 北 | 精装 | 低楼层(共25层)  | 暂无数据,2人关注 / 一年前发布,116,"9,395元/平"
采光充足 交通便利 购物方便 楼层好 绿化好 环境好,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 133.78平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 9个月以前发布,142,"10,615元/平"
仙林东 一线山景房 精装修带地暖 采光充足 有车位,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 96平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,0人关注 / 3个月以前发布,85,"8,855元/平"
业主诚心出售，小区环境优美，室内装修精致，拎包入住,碧桂园大学印象峰景苑 -宝华商圈,4室2厅 | 130平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,148,"11,385元/平"
新上房源！拎包入住 满二 有钥匙 随时看房。,恒大雅苑 -宝华商圈,2室1厅 | 96平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 1个月以前发布,91,"9,480元/平"
精装带地暖 布局好 楼层好 山景洋房 随时看,青筑伯爵台阅山花园 -宝华商圈,3室2厅 | 133.29平米 | 南 | 精装 | 中楼层(共13层)  | 板楼,1人关注 / 6个月以前发布,124,"9,304元/平"
格局好，楼层好，采光足，视野开阔，朝南,碧桂园翡翠华府 -宝华商圈,3室1厅 | 115平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,110,"9,566元/平"
央企招商国际尚城  毛坯三房  有*市配套齐全,招商国际E城 -宝华商圈,3室2厅 | 98平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,110,"11,225元/平"
天正理想城2栋，南北通透，适合家人,天正理想城 -宝华商圈,2室2厅 | 74平米 | 南 北 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 一年前发布,70,"9,460元/平"
格局好楼层好，采光足视野开阔，配套齐全，交通便利,同城世家 -宝华商圈,3室2厅 | 111平米 | 南 | 毛坯 | 10层  | 板楼,19人关注 / 一年前发布,130,"11,712元/平"
原开发商精装未入住家电齐全拎包入住 朗诗三恒系统,朗诗万都玲珑樾 -宝华商圈,3室2厅 | 90.03平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,5人关注 / 一年前发布,155,"17,217元/平"
房屋格局好，采光好，居住环境优 看房方便,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 一年前发布,93,"9,790元/平"
宝华高质量小高层精装修，急卖！！,碧桂园伯爵山 -宝华商圈,3室2厅 | 110平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,0人关注 / 一年前发布,111,"10,091元/平"
精装修交付，户型好，中间楼层     ，采光好,伯爵台 -宝华商圈,3室2厅 | 124平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 11个月以前发布,122,"9,839元/平"
大学印象山景房  精装修 带全套设施经典三房 诚心出售,碧桂园大学印象峰景苑 -宝华商圈,3室1厅 | 95平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,7人关注 / 9个月以前发布,82,"8,632元/平"
天正理想城 3室2厅 南,天正理想城 -宝华商圈,3室2厅 | 104.81平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 3个月以前发布,105,"10,019元/平"
此房户型方正采光好小区绿化好交通便利........,香山壹境 -宝华商圈,4室2厅 | 144平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,135,"9,375元/平"
仙林东 宝华山  山景洋房  采光充足  环境优美,碧桂园伯爵山 -宝华商圈,4室2厅 | 146平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,138,"9,453元/平"
仙林东万达茂碧桂园翡翠华府二期精装修带地暖三房两卫,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 116平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 9个月以前发布,200,"17,242元/平"
仙林东，宝华花园，精装出售，大三房，诚心卖,宝华花园 -宝华商圈,3室2厅 | 101平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,5人关注 / 8个月以前发布,65.5,"6,486元/平"
宝华山下看山大平层，四室两厅诚意出售,碧桂园大学印象 -宝华商圈,4室2厅 | 174.9平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 暂无数据,2人关注 / 4个月以前发布,153,"8,748元/平"
仙林东   仙林东郡   精装洋房   采光足  位置好,碧桂园仙林东郡 -宝华商圈,3室2厅 | 82.46平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 一年前发布,81,"9,823元/平"
春天里 精装 满两年 采光无遮挡 业主诚售,春天里 -宝华商圈,3室2厅 | 118平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,108,"9,153元/平"
房子是四开间朝南 小区舒适度比较好 环境也不错,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,88,"9,264元/平"
碧桂园翡翠华府二期 3室2厅 南,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 2个月以前发布,90,"9,279元/平"
此房为两用房，商用，住宅均可。楼层好，设施全。,恒大雅苑 -宝华商圈,2室2厅 | 93平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,213人关注 / 一年前发布,68,"7,312元/平"
仙林东  泰达青筑  物业好  交通方便,泰达青筑 -宝华商圈,4室2厅 | 117平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 6个月以前发布,108,"9,231元/平"
仙林东宝华 彩虹城 双地铁 急售 配套齐全 采光无遮挡,彩虹城 -宝华商圈,3室2厅 | 86.47平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 2个月以前发布,90,"10,409元/平"
仙林东凤坛花园三室两厅一楼带地下室,凤坛花园 -宝华商圈,3室2厅 | 102平米 | 南 | 毛坯 | 低楼层(共7层)  | 板塔结合,5人关注 / 9个月以前发布,50,"4,902元/平"
此房楼层好 视野宽阔 采光充足 配套设施全江苏,四季金辉 -宝华商圈,3室2厅 | 100.33平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 11个月以前发布,100,"9,968元/平"
房子格局好，户型方正，配套设施齐，交通便利,四季金辉 -宝华商圈,3室2厅 | 89.27平米 | 南 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,98,"10,978元/平"
仙林东宝华花园低总价房源诚意出售,宝华花园 -宝华商圈,2室2厅 | 58平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,39.5,"6,811元/平"
恒大雅苑 大面积住宅 诚心出售，价格可谈,恒大雅苑 -宝华商圈,3室2厅 | 133平米 | 南 | 简装 | 高楼层(共26层)  | 塔楼,12人关注 / 一年前发布,129,"9,700元/平"
碧桂园伯爵山 精装修新房未入住 诚信出售,碧桂园伯爵山 -宝华商圈,4室2厅 | 145.83平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,4人关注 / 11个月以前发布,148,"10,149元/平"
楼层好，采光足，视野好，户型方正,凤坛花园 -宝华商圈,3室2厅 | 100.93平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,8人关注 / 8个月以前发布,56,"5,549元/平"
仙林首望城 3室2厅 南,仙林首望城 -宝华商圈,3室2厅 | 101.56平米 | 南 | 毛坯 | 中楼层(共23层)  | 板楼,0人关注 / 1个月以前发布,115,"11,324元/平"
南北通透，采光充足，交通便利，配套成熟,碧桂园大学印象 -宝华商圈,4室2厅 | 139平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,3人关注 / 一年前发布,135,"9,713元/平"
仙林首望城3房 南北通透 楼层好视野好 一步南京双地铁,仙林首望城 -宝华商圈,3室2厅 | 88.51平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 1个月以前发布,95,"10,734元/平"
格局好，楼层好，采光足，视野开阔，朝南，户型方正,彩虹城 -宝华商圈,3室2厅 | 86.74平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,18人关注 / 一年前发布,87,"10,030元/平"
仙林东万达茂旁九曲花苑花园洋房有小院,九曲花苑 -宝华商圈,5室2厅 | 206平米 | 南 | 毛坯 | 下叠(共11层)  | 板楼 | 叠拼别墅 ,23人关注 / 一年前发布,280,"13,593元/平"
南京仙林大道旁 碧桂园翡翠华府 精装带地暖 全新未住,碧桂园翡翠华府 -宝华商圈,3室2厅 | 95.56平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,98,"10,256元/平"
业主自住，房屋维护好，没有贷款， 采光视野好,恒大雅苑 -宝华商圈,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,125,"9,399元/平"
"温馨舒适,宁静优雅,简装出售.",四季金辉 -宝华商圈,4室2厅 | 114.37平米 | 南 | 简装 | 中楼层(共34层)  | 塔楼,0人关注 / 一年前发布,100,"8,744元/平"
南京仙林湖旁 四季金辉一期 30万婚装 业主诚心出售,四季金辉 -宝华商圈,3室2厅 | 88.9平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,101人关注 / 4个月以前发布,116,"13,049元/平"
万达茂旁 近地铁站 仙林悦城 毛坯 满二 价格便宜,仙林悦城 -宝华商圈,2室1厅 | 63平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 板楼,10人关注 / 一年前发布,62,"9,842元/平"
仙林东宝华四季金辉小区精致小三房,四季金辉 -宝华商圈,3室1厅 | 89平米 | 南 北 | 精装 | 高楼层(共34层)  | 板楼,4人关注 / 7个月以前发布,108,"12,135元/平"
仙林东 宝华山  翡翠华府 精装修三房,碧桂园翡翠华府 -宝华商圈,3室2厅 | 95.97平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 6个月以前发布,93,"9,691元/平"
仙东宝华 山景房四季金辉 三房 房东急售,四季金辉 -宝华商圈,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 4个月以前发布,81,"9,102元/平"
金辉品牌地产 87平三房 满两年 纯毛坯,四季金辉 -宝华商圈,3室3厅 | 89.9平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,1人关注 / 8个月以前发布,81,"9,011元/平"
同城世家 户型方正 洋房稀 小区环境好,同城世家 -宝华商圈,2室2厅 | 95平米 | 南 | 毛坯 | 10层  | 板楼,16人关注 / 一年前发布,92,"9,685元/平"
仙林东万达茂商圈  配套好设施全  业主急售,仙林首望城 -宝华商圈,3室2厅 | 113.71平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,13人关注 / 11个月以前发布,114,"10,026元/平"
四季金辉精装三房，中间楼层，满两年,四季金辉 -宝华商圈,3室2厅 | 89平米 | 南 | 简装 | 中楼层(共33层)  | 塔楼,0人关注 / 10个月以前发布,85,"9,551元/平"
恒大满五急售  价格可谈  楼层好 采光好 崭新程度高！,恒大雅苑 -宝华商圈,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共31层)  | 塔楼,1人关注 / 6个月以前发布,140,"10,938元/平"
南京仙林湖旁 四季金辉一期 30万婚装 业主诚心出售,四季金辉 -宝华商圈,3室2厅 | 88.9平米 | 南 北 | 精装 | 高楼层(共34层)  | 塔楼,101人关注 / 4个月以前发布,116,"13,049元/平"
仙东宝华 山景房四季金辉 三房 房东急售,四季金辉 -宝华商圈,3室2厅 | 89平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,0人关注 / 4个月以前发布,81,"9,102元/平"
仙林悦城新街坊 总高5层 精装花园洋房 带露台,仙林悦城新街坊 -宝华商圈,3室2厅 | 123平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,19人关注 / 一年前发布,140,"11,383元/平"
金辉品牌地产 87平三房 满两年 纯毛坯,四季金辉 -宝华商圈,3室3厅 | 89.9平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,1人关注 / 8个月以前发布,81,"9,011元/平"
此房为两用房，商用，住宅均可。楼层好，设施全。,恒大雅苑 -宝华商圈,2室2厅 | 93平米 | 南 | 精装 | 中楼层(共26层)  | 塔楼,213人关注 / 一年前发布,68,"7,312元/平"
房子是四开间朝南 小区舒适度比较好 环境也不错,碧桂园大学印象峰景苑 -宝华商圈,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,88,"9,264元/平"
碧桂园翡翠华府二期 3室2厅 南,碧桂园翡翠华府二期 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 2个月以前发布,90,"9,279元/平"
此房小区C位 全天采光无遮挡 业主诚心出售,天正理想城 -宝华商圈,3室2厅 | 88.15平米 | 南 | 简装 | 高楼层(共34层)  | 塔楼,13人关注 / 4个月以前发布,72,"8,168元/平"
泰达青筑 央企开发商 精装新风空调地暖,泰达青筑 -宝华商圈,3室2厅 | 97平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,1人关注 / 8个月以前发布,130,"13,403元/平"
仙林东  泰达青筑  物业好  交通方便,泰达青筑 -宝华商圈,4室2厅 | 117平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 6个月以前发布,108,"9,231元/平"
山里面的别墅 全新交付 随时看房  房东诚意,新城源山 -宝华商圈,4室2厅 | 129平米 | 南 | 毛坯 | 下叠(共5层)  | 板楼 | 叠拼别墅 ,33人关注 / 一年前发布,133,"10,311元/平"
伯爵山精装交付三房  西边户 满两年 价格可谈,碧桂园伯爵山 -宝华商圈,3室1厅 | 132.61平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,110,"8,296元/平"
恒大开发 仙林东 精装修 随时看房 诚心出售,恒大雅苑 -宝华商圈,3室2厅 | 124平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,116,"9,355元/平"
万达茂旁 仙林国际花园  大三房 好楼层  诚心出售,和昌仙林国际 -宝华商圈,3室2厅 | 103平米 | 南 | 毛坯 | 中楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,92,"8,933元/平"
仙林东  宝华山脚下   山景房   小区环境好,碧桂园大学印象 -宝华商圈,3室2厅 | 97平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 9个月以前发布,75,"7,732元/平"
品质小区，物业管理严格，小区物业管理优美。,金科观天下 -宝华商圈,4室2厅 | 123平米 | 南 | 毛坯 | 低楼层(共4层)  | 板楼,9人关注 / 一年前发布,278,"22,602元/平"
四季金辉 毛坯大四房 东边户 高楼层采光充足 视野好,四季金辉 -宝华商圈,4室2厅 | 110.8平米 | 东 南 北 | 毛坯 | 高楼层(共34层)  | 塔楼,6人关注 / 一年前发布,135,"12,185元/平"
万达茂地房户型好南北通透房东急售,天正理想城 -宝华商圈,3室2厅 | 105平米 | 南 北 | 简装 | 中楼层(共34层)  | 塔楼,3人关注 / 一年前发布,107,"10,191元/平"
此房满两年，通透格局好，户型方正，采光好，交通便利,碧桂园中天东方骏庭 -宝华商圈,3室2厅 | 115平米 | 西北 | 精装 | 7层  | 板楼,1人关注 / 一年前发布,128,"11,131元/平"
