标题,开发商,房子信息,发布信息,售价/万,单价
开发商统装大三房，满5唯一，自住保养新,澜调国际 -湖东,3室2厅 | 141.36平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 6天以前发布,550,"38,908元/平"
全天采光，婚房装修，中间楼层， 采光充足，视野宽阔,万业湖墅金典 -郭巷,3室2厅 | 92.36平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,6人关注 / 7个月以前发布,219,"23,712元/平"
此房满五，全天采光无遮挡，配套成熟，精装拎包入住。,东方海悦花园 -松陵,2室2厅 | 95.51平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,22人关注 / 8个月以前发布,137,"14,345元/平"
满两年 出门高架直通园区新区，简单装修，,华润橡树湾一期 -元和,2室1厅 | 79.2平米 | 南 | 简装 | 高楼层(共27层)  | 板塔结合,14人关注 / 一年前发布,155,"19,571元/平"
中南世纪城 自住精装修 两房两厅一卫 采光视野好,中南世纪城(昆山) -开发区,2室2厅 | 87.8平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,178,"20,274元/平"
常发香城名园毛坯复式大户型 6房两卫小高层,常发香城名园 -玉山城南,6室2厅 | 179.97平米 | 南 | 毛坯 | 高楼层(共14层)  | 板楼,0人关注 / 1个月以前发布,285,"15,836元/平"
首付低至2成丨70年产权丨小户型住宅《伟业银座》精装,伟业银座 -松陵,1室1厅 | 44.92平米 | 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,58.4,"13,001元/平"
复式精装公寓，拎包入住。中上楼层，采光好,中交MINI墅 -浒墅关经济技术开发区,2室1厅 | 39平米 | 西 | 精装 | 高楼层(共13层)  | 板塔结合,8人关注 / 6个月以前发布,42,"10,770元/平"
中间楼层，户型正气，全新精装，星港未用,东港新村 -东环,2室1厅 | 59.75平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,4人关注 / 3个月以前发布,178,"29,791元/平"
正气一房，采光无影响，诚心出售,启航社河东 -花桥,1室1厅 | 58.98平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,108,"18,312元/平"
满五唯一，精装空置保养好，离S1号线400米,阳光新第 -陆家,2室2厅 | 84.28平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,146,"17,324元/平"
101万 带车库 2室一厅 价格可谈 产证齐全,御亭花苑 -望亭,2室2厅 | 78平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,98,"12,565元/平"
交通方便，三条地铁，户型很好，急售！,喜临门商业广场 -平江新城,2室1厅 | 42.86平米 | 西 | 精装 | 高楼层(共20层)  | 板塔结合,3人关注 / 3个月以前发布,48.8,"11,386元/平"
学府旁，浒墅人家，位置安静，通透边户，诚心出售，,浒墅人家 -浒关,2室2厅 | 69.8平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,7人关注 / 6个月以前发布,115,"16,476元/平"
此房满五，精装修，通透，位置好,置地青湖语城 -青剑湖,2室2厅 | 77.2平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,128人关注 / 7个月以前发布,205,"26,555元/平"
二居室 满五年 楼层位置好 主要业主诚意卖,宝祥苑 -金阊新城,2室2厅 | 79.09平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 2个月以前发布,125,"15,805元/平"
房东诚心出售，随时看房，看中价格可谈,上亿星耀汇 -松陵,1室1厅 | 32.93平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,5人关注 / 4个月以前发布,23,"6,985元/平"
恒基旭辉城 2室1厅 南,恒基旭辉城 -浒墅关经济技术开发区,2室1厅 | 79.55平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,7人关注 / 5个月以前发布,149,"18,731元/平"
一楼两房朝南  户型正气 带汽车库,北栅湾东区 -老二中,2室2厅 | 91.23平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,295,"32,336元/平"
邻生活广场，浒墅人家，精装修，拎包入住，位置好,浒墅人家 -浒关,2室2厅 | 108平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,158,"14,630元/平"
急售   园区南电梯洋房 南北通透,奥林运河湾 -松陵,2室2厅 | 93.98平米 | 南 北 | 精装 | 低楼层(共13层)  | 板塔结合,2人关注 / 3个月以前发布,140,"14,897元/平"
中冶昆庭 一室一厅 诚意出售 可贷款,中冶昆庭 -开发区,1室1厅 | 68.02平米 | 南 | 精装 | 低楼层(共29层)  | 板塔结合,4人关注 / 2个月以前发布,63,"9,262元/平"
好楼层精装修两房，家具家电全留，拎包入住，诚心出售,浒墅人家三区 -浒关,2室1厅 | 74.88平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,5人关注 / 1个月以前发布,115,"15,358元/平"
近桂花公园东环路莫耶路五号线采光好全明,里河新村（五六七八村） -葑门,1室1厅 | 44.54平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,85,"19,084元/平"
湖沁花园安家小户  诚心出售  东边户二层 有自行车库,湖沁花园东区 -元和,2室1厅 | 66.07平米 | 南 | 精装 | 6层  | 塔楼,3人关注 / 3个月以前发布,129,"19,525元/平"
精装修地铁口大三房2卫带买断车位，不靠高架,天地源拾锦香都 -木渎,3室2厅 | 117.77平米 | 南 北 | 精装 | 低楼层(共27层)  | 板塔结合,6人关注 / 3个月以前发布,224,"19,021元/平"
环秀湖花园 2号线骑河站 精装修业主自住 看房方便,环秀湖花园 -高铁新城,3室2厅 | 89.62平米 | 南 | 精装 | 低楼层(共20层)  | 板楼,10人关注 / 5个月以前发布,180,"20,085元/平"
今日家园一期多层，中间楼层，有钥匙，随时看房,今日家园(虎丘区) -狮山,3室1厅 | 120.76平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,6人关注 / 4个月以前发布,372,"30,805元/平"
香堤澜湾精装两房，满两年 好楼层，无遮挡，采光全,香堤澜湾 -青剑湖,2室1厅 | 75.62平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,8人关注 / 6个月以前发布,169,"22,349元/平"
自住保养 满五年 精装修 楼层位置佳  价格可谈,宝祥苑 -金阊新城,2室2厅 | 70平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,122.8,"17,543元/平"
房东主动降价好房 采光好 装修相当好 价格可聊,世茂运河城和茂苑二期 -沧浪新城,1室2厅 | 61.34平米 | 南 | 简装 | 30层  | 板楼,18人关注 / 8个月以前发布,242,"39,453元/平"
轻轨旁 装修两房 中上楼层 全天采光 诚心出售看房方便,姑苏裕沁庭西区 -元和,2室1厅 | 88.93平米 | 南 | 精装 | 31层  | 板楼,58人关注 / 5个月以前发布,229,"25,751元/平"
满五，精装修，户型方正，全明采光不错，有钥匙,湄长新村 -苏苑,2室1厅 | 62.29平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 2个月以前发布,116,"18,623元/平"
工业园区精装三房，五唯一省个税。三轨交汇,欧洲花园 -娄葑,3室2厅 | 117.36平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 2个月以前发布,278,"23,688元/平"
大南二村 电梯房 新空房 高楼层 产证满2年,大南二村 -锦丰,3室2厅 | 140.02平米 | 南 | 毛坯 | 高楼层(共10层)  | 暂无数据,2人关注 / 7个月以前发布,92,"6,571元/平"
园区阳光嘉园房东诚心出售，精装修采光好,阳光嘉园 -松陵,2室1厅 | 81.13平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,7人关注 / 3个月以前发布,133,"16,394元/平"
闹中取静 低总价2房 生活氛围浓厚,环新南弄 -松陵,2室1厅 | 59.87平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,13人关注 / 4个月以前发布,88.8,"14,833元/平"
地铁口香城颐园精装两房，业主诚售，有自库，随时看房,香城颐园 -元和,2室2厅 | 89.52平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,5人关注 / 1个月以前发布,205,"22,900元/平"
大润发旁旭辉悦庭边套两房出售随时看房,旭辉悦庭 -浒关,2室1厅 | 76.75平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,10人关注 / 9个月以前发布,136,"17,720元/平"
万科未来之城 五期精装两室 次新小区,万科未来之城 -玉山高新区,2室2厅 | 72.45平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,1人关注 / 3个月以前发布,128,"17,668元/平"
满五唯一精装房，76平中间楼层，家具家电全留房东急卖,旭辉苹果乐园 -浒关,2室2厅 | 76.76平米 | 南 | 精装 | 高楼层(共21层)  | 板楼,3人关注 / 2个月以前发布,146,"19,021元/平"
碧桂园统一装修交付，房型正气.,湖悦天境花园 -汾湖,3室2厅 | 95.85平米 | 南 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 2个月以前发布,175,"18,258元/平"
带游泳池 张浦高大上小区 裕花园大2房 诚心急售,裕花园张浦 -张浦,2室2厅 | 89平米 | 南 | 简装 | 中楼层(共27层)  | 塔楼,2人关注 / 1个月以前发布,126,"14,158元/平"
近桂花公园东环路莫耶路五号线采光好全明,里河新村（五六七八村） -葑门,1室1厅 | 44.54平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 2个月以前发布,85,"19,084元/平"
交通方便，三条地铁，户型很好，急售！,喜临门商业广场 -平江新城,2室1厅 | 42.86平米 | 西 | 精装 | 高楼层(共20层)  | 板塔结合,3人关注 / 3个月以前发布,48.8,"11,386元/平"
二居室 满五年 楼层位置好 主要业主诚意卖,宝祥苑 -金阊新城,2室2厅 | 79.09平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 2个月以前发布,125,"15,805元/平"
自住保养 满五年 精装修 楼层位置佳  价格可谈,宝祥苑 -金阊新城,2室2厅 | 70平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,122.8,"17,543元/平"
此房满五，精装修，通透，位置好,置地青湖语城 -青剑湖,2室2厅 | 77.2平米 | 南 | 简装 | 低楼层(共11层)  | 板塔结合,128人关注 / 7个月以前发布,205,"26,555元/平"
店长推荐 业主急售 精装一房...,路劲主场一期 -湖东,1室1厅 | 58.86平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,23人关注 / 5个月以前发布,184,"31,261元/平"
闹中取静 低总价2房 生活氛围浓厚,环新南弄 -松陵,2室1厅 | 59.87平米 | 南 北 | 精装 | 中楼层(共5层)  | 暂无数据,13人关注 / 4个月以前发布,88.8,"14,833元/平"
入则宁静出则繁华西塘河畔精装2居室领包即住有花园,鲈乡一区 -松陵,2室2厅 | 64平米 | 南 | 精装 | 中楼层(共5层)  | 暂无数据,5人关注 / 3个月以前发布,108,"16,875元/平"
小区地理位置好，生活便利，此房通透户型，采光佳,御亭水岸花园 -望亭,2室2厅 | 84平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,4人关注 / 5个月以前发布,109,"12,977元/平"
房东诚心出售，随时看房，看中价格可谈,上亿星耀汇 -松陵,1室1厅 | 32.93平米 | 南 | 简装 | 中楼层(共5层)  | 板塔结合,5人关注 / 4个月以前发布,23,"6,985元/平"
学府旁，浒墅人家，位置安静，通透边户，诚心出售，,浒墅人家 -浒关,2室2厅 | 69.8平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,7人关注 / 6个月以前发布,115,"16,476元/平"
恒基旭辉城 2室1厅 南,恒基旭辉城 -浒墅关经济技术开发区,2室1厅 | 79.55平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,7人关注 / 5个月以前发布,149,"18,731元/平"
满五唯一 地铁口 全明户型三房 一楼带院子 院子开门,吴中西路57号 -苏苑,3室1厅 | 60.89平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,148,"24,307元/平"
太湖汇景四期，中上楼层，满二年，清水房，看房方便,华丽家族太湖汇景花园4期 -香山,3室1厅 | 96.41平米 | 南 | 毛坯 | 23层  | 板楼,0人关注 / 2个月以前发布,132,"13,692元/平"
"好楼层采光刺眼,房东人好诚心卖",阳光嘉园 -松陵,2室2厅 | 77.33平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 2个月以前发布,120,"15,518元/平"
近万达繁华商圈 视野开阔，采光好,景瑞荣御蓝湾 -娄江新城,3室2厅 | 132.31平米 | 南 | 精装 | 31层  | 板塔结合,39人关注 / 11个月以前发布,208,"15,721元/平"
梅园北弄 60平 单价 仅1.17万  菜场近,梅园北弄小区 -城厢,2室1厅 | 59.78平米 | 南 北 | 精装 | 低楼层(共3层)  | 板塔结合,20人关注 / 5个月以前发布,72,"12,045元/平"
新上 梅林新苑 精装小两房 诚意出售,梅林新苑 -平江新城,2室1厅 | 53.79平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,115,"21,380元/平"
房东诚心出售，随时看房，看中价格可谈,上亿星耀汇 -松陵,1室1厅 | 31.63平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,20人关注 / 4个月以前发布,22.8,"7,209元/平"
此房满五，纯毛坯，改造性强，中间楼层，采光刺眼！,泰元家园 -元和,2室1厅 | 68.73平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,33人关注 / 一年前发布,115,"16,733元/平"
潼泾新村可用园区新区姑苏公积金 诚意出售价格可谈,潼泾新村 -胥江,2室1厅 | 46.6平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 2个月以前发布,95,"20,387元/平"
香城花园三大概精装两房 带22平自行车库 有租赁车位,香城花园三区 -元和,2室2厅 | 97.91平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,24人关注 / 一年前发布,200,"20,427元/平"
新上 杨枝 满五唯一 中间楼层 带自行车库 有钥匙,杨枝四村 -葑门,2室1厅 | 55.29平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,130人关注 / 10个月以前发布,113,"20,438元/平"
环秀湖花园 全新毛坯二房业主诚心出售，看房方便,环秀湖花园 -高铁新城,2室2厅 | 89.12平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,2人关注 / 1个月以前发布,174,"19,525元/平"
此房满二唯一税少，采光充足，配套设施齐全。位置好,启航社河东 -花桥,2室2厅 | 45.75平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,8人关注 / 1个月以前发布,110,"24,044元/平"
一二楼带地下室，带60平院子，带双车位，南进门,蓝光和雍锦园 -木渎,5室2厅 | 227平米 | 南 | 毛坯 | 5层  | 板塔结合 | 联排别墅 ,1人关注 / 3个月以前发布,659,"29,031元/平"
清水毛坯，次新高档小区，景观带，大横厅，房东急售,金辉尊域雅苑 -斜塘,3室2厅 | 111.33平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,127人关注 / 一年前发布,369,"33,145元/平"
"地铁口，电梯洋房，户型通透，精装修，拎包入住,急卖",晨曦怡庭 -元和,2室1厅 | 87.73平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,5人关注 / 3个月以前发布,185,"21,088元/平"
近桂花公园 玉兰苑 东环路  婚装修 五号线 东环路,里河新村（二三四村） -葑门,2室1厅 | 49.15平米 | 南 | 精装 | 6层  | 板塔结合,24人关注 / 5个月以前发布,111,"22,584元/平"
急售 满五唯一  不靠高架高铁 含车位 在卖一周不卖了,水语金成花园 -浒关,3室2厅 | 93.18平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,139人关注 / 5个月以前发布,168,"18,030元/平"
中间楼层 采光视野都很好 诚意出售,繁华里 -花桥,2室2厅 | 80.45平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,2人关注 / 10个月以前发布,165,"20,510元/平"
满五唯一，两南房，交通配套都很齐全。,新庄新村 -留园西园,2室1厅 | 50.31平米 | 南 | 毛坯 | 5层  | 板楼,5人关注 / 1个月以前发布,88,"17,492元/平"
S1地铁口 品质住宅 中层采光视野都很好 拎包入住,繁华里 -花桥,2室2厅 | 80.45平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,18人关注 / 4个月以前发布,177.7,"22,089元/平"
十全街上 二郎巷 4楼 精装两房 满两年 拎包住 有钥匙,二郎巷 -十全街,2室1厅 | 66.32平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 11个月以前发布,210,"31,665元/平"
振华！ 54以下，两室带厅，明厨名卫,油车场散盘 -葑门,2室1厅 | 47.63平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,128,"26,874元/平"
浒墅人家一区 小户 中上楼层 视野开阔,浒墅人家 -浒关,2室1厅 | 68.16平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,22人关注 / 4个月以前发布,108,"15,846元/平"
翡翠湖公寓统装两房 中上楼层 全天采光 看房方便,翡翠湖公寓 -青剑湖,2室2厅 | 82.69平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,69人关注 / 一年前发布,216,"26,122元/平"
香城花园精装两房 楼层佳 采光很好哈 位置安静,香城花园一区 -元和,2室2厅 | 98.9平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,14人关注 / 8个月以前发布,175,"17,695元/平"
香城花园三大概精装两房 带22平自行车库 有租赁车位,香城花园三区 -元和,2室2厅 | 97.91平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,24人关注 / 一年前发布,200,"20,427元/平"
"地铁口，电梯洋房，户型通透，精装修，拎包入住,急卖",晨曦怡庭 -元和,2室1厅 | 87.73平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,5人关注 / 3个月以前发布,185,"21,088元/平"
一二楼带地下室，带60平院子，带双车位，南进门,蓝光和雍锦园 -木渎,5室2厅 | 227平米 | 南 | 毛坯 | 5层  | 板塔结合 | 联排别墅 ,1人关注 / 3个月以前发布,659,"29,031元/平"
次新小区 景观楼层 大平层 大露台好几个 得房率彪高,碧悦湾 -张浦,4室2厅 | 147.01平米 | 南 北 | 毛坯 | 高楼层(共25层)  | 塔楼,0人关注 / 1个月以前发布,183.5,"12,483元/平"
张浦商圈成熟次新小区70年产权小户型 首付低 拎包入住,茶风商苑 -张浦,2室2厅 | 64.71平米 | 南 | 精装 | 高楼层(共12层)  | 板塔结合,0人关注 / 2个月以前发布,82,"12,672元/平"
京珠苑70年产权，低总价，精装修，适合自住,京珠苑 -东南,2室1厅 | 70.18平米 | 北 | 精装 | 高楼层(共30层)  | 板楼,4人关注 / 2个月以前发布,42,"5,985元/平"
"好楼层采光刺眼,房东人好诚心卖",阳光嘉园 -松陵,2室2厅 | 77.33平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 2个月以前发布,120,"15,518元/平"
近万达繁华商圈 视野开阔，采光好,景瑞荣御蓝湾 -娄江新城,3室2厅 | 132.31平米 | 南 | 精装 | 31层  | 板塔结合,39人关注 / 11个月以前发布,208,"15,721元/平"
梅园北弄 60平 单价 仅1.17万  菜场近,梅园北弄小区 -城厢,2室1厅 | 59.78平米 | 南 北 | 精装 | 低楼层(共3层)  | 板塔结合,20人关注 / 5个月以前发布,72,"12,045元/平"
新上 梅林新苑 精装小两房 诚意出售,梅林新苑 -平江新城,2室1厅 | 53.79平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,115,"21,380元/平"
新上 杨枝 满五唯一 中间楼层 带自行车库 有钥匙,杨枝四村 -葑门,2室1厅 | 55.29平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,130人关注 / 10个月以前发布,113,"20,438元/平"
"双地铁  陆慕元和 两房视野无遮挡,有一个长期租的车位",欧风丽苑 -元和,2室2厅 | 96.18平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,1人关注 / 2个月以前发布,179,"18,611元/平"
精装二房 采光好 拎包入住 随时看,惠丰花园二区 -浒关,2室1厅 | 60.85平米 | 东 | 精装 | 中楼层(共5层)  | 板楼,5人关注 / 2个月以前发布,127,"20,871元/平"
中高楼层 客厅能看到河流  视野好 有钥匙 看房方便,荷韵新村北区 -斜塘,2室2厅 | 66.92平米 | 南 | 精装 | 中楼层(共4层)  | 板塔结合,52人关注 / 2个月以前发布,189,"28,243元/平"
双轨交汇，四梯八户，三开间朝南，看房方便。,苏州星健中心 -平江新城,2室1厅 | 78.76平米 | 南 | 精装 | 低楼层(共32层)  | 塔楼,34人关注 / 2个月以前发布,112,"14,221元/平"
文荟苑大2房，朝南户型，楼层高户型好,东方文荟苑 -车坊,2室2厅 | 101.75平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,7人关注 / 3个月以前发布,199,"19,558元/平"
S1号线300米，两房，满五唯一，诚心出售,花桥裕花园 -花桥,2室1厅 | 66.7平米 | 南 | 精装 | 中楼层(共30层)  | 板楼,4人关注 / 1个月以前发布,150,"22,489元/平"
此房满五唯一，房间带三个窗户，采光刺眼，带小车库！,菁华时代彩慧苑 -张浦,2室2厅 | 95.09平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,103,"10,832元/平"
采光充足 好楼层  满两年 双阳台 配套齐全,首开班芙春天花园南区 -元和,2室2厅 | 98.08平米 | 南 北 | 简装 | 中楼层(共25层)  | 塔楼,17人关注 / 8个月以前发布,180,"18,353元/平"
诚售 万科城 双阳台 唯一 自住精装,万科城 -木渎,3室2厅 | 114.28平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,2人关注 / 3个月以前发布,224,"19,601元/平"
和美家园，毛坯两房，满五年，急卖,和美家园 -金阊新城,2室1厅 | 69.29平米 | 南 | 简装 | 低楼层(共30层)  | 板楼,3人关注 / 1个月以前发布,115,"16,597元/平"
装的很好，业主打理很好，干净，整洁。,苏州湾景苑 -太湖新城（吴江）,3室1厅 | 137.57平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,6人关注 / 7个月以前发布,349,"25,369元/平"
2室1厅（带朝南车库）楼层好采光好 产证满二,玉盘家园 -渭塘,2室1厅 | 63.71平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,2人关注 / 2个月以前发布,95,"14,912元/平"
业主豪降20万 拎包入住不跳价,新城香悦花园 -花桥,3室2厅 | 89.52平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,24人关注 / 一年前发布,210,"23,459元/平"
新上潼泾新村5楼，精装修南北房，看房 有钥匙诚售,潼泾新村 -胥江,2室1厅 | 53.2平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,18人关注 / 3个月以前发布,116.6,"21,918元/平"
7 月22号满二，毛坯楼层好，有钥匙看房提前联系方便，,大运河府 -松陵,4室2厅 | 117.1平米 | 南 | 毛坯 | 高楼层(共34层)  | 板楼,2人关注 / 6个月以前发布,210,"17,934元/平"
绿地21城D区电梯洋房，高楼层，东边套，采光好,绿地21城D区 -花桥,2室2厅 | 74.48平米 | 北 南 | 精装 | 高楼层(共6层)  | 板塔结合,7人关注 / 1个月以前发布,169,"22,691元/平"
振华！ 54以下，两室带厅，明厨名卫,油车场散盘 -葑门,2室1厅 | 47.63平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 2个月以前发布,128,"26,874元/平"
满五唯一，两南房，交通配套都很齐全。,新庄新村 -留园西园,2室1厅 | 50.31平米 | 南 | 毛坯 | 5层  | 板楼,5人关注 / 1个月以前发布,88,"17,492元/平"
诚售 万科城 双阳台 唯一 自住精装,万科城 -木渎,3室2厅 | 114.28平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,2人关注 / 3个月以前发布,224,"19,601元/平"
S1地铁口 品质住宅 中层采光视野都很好 拎包入住,繁华里 -花桥,2室2厅 | 80.45平米 | 南 | 精装 | 中楼层(共25层)  | 板塔结合,18人关注 / 4个月以前发布,177.7,"22,089元/平"
装的很好，业主打理很好，干净，整洁。,苏州湾景苑 -太湖新城（吴江）,3室1厅 | 137.57平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,6人关注 / 7个月以前发布,349,"25,369元/平"
：满五唯一，交通便利，东门出来200米就是地铁。,旭辉美澜城 -郭巷,2室1厅 | 78.43平米 | 南 | 精装 | 中楼层(共21层)  | 板楼,82人关注 / 8个月以前发布,159,"20,273元/平"
全新未住 四开间朝南 楼幢位置好 采光无遮挡,苏州湾天铂 -太湖新城（吴江）,4室2厅 | 135.26平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,11人关注 / 4个月以前发布,352,"26,024元/平"
新改造养蚕里平直振华 满五全明户型三楼看房随时约,养蚕里新村 -南门,2室1厅 | 48.89平米 | 南 | 简装 | 5层  | 板楼,11人关注 / 11个月以前发布,171,"34,977元/平"
城东CBD，首创悦都，小两房，别错过,首创悦都 -蓬朗（开发区）,2室2厅 | 73.01平米 | 南 | 精装 | 34层  | 板楼,0人关注 / 1个月以前发布,140.8,"19,286元/平"
此房满两年，精装修，中间楼层，视野好,中海双湾花园一期 -尹山湖,3室2厅 | 87.44平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,4人关注 / 1个月以前发布,212,"24,246元/平"
启航社河东南北两房 高楼层采光好 诚意出售 看房方便,启航社河东 -花桥,2室2厅 | 73.89平米 | 南 北 | 简装 | 高楼层(共11层)  | 板塔结合,4人关注 / 1个月以前发布,140,"18,948元/平"
新鹿三期中户，三开间户型，中间楼层，采光好，视野佳,新鹿花苑三期 -阳山生态区,3室2厅 | 105.2平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,165,"15,685元/平"
启航社U时代 全南一房 小高层 采光好 精装修 诚售,启航社U世代 -花桥,1室1厅 | 58.91平米 | 南 | 简装 | 低楼层(共14层)  | 板楼,6人关注 / 2个月以前发布,98,"16,636元/平"
国际华城 小两房，总价低  开发商统一精装修,国际华城 -花桥,2室2厅 | 43.06平米 | 北 | 精装 | 高楼层(共13层)  | 板塔结合,70人关注 / 11个月以前发布,87,"20,205元/平"
九五年房龄近桂花公园东环路近园区四楼采光好,里河新村（二三四村） -葑门,2室1厅 | 56.62平米 | 南 | 精装 | 6层  | 板塔结合,7人关注 / 1个月以前发布,138,"24,374元/平"
诚心急售 运河湾电梯洋房 户型方正简欧装修 家电全留,奥林运河湾 -松陵,3室2厅 | 90.26平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,45人关注 / 一年前发布,139,"15,400元/平"
小区正中间一幢，安静宜居，采光好，有8平独立车库,现代花园 -葑门,2室1厅 | 61.27平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,5人关注 / 2个月以前发布,130,"21,218元/平"
此房满二！看房方便！精装！院子大！,海亮长桥府 -太湖新城（吴江）,4室2厅 | 218平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,3人关注 / 1个月以前发布,380,"17,432元/平"
裕花园精装2房，带全屋中yang空调，满2诚意卖,花桥裕花园 -花桥,2室2厅 | 65.55平米 | 南 | 精装 | 高楼层(共30层)  | 板楼,16人关注 / 一年前发布,132,"20,138元/平"
浒墅人家一区 小户 中上楼层 视野开阔,浒墅人家 -浒关,2室1厅 | 68.16平米 | 南 | 精装 | 中楼层(共23层)  | 板楼,22人关注 / 4个月以前发布,108,"15,846元/平"
星可港用，满五唯一，两室朝南阁楼,东港二村 -东环,2室1厅 | 57.54平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,193,"33,542元/平"
采光充足 好楼层  满两年 双阳台 配套齐全,首开班芙春天花园南区 -元和,2室2厅 | 98.08平米 | 南 北 | 简装 | 中楼层(共25层)  | 塔楼,17人关注 / 8个月以前发布,180,"18,353元/平"
团结新村精装两房，总价低带独立车库13平米，奶奶楼层,团结新村（昆山） -葛江,2室1厅 | 38.35平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,169,"44,068元/平"
