标题,开发商,房子信息,发布信息,售价/万,单价
翠竹新村 未占用 随时看房 价格好谈,翠竹新村 -红梅,2室1厅 | 67.21平米 | 南 | 简装 | 中楼层(共6层)  | 板塔结合,7人关注 / 3个月以前发布,76.8,"11,427元/平"
荷花池公寓 三房朝南， 精装修 适合居住 房东诚售,荷花池公寓 -南大街,3室2厅 | 148.6平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,1人关注 / 8个月以前发布,460,"30,956元/平"
玉兰广场 60万精装修 有票据 采光好 诚心出售,融创常州御园三期 -湖塘镇,3室2厅 | 108.79平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,7人关注 / 8个月以前发布,307,"28,220元/平"
电梯房纯毛坯！看房方便！随时可看！采光不错！,中意寳第 -南大街,3室2厅 | 124平米 | 北 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,6人关注 / 6个月以前发布,220,"17,742元/平"
龙湖天街地铁2号线旁   品牌装修 保养很好,龙湖龙誉城北区 -五星,3室2厅 | 143平米 | 南 北 | 精装 | 高楼层(共34层)  | 板塔结合,0人关注 / 7个月以前发布,340,"23,777元/平"
不靠铁路 保养很好飞龙吾悦万和城旁 好位置 视野开阔,金地格林郡 -三井,3室2厅 | 95.76平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,172,"17,962元/平"
西新桥旁锦江丽都中间楼层，精装修好，设施齐全采光好,锦江丽都花园南区 -五星,3室1厅 | 108.93平米 | 南 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 2个月以前发布,190,"17,443元/平"
御城精装3房 中间楼层采光好 房东诚售 随时看房,御城 -湖塘镇,3室2厅 | 107.94平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,195,"18,066元/平"
"南北通风户型,全天采光,户型方正视野好,干湿分离",凯尔锋度 -湖塘镇,4室2厅 | 141.99平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,251,"17,678元/平"
飞龙新苑 低楼层 居家住 诚意出售,飞龙新苑 -三井,2室2厅 | 91平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,9人关注 / 7个月以前发布,136,"14,946元/平"
银河湾第一城二期 2室2厅 南,银河湾第一城二期 -三井,2室2厅 | 64.41平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,105,"16,302元/平"
东城明居精装三房 楼层好 采光佳 拎包入住,东城明居 -茶山,3室2厅 | 121.31平米 | 南 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 4个月以前发布,218,"17,971元/平"
房东诚心出售，户型方正，通风性好，看房方便,融创常州御园三期 -湖塘镇,3室1厅 | 96.44平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,1人关注 / 11个月以前发布,213,"22,087元/平"
银河湾明苑二期118.74平优质好房，价格合适，方便看房,银河湾明苑二期 -茶山,3室2厅 | 118.74平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,5人关注 / 7个月以前发布,249,"20,971元/平"
元丰苑 顶楼复式 楼层佳 采光好 房东诚心出售,元丰苑 -茶山,6室2厅 | 223平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,498,"22,332元/平"
元丰苑 中间楼层 3房 采光佳诚售,元丰苑 -茶山,3室2厅 | 123.39平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,0人关注 / 3个月以前发布,460,"37,281元/平"
新城金郡，中间楼层，卖后外地买房，诚售，钥匙随时看,新城金郡 -茶山,3室2厅 | 129.98平米 | 南 | 精装 | 中楼层(共38层)  | 板塔结合,1人关注 / 6个月以前发布,350,"26,928元/平"
怡美花园  户型方正  采光好  楼层佳,怡美花园 -五星,2室2厅 | 86.57平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,1人关注 / 5个月以前发布,123,"14,209元/平"
御翠园中高层精装四房满五家电家具全公园景观房,御翠园 -茶山,4室2厅 | 181.98平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,7人关注 / 一年前发布,528,"29,015元/平"
银河湾旁朝阳三村 大平层6房 采光佳 诚心出售。,朝阳三村 -茶山,6室2厅 | 173平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,0人关注 / 6个月以前发布,208,"12,024元/平"
东园新村3-1-1-1 74.36m²,东园新村 -东城街道,3室1厅 | 74.36平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,36.8,"4,949元/平"
新城悠活城 全新婚装装修 没住过人 房东诚心出售,新城•悠活城 -薛家,3室2厅 | 75.02平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,16人关注 / 5个月以前发布,106,"14,130元/平"
一号线地铁口 景观房 精装两室 未入住 家电家具全新,晋陵北苑 -红梅,2室1厅 | 74.77平米 | 南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 6个月以前发布,185,"24,743元/平"
青山湾人车分流 博小北郊空置 精装三室楼层佳视野开阔,青山湾南区 -红梅,3室2厅 | 121.41平米 | 南 | 精装 | 高楼层(共19层)  | 板塔结合,2人关注 / 7个月以前发布,385,"31,711元/平"
佳兆业凤凰湖壹号4-2-1-2 143.00m² 208 万,佳兆业凤凰湖壹号 -薛家,4室2厅 | 141.84平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,5人关注 / 一年前发布,190,"13,396元/平"
水清木华 2室2厅 南,水清木华 -红梅,2室2厅 | 116.38平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,1人关注 / 7个月以前发布,235,"20,193元/平"
吾悦旁 绿地峰云汇西区底复 下沉式花园 精装四房,绿地峰云汇西区 -湖塘镇,4室2厅 | 294.2平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,8人关注 / 一年前发布,375,"12,747元/平"
通江路西新桥公寓，户口空置，房型好，双阳南向采光好,西新桥公寓 -红梅,3室2厅 | 122.84平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,318,"25,888元/平"
满五唯一  楼层好，采光佳，户型方正，看房方便~,香缇湾花园 -红梅,3室2厅 | 109.41平米 | 南 | 简装 | 中楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,168,"15,356元/平"
翠竹新村北区 采光通风好。商圈成熟，配套齐全,翠竹新村北区 -红梅,3室2厅 | 140.2平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,193,"13,767元/平"
翠竹新村北区 112平3房精装修带车库 168万,翠竹新村北区 -红梅,3室2厅 | 112平米 | 南 | 精装 | 低楼层(共8层)  | 板楼,2人关注 / 5个月以前发布,168,"15,000元/平"
精装修 可拎包入住，近天宁吾悦，近地铁，生活方便,香溢紫郡 -青龙,2室1厅 | 71.55平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,122,"17,052元/平"
急卖！曼哈顿  锦绣天地 精装三房 配套齐全诚心出售,锦绣天地 -河海,3室1厅 | 86.14平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,5人关注 / 7个月以前发布,165,"19,155元/平"
春晓苑 满五唯一 独栋落地窗采光好 三开间朝南,绿城玉兰广场春晓苑 -湖塘镇,3室2厅 | 110.61平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,3人关注 / 6个月以前发布,265,"23,959元/平"
北环新村两房诚心出售，有意者可以详谈,北环新村 -红梅,2室1厅 | 67.93平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 10个月以前发布,82,"12,072元/平"
"此房格局好,南北通风户型,全天采光,户型方正视野好",书香苑 -东城街道,3室2厅 | 126.62平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,110,"8,688元/平"
翠竹新村 82平 精装 3房 110万 诚心出售,翠竹新村 -红梅,3室1厅 | 81.7平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,108,"13,220元/平"
御城三室 精装修  96平 房东诚售,御城 -湖塘镇,3室2厅 | 96.9平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,9人关注 / 8个月以前发布,164.5,"16,977元/平"
中海铂悦公馆中间楼层，房东诚心出售，有密码随时看房,中海铂悦公馆 -雕庄,3室2厅 | 142平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,1人关注 / 7个月以前发布,378,"26,620元/平"
翠竹新村北区 3室2厅 南 北,翠竹新村北区 -红梅,3室2厅 | 113.24平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 6个月以前发布,162,"14,306元/平"
香溢澜桥二期  诚意急售 三室精装修 好楼层,新城香溢澜桥二期 -湖塘镇,3室2厅 | 110.5平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 8个月以前发布,210,"19,005元/平"
新城•悠活城 3室2厅 南 北,新城•悠活城 -薛家,3室2厅 | 93.5平米 | 南 北 | 精装 | 中楼层(共34层)  | 板塔结合,0人关注 / 3个月以前发布,145,"15,509元/平"
红梅范家塘私房，好停车，前后有门进出方便,范家塘 -红梅,3室1厅 | 116.03平米 | 南 | 简装 | 2层  | 暂无数据,16人关注 / 一年前发布,115,"9,912元/平"
香缇湾花园 不靠铁路 精装3房 家具家电全留 拎包入住,香缇湾花园 -红梅,3室2厅 | 113.64平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,183,"16,104元/平"
凤凰熙岸三房 中间楼层 前面无遮挡采光好 房东诚心,中海凤凰熙岸 -雕庄,3室2厅 | 89.72平米 | 南 | 简装 | 中楼层(共34层)  | 暂无数据,6人关注 / 6个月以前发布,172.6,"19,238元/平"
吾悦商圈绿地香颂花园 精装三房 楼层好,绿地香颂花园 -湖塘镇,3室2厅 | 135平米 | 南 北 | 精装 | 高楼层(共24层)  | 板楼,2人关注 / 6个月以前发布,265,"19,630元/平"
通江路旁 水清木华 118平精装3房 247.8万,水清木华 -红梅,3室2厅 | 119.01平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,247.8,"20,822元/平"
"户型方正,视野宽阔,采光充足,配套设施齐全,交通便利",学府名门花苑 -湖塘镇,3室2厅 | 85.79平米 | 南 | 精装 | 低楼层(共20层)  | 板塔结合,13人关注 / 8个月以前发布,98,"11,424元/平"
区政府板块 丰乐公寓顶复 精装修 业主诚心出售,丰乐公寓 -湖塘镇,5室2厅 | 255.38平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,14人关注 / 一年前发布,249,"9,751元/平"
顺园三村 精装大三房 单价八千 房东诚心出售,顺园新村三村 -薛家,3室2厅 | 122.43平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 7个月以前发布,100,"8,168元/平"
小区环境优雅，配套成熟，交通便利，居住舒适。,锦绣东苑 -红梅,2室2厅 | 99.24平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,160,"16,123元/平"
奥林匹克花园大三房 业主诚心出售 随时看房,常州奥林匹克花园 -薛家,3室2厅 | 120.98平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,160,"13,226元/平"
地铁1号线旁北环新村 2居室两房朝南 交通便利楼层好,北环新村 -红梅,2室1厅 | 66.5平米 | 南 | 精装 | 中楼层(共5层)  | 塔楼,1人关注 / 6个月以前发布,85,"12,782元/平"
品牌地暖、大金空调、品质精装、割肉急卖！,新城长岛花园 -兰陵街道,3室2厅 | 117.6平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,169,"14,371元/平"
星河国际六区精装大3房 地暖空调拎包入住，,星河国际三期 -湖塘镇,3室2厅 | 143.91平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,8人关注 / 一年前发布,340,"23,626元/平"
格局分布合理，空间感好，通透性强，居住舒适,新濠澜境 -湖塘镇,4室2厅 | 166.08平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,9人关注 / 一年前发布,195,"11,742元/平"
成熟商圈，业主诚心出售，看房方便,坛园 -红梅,3室1厅 | 94.4平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,165,"17,479元/平"
红梅西村 顶复 附面积大 正式产证面积 红梅板块,红梅西村 -红梅,4室2厅 | 188平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,162,"8,618元/平"
翠竹新村 生活气息浓 交通便利 配套齐全,翠竹新村南区 -红梅,3室1厅 | 92.38平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 8个月以前发布,118,"12,774元/平"
新城公馆 精装三房 满2年 户型方正,新城公馆-天域 -湖塘镇,3室2厅 | 143.11平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,7人关注 / 一年前发布,280,"19,566元/平"
九洲花园  精装修  诚心出售,九洲花园南区 -龙虎塘,4室2厅 | 147.7平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,3人关注 / 一年前发布,208,"14,083元/平"
位置好，全天采光无遮挡，户型方正，拎包即住,青山湾南区 -红梅,4室2厅 | 176.21平米 | 南 | 精装 | 高楼层(共30层)  | 板塔结合,1人关注 / 6个月以前发布,558,"31,667元/平"
弘建一品，精装大3房 户型方正配套成熟 诚售,弘建一品 -湖塘镇,3室2厅 | 110.58平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,22人关注 / 一年前发布,214.8,"19,425元/平"
"东边户,朝南主卧，吾悦广场商圈地处繁华",吾悦广场南区 -湖塘镇,3室2厅 | 139.44平米 | 东南 南 | 精装 | 低楼层(共32层)  | 板楼,13人关注 / 一年前发布,257,"18,431元/平"
房东比较实诚，诚心出售，有户口在可迁出，,中央花园(天宁区) -红梅,3室2厅 | 126.35平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,308,"24,377元/平"
交通方便，成熟小区，环境优雅，配套好,青山湾南区 -红梅,5室2厅 | 176.21平米 | 南 | 简装 | 高楼层(共30层)  | 板塔结合,0人关注 / 一年前发布,480,"27,241元/平"
火车站商圈 怡康花园 全新装修 拎包即住,怡康花园 -红梅,3室2厅 | 141.48平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,338,"23,891元/平"
九洲花园  精装修  诚心出售,九洲花园南区 -龙虎塘,4室2厅 | 147.7平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,3人关注 / 一年前发布,208,"14,083元/平"
京城豪苑南区 三开间朝南 精装修拎包入住 户口不在内,京城豪苑南区 -南大街,2室2厅 | 112.26平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,3人关注 / 5个月以前发布,590,"52,557元/平"
鹤园新都大平层精装四房二厅二卫户型方正采光好,鹤苑新都 -南大街,4室2厅 | 181.07平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,650,"35,898元/平"
都市桃园二期一楼  三室两厅 拎包住,都市桃源二期 -五星,3室1厅 | 107.9平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 3个月以前发布,180,"16,683元/平"
怀德苑精装电梯房利用率高正南采光好北大门旁双车位诚,怀德苑 -南大街,4室2厅 | 150.31平米 | 南 北 | 简装 | 低楼层(共9层)  | 板塔结合,3人关注 / 10个月以前发布,249,"16,566元/平"
南北通风 楼层好，采光佳 三朝南 看房方便速联系,金色新城东区 -南大街,3室2厅 | 151.57平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,20人关注 / 8个月以前发布,268,"17,682元/平"
景瑞曦城前排采光好 青枫公园边 D铁 精装 南北通风,景瑞曦城 -北港,2室2厅 | 96.73平米 | 南 | 精装 | 低楼层(共16层)  | 板塔结合,4人关注 / 3个月以前发布,142.8,"14,763元/平"
小区环境优雅，配套成熟，交通便利，居住舒适诚心出售,丰臣凯林花园 -三井,3室2厅 | 127.54平米 | 南 北 | 简装 | 低楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,236,"18,504元/平"
百草苑 精装修，楼层好，配套齐全，看房方便,百草苑 -三井,2室2厅 | 94.11平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,10人关注 / 5个月以前发布,148,"15,727元/平"
新市府区万达商圈，新城府翰苑，装修采光好，拎包住,新城府翰苑东区 -三井,3室2厅 | 124.15平米 | 东南 | 简装 | 低楼层(共17层)  | 板塔结合,3人关注 / 一年前发布,248,"19,976元/平"
精装小三房 银河湾二期 房东诚售,银河湾第一城二期 -三井,3室2厅 | 97.14平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,24人关注 / 一年前发布,155,"15,957元/平"
恐龙园九龙仓国宾花园繁华里精装房,繁華里 -河海,3室2厅 | 97.55平米 | 南 | 精装 | 高楼层(共33层)  | 板塔结合,1人关注 / 11个月以前发布,248,"25,423元/平"
低楼层，地段佳，位置好，诚心出售,河海新村 -三井,2室1厅 | 70.18平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,152,"21,659元/平"
泰和之春 精装四房 三开间朝南 楼层好 采光好,泰和之春 -雕庄,4室2厅 | 146.32平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,360,"24,604元/平"
西园路全新精装三房一厅地暖中洋空调,西园路 -南大街,3室1厅 | 66.88平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 7个月以前发布,255,"38,128元/平"
三开间朝南 南北双阳台 阳光房 房东诚心卖,水木年华 -三井,3室2厅 | 143.14平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,5人关注 / 5个月以前发布,215,"15,021元/平"
嘉禾三房，采光好，户型方正，诚售,嘉禾尚郡花园 -三井,3室2厅 | 88.06平米 | 南 | 简装 | 高楼层(共27层)  | 板塔结合,2人关注 / 8个月以前发布,148,"16,807元/平"
泰和之春中间楼层，南面是开阔的草坪地，房东诚心出售,泰和之春 -雕庄,4室2厅 | 146.73平米 | 南 | 精装 | 中楼层(共25层)  | 暂无数据,16人关注 / 6个月以前发布,319.9,"21,802元/平"
此房满五唯一，业主诚心出售，提前预约看房,中海龙城花园 -三井,3室2厅 | 97.33平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,3人关注 / 6个月以前发布,240,"24,659元/平"
恐龙园旁世茂次新房，双阳台，三开间朝南，一梯一户,世茂香槟湖五期 -三井,3室2厅 | 99.29平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,240,"24,172元/平"
绿都品质社区，3开间朝南，房东诚售,绿都万和城阳湖郡 -三井,4室2厅 | 168平米 | 南 北 | 毛坯 | 高楼层(共20层)  | 板塔结合,10人关注 / 一年前发布,328,"19,524元/平"
精装基本未入住 房东回老家发展，房东诚售，价格可谈,绿都万和城九区 -三井,3室2厅 | 142平米 | 东南 | 精装 | 低楼层(共11层)  | 板塔结合,9人关注 / 11个月以前发布,335,"23,592元/平"
金新御园采光好，地铁口吾悦旁，配套齐全！！,金新御园 -青龙,4室2厅 | 177.13平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,1人关注 / 8个月以前发布,267,"15,074元/平"
听说万和城的一楼挺贵的，这套价格很合适。,绿都万和城七区 -三井,3室2厅 | 122.07平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,3人关注 / 7个月以前发布,190,"15,565元/平"
枫逸人家房东诚心出售户型方正通风好,枫逸人家 -北港,3室2厅 | 137.04平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,4人关注 / 6个月以前发布,175,"12,770元/平"
蔚蓝天地精装三房小高层视野开阔无遮挡敞亮户型,蔚蓝天地 -青龙,3室2厅 | 100.79平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,3人关注 / 5个月以前发布,158,"15,677元/平"
飞龙板块万和城 3居室业主诚心出售随时看房,绿都万和城五区 -三井,3室2厅 | 93.51平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,8人关注 / 5个月以前发布,152,"16,255元/平"
房东诚心出售 万达商圈 市府版块 雅居乐旁 精装修,新城御景湾 -三井,3室2厅 | 128平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 6个月以前发布,380,"29,688元/平"
迪诺水镇旁静装修，前排别墅，全天采光，看房方便,世茂香槟湖3.1期 -三井,4室2厅 | 161.99平米 | 南 | 精装 | 低楼层(共31层)  | 板塔结合,1人关注 / 3个月以前发布,385,"23,767元/平"
飞龙吾悦旁，精装好楼层，采光好,绿都万和城七区 -三井,3室2厅 | 97.68平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 2个月以前发布,167,"17,097元/平"
绿地世纪城C区 大三房 房东诚心急卖,绿地世纪城c区 -新闸,3室2厅 | 124.75平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,11人关注 / 一年前发布,159.9,"12,818元/平"
此房楼层好 户型好 适合三代同堂 看中价格可谈,万士新村 -东城街道,3室2厅 | 147.91平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,136.8,"9,249元/平"
香溢紫郡 3室2厅 南,香溢紫郡 -青龙,3室2厅 | 109.21平米 | 南 | 精装 | 低楼层(共34层)  | 板塔结合,1人关注 / 5个月以前发布,175,"16,025元/平"
高铁新城  精装四房  楼层好  房东自住装修  来电即看,西瑶苑 -春江,4室2厅 | 127.59平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 6个月以前发布,185,"14,500元/平"
不靠高架，楼层好采光佳，精装房,万泰国际广场檀香湾 -北港,4室2厅 | 143.3平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,2人关注 / 6个月以前发布,258,"18,005元/平"
楼层好 看房子方便 精装修 业主诚心出售,绿都万和城2区 -三井,3室2厅 | 116.36平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,190,"16,329元/平"
和平美景，采光好，房型端正，小区环境优美,和平美景 -茶山,3室2厅 | 131.82平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,6人关注 / 一年前发布,230,"17,449元/平"
银河湾第一城二期  边户大三房 精装修 诚心出售,银河湾第一城二期 -三井,3室2厅 | 119.81平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,1人关注 / 4个月以前发布,193,"16,109元/平"
新城泰和之春 地源热泵系统 四房朝南 一梯一户小高层,泰和之春 -雕庄,4室2厅 | 172.64平米 | 南 | 精装 | 高楼层(共17层)  | 暂无数据,5人关注 / 7个月以前发布,400,"23,170元/平"
楼层好，小区环境优雅，绿化好，居住舒适,绿都万和城九区 -三井,4室2厅 | 141.63平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,280,"19,770元/平"
新城樾府 155平4房2卫 港式风格开发商原装定制,新城樾府 -三井,4室2厅 | 155平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,4人关注 / 10个月以前发布,488,"31,484元/平"
必看！婚房装修（房东比较诚心出售的）价格就不要谈了,金梅花园北区 -三井,3室2厅 | 124.53平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,23人关注 / 一年前发布,155,"12,447元/平"
急卖！恐龙园旁 精装小三房 拎包即住 采光好 诚心出售,世茂香槟湖3.1期 -三井,3室2厅 | 97.53平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 6个月以前发布,203,"20,815元/平"
西下塘别墅285平 毛坯带大院子，装修您做主,西下塘别墅 -东城街道,3室2厅 | 285.38平米 | 南 | 毛坯 | 低楼层(共3层)  | 板塔结合,3人关注 / 一年前发布,300,"10,513元/平"
东方三村 电梯 精装三室 婚房装修 干净整洁 车库另算,东方三村 -东城街道,3室2厅 | 100.78平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,73.8,"7,323元/平"
万达商圈  精装修 楼层好 品牌家电  拎包即住,星海银园东区 -三井,3室2厅 | 132平米 | 南 | 精装 | 中楼层(共9层)  | 板塔结合,0人关注 / 1个月以前发布,280,"21,213元/平"
户型方正，格局分布合理，居住舒适，难得的好房,绿都万和城2区 -三井,3室2厅 | 113.4平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,12人关注 / 一年前发布,188,"16,579元/平"
前排位置好，得房率高， 保养新 户型方正.采光无遮挡,万水美兰城 -北港,3室2厅 | 125.62平米 | 东南 | 精装 | 低楼层(共32层)  | 板塔结合,3人关注 / 一年前发布,220,"17,514元/平"
关河中路，采光好，楼层佳，有大阳台，储藏室,关河中路 -南大街,3室2厅 | 83.91平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,228,"27,172元/平"
西园路全新精装三房一厅地暖中洋空调,西园路 -南大街,3室1厅 | 66.88平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 7个月以前发布,255,"38,128元/平"
泰和之春 精装四房 三开间朝南 楼层好 采光好,泰和之春 -雕庄,4室2厅 | 146.32平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 7个月以前发布,360,"24,604元/平"
低楼层，地段佳，位置好，诚心出售,河海新村 -三井,2室1厅 | 70.18平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,152,"21,659元/平"
精装基本未入住 房东回老家发展，房东诚售，价格可谈,绿都万和城九区 -三井,3室2厅 | 142平米 | 东南 | 精装 | 低楼层(共11层)  | 板塔结合,9人关注 / 11个月以前发布,335,"23,592元/平"
枫逸人家房东诚心出售户型方正通风好,枫逸人家 -北港,3室2厅 | 137.04平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,4人关注 / 6个月以前发布,175,"12,770元/平"
晋陵路旁 大诚苑 124平3房 195万,大诚苑 -三井,3室2厅 | 124.71平米 | 南 | 简装 | 高楼层(共21层)  | 板塔结合,0人关注 / 3个月以前发布,195,"15,637元/平"
绿地世纪城C区 大三房 房东诚心急卖,绿地世纪城c区 -新闸,3室2厅 | 124.75平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,11人关注 / 一年前发布,159.9,"12,818元/平"
楼层好，小区环境优雅，绿化好，居住舒适,绿都万和城九区 -三井,4室2厅 | 141.63平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,280,"19,770元/平"
"此房南北通风,全天采光,户型方正视野好，瑶池别墅旁",河滨新村 -东城街道,3室2厅 | 123.11平米 | 南 | 精装 | 高楼层(共5层)  | 板塔结合,4人关注 / 5个月以前发布,59.8,"4,858元/平"
新城泰和之春 地缘热泵地暖房 朋友房子 必买好房,泰和之春 -雕庄,4室2厅 | 262.3平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,10人关注 / 7个月以前发布,600,"22,875元/平"
银河湾第一城二期  边户大三房 精装修 诚心出售,银河湾第一城二期 -三井,3室2厅 | 119.81平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,1人关注 / 4个月以前发布,193,"16,109元/平"
和平美景，采光好，房型端正，小区环境优美,和平美景 -茶山,3室2厅 | 131.82平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,6人关注 / 一年前发布,230,"17,449元/平"
不靠高架，楼层好采光佳，精装房,万泰国际广场檀香湾 -北港,4室2厅 | 143.3平米 | 南 | 精装 | 中楼层(共34层)  | 板塔结合,2人关注 / 6个月以前发布,258,"18,005元/平"
楼层好 看房子方便 精装修 业主诚心出售,绿都万和城2区 -三井,3室2厅 | 116.36平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,4人关注 / 一年前发布,190,"16,329元/平"
