标题,开发商,房子信息,发布信息,售价/万,单价
户型方正   采光靓 此房满五唯一,保利·领秀前城青秀郡 -凤岭南,4室2厅 | 109.49平米 | 北 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 14天以前发布,139,"12,696元/平"
业主急卖 4房楼中楼 带大露台 价格可议,翠湖新城南区 -五一路,4室2厅 | 142平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,92,"6,479元/平"
地铁口现房，拎包入住，随时约看，,西建冠城世家 -五一路,4室2厅 | 122.39平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,113,"9,233元/平"
远辰山水1号 看青山 视野很好 边套 采光很好,远辰·山水一号 -东盟商务区,3室1厅 | 158.77平米 | 南 | 精装 | 中楼层(共10层)  | 塔楼,3人关注 / 4个月以前发布,320,"20,155元/平"
万科金域中央精装127平大四房出售,万科金域中央 -玉洞,4室2厅 | 127平米 | 南 | 精装 | 中楼层(共44层)  | 塔楼,1人关注 / 4个月以前发布,195,"15,355元/平"
一号线地铁口，精装舒适楼中楼。,锦绣花园 -星湖,4室2厅 | 219.01平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,4人关注 / 一年前发布,346,"15,799元/平"
盛湖悦景 4室2厅 东,盛湖悦景 -龙岗,4室2厅 | 111平米 | 东 | 精装 | 低楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,108,"9,730元/平"
五象核总部基地 双地铁线 宜居小区 雪铁商,云星钱隆首府 -五象核心区,4室2厅 | 128.33平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,1人关注 / 5个月以前发布,190,"14,806元/平"
：楼中楼    户型方正   南北通透   采光好无遮挡,龙光普罗旺斯薰衣草 -经开区,4室2厅 | 110平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,130,"11,819元/平"
此房格局好，中间楼层，采光充足，通风好，近地铁。,天誉花园5组团 -五象文旅,4室2厅 | 123.57平米 | 北 | 简装 | 中楼层(共42层)  | 板塔结合,2人关注 / 一年前发布,120,"9,712元/平"
天誉花园5组团 4室2厅 北,天誉花园5组团 -五象文旅,4室2厅 | 124.3平米 | 北 | 简装 | 高楼层(共42层)  | 板塔结合,1人关注 / 8个月以前发布,126,"10,137元/平"
翡翠园二期琮玉阁精装标准4房出售,中房翡翠园二期 -琅东,4室2厅 | 128.04平米 | 西南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 3个月以前发布,171,"13,356元/平"
精装4房，动静分离，总部基地，邕江边，地铁口,澜湾九里二期 -五象核心区,4室2厅 | 134.3平米 | 南 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 6个月以前发布,185,"13,776元/平"
巴黎香醍 4室2厅 南,巴黎香醍 -经开区,4室2厅 | 111.36平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,1人关注 / 4个月以前发布,153,"13,740元/平"
绿地中央广场 独门独户 4房3卫 双主卧,绿地中央广场 -青秀万达,4室2厅 | 167.66平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,4人关注 / 9个月以前发布,380,"22,665元/平"
万达茂御江国际 5房 精装修 带家电家具 急售,万达茂·御江国际 -五象文旅,5室2厅 | 139.2平米 | 南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,160,"11,495元/平"
满五不唯一，无欠款，大四房采光通风充足,广西壮族自治区戏剧京剧团大院 -东沟岭,4室2厅 | 143.78平米 | 西北 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,150,"10,433元/平"
白沙大道 金沙湾花园 4房楼中楼207平 精装 带露台,金沙湾花园 -白沙星光,5室2厅 | 207.12平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,170,"8,208元/平"
凯悦国际 高层安静四房 南北通透看公园 急售,凯悦国际 -东盟商务区,4室2厅 | 175.19平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,350,"19,979元/平"
融创九棠府 4室2厅 南,融创九棠府 -五象湖,4室2厅 | 116.49平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,150,"12,877元/平"
户型好 地段好 采光好 楼层好 业主诚心卖,耀凯凤岭1号 -东盟商务区,3室2厅 | 121.8平米 | 南 北 | 精装 | 高楼层(共24层)  | 塔楼,4人关注 / 3个月以前发布,231,"18,966元/平"
户型朝南，视野好，高楼层视野好，装修漂亮,保利·领秀前城青秀郡 -凤岭南,4室2厅 | 103.62平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,150,"14,476元/平"
东风路地铁站800米，秀田，全新精装四房,中南紫云集（南区） -玉洞,4室2厅 | 113.97平米 | 南 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 11个月以前发布,130,"11,407元/平"
户型朝南，视野好，高楼层视野好，装修漂亮,保利·领秀前城青秀郡 -凤岭南,4室2厅 | 103.62平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,150,"14,476元/平"
户型好 地段好 采光好 楼层好 业主诚心卖,耀凯凤岭1号 -东盟商务区,3室2厅 | 121.8平米 | 南 北 | 精装 | 高楼层(共24层)  | 塔楼,4人关注 / 3个月以前发布,231,"18,966元/平"
融创九棠府 4室2厅 南,融创九棠府 -五象湖,4室2厅 | 116.49平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,150,"12,877元/平"
地处万象城商圈，价格合理，看房方便，业主诚心出售,龙盘小区 -东盟商务区,5室2厅 | 214.21平米 | 南 北 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 一年前发布,400,"18,674元/平"
凯悦国际 高层安静四房 南北通透看公园 急售,凯悦国际 -东盟商务区,4室2厅 | 175.19平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,350,"19,979元/平"
精装修  拎包入住  业主诚意出售,保利21世家 -东盟商务区,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共23层)  | 板塔结合,0人关注 / 4个月以前发布,215,"18,696元/平"
邕江边舒适楼中楼  给你温馨舒适的家,景江园 -白沙星光,4室2厅 | 179.24平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,14人关注 / 一年前发布,178,"9,931元/平"
华润置地悦年华·润府 4室2厅 南 北,华润置地悦年华·润府 -五象湖,4室2厅 | 127.34平米 | 南 北 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,168,"13,194元/平"
青秀万达广场，万达公馆高净值大四房,万达公馆 -青秀万达,4室2厅 | 300.41平米 | 东南 | 精装 | 高楼层(共60层)  | 板塔结合,2人关注 / 一年前发布,600,"19,973元/平"
错层精装四房  业主诚心出售  配套齐全,光明城市行知苑 -五象湖,4室2厅 | 131.28平米 | 东南 南 | 精装 | 高楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,130,"9,903元/平"
业主诚心出售 毛坯4房 低楼层的,荣和邕江悦府 -相思湖,4室1厅 | 141.85平米 | 南 | 毛坯 | 低楼层(共31层)  | 暂无数据,0人关注 / 3个月以前发布,150,"10,575元/平"
地铁2号线 业主急卖 朝南 有入户花园,锦绣江南 -白沙星光,3室2厅 | 127.81平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,5人关注 / 5个月以前发布,85,"6,651元/平"
恒大苹果园四房两厅两卫带有100平大露台，自住装修,恒大苹果园·东方诗韵 -琅东,4室2厅 | 154.11平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,140,"9,085元/平"
荣和大地二组团精装四房两厅两卫  视野好看房提前电话,荣和大地二组团 -凤岭北,3室2厅 | 114.54平米 | 东南 南 | 精装 | 中楼层(共34层)  | 板塔结合,1人关注 / 7个月以前发布,220,"19,208元/平"
汇东星城5房，双地铁口，拎包入住，生活配套齐全,汇东星城 -经开区,5室2厅 | 132.81平米 | 南 | 精装 | 低楼层(共22层)  | 板塔结合,6人关注 / 8个月以前发布,120,"9,036元/平"
嘉和城白鹭北城毛坯4房，无遮挡，视野好，看房方便。,白鹭北城白鹭郡 -兴宁东,4室2厅 | 99平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 8个月以前发布,73,"7,374元/平"
青秀区大观天下，标准四房出售，南北对流,民发大观天下 -柳沙,4室2厅 | 140.12平米 | 东南 | 简装 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,135,"9,635元/平"
电梯房 和美春天 南北对流 车位和杂物间随房 有大露台,和美春天 -琅东,6室2厅 | 241.79平米 | 东南 | 精装 | 高楼层(共8层)  | 板塔结合,13人关注 / 11个月以前发布,240,"9,926元/平"
小区中间好楼栋 好楼层  全景青山视野 南北对流，,远辰·山水一号 -东盟商务区,4室2厅 | 170.86平米 | 东南 | 精装 | 中楼层(共11层)  | 塔楼,2人关注 / 5个月以前发布,352.28,"20,619元/平"
万正假日风景 3室2厅 南 北,万正假日风景 -仙葫,3室2厅 | 125.75平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,0人关注 / 1个月以前发布,88,"6,999元/平"
洋房 毛坯四房 户型方正采光好,海普四季绿城 -兴宁东,4室2厅 | 113.73平米 | 南 | 毛坯 | 中楼层(共9层)  | 板楼,0人关注 / 一年前发布,111.5,"9,804元/平"
广源国际社区 精装四房 南北朝向 视野开阔，,广源国际社区 -东盟商务区,4室2厅 | 140.87平米 | 东南 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 30天以前发布,250,"17,747元/平"
五象新区天誉花园139平五房带装修出售,天誉花园5组团 -五象文旅,5室2厅 | 139平米 | 东南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 7个月以前发布,152,"10,936元/平"
邕江旁 半岛融园二期东岸四房出售 朝南 出行方便,半岛融园小区 -柳沙,4室2厅 | 142.03平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 11个月以前发布,155.8,"10,970元/平"
恒大苹果园楼中楼 大露台 精装修,恒大苹果园·东方诗韵 -琅东,5室2厅 | 222.04平米 | 南 | 精装 | 高楼层(共22层)  | 板塔结合,0人关注 / 3个月以前发布,199.84,"9,001元/平"
使用面积306㎡，价格含2个产权车位，1梯1户，楼皇位置,维也纳森林 -凤岭北,6室3厅 | 267.6平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,4人关注 / 10个月以前发布,380,"14,201元/平"
五象东 龙岗丽景湾 双阳台 精装大5房 有证 满2年 急售,阳光城丽景湾 -龙岗,5室2厅 | 145平米 | 南 北 | 精装 | 中楼层(共30层)  | 板楼,0人关注 / 2个月以前发布,160,"11,035元/平"
旭辉湖山樾 4房诚心出售 户型方正,旭辉湖山樾 -五象湖,4室2厅 | 135.01平米 | 北 | 其他 | 高楼层(共20层)  | 塔楼,3人关注 / 一年前发布,210,"15,555元/平"
江景房 大平层 1梯一户 单价亲民,骋望怡璟湾 -石埠,4室2厅 | 197.34平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,125,"6,335元/平"
江景房 大平层 1梯一户 单价亲民,骋望怡璟湾 -石埠,4室2厅 | 197.34平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,125,"6,335元/平"
急售！80万嚎装 好楼栋 好楼层 好户型 看房方便,凯悦国际 -东盟商务区,3室2厅 | 144.92平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,2人关注 / 3个月以前发布,259,"17,872元/平"
柳沙一线江景房，楼下滨江公园，环境优美，景色宜人,华发国宾壹号 -柳沙,5室2厅 | 201.47平米 | 东南 | 毛坯 | 中楼层(共28层)  | 板塔结合,11人关注 / 6个月以前发布,400,"19,855元/平"
吾悦广场，那考河湿地公园旁，中海九玺楼中楼,中海九玺 -东沟岭,6室3厅 | 140.64平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,220,"15,643元/平"
英伦十八 三房二厅二卫 业主诚心出售,英伦十八 -凤岭北,3室2厅 | 124平米 | 东 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 8天以前发布,150,"12,097元/平"
建政路广西二轻大院 老式户型 步梯房 环境好 停车方便,广西二轻大院 -东葛路,2室1厅 | 66.25平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,110,"16,604元/平"
新秀公园旁 五号线地铁口 满五唯一 诚心出售价格可谈,振宁.阳光康城 -西大,3室2厅 | 113.49平米 | 南 | 其他 | 中楼层(共11层)  | 塔楼,0人关注 / 18天以前发布,85,"7,490元/平"
云星精装3房2卫，高层采光视野很好，户型好欢迎看房,云星钱隆江南 -白沙星光,3室2厅 | 118.98平米 | 东南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 14天以前发布,120,"10,086元/平"
一梯一户7层小洋房 中间楼层 通风采光好,中铁交通天地明珠 -龙岗,5室2厅 | 189平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,248,"13,122元/平"
半岛香格里拉 3室2厅 东南,半岛香格里拉 -柳沙,3室2厅 | 137平米 | 东南 | 其他 | 低楼层(共17层)  | 板塔结合,0人关注 / 30天以前发布,116,"8,468元/平"
3个阳台 户型通透 看房方便 中层毛坯,南航翔宇花园 -经开区,4室2厅 | 141平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,130,"9,220元/平"
房子端正 视野宽阔  采光好 通风好 电梯,汇东星城 -经开区,4室2厅 | 132.8平米 | 东南 | 其他 | 低楼层(共22层)  | 板塔结合,0人关注 / 23天以前发布,132,"9,940元/平"
精装四房 方正实用 小区园林好 配套齐全 诚心急卖,恒大绿洲 -大沙田,4室2厅 | 139.56平米 | 南 北 | 其他 | 低楼层(共28层)  | 塔楼,1人关注 / 31天以前发布,109,"7,811元/平"
五象湖！旭辉湖山樾！135平精装四房,旭辉湖山樾 -五象湖,4室1厅 | 136平米 | 南 北 | 其他 | 中楼层(共29层)  | 塔楼,0人关注 / 28天以前发布,199.9,"14,699元/平"
万象城旁 盛天华府 安静大4房 楼栋位置好 近地铁口,盛天华府 -东盟商务区,4室2厅 | 119.14平米 | 东南 | 其他 | 低楼层(共28层)  | 塔楼,0人关注 / 23天以前发布,261,"21,908元/平"
高楼层江景房  带车位出售 有公立幼儿园,招商雍景湾 -柳沙,5室2厅 | 176平米 | 南 | 精装 | 高楼层(共37层)  | 板塔结合,0人关注 / 19天以前发布,350,"19,887元/平"
保利秀程府 全新装修 128平 210万  高楼层 采光充足,保利领秀前城秀程府 -凤岭南,4室2厅 | 128平米 | 南 | 其他 | 高楼层(共34层)  | 板塔结合,0人关注 / 21天以前发布,205,"16,016元/平"
保利秀程府143平213万 采光充足户型方正 业主诚心出售,保利领秀前城秀程府 -凤岭南,5室2厅 | 143平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 18天以前发布,213,"14,896元/平"
融创九棠府  通透户型   房间方正  随时可看,融创九棠府 -五象湖,4室2厅 | 142平米 | 南 | 其他 | 中楼层(共25层)  | 塔楼,0人关注 / 19天以前发布,170,"11,972元/平"
房子精装，户型方正通透楼层好，视野宽阔采光足配套齐,融创九棠府 -五象湖,4室2厅 | 144平米 | 南 北 | 其他 | 中楼层(共25层)  | 塔楼,0人关注 / 19天以前发布,200,"13,889元/平"
百强企业碧桂园，与南宁（五象湖公园）为伴！,碧桂园天玺湾 -玉洞,4室1厅 | 131.37平米 | 南 北 | 精装 | 中楼层(共31层)  | 塔楼,0人关注 / 19天以前发布,170,"12,941元/平"
天誉花园5组团 4室2厅 南,天誉花园5组团 -五象文旅,4室2厅 | 144.5平米 | 南 | 其他 | 中楼层(共30层)  | 板塔结合,0人关注 / 27天以前发布,138,"9,551元/平"
保利秀程府 100平 144万 采光充足 业主诚心出售可看房,保利领秀前城秀程府 -凤岭南,4室2厅 | 100平米 | 北 | 其他 | 低楼层(共33层)  | 板塔结合,0人关注 / 22天以前发布,143.8,"14,380元/平"
房型方正，采光好，楼层视野好，交通便利。,融创九棠府 -五象湖,4室2厅 | 132平米 | 南 北 | 其他 | 低楼层(共22层)  | 板楼,0人关注 / 26天以前发布,160,"12,122元/平"
良庆大桥南 精装4房 南北通透 3阳台,檀府印象（檀熙） -五象湖,4室2厅 | 118平米 | 南 北 | 精装 | 中楼层(共30层)  | 塔楼,0人关注 / 28天以前发布,130,"11,017元/平"
保利冠江墅 房源196平580万一线江景 业主诚心出售,保利冠江墅 -凤岭南,4室2厅 | 196平米 | 南 | 其他 | 高楼层(共43层)  | 暂无数据,0人关注 / 26天以前发布,583,"29,745元/平"
阳台开阔，视野好，采光好，得房高。,龙光·玖誉湖 -五象文旅,4室2厅 | 118平米 | 南 | 其他 | 低楼层(共33层)  | 塔楼,0人关注 / 16天以前发布,137,"11,611元/平"
布洛可107平四房  户型方正  三面采光通透,布洛可一区 -兴宁东,4室2厅 | 107平米 | 南 | 其他 | 中楼层(共32层)  | 塔楼,0人关注 / 15天以前发布,78,"7,290元/平"
保利冠江墅 175平 520万 全线江景 无任何遮挡 可看房,保利冠江墅 -凤岭南,4室2厅 | 175平米 | 南 | 其他 | 高楼层(共43层)  | 暂无数据,1人关注 / 26天以前发布,520,"29,715元/平"
融创九棠府 精装四房 未入住 看房方便,融创九棠府 -五象湖,4室2厅 | 131平米 | 南 | 其他 | 低楼层(共24层)  | 板塔结合,0人关注 / 28天以前发布,148,"11,298元/平"
毛坯4房，中高楼层，业主急卖，随时看房,汇东星世界二期 -经开区,4室2厅 | 108.69平米 | 南 | 毛坯 | 高楼层(共34层)  | 塔楼,0人关注 / 17天以前发布,92,"8,465元/平"
天誉花园 毛坯3房  高层 采光好,天誉花园3组团 -五象文旅,3室2厅 | 85平米 | 西南 | 毛坯 | 高楼层(共40层)  | 板塔结合,0人关注 / 18天以前发布,88,"10,353元/平"
临江低密高层  毛坯3房 有证 业主急售看房方便,龙光·天曜 -仙葫,3室1厅 | 99平米 | 南 北 | 毛坯 | 低楼层(共20层)  | 塔楼,0人关注 / 14天以前发布,135,"13,637元/平"
一梯两户，户型方正，南北通透，通风采光好，交通便利,江南新兴苑 -五一路,2室2厅 | 77.8平米 | 南 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 8天以前发布,68,"8,741元/平"
总部基地三房半装修+采光好+低楼层,沁园 -五象核心区,3室2厅 | 101.58平米 | 南 | 毛坯 | 低楼层(共19层)  | 暂无数据,0人关注 / 15天以前发布,122,"12,011元/平"
丽景湾毛坯小高层，小区环境好，舒适度高,阳光城丽景湾 -龙岗,2室1厅 | 175平米 | 南 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 17天以前发布,201,"11,486元/平"
华发未来荟 4室2厅 南,华发未来荟 -心圩区,4室2厅 | 101平米 | 南 | 精装 | 高楼层(共31层)  | 板楼,0人关注 / 16天以前发布,115,"11,387元/平"
彰泰新旺角！一个住起来开心的地方,彰泰新旺角 -经开区,3室2厅 | 85平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,0人关注 / 6天以前发布,94.5,"11,118元/平"
轨道壹号城 3室2厅 南,轨道壹号城 -凤岭北,3室2厅 | 110.09平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 15天以前发布,165,"14,988元/平"
万达茂商圈 民族中 学旁 户型方正 中高楼层采光通风好,大唐果(邕宁区) -龙岗,4室2厅 | 92.02平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,2人关注 / 8个月以前发布,90,"9,781元/平"
五象龙岗精装3房，小区环境好，业主诚心出售,合景·天峻广场 -龙岗,4室2厅 | 119.61平米 | 南 | 精装 | 低楼层(共21层)  | 塔楼,0人关注 / 一年前发布,126,"10,535元/平"
品质小区，盛天华府，中间楼层三房，楼层高，采光好。,盛天华府 -东盟商务区,3室2厅 | 86.79平米 | 东 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,200,"23,045元/平"
金科观天下A区 4室1厅 南,金科观天下A区 -石埠,4室1厅 | 122平米 | 南 | 精装 | 低楼层(共30层)  | 暂无数据,3人关注 / 5个月以前发布,110,"9,017元/平"
85万急售  6房4厅 满五唯一双层复式,天健西班牙小镇 -沙井,6室4厅 | 80.38平米 | 南 | 毛坯 | 高楼层(共28层)  | 板塔结合,5人关注 / 一年前发布,85,"10,575元/平"
江南区大转盘西园饭店旁，地段成熟，配套齐全,银兴小区 -白沙星光,3室2厅 | 145.62平米 | 北 | 精装 | 中楼层(共8层)  | 塔楼,0人关注 / 5个月以前发布,120,"8,241元/平"
此房急售看房方便，全新未入住，配有4台空调,新城悦隽风华 -龙岗,3室2厅 | 99.53平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,110,"11,052元/平"
金湖广场 电梯2房 40万装修 看房方便 配套齐全,琅园锦绣前程 -金湖,2室1厅 | 86.61平米 | 东南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 10个月以前发布,119,"13,740元/平"
驰程天拓 4室1厅 南,驰程天拓 -石埠,4室1厅 | 125.08平米 | 南 | 精装 | 中楼层(共20层)  | 塔楼,4人关注 / 7个月以前发布,100,"7,995元/平"
碧水天和B区 3室2厅 南,碧水天和B区 -五象核心区,3室2厅 | 96.38平米 | 南 | 其他 | 高楼层(共31层)  | 塔楼,4人关注 / 7个月以前发布,120,"12,451元/平"
江南经开区 汇东星世界一期 地铁口 业主诚信售房,汇东星世界一期 -经开区,4室1厅 | 88.89平米 | 南 | 毛坯 | 中楼层(共34层)  | 塔楼,3人关注 / 一年前发布,92,"10,350元/平"
江湾邕江畔，大平层，精装拎包入住，满五,中铁江湾山语城 -龙岗,4室2厅 | 150.61平米 | 南 | 精装 | 5层  | 塔楼,0人关注 / 一年前发布,210,"13,944元/平"
龙胤凤凰城 3室2厅 南,龙胤凤凰城 -仙葫,3室2厅 | 119.04平米 | 南 | 精装 | 高楼层(共11层)  | 板塔结合,3人关注 / 8个月以前发布,98,"8,233元/平"
毛坯楼中楼带车位 业主好说话 随时看房,凤祥名居 -仙葫,6室2厅 | 217.71平米 | 东南 | 毛坯 | 高楼层(共29层)  | 板塔结合,4人关注 / 6个月以前发布,180,"8,268元/平"
荣和山水美地3组团自由湾  一梯两户   精装修,荣和山水美地3组团自由湾 -凤岭北,3室2厅 | 117.7平米 | 东南 | 精装 | 中楼层(共6层)  | 塔楼,2人关注 / 一年前发布,170,"14,444元/平"
花园式小区，采光好，视野广阔。,光明·澜湾九里 -五象核心区,3室2厅 | 89平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,6人关注 / 一年前发布,102,"11,461元/平"
金湖广场 滨湖路 琅东十四   单位电梯三房 业主诚售,金州园 -金湖,3室1厅 | 94.6平米 | 东南 南 | 精装 | 中楼层(共26层)  | 板塔结合,2人关注 / 6个月以前发布,210,"22,199元/平"
五象新区毛坯三房诚心出售，无欠款有证 交易安全,天誉花园3组团 -五象文旅,3室2厅 | 91.08平米 | 南 | 毛坯 | 高楼层(共42层)  | 板塔结合,3人关注 / 一年前发布,80,"8,784元/平"
凤岭南成熟社区，满五精装修，产权清晰，业主诚心出售,恒大苹果园·东方诗韵 -琅东,3室2厅 | 129.29平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,2人关注 / 一年前发布,130,"10,055元/平"
青秀区，东盟商务区，航洋旁，凤岭北，免个税，位置好,升禾·绿城世界 -凤岭北,3室2厅 | 113.71平米 | 南 北 | 精装 | 中楼层(共17层)  | 板塔结合,17人关注 / 一年前发布,165,"14,511元/平"
怡佳花园 4室2厅 南,怡佳花园 -凤岭北,4室2厅 | 158.54平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,1人关注 / 4个月以前发布,223,"14,066元/平"
中铁建物业，凤岭山语城，滨湖路全新，价格可议,凤岭山语城 -凤岭北,2室1厅 | 73.49平米 | 南 | 精装 | 中楼层(共34层)  | 塔楼,1人关注 / 4个月以前发布,105,"14,288元/平"
新希望电梯小四房，证件齐全，装修保养好，拎包入住,新希望锦官城 -经开区,4室2厅 | 113.56平米 | 东南 | 精装 | 低楼层(共33层)  | 平房,23人关注 / 一年前发布,125,"11,008元/平"
园湖南路，单位房，电梯大4房，独立车位杂物房逸夫+14,园湖南路34号 -东葛路,4室1厅 | 140.15平米 | 南 北 | 简装 | 中楼层(共7层)  | 塔楼,2人关注 / 6个月以前发布,188,"13,415元/平"
生活配套设施成熟 楼层低 户型方正 交通便利,伟业小区 -东葛路,4室2厅 | 148.6平米 | 南 | 精装 | 高楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,119,"8,009元/平"
地铁口两百米，菜市场一百米，单价低,幸福华府2+1 -玉洞,3室2厅 | 89.57平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,85,"9,490元/平"
滨湖路，柳沙半岛 精美大2房 近邕江，朝南看小区,华发国宾壹号 -柳沙,2室1厅 | 76.19平米 | 东南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,115,"15,094元/平"
西乡塘区 骋望壹品峯92平精装3房 江景房 急售,骋望壹品峯 -石埠,3室2厅 | 92.71平米 | 南 | 精装 | 低楼层(共33层)  | 暂无数据,3人关注 / 一年前发布,86,"9,277元/平"
楼下就是3号线地铁口，户型方正，业主急卖！,金源一品江山 -东沟岭,4室2厅 | 138平米 | 东南 南 北 | 精装 | 高楼层(共49层)  | 暂无数据,0人关注 / 2个月以前发布,150,"10,870元/平"
西大商圈，楼下即是地铁，商 业配套完善,世贸西城 -西大,3室2厅 | 106.07平米 | 北 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 2个月以前发布,105,"9,900元/平"
玖珑府 三房两室 户型方正 采光好 地铁口 红本在手,龙光玖珑府 -经开区,3室2厅 | 95.05平米 | 南 北 | 精装 | 高楼层(共40层)  | 板楼,1人关注 / 一年前发布,110,"11,573元/平"
青秀航洋商圈，户型朝南，采光充足，闹中有静,春晖花园C区 -凤岭北,5室2厅 | 142.44平米 | 南 北 | 精装 | 低楼层(共12层)  | 板塔结合,4人关注 / 一年前发布,170,"11,935元/平"
精装三房，楼下地铁口，出行便利,恒大翡翠华庭 -经开区,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 1个月以前发布,118,"10,443元/平"
民族大道凤岭北 财富国际广场 精装3房  满五年唯一,财富国际广场C区 -凤岭北,3室2厅 | 135.46平米 | 南 | 精装 | 中楼层(共23层)  | 塔楼,2人关注 / 一年前发布,181,"13,362元/平"
房子户型方正花园小区人车分流，生活都很方便适合养老,八桂凤凰城凤翔园 -经开区,3室2厅 | 120.04平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,9人关注 / 一年前发布,62,"5,165元/平"
海普四季绿城 4室2厅 西南,海普四季绿城 -兴宁东,4室2厅 | 111.05平米 | 西南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 7个月以前发布,100,"9,005元/平"
航洋商圈 凤景湾精装四房 全屋硅藻泥 看房方便,凤景湾 -凤岭北,4室2厅 | 132.56平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,22人关注 / 一年前发布,250,"18,860元/平"
高楼层，户型朝南，采光良好，可以看湖景加上万科物业,万科金域中央 -玉洞,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共51层)  | 板楼,1人关注 / 一年前发布,155,"15,500元/平"
