标题,开发商,房子信息,发布信息,售价/万,单价
视野好，采光好，户型方正，配套设施齐全，交通便利,东海岸 -河东北区,4室2厅 | 120.2平米 | 西南 | 精装 | 低楼层(共28层)  | 塔楼,10人关注 / 10个月以前发布,96,"7,987元/平"
远离城市的喧嚣 品质小区  户型方正 采光好居住舒适,置信仁湖花园1期 -蓬溪县,3室2厅 | 90.32平米 | 东 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,58,"6,422元/平"
川教宿舍大三房出售，产权满2年，单位房有物管。,川教家属院宿舍 -市中区,3室2厅 | 129.46平米 | 西北 | 简装 | 中楼层(共8层)  | 暂无数据,2人关注 / 8个月以前发布,69.8,"5,392元/平"
金桥天鹅湖 小区环境好 户型方正 居住舒适,天鹅湖3期 -蓬溪县,4室2厅 | 110平米 | 北 | 其他 | 低楼层(共34层)  | 暂无数据,1人关注 / 9个月以前发布,36,"3,273元/平"
老城依山美郡电梯三房双卫，中间楼层，新婚房出售,依山美郡 -大英县,3室2厅 | 87平米 | 东南 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 10个月以前发布,62.8,"7,219元/平"
此房满两年  交通方便  拎包入住,高升街派出所宿舍 -市中区,3室2厅 | 106平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,60.8,"5,736元/平"
水都豪庭精装大三房双卫江景诚心出售,南瑞水都豪庭 -北门区,3室2厅 | 118平米 | 西 | 精装 | 高楼层(共24层)  | 暂无数据,1人关注 / 8个月以前发布,89,"7,543元/平"
龙腾玺院 3室2厅 南,龙腾玺院 -大英县,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,1人关注 / 4个月以前发布,61.8,"6,372元/平"
阳光丽城三室两厅一卫户型方正光线充足视野开阔大阳台,阳光丽城 -大英县,3室2厅 | 84平米 | 东南 西南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,49.8,"5,929元/平"
交通便利 小区环境干净舒适 适合居住,万象国际 -大英县,3室2厅 | 76.36平米 | 东南 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 一年前发布,56.8,"7,439元/平"
：配套齐全，新区新楼，配套足球场.户型方正，采光好,碧桂园中环壹号 -物流港区,3室2厅 | 92平米 | 东南 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 11个月以前发布,59.8,"6,500元/平"
城市春天2期 3室2厅 东南,城市春天2期 -大英县,3室2厅 | 82.84平米 | 东南 | 毛坯 | 中楼层(共25层)  | 塔楼,3人关注 / 一年前发布,42,"5,071元/平"
天鹅湖电梯现房 户型方正 价格优惠,天鹅湖3期 -蓬溪县,3室2厅 | 92.65平米 | 北 | 毛坯 | 低楼层(共34层)  | 暂无数据,1人关注 / 11个月以前发布,33.8,"3,649元/平"
大英碧桂园 4室2厅 南 北,大英碧桂园 -大英县,4室2厅 | 130平米 | 南 北 | 其他 | 低楼层(共27层)  | 塔楼,0人关注 / 3个月以前发布,98,"7,539元/平"
户型好，设计方正，业主诚心卖价格可谈。,天鹅湖3期 -蓬溪县,3室2厅 | 105平米 | 东南 | 毛坯 | 中楼层(共34层)  | 暂无数据,3人关注 / 一年前发布,35,"3,334元/平"
此小区环境优雅舒适，邻里和谐 采光好，动静分区，,悦城南区 -物流港区,3室2厅 | 99.45平米 | 东 东南 南 | 毛坯 | 中楼层(共20层)  | 暂无数据,9人关注 / 一年前发布,50,"5,028元/平"
书香尚品小区交通便利 小区环境干净舒适 适合居住,书香尚品 -大英县,3室2厅 | 135平米 | 南 | 精装 | 高楼层(共7层)  | 平房,5人关注 / 一年前发布,55.8,"4,134元/平"
单价4000多，高新区电梯3房，有物业停车方便，公园旁,七里桥小区 -物流港区,3室2厅 | 107平米 | 东 | 毛坯 | 中楼层(共24层)  | 暂无数据,4人关注 / 一年前发布,46,"4,300元/平"
房子新装修，暂时还没主人。。。。,南滨帝景B区 -南门区,3室2厅 | 91.79平米 | 东南 | 简装 | 低楼层(共27层)  | 板塔结合,2人关注 / 10个月以前发布,81.8,"8,912元/平"
大英高中旁，有大平台，电梯好楼层,金东加州湾 -大英县,3室2厅 | 93平米 | 南 | 精装 | 低楼层(共24层)  | 暂无数据,3人关注 / 一年前发布,59.8,"6,431元/平"
房子户型方正 采光通透 正宗4房户型,南瑞水都豪庭 -北门区,4室2厅 | 134平米 | 东南 | 简装 | 高楼层(共24层)  | 塔楼,3人关注 / 11个月以前发布,93.8,"7,000元/平"
祥福居，三房两厅双卫，大阳台，新改造小区。,祥福居 -大英县,3室2厅 | 108平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 9个月以前发布,42,"3,889元/平"
品牌开发商 涪江边上，环境优美，出门公交站,天鹅湖3期 -蓬溪县,4室2厅 | 110.83平米 | 东 | 毛坯 | 低楼层(共34层)  | 暂无数据,0人关注 / 2个月以前发布,42,"3,790元/平"
房屋座北朝南通透，采光充足，户型方正,遂宁市司法局宿舍 -市中区,2室1厅 | 79平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,32.6,"4,127元/平"
月山村套三双卫环境优美出行方便,月山村小区 -物流港区,3室2厅 | 104.5平米 | 西北 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 6个月以前发布,39,"3,733元/平"
米市街28号 3室2厅 东,米市街28号 -市中区,3室2厅 | 134.98平米 | 东 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,50.8,"3,764元/平"
清水电梯房，想怎么装就怎么装老人小孩出行方便。,城市春天2期 -大英县,3室2厅 | 82.84平米 | 东南 | 毛坯 | 中楼层(共25层)  | 塔楼,5人关注 / 一年前发布,42,"5,071元/平"
电梯中间楼层，停车方便，单价4000多,仁和西苑 -物流港区,3室2厅 | 131平米 | 东 | 毛坯 | 高楼层(共10层)  | 板塔结合,1人关注 / 9个月以前发布,53,"4,046元/平"
林业局宿舍 3室2厅 东,林业局宿舍 -市中区,3室2厅 | 136平米 | 东 | 其他 | 中楼层(共9层)  | 板楼,1人关注 / 一年前发布,58,"4,265元/平"
此房户型方正，采光好......,金色海岸 -北门区,3室2厅 | 132.65平米 | 东南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,65,"4,901元/平"
物流港住宅电梯房，单价四千，欲购从速！,广华再生城 -物流港区,3室2厅 | 116.66平米 | 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,42.6,"3,652元/平"
河东现房 三室两卫   通体大阳台  正朝小区中间,正黄金域香江 -射洪县,3室2厅 | 98平米 | 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,1人关注 / 8个月以前发布,52,"5,307元/平"
交通便利，户型方正，有小区物管，可停大小车,体委宿舍 -市中区,3室2厅 | 87平米 | 东 | 其他 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,45,"5,173元/平"
城市春天1期 2室2厅 东南,城市春天1期 -大英县,2室2厅 | 86.72平米 | 东南 | 简装 | 中楼层(共7层)  | 塔楼,1人关注 / 10个月以前发布,43.8,"5,051元/平"
富安小区3楼，精装套三，可拎包入住，闹中取静,富安小区 -西山路区,3室2厅 | 105平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,53,"5,048元/平"
伊山郡别墅小区独栋别墅  带300平米私家花园 带双车库,高金伊山郡 -物流港区,5室3厅 | 555平米 | 东南 | 毛坯 | 4层  | 暂无数据 | 独栋别墅 ,0人关注 / 一年前发布,660.8,"11,907元/平"
商务区 高升街 大3室出售 有物管 可停车,高升苑 -市中区,4室2厅 | 164平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,74.5,"4,543元/平"
市中区精装优质温馨两房，配套成熟,和平西路114号 -市中区,2室1厅 | 67.4平米 | 西北 | 其他 | 低楼层(共7层)  | 暂无数据,2人关注 / 8个月以前发布,37.89,"5,622元/平"
德馨警苑 3室2厅 东,德馨警苑 -大英县,3室2厅 | 105.5平米 | 东 | 毛坯 | 低楼层(共22层)  | 暂无数据,0人关注 / 3个月以前发布,69.8,"6,617元/平"
蓝图御府精品房房东诚心出售，有大阳台，全屋成色新,蓝图御府 -大英县,3室2厅 | 104平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,53.8,"5,174元/平"
华翔城电梯4房，户型实用，配套齐全,华翔城六组团 -物流港区,4室2厅 | 114平米 | 南 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 7个月以前发布,70.8,"6,211元/平"
户型采光通透、 低密度景观庭院、业主诚心出售,天鹅湖3期 -蓬溪县,4室2厅 | 112平米 | 东南 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 4个月以前发布,53.8,"4,804元/平"
金帝花园隔壁，步梯3楼精装3室2厅1卫,遂州中路366号 -市中区,3室2厅 | 93.4平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,52.8,"5,654元/平"
金桥新区 天鹅堡 精装2室 业主诚心出售 随时可看房,优筑天鹅堡 -蓬溪县,2室2厅 | 67平米 | 东 | 精装 | 低楼层(共16层)  | 暂无数据,0人关注 / 9个月以前发布,40,"5,971元/平"
南门优质小区！房东诚心急售！！！价格可谈！！！,置信仁湖花园七期 -蓬溪县,3室2厅 | 87.38平米 | 东 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 一年前发布,30.8,"3,525元/平"
尚林美景装修大四房 户型方正 采光舒适,尚林美景 -物流港区,4室2厅 | 129.77平米 | 西北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,56.8,"4,377元/平"
金港国际3-2-1-2 108.00m² 85 万,金港国际 -市中区,3室2厅 | 108平米 | 东南 | 简装 | 中楼层(共28层)  | 塔楼,0人关注 / 8个月以前发布,85,"7,871元/平"
带平台一层楼一套产权两套房分别是一室一厅和两室一厅,金泽蜀都园 -北门区,3室3厅 | 132.2平米 | 东南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,46,"3,480元/平"
商务区  高升街    有小区,顺城街134号 -市中区,3室2厅 | 105平米 | 东南 | 其他 | 低楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,64,"6,096元/平"
月山村小区 2室2厅 东,月山村小区 -物流港区,2室2厅 | 71平米 | 东 | 其他 | 中楼层(共30层)  | 暂无数据,0人关注 / 7个月以前发布,26,"3,662元/平"
四十多万买现浇三房，现房哦，现房哦，现房哦,月山村小区 -物流港区,3室2厅 | 96.41平米 | 南 | 毛坯 | 高楼层(共19层)  | 暂无数据,0人关注 / 11个月以前发布,40.5,"4,201元/平"
正安上品尚城 3室2厅 东南,正安上品尚城 -大英县,3室2厅 | 114平米 | 东南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,70,"6,141元/平"
急售 纯别墅 端头户型 带花园 买两层带两层,高金伊山郡 -物流港区,5室3厅 | 197平米 | 东南 | 毛坯 | 下叠(共4层)  | 板塔结合 | 叠拼别墅 ,3人关注 / 7个月以前发布,140.1,"7,112元/平"
商务区 中装大三室 户型采光*好,紫东街9号 -市中区,3室2厅 | 91平米 | 西南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,38,"4,176元/平"
南门锦绣兰庭  房东急售电梯两房,鼎程锦绣兰庭 -南门区,2室2厅 | 82平米 | 西南 | 其他 | 中楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,52.8,"6,440元/平"
正黄珈蓝谷，四室两厅双卫，房屋明亮,正黄珈蓝谷二三期 -大英县,4室2厅 | 138.92平米 | 南 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,78,"5,615元/平"
宏升物华天宝 3室2厅 南,宏升物华天宝 -大英县,3室2厅 | 110平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 11个月以前发布,76.8,"6,982元/平"
置信仁湖1期现房楼层好户型棒居家优选,置信仁湖花园1期 -蓬溪县,2室2厅 | 84平米 | 北 | 毛坯 | 中楼层(共26层)  | 塔楼,0人关注 / 一年前发布,32,"3,810元/平"
小区环境好，物业负责，交通便利，生活配套设施齐备,华翔·望江山 -物流港区,3室2厅 | 81.78平米 | 东南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,58,"7,093元/平"
品牌开发商 涪江边上，环境优美，朝中庭，采光无遮挡,天鹅湖二期 -蓬溪县,4室2厅 | 111平米 | 西北 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,39.8,"3,586元/平"
东湖丽景舒适电梯三房   看江,东湖丽景 -河东北区,3室2厅 | 111平米 | 东南 | 精装 | 高楼层(共22层)  | 塔楼,0人关注 / 2个月以前发布,128,"11,532元/平"
保利养生谷 3跃4 户型方正 看房方便 不靠山 急售,保利养生谷 -河东南区,4室2厅 | 170平米 | 南 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 5个月以前发布,180,"10,589元/平"
烫金地段 4房朝南北 房型正气 采光视野好  诚意出售,云辰国际 -射洪县,4室2厅 | 133平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 塔楼,0人关注 / 1个月以前发布,74,"5,564元/平"
保利养生谷1跃2叠拼别墅带太花园,保利养生谷 -河东南区,4室2厅 | 175平米 | 西南 | 毛坯 | 低楼层(共4层)  | 暂无数据,0人关注 / 6个月以前发布,205,"11,715元/平"
国际花园  三室两厅双卫 带入户花园  产证齐  可按揭,欣泽国际花园 -射洪县,3室2厅 | 104.42平米 | 西 | 毛坯 | 高楼层(共28层)  | 暂无数据,2人关注 / 9个月以前发布,75,"7,183元/平"
紫云公园旁天亿电梯房三室两厅双卫！,天亿城市之星 -射洪县,3室2厅 | 101平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 5个月以前发布,65,"6,436元/平"
城北维卡国际公馆清水现房朝向好,维卡国际公馆 -射洪县,3室2厅 | 117平米 | 东 | 毛坯 | 高楼层(共30层)  | 塔楼,3人关注 / 11个月以前发布,65,"5,556元/平"
此房电梯中间楼层，精装，带大阳台，正江景房,滨江河畔南区 -射洪县,3室2厅 | 128平米 | 东 | 精装 | 高楼层(共30层)  | 暂无数据,1人关注 / 一年前发布,97.6,"7,625元/平"
河东品质楼盘 毛坯四室2厅3卫光线好,云辰国际 -射洪县,4室2厅 | 133平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,0人关注 / 5个月以前发布,69,"5,188元/平"
苏州园林大小区 首付两成  公摊小 价格可谈,邦泰河东院子 -河东北区,3室2厅 | 104平米 | 东南 西南 | 毛坯 | 中楼层(共10层)  | 暂无数据,8人关注 / 5个月以前发布,96.5,"9,279元/平"
城西 精装两室 电梯 拎包入住,上层境界 -射洪县,2室2厅 | 85平米 | 南 | 精装 | 中楼层(共12层)  | 塔楼,9人关注 / 一年前发布,42,"4,942元/平"
河东 中 央广场 清水三房 随时看房,中央广场 -河东南区,3室2厅 | 97.88平米 | 东北 | 毛坯 | 低楼层(共22层)  | 暂无数据,13人关注 / 一年前发布,68,"6,948元/平"
保利养生谷 5室2厅 东南,保利养生谷 -河东南区,5室2厅 | 171平米 | 东南 | 毛坯 | 低楼层(共4层)  | 塔楼,0人关注 / 一年前发布,208,"12,164元/平"
东海岸 2室2厅 东南,东海岸 -河东北区,2室2厅 | 87平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,63.8,"7,334元/平"
河东清水三房，户型方正采光好，配套完善,兴和·铂金公馆 -河东南区,3室2厅 | 85.7平米 | 东北 | 毛坯 | 中楼层(共29层)  | 塔楼,3人关注 / 11个月以前发布,64.27,"7,500元/平"
城西大小区置兴名苑，现浇房，小区环境好,置兴名苑 -射洪县,3室2厅 | 83平米 | 东 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,43.8,"5,278元/平"
城北现代城，大小区，清水2室，85平，52.8万,凯立现代城 -射洪县,2室2厅 | 84.88平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,2人关注 / 一年前发布,49.8,"5,868元/平"
全款可以更名，视野开阔，小区位置好,帝一江岸 -河东北区,3室2厅 | 91.5平米 | 西南 | 毛坯 | 中楼层(共28层)  | 塔楼,6人关注 / 5个月以前发布,60,"6,558元/平"
保利养生谷 联排别墅  独立花园 小区环境优美,保利养生谷 -河东南区,5室2厅 | 247平米 | 东南 | 毛坯 | 低楼层(共3层)  | 板楼,3人关注 / 一年前发布,309,"12,511元/平"
河东体育馆旁边，毛坯三室双卫出售!,中央广场 -河东南区,3室2厅 | 111平米 | 东南 | 毛坯 | 低楼层(共12层)  | 塔楼,10人关注 / 一年前发布,72,"6,487元/平"
改善大四房，一梯两户，小区环境安静舒适，适合居住,保利养生谷一期洋房 -河东南区,4室2厅 | 135平米 | 东南 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 5个月以前发布,95,"7,038元/平"
云辰国际 3室2厅 南,云辰国际 -射洪县,3室2厅 | 87.33平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,59.6,"6,825元/平"
北门实验学 电梯房 精装单位房小区环境好可停大小车,鸿雁花园小区 -北门区,4室2厅 | 169平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,3人关注 / 11个月以前发布,75.5,"4,468元/平"
保利养生谷，产权满二，带车位出售，钥匙在手，sui,保利养生谷一期洋房 -河东南区,4室2厅 | 134.86平米 | 东南 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 4个月以前发布,90.8,"6,733元/平"
保利养生谷一期洋房 4室2厅 南,保利养生谷一期洋房 -河东南区,4室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共9层)  | 塔楼,0人关注 / 6个月以前发布,86.8,"6,782元/平"
尚城澜庭4房两庭双卫业主诚心出售,尚城澜庭 -河东北区,4室2厅 | 114.3平米 | 东南 | 精装 | 低楼层(共18层)  | 塔楼,2人关注 / 8个月以前发布,155.8,"13,631元/平"
此房满2年，出行方便，户型方正，居住方便舒适,东海岸 -河东北区,4室2厅 | 165.78平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,120,"7,239元/平"
北辰棕榈泉 清水房 3室2厅1厨2卫,北辰棕榈泉 -射洪县,3室2厅 | 114.4平米 | 南 | 其他 | 中楼层(共27层)  | 塔楼,1人关注 / 一年前发布,69.8,"6,102元/平"
城南体育馆 繁华地段  三室清水电梯出售！,聚信广场 -射洪县,3室2厅 | 116平米 | 南 西南 | 毛坯 | 中楼层(共23层)  | 塔楼,0人关注 / 一年前发布,69,"5,949元/平"
保利养生谷 5室2厅 东南,保利养生谷 -河东南区,5室2厅 | 243.63平米 | 东南 | 毛坯 | 低楼层(共4层)  | 塔楼,4人关注 / 一年前发布,265,"10,878元/平"
河东三房 双卫电梯 环境舒适小区,中铁尚城麓苑 -河东北区,3室2厅 | 88平米 | 东南 | 毛坯 | 低楼层(共30层)  | 暂无数据,1人关注 / 10个月以前发布,90,"10,228元/平"
套三单卫+位置安静+视野开阔+客厅带阳台,帝一江岸 -河东北区,3室2厅 | 87平米 | 东南 | 毛坯 | 中楼层(共28层)  | 塔楼,7人关注 / 8个月以前发布,63,"7,242元/平"
城北大小区，电梯洋房，套三双卫清水带车位出售,泰和美邸北区 -射洪县,3室2厅 | 111.44平米 | 北 | 毛坯 | 中楼层(共10层)  | 暂无数据,0人关注 / 3个月以前发布,72.8,"6,533元/平"
灵应寺小区 3室2厅 南,灵应寺小区 -河东南区,3室2厅 | 117.42平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,59.8,"5,093元/平"
证齐未满2年\有钥匙\随时看\户型方正\无浪费.,荣海花间集 -河东北区,2室2厅 | 83平米 | 西南 | 毛坯 | 中楼层(共18层)  | 塔楼,5人关注 / 一年前发布,49.8,"6,000元/平"
河东学苑小区 电梯精装 产权在手 可按揭  房东亲装,学苑小区 -河东南区,2室2厅 | 72平米 | 东 | 精装 | 中楼层(共11层)  | 暂无数据,12人关注 / 一年前发布,52.5,"7,292元/平"
东海岸 装修3房 户型方正 看房方便 业主诚心出售,东海岸 -河东北区,3室2厅 | 107平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 6个月以前发布,69,"6,449元/平"
城北现代城，大小区，清水2室，85平，52.8万,凯立现代城 -射洪县,2室2厅 | 84.88平米 | 东南 | 其他 | 高楼层(共32层)  | 暂无数据,2人关注 / 一年前发布,49.8,"5,868元/平"
保利养生谷 联排别墅  独立花园 小区环境优美,保利养生谷 -河东南区,5室2厅 | 247平米 | 东南 | 毛坯 | 低楼层(共3层)  | 板楼,3人关注 / 一年前发布,309,"12,511元/平"
河东  三室二厅双卫  电梯房 清水,西山美邸 -射洪县,3室2厅 | 127.59平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,40,"3,136元/平"
证齐可按揭、正中庭、中装、看房方便、有钥匙非诚勿扰,翔宇桂苑 -河东南区,3室2厅 | 109.9平米 | 东 | 简装 | 低楼层(共19层)  | 塔楼,1人关注 / 3个月以前发布,75.8,"6,898元/平"
河东体育馆旁边，毛坯三室双卫出售!,中央广场 -河东南区,3室2厅 | 111平米 | 东南 | 毛坯 | 低楼层(共12层)  | 塔楼,10人关注 / 一年前发布,72,"6,487元/平"
改善大四房，一梯两户，小区环境安静舒适，适合居住,保利养生谷一期洋房 -河东南区,4室2厅 | 135平米 | 东南 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 5个月以前发布,95,"7,038元/平"
云辰国际 3室2厅 南,云辰国际 -射洪县,3室2厅 | 87.33平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,59.6,"6,825元/平"
全款可以更名，视野开阔，小区位置好,帝一江岸 -河东北区,3室2厅 | 91.5平米 | 西南 | 毛坯 | 中楼层(共28层)  | 塔楼,6人关注 / 5个月以前发布,60,"6,558元/平"
城西大小区置兴名苑，现浇房，小区环境好,置兴名苑 -射洪县,3室2厅 | 83平米 | 东 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,43.8,"5,278元/平"
卓同旁   联福家园两房    钥匙在手,联福家园一期 -河东北区,3室2厅 | 78.15平米 | 东南 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,60.8,"7,780元/平"
龙腾御景精装温馨二房业主诚心出售,龙腾御锦 -河东南区,2室2厅 | 96平米 | 南 | 简装 | 低楼层(共30层)  | 塔楼,0人关注 / 8个月以前发布,70,"7,292元/平"
正看江 河东新区 套四双卫 房屋方正 四面通透,正黄金域香江 -射洪县,4室2厅 | 116平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,1人关注 / 6个月以前发布,68,"5,863元/平"
凯旋路正规三房 楼下可以停车 图片真实 拎包入住,凯旋下路210号 -南门区,3室2厅 | 91.5平米 | 西南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 7个月以前发布,44.8,"4,897元/平"
业主急卖，户型方正，小区环境优美。,东方明珠 -河东南区,3室2厅 | 138.54平米 | 东南 | 其他 | 高楼层(共27层)  | 塔楼,0人关注 / 4个月以前发布,100,"7,219元/平"
横厅结构+主卧带卫生间+卧室对中庭+位置安静,帝一江岸 -河东北区,3室2厅 | 88平米 | 东南 | 毛坯 | 中楼层(共28层)  | 塔楼,6人关注 / 6个月以前发布,60,"6,819元/平"
套三单卫+位置安静+视野开阔+客厅带阳台,帝一江岸 -河东北区,3室2厅 | 87平米 | 东南 | 毛坯 | 中楼层(共28层)  | 塔楼,7人关注 / 8个月以前发布,63,"7,242元/平"
龙腾御景精装温馨二房业主诚心出售,龙腾御锦 -河东南区,2室2厅 | 96平米 | 南 | 简装 | 低楼层(共30层)  | 塔楼,0人关注 / 8个月以前发布,70,"7,292元/平"
卓同旁   联福家园两房    钥匙在手,联福家园一期 -河东北区,3室2厅 | 78.15平米 | 东南 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,60.8,"7,780元/平"
正看江 河东新区 套四双卫 房屋方正 四面通透,正黄金域香江 -射洪县,4室2厅 | 116平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,1人关注 / 6个月以前发布,68,"5,863元/平"
凯旋路正规三房 楼下可以停车 图片真实 拎包入住,凯旋下路210号 -南门区,3室2厅 | 91.5平米 | 西南 | 精装 | 中楼层(共8层)  | 暂无数据,0人关注 / 7个月以前发布,44.8,"4,897元/平"
业主急卖，户型方正，小区环境优美。,东方明珠 -河东南区,3室2厅 | 138.54平米 | 东南 | 其他 | 高楼层(共27层)  | 塔楼,0人关注 / 4个月以前发布,100,"7,219元/平"
横厅结构+主卧带卫生间+卧室对中庭+位置安静,帝一江岸 -河东北区,3室2厅 | 88平米 | 东南 | 毛坯 | 中楼层(共28层)  | 塔楼,6人关注 / 6个月以前发布,60,"6,819元/平"
天贸街两室、零几年的房子、首付不高、带装修。,天贸街 -南门区,2室2厅 | 86.74平米 | 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,43.8,"5,050元/平"
此房满五年，无抵押无贷款，证在手随时能交易，,西景玫瑰 -西山路区,3室2厅 | 125平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,43.8,"3,504元/平"
天鹅湖小区 位置在南门 看房便利,天鹅湖3期 -蓬溪县,3室2厅 | 92平米 | 东南 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 一年前发布,29.8,"3,240元/平"
大英碧桂园 4室2厅 东 西,大英碧桂园 -大英县,4室2厅 | 130平米 | 东 西 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 3个月以前发布,72.6,"5,585元/平"
南兴街67号精装3房，拎包入住,南兴街67号 -北门区,3室2厅 | 108平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 9个月以前发布,48,"4,445元/平"
南门 阳光城  两室  位置好  配套完善,泰佳尔阳光城 -南门区,2室2厅 | 77平米 | 西北 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,43,"5,585元/平"
小区环境优美，配套齐全，户型方正,碧桂园中环壹号 -物流港区,3室2厅 | 117平米 | 东 | 其他 | 低楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,79.5,"6,795元/平"
此楼盘位于中华养生谷、荣海温泉社区与保利养生,荣海花间集 -河东北区,2室2厅 | 85.2平米 | 西南 | 毛坯 | 高楼层(共18层)  | 塔楼,1人关注 / 一年前发布,52.8,"6,198元/平"
市区中间楼盘，出行方便，有坝坝可停车,航校宿舍 -南门区,3室2厅 | 102平米 | 东南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,58.8,"5,765元/平"
南门 锦绣苑 美宁万象旁 大三室 诚心出售,锦绣苑 -南门区,3室2厅 | 113平米 | 东 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,52.8,"4,673元/平"
滨江路 南湖尚城 经典户型 看房方便！,南湖尚城 -南门区,3室2厅 | 107.8平米 | 东南 | 毛坯 | 低楼层(共15层)  | 暂无数据,0人关注 / 8个月以前发布,53.9,"5,000元/平"
户型方正，户型采光好，带车库 拎包入住诚心出..,市卫生局宿舍 -西山路区,5室3厅 | 238平米 | 北 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,89.9,"3,778元/平"
