标题,开发商,房子信息,发布信息,售价/万,单价
步行街小两室带装修；无高税；    产权在手,三公街9号 -北湖公园,2室1厅 | 48.5平米 | 东 东南 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 6天以前发布,28,"5,774元/平"
希望城二区   三室两厅两卫   小区环境干净舒适,希望城二区 -南湖,3室2厅 | 102平米 | 东南 | 毛坯 | 高楼层(共29层)  | 塔楼,4人关注 / 一年前发布,68,"6,667元/平"
市政府新区 旁边保利广场 就读清泉,江与城 -市政新区,3室2厅 | 105平米 | 南 | 毛坯 | 中楼层(共32层)  | 塔楼,1人关注 / 一年前发布,79.9,"7,610元/平"
顺庆人民花园精装三房拎包入住配套成熟,钟家巷31号 -人民花园,3室2厅 | 112平米 | 东南 | 精装 | 中楼层(共10层)  | 板楼,2人关注 / 10个月以前发布,45,"4,018元/平"
嘉陵区2小旁，刚交付，已取得房产证欢迎咨询,彩虹星城 -南湖,3室2厅 | 92.73平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,60,"6,471元/平"
清泉坝 精装三房  江景房 视野开阔 楼层好,中南·世纪城 -清泉坝,3室2厅 | 99.97平米 | 东南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 6个月以前发布,99,"9,903元/平"
火车站旁假日星城小区 方便停车 业主诚意出售,玉金·假日星城 -火车站,3室2厅 | 100平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,40,"4,000元/平"
上河湾三期 户型方正 采光好 欲购从速,交投置地上河湾三期 -川东北金融中心,3室2厅 | 108平米 | 东南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,78,"7,223元/平"
顺庆市政新区退台式花园精美小洋房,塞维利亚 -市政新区,4室2厅 | 132平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,7人关注 / 一年前发布,88,"6,667元/平"
嘉陵区，嘉陵一 中旁，精装小洋房，带车位诚心出售,阳光西山秘境 -西山风景区,3室2厅 | 100.43平米 | 南 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 4个月以前发布,75,"7,468元/平"
交投大盘，金融广场毛坯三房，视野开阔,交投置地上河湾三期 -川东北金融中心,3室2厅 | 90.62平米 | 东 | 毛坯 | 高楼层(共32层)  | 塔楼,3人关注 / 一年前发布,70,"7,725元/平"
房东诚心出售，小区环境不错 ，物业管理很有责任心,阳光西山秘境 -西山风景区,4室2厅 | 107.87平米 | 东南 | 精装 | 高楼层(共9层)  | 暂无数据,0人关注 / 8个月以前发布,126,"11,681元/平"
市政府香意湾精装电梯大4房双卫,香意湾 -市政新区,4室2厅 | 98平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,9人关注 / 7个月以前发布,88,"8,980元/平"
老火车站电梯大三房，户型方正，通风效果好。,中心医院宿舍 -火车站,3室2厅 | 108平米 | 东南 | 简装 | 中楼层(共9层)  | 板楼,11人关注 / 一年前发布,40.8,"3,778元/平"
成熟地段北干道高档小区洋房出售,天府北宸悦里 -市政新区,4室2厅 | 136.01平米 | 南 北 | 毛坯 | 高楼层(共10层)  | 暂无数据,7人关注 / 8个月以前发布,106,"7,794元/平"
楼中楼 清水房 4房 有大露台 瑞地南郡  无高税,瑞地楠郡 -市政新区,4室2厅 | 135平米 | 东 | 毛坯 | 高楼层(共5层)  | 塔楼,3人关注 / 6个月以前发布,84,"6,223元/平"
天府明珠 3室2厅 东南,天府明珠 -市政新区,3室2厅 | 129.01平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板塔结合,4人关注 / 一年前发布,79.9,"6,194元/平"
恒河常春藤大院 精装大三房  安静望花园 拎包入住,恒河·常春藤大院 -市政新区,3室2厅 | 104平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 1个月以前发布,75,"7,212元/平"
主城区品质大盘、小区环境清幽、物业服务尽职尽责。,铁投锦华府 -市政新区,3室2厅 | 109平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,105,"9,634元/平"
上河湾三期 户型方正 采光好 欲购从速,交投置地上河湾三期 -川东北金融中心,4室1厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 暂无数据,3人关注 / 一年前发布,86.6,"6,819元/平"
朝小区中庭 中间楼层，动静分区 小区安静舒适,金科集美天宸 -清泉坝,3室2厅 | 101.57平米 | 东南 | 毛坯 | 中楼层(共31层)  | 塔楼,3人关注 / 一年前发布,74,"7,286元/平"
滨江大道简装保养的好，看起很舒服，欢迎来看实体房。,华富世家 -滨江大道,3室2厅 | 134平米 | 东 西 | 其他 | 高楼层(共4层)  | 板楼,12人关注 / 一年前发布,55,"4,105元/平"
绿化高、空气好，户型方正，景观好,金科集美天宸 -清泉坝,3室2厅 | 98.89平米 | 南 | 毛坯 | 低楼层(共30层)  | 塔楼,0人关注 / 3个月以前发布,84,"8,495元/平"
复式大盘  江景房    采光充足,中南·世纪城 -清泉坝,4室1厅 | 99平米 | 南 | 简装 | 高楼层(共26层)  | 塔楼,14人关注 / 一年前发布,120,"12,122元/平"
人民花园  三室两厅  精装修,人民中路230号 -人民花园,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共9层)  | 平房,17人关注 / 一年前发布,68,"6,182元/平"
茶盘路国税局单位房大4室无物业费带独立车库无高税,中国税务宿舍 -南湖,4室3厅 | 157.9平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,9人关注 / 一年前发布,82.99,"5,256元/平"
蓝光COCO楼中楼，好材料成就好品质,蓝光COCO香江一期三区 -清泉坝,3室2厅 | 59平米 | 东南 | 简装 | 低楼层(共37层)  | 塔楼,8人关注 / 一年前发布,76,"12,882元/平"
香槟尚城 3室2厅 东南,香槟尚城 -嘉陵广场,3室2厅 | 83平米 | 东南 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 9个月以前发布,48.5,"5,844元/平"
顺庆主城区人民花园 区政府院 电梯精装三房,果城路区政府院 -人民花园,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,70,"7,000元/平"
电梯三房，业主自住装修，拎包入住,佳信·阳光香缇 -市政新区,3室2厅 | 95平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,2人关注 / 4个月以前发布,76,"8,000元/平"
嘉陵公园大地旁  誉峰电梯三房 中间楼层,誉峰小区 -南湖,3室1厅 | 99.3平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,2人关注 / 一年前发布,61,"6,144元/平"
此房位置好，出行方便，户型方正，居住方便舒适,锦通紫薇花园 -江东大道,3室2厅 | 106.94平米 | 东南 | 其他 | 低楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,69,"6,453元/平"
中航城二期 无遮挡 一线江景 户型方正采光好,恒大中航城二期 -清泉坝,3室2厅 | 95平米 | 东南 南 | 毛坯 | 中楼层(共23层)  | 塔楼,32人关注 / 一年前发布,81.5,"8,579元/平"
下中坝万科精装空房，马上满二，看房方便,万科·金润华府三期 -川东北金融中心,3室2厅 | 107平米 | 东南 南 | 精装 | 中楼层(共32层)  | 板塔结合,1人关注 / 3个月以前发布,80,"7,477元/平"
房源真实在售，采光好，户型方正,燎原小区 -火车站,2室1厅 | 65平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,30,"4,616元/平"
顺庆主城区  出行交通方便  配套成熟,明源花园 -火车站,2室2厅 | 106平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,45.6,"4,302元/平"
果州丽府，燕儿窝zhong央商务区旁，一梯两户。,果州丽府 -市政新区,3室2厅 | 101.82平米 | 西南 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,56,"5,500元/平"
此房花园洋房户型方正，出行方便，交通便利配套成熟,铁投锦华府 -市政新区,3室2厅 | 108平米 | 东南 | 毛坯 | 低楼层(共11层)  | 暂无数据,6人关注 / 8个月以前发布,100,"9,260元/平"
希望城商圈 南湖凯旋广场 中间楼层 安静不临街,南湖凯旋广场 -南湖,3室2厅 | 95.04平米 | 南 | 其他 | 低楼层(共21层)  | 塔楼,4人关注 / 一年前发布,78.97,"8,310元/平"
希望城商圈  品质电梯高层  配套齐全,南湖凯旋广场 -南湖,3室1厅 | 96.4平米 | 东南 | 毛坯 | 中楼层(共32层)  | 塔楼,2人关注 / 一年前发布,63,"6,536元/平"
一切的一切为了孩子，此房，采光不错，户型方正，,柳林路141号 -金泉路,2室2厅 | 102平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 一年前发布,40,"3,922元/平"
大盘小区 ，安全系数高， 配套齐全,逸合山语城 -江东大道,3室2厅 | 96.45平米 | 南 | 毛坯 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,61,"6,325元/平"
正阳路正街3房，低总价，无高税,正阳路14号 -延安路,3室2厅 | 93平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,33,"3,549元/平"
品质大盘小区，房东诚心出售...,蓝光香江国际二期六区 -西山风景区,3室2厅 | 107平米 | 东 | 毛坯 | 高楼层(共20层)  | 塔楼,0人关注 / 一年前发布,64.5,"6,029元/平"
电梯三房   楼层好  户型方正   小区绿化好,南充市林业局宿舍 -西山风景区,3室2厅 | 127.25平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,58,"4,558元/平"
山语城洋房套三双卫 无高税 改善型住房,逸合山语城 -江东大道,3室2厅 | 94.3平米 | 东南 | 毛坯 | 高楼层(共11层)  | 塔楼,10人关注 / 一年前发布,59.7,"6,331元/平"
五星花园处，市医院门口3房出售,水井巷43号 -五星花园,3室2厅 | 92平米 | 南 北 | 简装 | 高楼层(共9层)  | 暂无数据,4人关注 / 8个月以前发布,28,"3,044元/平"
涪江路红星大院精装3室2厅1卫,红星大院 -五星花园,3室2厅 | 76.52平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,37.5,"4,901元/平"
国企上市品牌，新房新小区，单价低于合同价,雍景上河城一区 -川东北金融中心,4室2厅 | 131平米 | 东 | 毛坯 | 高楼层(共20层)  | 暂无数据,1人关注 / 一年前发布,103,"7,863元/平"
南门坝繁华地段，优质房带大花园,悦府 -南门坝,3室2厅 | 105.14平米 | 东南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,155,"14,743元/平"
万科品质楼盘，贴心物业，军事化管理,万科金润华府二期 -川东北金融中心,3室2厅 | 98平米 | 东 | 精装 | 低楼层(共28层)  | 板塔结合,1人关注 / 2个月以前发布,78.99,"8,061元/平"
明宇第壹家  东区  江景房  三房两厅两卫,明宇•帝壹家东区 -南门坝,3室2厅 | 105平米 | 东 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 7个月以前发布,92,"8,762元/平"
江东大道山语城电梯洋房  套三双卫 房东寄售,逸合山语城 -江东大道,3室2厅 | 97平米 | 东南 | 毛坯 | 高楼层(共8层)  | 板塔结合,3人关注 / 一年前发布,60.6,"6,248元/平"
大盘小区 生态公园环抱 户型方正 配套齐全 小区安全,逸合山语城 -江东大道,3室2厅 | 97平米 | 东南 | 毛坯 | 中楼层(共8层)  | 板塔结合,0人关注 / 4个月以前发布,78.8,"8,124元/平"
电梯小洋房3室  一梯两户  中楼层  居家装修9层新,逸合山语城 -江东大道,3室2厅 | 114平米 | 东南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,92.8,"8,141元/平"
电梯洋房，一梯两户得房率高。天壤氧吧绿化生态小区,逸合山语城 -江东大道,3室2厅 | 126.86平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,90,"7,095元/平"
清泉坝 清水三房，视野宽阔，中间楼层，业主急售,蓝光COCO香江2期 -清泉坝,3室2厅 | 70.78平米 | 东北 | 毛坯 | 中楼层(共27层)  | 塔楼,32人关注 / 7个月以前发布,48.7,"6,881元/平"
三小南高位置看玉带河南门坝配套设施齐全.交通便利,水岸花都三期 -西山风景区,3室2厅 | 129.7平米 | 东南 | 毛坯 | 中楼层(共7层)  | 板楼,2人关注 / 一年前发布,56,"4,318元/平"
高坪主城区，成熟位置，配套齐全，交通便利,华诺国际三区 -王府井,2室2厅 | 85.1平米 | 东南 | 简装 | 低楼层(共18层)  | 板塔结合,2人关注 / 8个月以前发布,54,"6,346元/平"
此房无高税，有安装电梯 适合老人居住 买菜方便,西河南路川北建筑公司 -金泉路,3室2厅 | 105平米 | 西南 | 简装 | 高楼层(共9层)  | 平房,13人关注 / 一年前发布,45,"4,286元/平"
无高税，改善大盘，绿化好，诚信出售,逸合山语城 -江东大道,3室1厅 | 92.24平米 | 东南 | 毛坯 | 高楼层(共9层)  | 塔楼,1人关注 / 7个月以前发布,59.9,"6,494元/平"
电梯洋房，一梯两户得房率高。天壤氧吧绿化生态小区,逸合山语城 -江东大道,3室2厅 | 126.86平米 | 东南 | 毛坯 | 低楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,90,"7,095元/平"
清泉坝 清水三房，视野宽阔，中间楼层，业主急售,蓝光COCO香江2期 -清泉坝,3室2厅 | 70.78平米 | 东北 | 毛坯 | 中楼层(共27层)  | 塔楼,32人关注 / 7个月以前发布,48.7,"6,881元/平"
楼层好，视野开阔，装修简洁， 无高税，拎包入住,旗山公寓 -西山风景区,3室1厅 | 123平米 | 东南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,36.4,"2,960元/平"
大盘小区 ，安全系数高， 配套齐全,逸合山语城 -江东大道,3室2厅 | 96.45平米 | 南 | 毛坯 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,61,"6,325元/平"
正阳路正街3房，低总价，无高税,正阳路14号 -延安路,3室2厅 | 93平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,7人关注 / 一年前发布,33,"3,549元/平"
品质大盘小区，房东诚心出售...,蓝光香江国际二期六区 -西山风景区,3室2厅 | 107平米 | 东 | 毛坯 | 高楼层(共20层)  | 塔楼,0人关注 / 一年前发布,64.5,"6,029元/平"
电梯三房   楼层好  户型方正   小区绿化好,南充市林业局宿舍 -西山风景区,3室2厅 | 127.25平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 7个月以前发布,58,"4,558元/平"
山语城洋房套三双卫 无高税 改善型住房,逸合山语城 -江东大道,3室2厅 | 94.3平米 | 东南 | 毛坯 | 高楼层(共11层)  | 塔楼,10人关注 / 一年前发布,59.7,"6,331元/平"
五星花园处，市医院门口3房出售,水井巷43号 -五星花园,3室2厅 | 92平米 | 南 北 | 简装 | 高楼层(共9层)  | 暂无数据,4人关注 / 8个月以前发布,28,"3,044元/平"
国企上市品牌，新房新小区，单价低于合同价,雍景上河城一区 -川东北金融中心,4室2厅 | 131平米 | 东 | 毛坯 | 高楼层(共20层)  | 暂无数据,1人关注 / 一年前发布,103,"7,863元/平"
涪江路红星大院精装3室2厅1卫,红星大院 -五星花园,3室2厅 | 76.52平米 | 南 | 精装 | 高楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,37.5,"4,901元/平"
高坪金融片区小三房，楼层好采光足，无抵押，证件齐全,中南漫悦湾二期 -都京坝,3室2厅 | 86平米 | 东南 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,68,"7,907元/平"
此房无高税，户型方正，全线江景。,万科金润华府二期 -川东北金融中心,3室2厅 | 85.12平米 | 西南 | 简装 | 中楼层(共23层)  | 暂无数据,0人关注 / 2个月以前发布,69,"8,107元/平"
碧桂园一期三区文峰经开区房东朋友介绍,碧桂园 -文峰,3室2厅 | 101平米 | 东 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,63,"6,238元/平"
户型通透，格局方正，各房间采光好,碧桂园 -文峰,3室2厅 | 97平米 | 东南 | 其他 | 中楼层(共32层)  | 塔楼,4人关注 / 一年前发布,58,"5,980元/平"
下中坝中南物业，清水套三，业主急售！,中南漫悦湾一期 -都京坝,3室2厅 | 85.6平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,62,"7,243元/平"
万科下中坝龙头企业，一级物业为您安全保驾护航。,万科金润华府 -川东北金融中心,3室2厅 | 92平米 | 东南 | 精装 | 低楼层(共26层)  | 塔楼,3人关注 / 6个月以前发布,71,"7,718元/平"
高坪江东新区现房，毛坯三房，小区临江，看中庭,江东华府 -江东大道,3室1厅 | 94平米 | 东南 | 其他 | 低楼层(共17层)  | 塔楼,0人关注 / 4个月以前发布,63,"6,703元/平"
中南漫悦湾。大开发商，品质小区。,中南漫悦湾二期 -都京坝,3室2厅 | 84.9平米 | 东南 | 毛坯 | 低楼层(共34层)  | 塔楼,0人关注 / 4个月以前发布,56.1,"6,608元/平"
金融广场清水三房，中间楼层，朝中庭朝东，安静，急售,中南漫悦湾二期 -都京坝,3室2厅 | 86平米 | 东 东南 | 毛坯 | 低楼层(共34层)  | 板塔结合,2人关注 / 7个月以前发布,58,"6,745元/平"
国企大盘品质小区，繁华地段，诚心出售,雍景上河城一区 -川东北金融中心,3室2厅 | 133平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,115,"8,647元/平"
江景三房，品质大盘，一级物业，房东急售,中南漫悦湾一期 -都京坝,3室2厅 | 85平米 | 东 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,55,"6,471元/平"
品质中南，朝向小区不临街，中高楼层视野好,中南漫悦湾二期 -都京坝,3室2厅 | 85平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,62,"7,295元/平"
白马湖片区，精装三房，可拎包入住，看房方便,阳光西山秘境 -西山风景区,3室2厅 | 83.2平米 | 东南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 3个月以前发布,65.8,"7,909元/平"
白土坝商圈少有的清水房 无高税 房东诚意出手,新豪天地 -白土坝,3室2厅 | 105平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板塔结合,12人关注 / 10个月以前发布,86,"8,191元/平"
蓝光品质  大平层4房  户型好  看别墅区 闹中取静,蓝光香江国际二期三区 -西山风景区,4室2厅 | 138.6平米 | 东 | 毛坯 | 低楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,72.5,"5,231元/平"
急售！气象公园旁+北岭颐园+正宗的3居室+清水,北岭颐园东区 -华凤,3室2厅 | 106.3平米 | 东南 | 毛坯 | 高楼层(共23层)  | 塔楼,0人关注 / 2个月以前发布,85,"7,997元/平"
交通便利，配套成熟，采光通风你好。,丰登路113号院 -金泉路,3室2厅 | 125平米 | 东南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 10个月以前发布,52,"4,160元/平"
清水现房   房东急售  越快越好,中南原山名邸 -江东大道,3室2厅 | 85平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,1人关注 / 3个月以前发布,52.8,"6,212元/平"
电梯房，低楼层，南北朝向，出行 交通方便，,金域城 -西山风景区,3室2厅 | 93.15平米 | 东南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 6个月以前发布,61.6,"6,613元/平"
嘉州玫瑰花园 6+1楼中楼 带露台 大 利用空间,嘉州玫瑰花园 -嘉陵广场,4室2厅 | 126平米 | 东南 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,80,"6,350元/平"
精装两房，户型方正，采光好，不临街,宏立家园 -金泉路,2室2厅 | 80平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,6人关注 / 10个月以前发布,31,"3,875元/平"
南门坝1227旁电梯三房，中间楼层，朝小区中庭。,滨江名城 -南门坝,3室2厅 | 136平米 | 东南 | 精装 | 高楼层(共28层)  | 塔楼,1人关注 / 5个月以前发布,81,"5,956元/平"
单位小区精装房2楼，有门卫物管停车方便,丁字街13号 -大西街,3室2厅 | 83.31平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,46,"5,522元/平"
蓝光品质  大平层4房  户型好  看别墅区 闹中取静,蓝光香江国际二期三区 -西山风景区,4室2厅 | 138.6平米 | 东 | 毛坯 | 低楼层(共29层)  | 塔楼,0人关注 / 1个月以前发布,72.5,"5,231元/平"
顺庆，西门市场，2室，简装，诚心卖,西门坝街249号 -金泉路,2室1厅 | 71.9平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 7个月以前发布,23.8,"3,311元/平"
交通便利，配套成熟，采光通风你好。,丰登路113号院 -金泉路,3室2厅 | 125平米 | 东南 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 10个月以前发布,52,"4,160元/平"
户型通透，格局方正，各房间采光好,碧桂园 -文峰,3室2厅 | 97平米 | 东南 | 其他 | 中楼层(共32层)  | 塔楼,4人关注 / 一年前发布,58,"5,980元/平"
白土坝商圈少有的清水房 无高税 房东诚意出手,新豪天地 -白土坝,3室2厅 | 105平米 | 东南 | 毛坯 | 高楼层(共26层)  | 板塔结合,12人关注 / 10个月以前发布,86,"8,191元/平"
碧桂园一期三区文峰经开区房东朋友介绍,碧桂园 -文峰,3室2厅 | 101平米 | 东 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 一年前发布,63,"6,238元/平"
此房无高税，户型方正，全线江景。,万科金润华府二期 -川东北金融中心,3室2厅 | 85.12平米 | 西南 | 简装 | 中楼层(共23层)  | 暂无数据,0人关注 / 2个月以前发布,69,"8,107元/平"
金融广场清水三房，中间楼层，朝中庭朝东，安静，急售,中南漫悦湾二期 -都京坝,3室2厅 | 86平米 | 东 东南 | 毛坯 | 低楼层(共34层)  | 板塔结合,2人关注 / 7个月以前发布,58,"6,745元/平"
高坪江东新区现房，毛坯三房，小区临江，看中庭,江东华府 -江东大道,3室1厅 | 94平米 | 东南 | 其他 | 低楼层(共17层)  | 塔楼,0人关注 / 4个月以前发布,63,"6,703元/平"
嘉陵区 王 府花 园A区步梯3房 出售！,王府花园A区 -嘉陵广场,3室2厅 | 106平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,7人关注 / 10个月以前发布,39.4,"3,717元/平"
让您家的孩子永远赢在起跑线上。,南高苑 -嘉陵广场,5室4厅 | 224.1平米 | 西南 | 简装 | 高楼层(共8层)  | 板塔结合,12人关注 / 一年前发布,108.8,"4,855元/平"
白马湖片区，精装三房，可拎包入住，看房方便,阳光西山秘境 -西山风景区,3室2厅 | 83.2平米 | 东南 | 精装 | 中楼层(共27层)  | 塔楼,0人关注 / 3个月以前发布,65.8,"7,909元/平"
品质中南，江景三房，自住房屋品质有保障，随时可看房,中南漫悦湾二期 -都京坝,3室2厅 | 86平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 11个月以前发布,79,"9,187元/平"
国企大盘品质小区，繁华地段，诚心出售,雍景上河城一区 -川东北金融中心,3室2厅 | 133平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,115,"8,647元/平"
江景三房，品质大盘，一级物业，房东急售,中南漫悦湾一期 -都京坝,3室2厅 | 85平米 | 东 东南 | 毛坯 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,55,"6,471元/平"
品质中南，朝向小区不临街，中高楼层视野好,中南漫悦湾二期 -都京坝,3室2厅 | 85平米 | 东南 | 毛坯 | 中楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,62,"7,295元/平"
电梯房，低楼层，南北朝向，出行 交通方便，,金域城 -西山风景区,3室2厅 | 93.15平米 | 东南 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 6个月以前发布,61.6,"6,613元/平"
高坪金融片区小三房，楼层好采光足，无抵押，证件齐全,中南漫悦湾二期 -都京坝,3室2厅 | 86平米 | 东南 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,68,"7,907元/平"
中南漫悦湾。大开发商，品质小区。,中南漫悦湾二期 -都京坝,3室2厅 | 84.9平米 | 东南 | 毛坯 | 低楼层(共34层)  | 塔楼,0人关注 / 4个月以前发布,56.1,"6,608元/平"
万科下中坝龙头企业，一级物业为您安全保驾护航。,万科金润华府 -川东北金融中心,3室2厅 | 92平米 | 东南 | 精装 | 低楼层(共26层)  | 塔楼,3人关注 / 6个月以前发布,71,"7,718元/平"
下中坝中南物业，清水套三，业主急售！,中南漫悦湾一期 -都京坝,3室2厅 | 85.6平米 | 东南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,62,"7,243元/平"
嘉陵 中*位置，现浇房，正规三室两厅，精装修,香山美林二区 -西山风景区,3室2厅 | 103.74平米 | 东南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,66,"6,363元/平"
急售！气象公园旁+北岭颐园+正宗的3居室+清水,北岭颐园东区 -华凤,3室2厅 | 106.3平米 | 东南 | 毛坯 | 高楼层(共23层)  | 塔楼,0人关注 / 2个月以前发布,85,"7,997元/平"
白土坝商圈简装套三，无高税楼层视野好，周，边配套齐,城市之山 -白土坝,3室2厅 | 114平米 | 南 | 精装 | 高楼层(共6层)  | 塔楼,10人关注 / 一年前发布,60,"5,264元/平"
即将满二，三改四的电梯洋房，繁华地段生活便利,中南漫悦湾一期 -都京坝,4室2厅 | 121平米 | 西南 | 毛坯 | 低楼层(共7层)  | 塔楼,1人关注 / 7个月以前发布,86,"7,108元/平"
下中坝品质三房双卫，精装修拎包入住，看房随时！,万科·金润华府三期 -川东北金融中心,3室2厅 | 91.47平米 | 东南 | 精装 | 低楼层(共33层)  | 暂无数据,9人关注 / 一年前发布,63.8,"6,975元/平"
育英路2楼 房东诚心出售 有院子可停大小车,育英路教育局宿舍 -北湖公园,3室1厅 | 85.6平米 | 东南 | 简装 | 低楼层(共9层)  | 暂无数据,5人关注 / 一年前发布,60,"7,010元/平"
嘉陵新交楼盘  清水三房  好装修  采光好,阳光御园 -南湖,3室2厅 | 83.5平米 | 东 | 毛坯 | 高楼层(共24层)  | 塔楼,0人关注 / 10个月以前发布,55,"6,587元/平"
正规三室，户型方正，采光很好。,果城路区政府院 -人民花园,3室2厅 | 107平米 | 南 北 | 其他 | 高楼层(共9层)  | 板楼,6人关注 / 7个月以前发布,48.5,"4,533元/平"
白土坝大盘小区带车位出售  诚意出售‘,汇金国际 -白土坝,3室2厅 | 117.47平米 | 东南 | 毛坯 | 中楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,97.8,"8,326元/平"
户型方正，采光充足，小区物业管理较好，可停大小车。,康路市场 -金泉路,2室2厅 | 82.7平米 | 东南 北 | 简装 | 中楼层(共7层)  | 板塔结合,2人关注 / 11个月以前发布,30.5,"3,689元/平"
高品质小区，正规4房，业主全款购买，过户简单无风险,蓝光香江国际二期六区 -西山风景区,4室2厅 | 126平米 | 东南 | 毛坯 | 高楼层(共6层)  | 塔楼,3人关注 / 7个月以前发布,95,"7,540元/平"
蓝光香江花园套四户型，户型方正,蓝光香江花园 -南湖,4室2厅 | 134平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 塔楼,1人关注 / 8个月以前发布,86,"6,418元/平"
白土坝商圈 成熟配套 装修小清新,锦绣华庭 -华凤,3室2厅 | 89.2平米 | 南 | 精装 | 高楼层(共30层)  | 塔楼,6人关注 / 一年前发布,85.9,"9,631元/平"
西山，天地山水，小区环境优美，无高税抵押,天地山水 -西山风景区,3室2厅 | 113平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,12人关注 / 一年前发布,71.8,"6,354元/平"
