标题,开发商,房子信息,发布信息,售价/万,单价
盛和园 3室2厅 东南,盛和园 -赤坎开发区,3室2厅 | 102平米 | 东南 | 毛坯 | 中楼层(共36层)  | 塔楼,0人关注 / 29天以前发布,133,"13,040元/平"
城市高地 3室1厅 南 北,城市高地 -赤坎开发区,3室1厅 | 81平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 1个月以前发布,95,"11,729元/平"
西粤京基城 精装 位置优越 户型方正,西粤京基城 -赤坎开发区,4室2厅 | 113.2平米 | 东南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 28天以前发布,160,"14,135元/平"
阳光城·丽景湾 3室2厅 南 北,阳光城·丽景湾 -金沙湾片区,3室2厅 | 106平米 | 南 北 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 29天以前发布,120,"11,321元/平"
公园一号 2室1厅 南,公园一号 -赤坎开发区,2室1厅 | 82平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 1个月以前发布,92,"11,220元/平"
（钰海豪庭3-2-1-2 107.20m² 出入方便,钰海豪庭 -东风片区,3室2厅 | 107.2平米 | 东 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,130,"12,127元/平"
阳光城·丽景湾 4室2厅 南,阳光城·丽景湾 -金沙湾片区,4室2厅 | 106.63平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 25天以前发布,120,"11,254元/平"
金豪嘉苑 3室2厅 西南,金豪嘉苑 -南站片区,3室2厅 | 96平米 | 西南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 29天以前发布,105,"10,938元/平"
湛江昌盛豪苑 3室2厅 东,湛江昌盛豪苑 -湿地公园片区,3室2厅 | 104平米 | 东 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 23天以前发布,160,"15,385元/平"
楼层好，视野宽阔，采光好，户型方正，生活便利.,金豪苑小区 -工农片区,3室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 29天以前发布,85,"8,253元/平"
金海湾二期 4室1厅 东,金海湾二期 -金城片区,4室1厅 | 128平米 | 东 | 毛坯 | 低楼层(共30层)  | 塔楼,0人关注 / 28天以前发布,134,"10,469元/平"
银湾居3-2-1-2 127.00m²,银湾居 -海滨片区,3室2厅 | 127平米 | 东 | 简装 | 低楼层(共9层)  | 塔楼,1人关注 / 22天以前发布,100,"7,875元/平"
客厅广阔，采光好，房间够大，户型方正,华盛家园 -京基片区,4室2厅 | 172平米 | 东 | 精装 | 高楼层(共8层)  | 板塔结合,1人关注 / 23天以前发布,90,"5,233元/平"
水泥厂宿舍(霞山区) 4室2厅 南,水泥厂宿舍(霞山区) -新澳城市花园片区,4室2厅 | 140平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 21天以前发布,98,"7,000元/平"
海湾郦都 3室2厅 南,海湾郦都 -金沙湾片区,3室2厅 | 98平米 | 南 | 精装 | 中楼层(共29层)  | 板塔结合,0人关注 / 25天以前发布,129,"13,164元/平"
城市假日花园B区 2室1厅 南 北,城市假日花园B区 -城市假日片区,2室1厅 | 81平米 | 南 北 | 精装 | 中楼层(共26层)  | 板塔结合,0人关注 / 30天以前发布,105,"12,963元/平"
金域雅轩精装三房诚意出售看房提前预约,金域雅轩 -金城片区,3室2厅 | 89平米 | 东南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 21天以前发布,108,"12,135元/平"
中基新城4-2-1-2 141.00m²,中基新城 -国贸中心区,4室2厅 | 141平米 | 东 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 22天以前发布,98,"6,951元/平"
水木清华 3室2厅 东,水木清华 -鼎盛片区,3室2厅 | 120平米 | 东 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 29天以前发布,135,"11,250元/平"
此房好楼层，好景观 价格优惠，税费低 户型方正。,鼎能•东盟城 -京基片区,4室2厅 | 113平米 | 东南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,138,"12,213元/平"
海田福居 3室2厅 东,海田福居 -金沙湾片区,3室2厅 | 91.5平米 | 东 | 精装 | 低楼层(共10层)  | 板楼,0人关注 / 24天以前发布,63,"6,886元/平"
四中宿舍（实验中学宿舍） 3室2厅 南,四中宿舍（实验中学宿舍） -国贸中心区,3室2厅 | 95平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 18天以前发布,75,"7,895元/平"
绿荫路1号 3室2厅 东南,绿荫路1号 -东风片区,3室2厅 | 140平米 | 东南 | 精装 | 中楼层(共10层)  | 暂无数据,0人关注 / 30天以前发布,68,"4,858元/平"
满五唯一，海景房，大四房，户型方正漂亮,丽湾名邸 -金沙湾片区,4室2厅 | 186.13平米 | 东南 | 精装 | 中楼层(共30层)  | 板塔结合,1人关注 / 31天以前发布,483.6,"25,982元/平"
碧桂园海湾城 3室2厅 东,碧桂园海湾城 -金沙湾片区,3室2厅 | 100.69平米 | 东 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 29天以前发布,95,"9,435元/平"
城市尚居花园 3室2厅 东,城市尚居花园 -南站片区,3室2厅 | 79平米 | 东 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 19天以前发布,110,"13,925元/平"
航运集团宿舍3-2-1-2 105.00m²  出入方便,航运集团宿舍 -东风片区,3室2厅 | 105平米 | 西南 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,69,"6,572元/平"
恒大帝景 3室1厅 南,恒大帝景 -赤坎开发区,3室1厅 | 89.9平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 24天以前发布,118,"13,126元/平"
南國豪苑 4室2厅 南,南國豪苑 -赤坎开发区,4室2厅 | 120.6平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 17天以前发布,198,"16,418元/平"
西粤京基城三期 精装两房 配套齐全 看房方便,西粤京基城三期 -赤坎开发区,2室2厅 | 94平米 | 东 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 20天以前发布,120,"12,766元/平"
寸金片区 高层3房 采光充足 视野开阔 小区安静,寸金三横路2号 -寸金片区,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,0人关注 / 22天以前发布,35,"3,609元/平"
鸿扬清逸阁 3室2厅 东,鸿扬清逸阁 -新澳城市花园片区,3室2厅 | 85平米 | 东 | 精装 | 高楼层(共28层)  | 暂无数据,0人关注 / 31天以前发布,150,"17,648元/平"
户型方正，交通便利，配套成熟，购物生活方便,电厂宿舍北苑 -百园片区,3室2厅 | 76平米 | 东 | 精装 | 高楼层(共8层)  | 塔楼,0人关注 / 24天以前发布,53,"6,974元/平"
鼎龙湾 3室1厅 东南,鼎龙湾 -吴川市,3室1厅 | 101平米 | 东南 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 16天以前发布,70,"6,931元/平"
此房业主诚心出售随时签约，看房方便，户型方正,潮州塘小区 -百园片区,4室2厅 | 120平米 | 东 | 简装 | 高楼层(共9层)  | 板楼,0人关注 / 19天以前发布,53.8,"4,484元/平"
采光通风俱佳，客厅出阳台，晾晒衣物方便,飞鹏万荟世界 -金城片区,3室2厅 | 85.79平米 | 南 | 精装 | 中楼层(共30层)  | 板塔结合,0人关注 / 27天以前发布,100,"11,657元/平"
业主诚信出售  位于市区地段，房子适合刚需,金海湾一期 -金城片区,3室2厅 | 127.85平米 | 东南 | 精装 | 27层  | 板楼,0人关注 / 27天以前发布,115,"8,995元/平"
电厂宿舍南苑 3室2厅 东,电厂宿舍南苑 -百园片区,3室2厅 | 85平米 | 东 | 精装 | 高楼层(共9层)  | 塔楼,0人关注 / 27天以前发布,60,"7,059元/平"
碧桂园公园首府 3室2厅 东南,碧桂园公园首府 -遂溪县,3室2厅 | 120平米 | 东南 | 精装 | 高楼层(共13层)  | 暂无数据,0人关注 / 23天以前发布,75,"6,250元/平"
公园一号 3室2厅 南,公园一号 -赤坎开发区,3室2厅 | 90平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 22天以前发布,120,"13,334元/平"
翰林苑 2室2厅 东,翰林苑 -鼎盛片区,2室2厅 | 83平米 | 东 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 24天以前发布,45,"5,422元/平"
水岸观邸2房98.04方仅售78 万,水岸观邸 -东风片区,2室2厅 | 98.04平米 | 东南 | 简装 | 中楼层(共23层)  | 塔楼,0人关注 / 18天以前发布,78,"7,956元/平"
澳海城 3室1厅 南 北,澳海城 -赤坎开发区,3室1厅 | 83平米 | 南 北 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 21天以前发布,90,"10,844元/平"
兴发园 3室2厅 南,兴发园 -海滨片区,3室2厅 | 102平米 | 南 | 简装 | 中楼层(共25层)  | 塔楼,0人关注 / 17天以前发布,88,"8,628元/平"
一线湖景 湿地公园 奥园滨海尚居3室1厅1卫毛坯,奥园滨海尚居 -金城片区,3室2厅 | 96.41平米 | 东南 | 毛坯 | 高楼层(共13层)  | 暂无数据,0人关注 / 15天以前发布,123,"12,759元/平"
凤和广场 3室2厅 东,凤和广场 -寸金片区,3室2厅 | 115平米 | 东 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 15天以前发布,105,"9,131元/平"
华盛家园 3室2厅 南,华盛家园 -京基片区,3室2厅 | 91平米 | 南 | 其他 | 高楼层(共8层)  | 板塔结合,0人关注 / 10天以前发布,70,"7,693元/平"
金沙湾一期雅韵苑 3室2厅 南,金沙湾一期雅韵苑 -金沙湾片区,3室2厅 | 82平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 17天以前发布,82,"10,000元/平"
金沙湾一期雅韵苑 3室2厅 南,金沙湾一期雅韵苑 -金沙湾片区,3室2厅 | 82平米 | 南 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 17天以前发布,82,"10,000元/平"
碧云公寓 3室2厅 南,碧云公寓 -京基片区,3室2厅 | 130.5平米 | 南 | 其他 | 高楼层(共12层)  | 塔楼,0人关注 / 16天以前发布,92,"7,050元/平"
房子是花园式小区，居住环境舒适、优美，,碧桂园公园首府 -遂溪县,3室2厅 | 113.71平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 13天以前发布,71.8,"6,315元/平"
乐意居 3室2厅 东南,乐意居 -南站片区,3室2厅 | 130平米 | 东南 | 其他 | 中楼层(共9层)  | 板楼,0人关注 / 10天以前发布,78,"6,000元/平"
凤和广场 3室2厅 东,凤和广场 -寸金片区,3室2厅 | 115平米 | 东 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 15天以前发布,105,"9,131元/平"
朗悦轩 2室1厅 西北,朗悦轩 -工农片区,2室1厅 | 41平米 | 西北 | 其他 | 中楼层(共29层)  | 板塔结合,0人关注 / 4天以前发布,60,"14,635元/平"
南柳花園 3室2厅 南,南柳花園 -南站片区,3室2厅 | 108.32平米 | 南 | 其他 | 高楼层(共9层)  | 板楼,0人关注 / 13天以前发布,69,"6,371元/平"
保利·原悦花园 3室2厅 南,保利·原悦花园 -工农片区,3室2厅 | 103平米 | 南 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 10天以前发布,105,"10,195元/平"
金色华庭 1室1厅 东 北,金色华庭 -城市美林片区,1室1厅 | 44平米 | 东 北 | 简装 | 低楼层(共12层)  | 板塔结合,0人关注 / 2天以前发布,33,"7,500元/平"
银峰大厦 1室1厅 南,银峰大厦 -南站片区,1室1厅 | 47平米 | 南 | 精装 | 中楼层(共19层)  | 板塔结合,0人关注 / 7天以前发布,30,"6,383元/平"
渔业公司宿舍C区 3室2厅 南,渔业公司宿舍C区 -东风片区,3室2厅 | 90平米 | 南 | 其他 | 中楼层(共9层)  | 暂无数据,0人关注 / 14天以前发布,50,"5,556元/平"
业主诚心出售，看房方便，小区环境优美，物业管理规范,保利·原景花园 -工农片区,2室2厅 | 70平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,0人关注 / 6天以前发布,80,"11,429元/平"
城市广场 3室2厅 东,城市广场 -国贸中心区,3室2厅 | 124平米 | 东 | 其他 | 中楼层(共25层)  | 板塔结合,0人关注 / 13天以前发布,120,"9,678元/平"
万千海一期 2室1厅 东南,万千海一期 -吴川市,2室1厅 | 73平米 | 东南 | 其他 | 中楼层(共27层)  | 暂无数据,0人关注 / 12天以前发布,60,"8,220元/平"
椹川东二路81号 3室2厅 东,椹川东二路81号 -鼎盛片区,3室2厅 | 93平米 | 东 | 其他 | 中楼层(共9层)  | 板楼,0人关注 / 13天以前发布,51.8,"5,570元/平"
万达海公馆 3室2厅 南 北,万达海公馆 -赤坎开发区,3室2厅 | 123.5平米 | 南 北 | 其他 | 低楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,145,"11,741元/平"
翠堤湾复式5房带车位只需这个价，急出售.价格优惠,翠堤湾A区 -金沙湾片区,5室2厅 | 180.56平米 | 东南 | 精装 | 高楼层(共13层)  | 板楼,1人关注 / 11天以前发布,195,"10,800元/平"
飞鹏万荟世界 3室2厅 西北,飞鹏万荟世界 -金城片区,3室2厅 | 92.7平米 | 西北 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 9天以前发布,85,"9,170元/平"
环卫处宿舍(赤坎区) 3室1厅 东南,环卫处宿舍(赤坎区) -百园片区,3室1厅 | 69平米 | 东南 | 其他 | 高楼层(共9层)  | 板楼,0人关注 / 8天以前发布,32,"4,638元/平"
安居楼 3室1厅 东,安居楼 -南站片区,3室1厅 | 85平米 | 东 | 其他 | 高楼层(共9层)  | 板楼,0人关注 / 15天以前发布,39,"4,589元/平"
采光通风俱佳，客厅出阳台，晾晒衣物方便,飞鹏万荟世界 -金城片区,3室2厅 | 87平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 16天以前发布,90,"10,345元/平"
恒兴恒福花苑 3室1厅 西南,恒兴恒福花苑 -遂溪县,3室1厅 | 102平米 | 西南 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 12天以前发布,56,"5,491元/平"
硕基新城 3室2厅 南,硕基新城 -南站片区,3室2厅 | 136平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 8天以前发布,72,"5,295元/平"
万裕豪苑 2室2厅 南 北,万裕豪苑 -南站片区,2室2厅 | 91平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 11天以前发布,65,"7,143元/平"
六中宿舍 3室1厅 东,六中宿舍 -工农片区,3室1厅 | 87平米 | 东 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,63,"7,242元/平"
东新福居 3室2厅 东,东新福居 -南站片区,3室2厅 | 85.4平米 | 东 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 7天以前发布,62,"7,260元/平"
华新小区 3室2厅 东,华新小区 -南站片区,3室2厅 | 95平米 | 东 | 其他 | 高楼层(共9层)  | 板楼,0人关注 / 13天以前发布,48,"5,053元/平"
中基新城 3室2厅 南 北,中基新城 -国贸中心区,3室2厅 | 125平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 11天以前发布,90,"7,200元/平"
全明格局，楼层好，视野宽阔，采光充足，配套齐全,保利·原景花园 -工农片区,3室2厅 | 99.49平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,1人关注 / 一年前发布,110,"11,057元/平"
保利原景毛坯三房 户型方正 南向视野好 诚心出售,保利·原景花园 -工农片区,3室2厅 | 99.16平米 | 西南 | 毛坯 | 高楼层(共33层)  | 塔楼,4人关注 / 一年前发布,110,"11,094元/平"
繁华地段 2、小区环境优美 3、物业管理规范,保利原宇花园 -工农片区,3室2厅 | 94平米 | 南 | 简装 | 低楼层(共33层)  | 塔楼,4人关注 / 一年前发布,100,"10,639元/平"
阳光花园 3室2厅 西南,阳光花园 -城市假日片区,3室2厅 | 93.5平米 | 西南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 9个月以前发布,120,"12,835元/平"
恒兴花园小区，中楼层，户型好，格局好,恒兴棕榈公馆 -遂溪县,3室2厅 | 118平米 | 东南 | 毛坯 | 中楼层(共24层)  | 塔楼,1人关注 / 一年前发布,75,"6,356元/平"
皇冠城 3室2厅 北,皇冠城 -城市假日片区,3室2厅 | 112.6平米 | 北 | 毛坯 | 低楼层(共42层)  | 暂无数据,0人关注 / 10个月以前发布,145,"12,878元/平"
城市假日A区中楼层精装修好房出售。,城市假日A区 -城市假日片区,3室2厅 | 133.5平米 | 南 | 精装 | 中楼层(共12层)  | 板塔结合,6人关注 / 一年前发布,152,"11,386元/平"
华都汇 5室2厅 南,华都汇 -城市假日片区,5室2厅 | 133.5平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,1人关注 / 一年前发布,175,"13,109元/平"
华都汇 正规四房 楼层好 方便看房,华都汇 -城市假日片区,4室2厅 | 131平米 | 东南 | 毛坯 | 高楼层(共27层)  | 塔楼,18人关注 / 一年前发布,165,"12,596元/平"
您期待已久家园已经放出 新澳花园 少有3房 手快就有,新澳城市花园 -新澳城市花园片区,3室2厅 | 81.49平米 | 西南 | 毛坯 | 中楼层(共31层)  | 板楼,4人关注 / 一年前发布,105,"12,886元/平"
恒福美地花园 3室2厅 南,恒福美地花园 -城市假日片区,3室2厅 | 106平米 | 南 | 毛坯 | 中楼层(共29层)  | 塔楼,0人关注 / 4个月以前发布,150,"14,151元/平"
华都汇大三房两厅，一阳台，配套齐全,华都汇 -城市假日片区,4室2厅 | 96平米 | 北 | 毛坯 | 中楼层(共27层)  | 塔楼,0人关注 / 一年前发布,135,"14,063元/平"
电梯房 业主诚心放卖 看房方便 有钥匙,江南世家 -城市假日片区,3室2厅 | 121.26平米 | 北 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 一年前发布,170,"14,020元/平"
御景华府  东南向  户型方正  有钥匙随时可看,御景华府 -赤坎开发区,4室2厅 | 115平米 | 东南 | 毛坯 | 高楼层(共30层)  | 塔楼,0人关注 / 11个月以前发布,175,"15,218元/平"
江南世家  三房  满五唯一  业主工作调动  诚心卖！！,江南世家 -城市假日片区,3室2厅 | 92.5平米 | 东南 | 毛坯 | 中楼层(共28层)  | 板塔结合,18人关注 / 一年前发布,125,"13,514元/平"
汇景名都三房两厅 业主诚心出售 看房提前约即可,汇景名都 -城市假日片区,3室2厅 | 152平米 | 南 北 | 精装 | 高楼层(共19层)  | 板塔结合,4人关注 / 一年前发布,135,"8,882元/平"
清晖嘉园 5室2厅 北,清晖嘉园 -赤坎开发区,5室2厅 | 142平米 | 北 | 毛坯 | 高楼层(共28层)  | 塔楼,0人关注 / 8个月以前发布,182,"12,817元/平"
正规四房 格局方正 采光无限美好,万达海公馆 -赤坎开发区,4室2厅 | 156平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,10人关注 / 一年前发布,200,"12,821元/平"
清晖嘉园 5室1厅 西南,清晖嘉园 -赤坎开发区,5室1厅 | 143平米 | 西南 | 毛坯 | 低楼层(共28层)  | 塔楼,1人关注 / 11个月以前发布,168,"11,749元/平"
清晖嘉园 5室1厅 西南,清晖嘉园 -赤坎开发区,5室1厅 | 142平米 | 西南 | 毛坯 | 低楼层(共28层)  | 塔楼,1人关注 / 11个月以前发布,168,"11,831元/平"
此房业主诚心出售随时签约，户型方正 采光充足,荣基财富广场 -海滨片区,3室2厅 | 129平米 | 东 | 毛坯 | 中楼层(共29层)  | 暂无数据,2人关注 / 一年前发布,220,"17,055元/平"
清晖嘉园 5室2厅 南 北,清晖嘉园 -赤坎开发区,5室2厅 | 148平米 | 南 北 | 毛坯 | 中楼层(共38层)  | 塔楼,0人关注 / 一年前发布,250,"16,892元/平"
房厅出阳台采光好 ，有小花园 ，社区环境好,保利·原景花园 -工农片区,5室2厅 | 165平米 | 南 北 | 毛坯 | 高楼层(共40层)  | 塔楼,2人关注 / 一年前发布,165,"10,000元/平"
前后视野无遮挡 私密性好资金周转。,保利·原景花园 -工农片区,2室2厅 | 81.29平米 | 东南 | 毛坯 | 中楼层(共33层)  | 塔楼,24人关注 / 一年前发布,77,"9,473元/平"
清晖嘉园 4室2厅 东,清晖嘉园 -赤坎开发区,4室2厅 | 133平米 | 东 | 毛坯 | 中楼层(共28层)  | 塔楼,0人关注 / 6个月以前发布,186,"13,985元/平"
步梯低层大户型 实用面积大 业主诚心出售,祺仁新邨 -海滨片区,3室2厅 | 147平米 | 南 | 简装 | 中楼层(共10层)  | 板塔结合,5人关注 / 一年前发布,100,"6,803元/平"
保利原景，采光好 ，小区环境好，物业贴心。,保利·原景花园 -工农片区,4室2厅 | 126.18平米 | 东南 | 毛坯 | 高楼层(共40层)  | 塔楼,1人关注 / 7个月以前发布,120,"9,511元/平"
户型方正，空间利用合理，业主诚心出售,朗悦轩 -工农片区,3室2厅 | 81平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,15人关注 / 一年前发布,81,"10,000元/平"
泰汇广场3房2厅，精装修110万...,泰汇广场 -工农片区,3室2厅 | 110平米 | 东 | 精装 | 低楼层(共32层)  | 暂无数据,7人关注 / 一年前发布,100,"9,091元/平"
鼎盛商圈 兴顺华庭小区 电梯3房 诚意出售 欢迎来电,兴顺华庭 -鼎盛片区,3室2厅 | 146.3平米 | 东 | 简装 | 低楼层(共19层)  | 板塔结合,3人关注 / 一年前发布,120,"8,203元/平"
华都汇商圈 恒福美地 全新毛坯四房 任君装修,恒福美地花园 -城市假日片区,4室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,1人关注 / 8个月以前发布,175,"14,113元/平"
客厅出阳台采光视野无遮挡，阳台空间大。户型方正,保利原宇花园 -工农片区,4室2厅 | 130平米 | 东南 | 精装 | 高楼层(共39层)  | 塔楼,0人关注 / 8个月以前发布,156,"12,000元/平"
华都汇商圈 恒福美地 全新毛坯四房 任君装修,恒福美地花园 -城市假日片区,4室2厅 | 124平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,1人关注 / 8个月以前发布,175,"14,113元/平"
恒福美地花园，4房2厅2卫，毛坯房,恒福美地花园 -城市假日片区,4室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共31层)  | 塔楼,3人关注 / 一年前发布,175,"14,000元/平"
清晖嘉园 4室2厅 南,清晖嘉园 -赤坎开发区,4室2厅 | 108平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,8人关注 / 8个月以前发布,120,"11,112元/平"
盛和园   诚心出售   随时签约,盛和园 -赤坎开发区,4室2厅 | 128.24平米 | 南 北 | 毛坯 | 中楼层(共32层)  | 塔楼,2人关注 / 5个月以前发布,182,"14,193元/平"
盛和园 4室2厅 东,盛和园 -赤坎开发区,4室2厅 | 119平米 | 东 | 毛坯 | 低楼层(共37层)  | 塔楼,0人关注 / 3个月以前发布,168,"14,118元/平"
盛和园 高层全新毛坯 随时看房,盛和园 -赤坎开发区,4室2厅 | 133平米 | 西北 | 毛坯 | 中楼层(共37层)  | 板塔结合,0人关注 / 一年前发布,210,"15,790元/平"
盛和园 3室2厅 南,盛和园 -赤坎开发区,3室2厅 | 105平米 | 南 | 毛坯 | 高楼层(共36层)  | 塔楼,0人关注 / 3个月以前发布,146,"13,905元/平"
盛和园 全新毛坯3房 少有户型 少有价格 手慢无,盛和园 -赤坎开发区,3室2厅 | 105.59平米 | 东 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 3个月以前发布,148,"14,017元/平"
盛和园 4室2厅 南,盛和园 -赤坎开发区,4室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,1人关注 / 一年前发布,220,"16,297元/平"
盛和园 5室2厅 西南,盛和园 -赤坎开发区,5室2厅 | 222.9平米 | 西南 | 毛坯 | 低楼层(共37层)  | 塔楼,2人关注 / 一年前发布,380,"17,049元/平"
绿景园林楼盘，温馨四房带大阳台，小区环境安静舒适,盛和园 -赤坎开发区,4室2厅 | 137.11平米 | 东南 | 毛坯 | 高楼层(共36层)  | 塔楼,0人关注 / 一年前发布,220,"16,046元/平"
招商游轮城 海景房 东南向 采光好 看房方便,招商国际邮轮城 -赤坎开发区,3室2厅 | 105平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,230,"21,905元/平"
业主无欠款 房产证在手 过户方便  密码开门 随时看房,盛和园 -赤坎开发区,4室2厅 | 137.29平米 | 东南 | 毛坯 | 高楼层(共36层)  | 塔楼,2人关注 / 7个月以前发布,195,"14,204元/平"
盛和园 4室2厅 南,盛和园 -赤坎开发区,4室2厅 | 138平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,1人关注 / 2个月以前发布,243,"17,609元/平"
盛和园毛坯 南向双卫的大三房 视野宽阔 前面无遮挡,盛和园 -赤坎开发区,4室2厅 | 118平米 | 东南 | 毛坯 | 高楼层(共37层)  | 塔楼,0人关注 / 3个月以前发布,175,"14,831元/平"
华新小区 3室2厅 东,华新小区 -南站片区,3室2厅 | 88平米 | 东 | 精装 | 高楼层(共9层)  | 板楼,0人关注 / 8个月以前发布,52,"5,910元/平"
城市尚居花园 4室2厅 西南,城市尚居花园 -南站片区,4室2厅 | 92平米 | 西南 | 毛坯 | 高楼层(共25层)  | 暂无数据,1人关注 / 6个月以前发布,102,"11,087元/平"
小高层洋房  安静 前后视野无遮挡 私密性好,城市尚居花园 -南站片区,3室2厅 | 94平米 | 东北 | 毛坯 | 高楼层(共21层)  | 塔楼,0人关注 / 一年前发布,121,"12,873元/平"
南北通透四居室 中高楼层 精装空闲  有钥匙随时能看房,碧桂园城邦花园 -麻章区,4室2厅 | 139.98平米 | 南 北 | 精装 | 中楼层(共33层)  | 塔楼,2人关注 / 5个月以前发布,110,"7,859元/平"
鼎能·东盟城二期 刚需好户型 适中楼层 低价诚售,鼎能·东盟城二期 -京基片区,4室2厅 | 107平米 | 南 | 毛坯 | 中楼层(共24层)  | 暂无数据,6人关注 / 一年前发布,118,"11,029元/平"
恒福美地 对流户型 带大阳台，看花园，安静舒适。,恒福美地花园 -城市假日片区,4室2厅 | 136.11平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,1人关注 / 6个月以前发布,175,"12,858元/平"
硕基新城 2室2厅 南,硕基新城 -南站片区,2室2厅 | 70平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,6人关注 / 一年前发布,50,"7,143元/平"
保利原景花园 毛坯2房随时看房,保利·原景花园 -工农片区,2室2厅 | 71.32平米 | 西北 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,76,"10,657元/平"
城市尚居花园，稀有小4房  业主诚心出售 方便看房,城市尚居花园 -南站片区,4室2厅 | 86平米 | 西南 | 毛坯 | 高楼层(共25层)  | 暂无数据,0人关注 / 6个月以前发布,118,"13,721元/平"
华都汇 4室2厅 南,华都汇 -城市假日片区,4室2厅 | 100平米 | 南 | 毛坯 | 低楼层(共27层)  | 塔楼,1人关注 / 8个月以前发布,138,"13,800元/平"
皇冠城   3房2厅1厨2卫    业主诚心出售,皇冠城 -城市假日片区,3室2厅 | 112平米 | 东 | 毛坯 | 高楼层(共42层)  | 暂无数据,0人关注 / 2个月以前发布,140,"12,500元/平"
此房户型好 价格优惠 业主诚售 中高楼层 看房方便,海东广场 -坡头区,3室2厅 | 96.41平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,92,"9,543元/平"
清晖嘉园 5室1厅 东南,清晖嘉园 -赤坎开发区,5室1厅 | 142平米 | 东南 | 毛坯 | 低楼层(共28层)  | 塔楼,3人关注 / 11个月以前发布,168,"11,831元/平"
