标题,开发商,房子信息,发布信息,售价/万,单价
伽蓝艺墅 2室2厅 南,伽蓝艺墅 -邯山区,2室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 15天以前发布,104,"9,044元/平"
赵都新城美和园 2室2厅 南,赵都新城美和园 -邯山区,2室2厅 | 97平米 | 南 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 23天以前发布,99,"10,207元/平"
贸易街甲117号院 3室2厅 南,贸易街甲117号院 -邯山区,3室2厅 | 111平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 31天以前发布,106,"9,550元/平"
安联水晶坊 2室1厅 南,安联水晶坊 -丛台区,2室1厅 | 93.66平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 24天以前发布,90,"9,610元/平"
急售 春晖小区 双阳面卧室 老证 地下室广泰创鑫美乐城,春晖小区(丛台区) -丛台区,2室2厅 | 74.53平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 31天以前发布,72,"9,661元/平"
水库家属院 3室1厅 南 北,水库家属院 -邯山区,3室1厅 | 79.46平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 30天以前发布,73,"9,188元/平"
荣盛阿尔卡迪亚阳光苑 3室2厅 南 北,荣盛阿尔卡迪亚阳光苑 -邯山区,3室2厅 | 100平米 | 南 北 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 29天以前发布,119,"11,900元/平"
今日佳园 2室2厅 南,今日佳园 -邯山区,2室2厅 | 98.45平米 | 南 | 其他 | 低楼层(共12层)  | 暂无数据,0人关注 / 1个月以前发布,115,"11,682元/平"
中兴嘉苑 2室2厅 南 北,中兴嘉苑 -武安市,2室2厅 | 96平米 | 南 北 | 其他 | 中楼层(共15层)  | 暂无数据,0人关注 / 24天以前发布,93,"9,688元/平"
内燃机家属院 3室1厅 南 北,内燃机家属院 -邯山区,3室1厅 | 73.5平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,51,"6,939元/平"
赵都新城盛和园 3室2厅 南 北,赵都新城盛和园 -邯山区,3室2厅 | 128.16平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,142,"11,080元/平"
新上 邯钢路17号院 南北通透 老证 房龄02年 渚河路 27,邯钢路17号院 -邯山区,2室2厅 | 74.73平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 21天以前发布,60,"8,029元/平"
德馨园 2室2厅 南 北,德馨园 -邯山区,2室2厅 | 112平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 26天以前发布,115,"10,268元/平"
邯峰小区 3室2厅 南 北,邯峰小区 -邯山区,3室2厅 | 94.27平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 31天以前发布,115,"12,200元/平"
赵都新城福和园 2室2厅 南 北,赵都新城福和园 -邯山区,2室2厅 | 98平米 | 南 北 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 19天以前发布,98,"10,000元/平"
首付12万，光明小 学 +工程大 学 附 中 双气 带小房,南苑小区 -邯山区,2室1厅 | 61平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,58,"9,509元/平"
劳动路63号 2室1厅 南,劳动路63号 -邯山区,2室1厅 | 40平米 | 南 | 其他 | 低楼层(共5层)  | 暂无数据,0人关注 / 19天以前发布,42,"10,500元/平"
天润雅园 3室2厅 南 北,天润雅园 -邯山区,3室2厅 | 143.32平米 | 南 北 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,120,"8,373元/平"
邯峰小区 3室2厅 东 西,邯峰小区 -邯山区,3室2厅 | 140平米 | 东 西 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,125,"8,929元/平"
十处小区 3室1厅 南 北,十处小区 -武安市,3室1厅 | 70平米 | 南 北 | 其他 | 低楼层(共4层)  | 暂无数据,0人关注 / 30天以前发布,56,"8,000元/平"
内燃机家属院 3室1厅 南 北,内燃机家属院 -邯山区,3室1厅 | 73.5平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,51,"6,939元/平"
赵都新城盛和园 3室2厅 南 北,赵都新城盛和园 -邯山区,3室2厅 | 128.16平米 | 南 北 | 其他 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,142,"11,080元/平"
赵都新城福和园 2室2厅 南 北,赵都新城福和园 -邯山区,2室2厅 | 98平米 | 南 北 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 19天以前发布,98,"10,000元/平"
盛世长安 2室1厅 南 北,盛世长安 -肥乡区,2室1厅 | 91平米 | 南 北 | 其他 | 中楼层(共12层)  | 暂无数据,0人关注 / 23天以前发布,56,"6,154元/平"
幸福小区 3室1厅 南 北,幸福小区 -丛台区,3室1厅 | 100平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 26天以前发布,92,"9,200元/平"
老证可贷款，南北通透标准大二居格局,贸易街99号院 -邯山区,2室1厅 | 65平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 22天以前发布,60,"9,231元/平"
农林路84号院 3室1厅 南,农林路84号院 -邯山区,3室1厅 | 68平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 19天以前发布,61.5,"9,045元/平"
棉一生活区 2室1厅 南 北,棉一生活区 -邯山区,2室1厅 | 55平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 19天以前发布,50,"9,091元/平"
滏园新村4号院 3室2厅 南 北,滏园新村4号院 -邯山区,3室2厅 | 79平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 20天以前发布,83,"10,507元/平"
美的131平168万 精装南北大三室可贷款 给全新家电家具,美的▪幸福时光 -丛台区,3室2厅 | 131.42平米 | 南 北 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 23天以前发布,168,"12,784元/平"
赵都新城盛和园 3室2厅 南,赵都新城盛和园 -邯山区,3室2厅 | 93平米 | 南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 28天以前发布,105,"11,291元/平"
精装修 两梯四户 双气 两室两厅户型方正,丰泰小区南区 -复兴区,2室2厅 | 86.4平米 | 西北 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 18天以前发布,65,"7,524元/平"
建岭5号院西山棉三小区 2室1厅 南 北,建岭5号院西山棉三小区 -复兴区,2室1厅 | 57.6平米 | 南 北 | 其他 | 高楼层(共4层)  | 暂无数据,0人关注 / 18天以前发布,42,"7,292元/平"
仁达嘉苑 2室2厅 南,仁达嘉苑 -丛台区,2室2厅 | 101.2平米 | 南 | 简装 | 低楼层(共26层)  | 暂无数据,0人关注 / 18天以前发布,116,"11,463元/平"
丛台区，中华北大街旁，三楼大三居南北通透，老证,北海庄园 -丛台区,3室2厅 | 123.68平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,105,"8,490元/平"
中煤第六十九处家属院 2室1厅 南,中煤第六十九处家属院 -复兴区,2室1厅 | 50平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 29天以前发布,43,"8,600元/平"
琴苑小区 3室2厅 南 北,琴苑小区 -丛台区,3室2厅 | 118.25平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,125,"10,571元/平"
泽信和熙府 3室2厅 南,泽信和熙府 -复兴区,3室2厅 | 104平米 | 南 | 其他 | 低楼层(共28层)  | 暂无数据,0人关注 / 17天以前发布,100,"9,616元/平"
恒大翡翠华庭电梯房南北通透看房提前联系,恒大翡翠华庭 -丛台区,3室1厅 | 140.8平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 19天以前发布,168,"11,932元/平"
广安小区 2室2厅 南 北,广安小区 -丛台区,2室2厅 | 64平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 31天以前发布,78,"12,188元/平"
心海假日 3室1厅 南 北,心海假日 -丛台区,3室1厅 | 110平米 | 南 北 | 其他 | 中楼层(共22层)  | 暂无数据,0人关注 / 24天以前发布,79,"7,182元/平"
满五唯一 红本在手 用心装修 该小区优质两室诚心出售,永新里小区 -丛台区,2室1厅 | 62平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,57,"9,194元/平"
宜家花园 全阳两室 可贷款 二十五本部 价格可谈,宜家花园 -丛台区,2室2厅 | 86平米 | 南 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 21天以前发布,90,"10,466元/平"
城东街2号院 2室1厅 南,城东街2号院 -丛台区,2室1厅 | 50.8平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,51,"10,040元/平"
春厂小区 2室1厅 南 北,春厂小区 -丛台区,2室1厅 | 52.67平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 20天以前发布,115,"21,835元/平"
精装房两室两厅南北通透采光好；；；,清真肉联厂家属院 -复兴区,2室1厅 | 51.6平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,0人关注 / 23天以前发布,35,"6,783元/平"
人和三期 育华  临天鸿 配套齐全 老证可贷款 看房方便,人和三期 -丛台区,2室2厅 | 101.64平米 | 南 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 23天以前发布,106,"10,429元/平"
三中家属院 2室2厅 南 北,三中家属院 -丛台区,2室2厅 | 68.7平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,67,"9,753元/平"
安居•东城首府 2室2厅 南,安居•东城首府 -丛台区,2室2厅 | 98平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 30天以前发布,128,"13,062元/平"
安居•东城首府 2室2厅 南,安居•东城首府 -丛台区,2室2厅 | 104平米 | 南 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 18天以前发布,130,"12,500元/平"
宜家花园 全阳两室 可贷款 二十五本部 价格可谈,宜家花园 -丛台区,2室2厅 | 86平米 | 南 | 其他 | 中楼层(共31层)  | 暂无数据,0人关注 / 21天以前发布,90,"10,466元/平"
美乐城龙湖大剧院 好楼层 价格美丽 诚心出售,广厦路甲2号院 -丛台区,3室2厅 | 98平米 | 北 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 17天以前发布,89,"9,082元/平"
蓝天金地 2室1厅 南,蓝天金地 -丛台区,2室1厅 | 65平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 18天以前发布,62,"9,539元/平"
和润嘉园 3室2厅 南 北,和润嘉园 -邯山区,3室2厅 | 131平米 | 南 北 | 其他 | 中楼层(共34层)  | 暂无数据,0人关注 / 23天以前发布,125,"9,542元/平"
中华巷58号院二楼老证唯一带地下室。,邯山区中华巷58号院 -邯山区,3室1厅 | 75.22平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 17天以前发布,72,"9,572元/平"
万浩家园 2室2厅 南,万浩家园 -邯山区,2室2厅 | 98.9平米 | 南 | 其他 | 高楼层(共31层)  | 板塔结合,0人关注 / 17天以前发布,98,"9,909元/平"
十处小区 2室1厅 南 北,十处小区 -武安市,2室1厅 | 56平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 30天以前发布,46,"8,215元/平"
锦江花园（肥乡区） 3室2厅 南 北,锦江花园（肥乡区） -肥乡区,3室2厅 | 130平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,85,"6,539元/平"
农林路84号院精装未住老证唯一带小房邯山实验汉光南,农林路84号院 -邯山区,2室1厅 | 48平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 18天以前发布,66,"13,750元/平"
光华苑二期南院 3室2厅 南 北,光华苑二期南院 -复兴区,3室2厅 | 128平米 | 南 北 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 17天以前发布,106,"8,282元/平"
保利堂悦 2室1厅 南,保利堂悦 -丛台区,2室1厅 | 89平米 | 南 | 其他 | 低楼层(共29层)  | 板楼,0人关注 / 23天以前发布,120,"13,484元/平"
阳光领地 3室2厅 南 北,阳光领地 -丛台区,3室2厅 | 140.41平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,0人关注 / 4个月以前发布,175,"12,464元/平"
东部美的城 189平 东区品质小区 现房出售 有证可贷款,东部美的城 -丛台区,3室2厅 | 189平米 | 南 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 一年前发布,230,"12,170元/平"
时代城 4室2厅 南 北,时代城 -邯山区,4室2厅 | 166平米 | 南 北 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 一年前发布,230,"13,856元/平"
东区好位置，7层洋房户型，环境好。,罗兰春天 -丛台区,4室2厅 | 144平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 一年前发布,215,"14,931元/平"
洋房 四居室 东部中间地段现房出售 随时入住 随时看房,罗兰春天 -丛台区,4室2厅 | 170平米 | 南 北 | 其他 | 中楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,340,"20,000元/平"
人车分流，首付不高，贷款方式不限，商贷公积金。,家和小区B区 -丛台区,3室2厅 | 132.8平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,153,"11,522元/平"
西南庄前亍15号院 2室1厅 南 北,西南庄前亍15号院 -丛台区,2室1厅 | 60平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,46,"7,667元/平"
青年路好楼层在售！老证首套！急售！看房方便！,青年路5号院 -丛台区,2室1厅 | 42.93平米 | 南 北 | 其他 | 中楼层(共4层)  | 暂无数据,0人关注 / 5个月以前发布,40,"9,318元/平"
精装 好房 看房方便 真实在售 业主好沟通,昌源小区 -复兴区,3室2厅 | 93平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,97,"10,431元/平"
四中小区 3室2厅 北 南,四中小区 -丛台区,3室2厅 | 139平米 | 北 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,148,"10,648元/平"
丰源小区  三居室  老证 可贷款小区环境好,丰源小区 -丛台区,3室2厅 | 105平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,14人关注 / 一年前发布,90,"8,572元/平"
鑫域国际 东区核 心地段 交通方便 视野好环境好,鑫域国际 -丛台区,3室2厅 | 185平米 | 南 | 其他 | 中楼层(共29层)  | 平房,0人关注 / 一年前发布,210,"11,352元/平"
单价低，大四居，低公摊，老证，出行方便,玉铁苑小区 -复兴区,4室2厅 | 161.16平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,1人关注 / 8个月以前发布,120,"7,447元/平"
万博园大三居婚房 老证唯一 户型方正 南北通透,东方萬博園 -丛台区,3室2厅 | 138.5平米 | 南 北 | 其他 | 高楼层(共26层)  | 暂无数据,3人关注 / 一年前发布,185,"13,358元/平"
万浩家园 3室2厅 南,万浩家园 -邯山区,3室2厅 | 150.68平米 | 南 | 其他 | 高楼层(共27层)  | 暂无数据,0人关注 / 7个月以前发布,135,"8,960元/平"
小区环境优美，内有健身器材和娱乐广场,新科园 -丛台区,3室2厅 | 148.13平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,140,"9,452元/平"
赵都商场家属院 三局 户型好南北通透楼层好有证,赵都商场家属院 -丛台区,3室2厅 | 105.5平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,99,"9,384元/平"
房子精装修南北通透带家具家电拎包入住,兴源小区 -丛台区,3室2厅 | 125平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 8个月以前发布,113,"9,040元/平"
碧桂园优质物业 一梯一户 精装交付 北湖公园 荀子三小,碧桂园越溪府 -丛台区,4室2厅 | 142平米 | 南 北 | 其他 | 中楼层(共17层)  | 暂无数据,0人关注 / 6个月以前发布,185,"13,029元/平"
康德商圈 市中 心位置 大四居室 看房方便,国风29号院小区 -丛台区,4室2厅 | 150平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,140,"9,334元/平"
邯郸市新华书店家属楼  和平路中柳东街交叉口,邯郸县新华书店家属院 -丛台区,3室1厅 | 90平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,85,"9,445元/平"
丛台公园，万达商场，实用面积大，学步桥永和里,永和里社区 -丛台区,2室1厅 | 47.41平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,43,"9,070元/平"
汉成华都 经典南北通透户型 精装修 带地下室 邻高铁站,汉成华都 -丛台区,3室2厅 | 143平米 | 南 北 | 其他 | 高楼层(共34层)  | 板塔结合,2人关注 / 一年前发布,158,"11,049元/平"
拉德芳斯好户型三居室，精装修位置好，诚心卖,美的.拉德芳斯南区 -丛台区,5室2厅 | 212平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,260,"12,265元/平"
邯郸明珠花园C区 3室2厅 南,邯郸明珠花园C区 -邯山区,3室2厅 | 137平米 | 南 | 简装 | 高楼层(共33层)  | 暂无数据,2人关注 / 4个月以前发布,160,"11,679元/平"
赵苑官邸，精装修，观景房。电梯房，交通方便,赵苑观邸 -复兴区,3室2厅 | 123平米 | 南 北 东 | 其他 | 高楼层(共22层)  | 暂无数据,3人关注 / 一年前发布,116,"9,431元/平"
采光充足的一层 进出方便 有证贷款 看房方便 急售,丰逸小区 -复兴区,3室2厅 | 128平米 | 南 北 | 其他 | 低楼层(共24层)  | 暂无数据,0人关注 / 7个月以前发布,90,"7,032元/平"
建材家属院楼层好，价格低，捡漏户型,建材家属院 -复兴区,3室1厅 | 68.6平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,1人关注 / 一年前发布,60,"8,747元/平"
阳光领地 三居室  看房方便 有钥匙,阳光领地 -丛台区,3室2厅 | 140平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,1人关注 / 一年前发布,170,"12,143元/平"
拉德芳斯南区，好楼层风景好，四居精装，有证随时看房,美的.拉德芳斯南区 -丛台区,4室2厅 | 192平米 | 南 北 | 其他 | 中楼层(共33层)  | 板楼,1人关注 / 5个月以前发布,205,"10,678元/平"
绿树林枫116万 精装中楼层 带部分家具 6平米地下室,绿树林枫小区 -复兴区,3室2厅 | 101.33平米 | 南 | 精装 | 中楼层(共9层)  | 暂无数据,2人关注 / 8个月以前发布,116,"11,448元/平"
万博园 精装未住 满五唯一 全明格局四室 过户费2万多,东方萬博園 -丛台区,4室2厅 | 174平米 | 南 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 2个月以前发布,188,"10,805元/平"
汉成华都 四室 精装 带家具家电 可贷款 双阳台,汉成华都 -丛台区,4室2厅 | 169平米 | 南 北 | 其他 | 高楼层(共32层)  | 塔楼,2人关注 / 一年前发布,210,"12,427元/平"
丛台区实验 23中 都市田园大三居 老证唯一 看房方便,都市田园小区 -丛台区,3室2厅 | 126平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,160,"12,699元/平"
万浩枫景四居室带车位精装修可贷款好楼层,万浩枫景 -丛台区,4室2厅 | 139平米 | 南 北 | 其他 | 中楼层(共31层)  | 板楼,0人关注 / 3个月以前发布,160,"11,511元/平"
土地局家属院 实用面积150平 四居室 多层三楼 格局好,丛台区土地局家属院 -丛台区,5室2厅 | 110平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,165,"15,000元/平"
光华苑精装大三室带家具家电地下室南北通透可贷款,光華苑北区 -复兴区,3室2厅 | 142平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,130,"9,155元/平"
美乐城 桂花苑 双卫大三居 老证唯一 急售,桂花苑小区 -丛台区,3室2厅 | 122.15平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,115,"9,415元/平"
百五小区  3室1厅 南北通透  老证唯一,邯钢百五生活区 -复兴区,3室1厅 | 68.5平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,56,"8,176元/平"
百岭小区 2室2厅 南 北,百岭小区 -复兴区,2室2厅 | 88平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,82,"9,319元/平"
金丰小区 3室2厅 南 北,金丰小区 -复兴区,3室2厅 | 128.05平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,125,"9,762元/平"
光华苑二期中间楼层精装修带家具家电老证急售,光华苑二期南院 -复兴区,2室2厅 | 101平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,88,"8,713元/平"
复兴优质地段~采光好~交通便利~,天兆家园 -复兴区,2室2厅 | 100平米 | 南 | 其他 | 高楼层(共26层)  | 暂无数据,0人关注 / 一年前发布,110,"11,000元/平"
陵西大街旁三楼一梯   两户带小  房,茂盛苑小区79号院 -邯山区,3室2厅 | 93平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,88,"9,463元/平"
万达附 近 永平里小区 中华侨 医院 丛台公园 窦庄小区,窦庄社区 -丛台区,4室2厅 | 240平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,260,"10,834元/平"
房主诚心出售 好楼层 毛坯新房,汉成华都 -丛台区,3室2厅 | 136平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,11人关注 / 一年前发布,134,"9,853元/平"
丛台公园，工人剧院，新世纪土山街泰达院三中,土山前街32号院 -丛台区,3室2厅 | 100.67平米 | 南 北 | 其他 | 高楼层(共5层)  | 暂无数据,1人关注 / 5个月以前发布,93,"9,239元/平"
顺田君邑 3室2厅 北 南,顺田君邑 -丛台区,3室2厅 | 136.7平米 | 北 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,150,"10,973元/平"
房本110平，多50平实际面积，老证可贷款天鸿育华旁,丛台区土地局家属院 -丛台区,5室2厅 | 110平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,139,"12,637元/平"
此房老证，楼层好，精装修，拎包入住。,新科园 -丛台区,5室2厅 | 237平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,280,"11,815元/平"
鑫域国际 带平台 精装四室 可贷款 落地窗 诚心出售,鑫域国际 -丛台区,4室2厅 | 223平米 | 南 北 | 其他 | 低楼层(共29层)  | 暂无数据,1人关注 / 3个月以前发布,230,"10,314元/平"
拉德芳斯 四室 老证 有钥匙 随时看房,美的.拉德芳斯南区 -丛台区,4室2厅 | 139平米 | 南 北 | 其他 | 中楼层(共27层)  | 塔楼,1人关注 / 一年前发布,200,"14,389元/平"
房本110平，多50平实际面积，老证可贷款天鸿育华旁,丛台区土地局家属院 -丛台区,5室2厅 | 110平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,139,"12,637元/平"
铁路大院 3室2厅 南 北,铁路大院 -复兴区,3室2厅 | 105平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,101,"9,620元/平"
绿树临风 南北通透  采光好 老证唯一,绿树林枫小区 -复兴区,5室2厅 | 171平米 | 南 北 | 其他 | 高楼层(共11层)  | 暂无数据,2人关注 / 一年前发布,154,"9,006元/平"
西小屯社区 3室1厅 南 北,西小屯社区 -复兴区,3室1厅 | 103平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,9人关注 / 10个月以前发布,40,"3,884元/平"
锦花小区............,锦花小区 -复兴区,3室2厅 | 145平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,1人关注 / 8个月以前发布,136.8,"9,435元/平"
人民路 水利花园 中间楼层 毛坯大三居 满五年,水利花园 -复兴区,3室2厅 | 126平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,150,"11,905元/平"
铁路大院三室两厅一厨一卫，南北通透，楼层好交通便利,铁路大院 -复兴区,3室2厅 | 89平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,80,"8,989元/平"
欣欣苑小区 3室1厅 南 北,欣欣苑小区 -复兴区,3室1厅 | 88.65平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,70,"7,897元/平"
永华 新城 40年产权，精装，  新证 包过户 可贷款,永华新城 -丛台区,3室2厅 | 144.32平米 | 南 北 | 其他 | 高楼层(共31层)  | 暂无数据,4人关注 / 5个月以前发布,105,"7,276元/平"
汉成华都 3室2厅 南,汉成华都 -丛台区,3室2厅 | 149平米 | 南 | 其他 | 高楼层(共34层)  | 塔楼,0人关注 / 4个月以前发布,150,"10,068元/平"
房证满两年，南北通透格局，中间楼层，采光好视野广,书香门邸小区 -邯山区,2室2厅 | 98.6平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,96,"9,737元/平"
"东环附，近单价7000,6层顶，143平，实际157平",华信路66号 -邯山区,3室2厅 | 143平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,100,"6,994元/平"
育德花园北苑 五楼非顶 满五唯一 税费低 带小房,育德花园北苑 -邯山区,3室2厅 | 127.11平米 | 南 北 | 简装 | 高楼层(共5层)  | 暂无数据,4人关注 / 一年前发布,126.8,"9,976元/平"
荣盛阿尔卡迪亚阳光苑 3室2厅 南 北,荣盛阿尔卡迪亚阳光苑 -邯山区,3室2厅 | 100平米 | 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,130,"13,000元/平"
家和小区 精装 三居室 有证 可贷款 带地下室,家和小区A区 -丛台区,3室2厅 | 124.76平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 一年前发布,152,"12,184元/平"
陵西大街77号院  南北通透 好楼层 19年新装，老证,陵西南大街七十七号院 -邯山区,3室2厅 | 93.98平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,93,"9,896元/平"
劳动路甲82号院 3室2厅 南 北,劳动路甲82号院 -邯山区,3室2厅 | 98平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,90,"9,184元/平"
万浩枫景 大三居 餐客一体 大阳台 全明户型 老证唯一,万浩枫景 -丛台区,3室2厅 | 118平米 | 南 | 其他 | 高楼层(共31层)  | 板楼,1人关注 / 6个月以前发布,133,"11,272元/平"
位置好，两居室，老证！可以贷款！,邯山区罗城头8号院铁路住宅小区 -邯山区,2室1厅 | 50.6平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,45,"8,894元/平"
中华大街两旁 精装修 带地下室 车位 单价八千多,颐景蓝湾 -邯山区,3室2厅 | 121平米 | 南 北 | 其他 | 高楼层(共24层)  | 暂无数据,4人关注 / 6个月以前发布,110,"9,091元/平"
赵都新城朗和园 3室2厅 南 北,赵都新城朗和园 -邯山区,3室2厅 | 144平米 | 南 北 | 其他 | 中楼层(共28层)  | 暂无数据,1人关注 / 7个月以前发布,149,"10,348元/平"
