标题,开发商,房子信息,发布信息,售价/万,单价
南岗区 学府地铁好房 复旦街 哈西 枫蓝国际 采光充足,枫蓝国际 -哈西商圈,1室1厅 | 62.83平米 | 南 | 精装 | 32层  | 板楼,1人关注 / 8个月以前发布,68,"10,823元/平"
哈师大职工住宅楼交通便利配套齐全,哈师大职工住宅(卓展路) -哈尔滨新区,2室1厅 | 98平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,60.8,"6,205元/平"
地处安埠商圈 生活便利 交通路线多 配套全。,公滨城市花园 -农大商圈,2室1厅 | 52平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,38,"7,308元/平"
群力家园 南北通透 前后无遮挡  全天采光,群力家园E区 -群力新区,2室2厅 | 113.33平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 5个月以前发布,115,"10,148元/平"
小区环境好 周卫配套成熟 采光充足,河润街 -公路大桥,2室1厅 | 65.83平米 | 南 西 北 | 精装 | 中楼层(共7层)  | 板楼,5人关注 / 8个月以前发布,39.8,"6,046元/平"
辽河小区一室一厅 南向 中间楼层 视野宽阔 拎包入住,辽河小区 -先锋路商圈,1室1厅 | 33平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,20.5,"6,213元/平"
格局板正，楼层好，视野开阔，采光充足，配套设施齐全,光芒街(革新街) -革新教堂,2室1厅 | 74.96平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,59.8,"7,978元/平"
香安街 哈六中后身 低楼层  两室 东西通透 交通便利,香安街 -菜艺商圈,2室1厅 | 48.14平米 | 东 西 | 简装 | 低楼层(共9层)  | 板楼,5人关注 / 4个月以前发布,29.5,"6,128元/平"
出售松北区奥林小镇两室明厅精装修拎包入住135米93万,奥林小镇 -松北商圈,2室1厅 | 135.06平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,93,"6,886元/平"
格局通透 采光充足 交通便利 百盛商圈 小区绿化好,江尚逸品 -靖宇公园,2室1厅 | 111平米 | 南 北 | 简装 | 高楼层(共25层)  | 板楼,16人关注 / 一年前发布,64,"5,766元/平"
富达蓝山 二环里 会展旁 房主诚心出售,富达蓝山 -先锋路商圈,2室1厅 | 111.28平米 | 南 北 | 精装 | 低楼层(共29层)  | 板楼,3人关注 / 一年前发布,99,"8,897元/平"
新发小区两室一厅采光充足楼层好楼下儿童公园,新发小区 -新发小区大润发,2室1厅 | 70平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,11人关注 / 一年前发布,48,"6,858元/平"
一室一厅 中间好楼层阳光视野好。朝向好,远大中央公园 -先锋路商圈,1室1厅 | 65平米 | 西 | 简装 | 中楼层(共13层)  | 板楼,4人关注 / 4个月以前发布,72,"11,077元/平"
二室明厅 封闭高层小区 采光好 无大税,好民居滨港水岸D区 -靖宇公园,2室1厅 | 85.66平米 | 东 南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 2个月以前发布,63,"7,355元/平"
群力家园两室毛坯，价格便宜采光充足不遮不挡看房方便,群力家园E区 -群力新区,2室1厅 | 113.33平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板楼,27人关注 / 一年前发布,99.8,"8,807元/平"
柏悦星城 两室明厅 封闭小区 交通便利 绿化好  采光好,柏悦星城 -先锋路商圈,2室1厅 | 64.11平米 | 东北 | 毛坯 | 高楼层(共29层)  | 板楼,14人关注 / 一年前发布,45,"7,020元/平"
地铁口 军安绿色家园复式有装修没有大税看房方便,军安绿色家园 -松北商圈,4室2厅 | 162平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,16人关注 / 8个月以前发布,58,"3,581元/平"
保利公园九号3室2卫南北通透精装修产权证满五年电梯房,保利公园九号 -松北商圈,3室2厅 | 140平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,24人关注 / 8个月以前发布,100,"7,143元/平"
北岸明珠高层3室，精装修没大税，南北通透，看房方便,北岸明珠 -松北商圈,3室1厅 | 126.15平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,4人关注 / 一年前发布,130,"10,306元/平"
成熟小区 交通方便 配套齐全 小区绿化好 封闭小区,盛世香湾 -松北商圈,2室1厅 | 113.81平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,5人关注 / 5个月以前发布,85,"7,469元/平"
此房满五年，采光充足，视野宽阔，无冷不挡，格局好,辽河小区 -先锋路商圈,2室1厅 | 63.36平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,52.8,"8,334元/平"
澜悦东方  新上房源 精装修 拎包入住 下楼地铁口,瀾悦東方 -动力区,2室1厅 | 86平米 | 南 北 | 精装 | 中楼层(共21层)  | 板楼,0人关注 / 1个月以前发布,122,"14,187元/平"
澜悦东方 新上房源 精装修  拎包入住  中间楼层,瀾悦東方 -动力区,2室1厅 | 77平米 | 东 西 北 | 精装 | 中楼层(共23层)  | 板楼,0人关注 / 1个月以前发布,90,"11,689元/平"
花园天悦国际精装一居室中间楼层看房方便业主诚心出售,天悦国际 -哈西商圈,1室1厅 | 47平米 | 南 | 简装 | 30层  | 板楼,2人关注 / 一年前发布,49,"10,426元/平"
采光充足 视野开阔   交通便利,红旗小区（淮河路） -先锋路商圈,1室1厅 | 33.41平米 | 东 西 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,20,"5,987元/平"
香坊美霖嘉园封闭小区06年可公积金二室一厅开发区,美霖嘉园 -万达商圈,2室1厅 | 120平米 | 南 东 | 简装 | 低楼层(共26层)  | 板楼,17人关注 / 一年前发布,135,"11,250元/平"
双凯德 精装修楼层好 配套齐全 交通便利,天合小区 -顾乡凯德广场,1室1厅 | 42.66平米 | 东 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,33.5,"7,853元/平"
善上居 一室明厅婚装修两年 价格可谈急售,善上居 -南岗会展商圈,1室1厅 | 88.2平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,2人关注 / 2个月以前发布,88,"9,978元/平"
红旗一楼 出行方便 户型板正 交通便利,红旗小区（淮河路） -先锋路商圈,2室1厅 | 60平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,1人关注 / 5个月以前发布,38.8,"6,467元/平"
此房满五 不唯一 采光好 楼层好 格局也好下楼就是市场,大水晶街 -承德广场,1室0厅 | 28平米 | 东 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 9个月以前发布,16.8,"6,000元/平"
顾乡工农大街 美晨家园 电梯房 两室明厅 采光视野好,美晨家园 -顾乡大街,2室1厅 | 95.5平米 | 南 西 北 | 精装 | 低楼层(共19层)  | 板塔结合,13人关注 / 一年前发布,82,"8,587元/平"
马家街建设街，两室家装。位置好，交通便利,马家街 -花园铁岭继红校,2室1厅 | 56.82平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,59.8,"10,525元/平"
联部街 2室1厅 南 西,联部街 -海城市场商圈,2室1厅 | 55平米 | 南 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,29.8,"5,419元/平"
滨江新城好民居精装修，视野好，格局好,滨江新城好民居 -玛克威,2室1厅 | 72.41平米 | 西 北 | 精装 | 高楼层(共31层)  | 板楼,1人关注 / 3个月以前发布,49,"6,768元/平"
南北向 高楼层 视野开阔 配套设施齐全 交通便利,睿城 -农大商圈,1室0厅 | 48平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,3人关注 / 一年前发布,31,"6,459元/平"
新新怡园小区，大两室，一线观江，南北，毛坯房,新新怡园 -松北商圈,2室1厅 | 142平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,7人关注 / 一年前发布,112,"7,888元/平"
山水美地 电梯中间层 70.28米71万不谈 视野开阔采光好,群力新苑东区 -工农大街,2室1厅 | 70.28平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,17人关注 / 一年前发布,69.8,"9,932元/平"
果园星城电梯房 东西通透 两室明厅 格局好 精装修,果园星城B区 -安埠商圈,2室1厅 | 130平米 | 东 西 | 精装 | 高楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,113.5,"8,731元/平"
道台府一线观江  两室明厅 带装修 拎包即住 看房方便,悦庭松江 -玛克威,2室1厅 | 99.36平米 | 东 西 | 精装 | 低楼层(共33层)  | 板楼,8人关注 / 9个月以前发布,73,"7,348元/平"
二环内的好小区：住着舒服，行着方便！,紫金城 -建国公园,2室1厅 | 117.9平米 | 东 西 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 一年前发布,113,"9,585元/平"
松北新区 永安城 一室一厅 中间楼层 诚心出售,永安城 -松北商圈,1室1厅 | 57.58平米 | 南 | 简装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,38,"6,600元/平"
时代广场 会展 红博 龙塔 黄河路 红旗大街 比优特,时代广场 -龙塔,2室2厅 | 134平米 | 西 | 简装 | 高楼层(共21层)  | 塔楼,0人关注 / 一年前发布,100,"7,463元/平"
经纬街2楼，价格可讲，随时看房,经纬街 -中央大街,2室1厅 | 47平米 | 西 | 简装 | 低楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,26.8,"5,703元/平"
1995年 儿童公园  秋林商圈  交通便利 出行方便,中和街 -儿童公园,2室1厅 | 71.58平米 | 东 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,57,"7,964元/平"
安埠南区 二室南向格局  拎包即主,安埠小区南区 -安埠商圈,2室1厅 | 56.06平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,21人关注 / 一年前发布,35,"6,244元/平"
格局好，正规格局，采光没有问题，出行便利,宣西小区 -宣西宣庆体院,2室1厅 | 65平米 | 西 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,43,"6,616元/平"
高档小区 繁华地段 万达 地铁 继红校,万达华宅E区 -哈西商圈,2室1厅 | 91.81平米 | 东南 | 精装 | 31层  | 板楼,40人关注 / 一年前发布,117,"12,744元/平"
中植方洲苑 年限新 可以公积金 对着体院 出行方便,中植方洲苑 -南岗分局十三中,2室1厅 | 118平米 | 东 西 | 简装 | 低楼层(共7层)  | 板楼,19人关注 / 一年前发布,79.8,"6,763元/平"
枫蓝国际 婚装 两室 小区忠心位置 地铁300米,枫蓝国际 -哈西商圈,2室1厅 | 90.83平米 | 东南 | 精装 | 32层  | 板楼,0人关注 / 1个月以前发布,100,"11,010元/平"
封闭小区   两室明厅  南北通透  中间楼层  精装修,文海溪畔 -海城市场商圈,2室1厅 | 94平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,1人关注 / 1个月以前发布,92.8,"9,873元/平"
20多W装修 新风系统 21 视野开阔 满二无尾,中海寰宇天下 -群力新区,2室1厅 | 100平米 | 南 北 | 其他 | 中楼层(共34层)  | 板楼,15人关注 / 5个月以前发布,146.5,"14,650元/平"
视野辽阔 两室明厅 精装修 户型规整 交通便利 地铁,恒祥城一期 -哈西商圈,2室1厅 | 98.84平米 | 东 南 | 简装 | 低楼层(共32层)  | 板楼,2人关注 / 3个月以前发布,89.8,"9,086元/平"
商圈完善设施配套齐全，出行方便，购物便利,好民居滨港水岸D区 -靖宇公园,2室1厅 | 63平米 | 南 | 简装 | 低楼层(共25层)  | 板楼,0人关注 / 2个月以前发布,48,"7,620元/平"
此房采光好楼层中等 环境优雅 小区干净 出入方便,新发小区D区 -新发小区大润发,1室1厅 | 33平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,4人关注 / 3个月以前发布,13,"3,940元/平"
罗马 封闭 电梯 地铁 精装 拎包入住 满五,罗马公元 -安埠商圈,2室1厅 | 98.17平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,105,"10,696元/平"
南岗区  铁工街地铁口 哈工大商圈  西大直街 4楼 两室,铁工街 -哈特百脑汇教化工大,2室1厅 | 55平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,9人关注 / 一年前发布,32,"5,819元/平"
楼层好  朝向好  首付低 着急出售  价格便宜,南直小区 -哈东站商圈,2室1厅 | 52.13平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,6人关注 / 一年前发布,24.8,"4,758元/平"
南直路 橄榄城 两室一厅 看房方便,橄榄城 -哈东站商圈,2室1厅 | 69.38平米 | 东南 | 简装 | 高楼层(共25层)  | 板楼,7人关注 / 8个月以前发布,53,"7,640元/平"
道台府 江畔方元 二室一厅 无个税,江畔方元 -玛克威,2室1厅 | 66.46平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,4人关注 / 4个月以前发布,56,"8,427元/平"
中间楼层 东西通透两室格局 无冷不挡 雷锋 马端街,马端街 -宣西宣庆体院,2室1厅 | 72平米 | 东 西 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 3个月以前发布,54,"7,500元/平"
电梯小高层 精装一室 单南向 采光充足,永安城 -松北商圈,1室1厅 | 57.09平米 | 南 | 精装 | 高楼层(共18层)  | 板楼,15人关注 / 一年前发布,43,"7,532元/平"
聚源花园 南北 两居室 简单装修,聚源花园 -哈尔滨新区,2室1厅 | 65平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,4人关注 / 一年前发布,28,"4,308元/平"
西大直街 桥北小区 封闭小区  可公积金 中间楼层 三室,桥北小区 -哈特百脑汇教化工大,3室1厅 | 85平米 | 南 西 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,70,"8,236元/平"
双兴小区，2010年可以公积金，2楼，格局板正,双兴小区 -师大附小沙曼小区,2室1厅 | 66平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,11人关注 / 一年前发布,58.8,"8,910元/平"
南北通透一室一厅精装修无冷不挡交通便利,光华小区 -公路大桥,1室1厅 | 64.78平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 1个月以前发布,39.8,"6,144元/平"
家园新城 两室明厅  124米 128万 南北通透,家园新城 -安埠商圈,2室1厅 | 124平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 一年前发布,95,"7,662元/平"
小区位置好，环境好，格局板正，采光充足，出行方便,柒季城 -哈尔滨新区,2室1厅 | 77.92平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,2人关注 / 9个月以前发布,42,"5,391元/平"
无遮挡 规矩规整 无浪费地方，此房老少皆宜，俩室明厅,仁里兴业 -玛克威,2室1厅 | 75.67平米 | 西南 | 简装 | 高楼层(共26层)  | 板塔结合,1人关注 / 4个月以前发布,72.8,"9,621元/平"
房子处于繁华地段格局板正采光好出行方便离省医院比较,中山国际 -菜艺商圈,2室2厅 | 113.72平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 6个月以前发布,128,"11,256元/平"
群力天鹅湾两室明厅好楼层采光好,天鹅湾 -群力新区,2室1厅 | 106平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 8个月以前发布,130,"12,265元/平"
伸马托斯卡纳 H户型 楼层好 满二 可贷款 诚心出售,伸马托斯卡纳 -哈尔滨新区,2室2厅 | 117.5平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 4个月以前发布,77,"6,554元/平"
南岗 延兴路中兴街地矿花园小区 两室明厅精装 拎包住,地矿花园 -师大附小沙曼小区,2室1厅 | 48平米 | 西 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,36.5,"7,605元/平"
优质房源，诚心售房， 有证可贷款 手续齐全 通透户型,绿水小区 -松北商圈,2室1厅 | 104.83平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,43,"4,102元/平"
此房满五唯一，横看索菲亚   中大街，   日落晚霞。,宝宇荣耀上城 -南马校,2室2厅 | 125平米 | 东 西 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 5个月以前发布,149.8,"11,984元/平"
【太平桥百盛商圈】两室一厅精装修电梯高层南北通透,沃华水岸 -太平商圈,2室1厅 | 82.24平米 | 南 北 | 精装 | 低楼层(共12层)  | 板塔结合,9人关注 / 9个月以前发布,85.8,"10,433元/平"
团结 萧红 格局板正户型好 交通便利  产权清晰无纠纷,公司街 -团结萧红校哈站北秀宾馆,2室1厅 | 55.69平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,59.5,"10,685元/平"
滨江凤凰城310号楼3楼，采光好，,滨江凤凰城 -玛克威,2室1厅 | 77.8平米 | 西南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,61.8,"7,944元/平"
天地人和 2室明厅 精装 没有大税 采光好,恒大天地人和 -群力新区,2室1厅 | 84.77平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,8人关注 / 一年前发布,111,"13,095元/平"
电梯房17楼 中层 精装采光好视野好交通方便 有房产证,好民居滨港水岸D区 -靖宇公园,2室1厅 | 69.14平米 | 西 | 精装 | 中楼层(共28层)  | 板楼,3人关注 / 一年前发布,60,"8,679元/平"
哈西 继红 南北向 园林水系 采光好 户型方正,纳帕英郡 -哈西商圈,1室1厅 | 70平米 | 南 | 精装 | 33层  | 板楼,4人关注 / 一年前发布,84.8,"12,115元/平"
三楼南北 前后不挡无冷山 位置好 采光充足 自己精装修,和平小区 -先锋路商圈,2室1厅 | 61.46平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,9人关注 / 8个月以前发布,41.8,"6,802元/平"
配套好，出行都方便，成熟商圈   是您的优选,河鼓街 -公路大桥,1室1厅 | 30平米 | 西 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 10个月以前发布,17,"5,667元/平"
电梯房 地铁口 九带十复式顶楼南北通透,运华广场道里区 -公路大桥,3室2厅 | 171.24平米 | 南 北 | 精装 | 中楼层(共21层)  | 板楼,46人关注 / 一年前发布,108,"6,307元/平"
此房采光好二期 交通便利 私产无大税,远大都市明珠南区 -群力新区,1室1厅 | 73平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,1人关注 / 5个月以前发布,63,"8,631元/平"
西大直街  贵新街 西桥小区  法院街,西桥小区 -哈特百脑汇教化工大,2室1厅 | 59.09平米 | 西南 东北 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,48,"8,124元/平"
北岸明珠 实验 小高层 两室精装  房本满五  诚意出售,北岸明珠 -松北商圈,2室1厅 | 129.43平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,9人关注 / 3个月以前发布,128,"9,890元/平"
此房满五唯一，南北通透 格局空间够用  没有浪费面积,南极三道街 -南马校,2室2厅 | 64平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 9个月以前发布,34.5,"5,391元/平"
下楼地铁口，离凯德近，师大陪读。2007年房子,学府名苑(南岗区) -师大附小沙曼小区,1室1厅 | 65平米 | 西 | 简装 | 中楼层(共4层)  | 板塔结合,0人关注 / 6个月以前发布,36.8,"5,662元/平"
大众国际 精装修 拎包住 满二可贷款 看房方便,大众·国际 -哈尔滨新区,2室2厅 | 99平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,65,"6,566元/平"
道里顾乡过渡交通便利南朝向房主诚心出售,康安小区(道里区) -顾乡大街,2室1厅 | 50.94平米 | 南 | 简装 | 中楼层(共9层)  | 板楼,0人关注 / 1个月以前发布,29.8,"5,851元/平"
下楼地铁口，离凯德近，师大陪读。2007年房子,学府名苑(南岗区) -师大附小沙曼小区,1室1厅 | 65平米 | 西 | 简装 | 中楼层(共4层)  | 板塔结合,0人关注 / 6个月以前发布,36.8,"5,662元/平"
滨江新城好民居  两室一厅  私产有证,滨江新城好民居 -玛克威,2室1厅 | 87.28平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,71,"8,135元/平"
此房满五唯一南北通透格局楼层好视野宽阔采光充足,蓝天荣府 -龙塔,2室2厅 | 125.48平米 | 南 北 | 简装 | 高楼层(共22层)  | 塔楼,0人关注 / 5个月以前发布,136.5,"10,879元/平"
福宏名城，12年房产，可公积金，三阳房精装修拎包即住,福宏名城 -南马校,2室1厅 | 66平米 | 西 | 精装 | 中楼层(共33层)  | 板楼,2人关注 / 3个月以前发布,55.8,"8,455元/平"
永安城小区带装修看房方便两室一厅,永安城 -松北商圈,2室1厅 | 103平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 一年前发布,77,"7,476元/平"
马家沟 70  两室明厅  3楼 南北通透  精装修,新发小区F区 -新发小区大润发,2室1厅 | 60平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 1个月以前发布,51.7,"8,617元/平"
7080·汇龙物业·花园69中·出行方便商圈成熟·,柒零捌零城仕公馆 -哈西商圈,2室1厅 | 74.43平米 | 南 西 | 精装 | 低楼层(共31层)  | 板楼,10人关注 / 一年前发布,89.9,"12,079元/平"
两室一厅 南北通透 楼层好位置佳 地铁口,果园星城C区 -安埠商圈,2室1厅 | 79平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,10人关注 / 一年前发布,61.8,"7,823元/平"
小区绿化高达80%。封闭小区，小区保安24小时巡逻,金瑞林城 -动力区,2室1厅 | 104平米 | 南 北 | 简装 | 中楼层(共31层)  | 板楼,7人关注 / 一年前发布,95,"9,135元/平"
龙塔 公园 配套齐全 公交便利 3室明厅,荣耀宝座 -万达商圈,2室1厅 | 160平米 | 西 北 | 简装 | 低楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,95,"5,938元/平"
会展商圈 三楼 南北通透 装修好 格局板正,红旗小区（淮河路） -先锋路商圈,2室1厅 | 90平米 | 南 北 | 精装 | 中楼层(共8层)  | 板塔结合,2人关注 / 2个月以前发布,62,"6,889元/平"
东升江郡14楼62.4米报价36.8万可谈两室电梯,东升江郡 -靖宇公园,2室1厅 | 62.4平米 | 西 | 简装 | 中楼层(共32层)  | 板塔结合,26人关注 / 5个月以前发布,38.8,"6,218元/平"
安和街 两室一厅，拎包即住 全天采光 格局好,安和街 -安字片,2室1厅 | 52.42平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,46,"8,776元/平"
南岗区哈站博物馆北京街民益街精装两室明厅拎包即住,北京街 -团结萧红校哈站北秀宾馆,2室1厅 | 47.56平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,45.8,"9,630元/平"
哈西柒零捌零2室1厅70米83万,柒零捌零城仕公馆 -哈西商圈,2室1厅 | 70平米 | 南 | 简装 | 中楼层(共31层)  | 板楼,3人关注 / 4个月以前发布,83,"11,858元/平"
精装修  2楼 南北通透  马家沟  两室明厅,芦家街 -马家沟校大成街,2室1厅 | 61.37平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,58.6,"9,549元/平"
西大直街，神舟名邸，哈工大，教化，西大桥，哈特,神舟名邸 -哈特百脑汇教化工大,2室2厅 | 133.9平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,5人关注 / 一年前发布,158,"11,800元/平"
群力中海寰宇天下精装修LOFT干净整洁,中海寰宇天下 -群力新区,1室1厅 | 37平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,7人关注 / 一年前发布,66,"17,838元/平"
【太平桥百盛商圈】百盛楼上电梯高层两室明厅精装修,润达国际 -船舶军工,2室1厅 | 93.4平米 | 东 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 3个月以前发布,110,"11,778元/平"
中北春城 2室1厅 东 西,中北春城 -省医院商圈,2室1厅 | 92.31平米 | 东 西 | 其他 | 中楼层(共7层)  | 板楼,5人关注 / 5个月以前发布,96.5,"10,454元/平"
家园新城2012年繁华地段 交通便利配套齐全精装修,家园新城 -安埠商圈,3室1厅 | 136.87平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,2人关注 / 一年前发布,98,"7,161元/平"
此房，精装修，楼层好 ，格局好,福宏名城 -南马校,1室1厅 | 52平米 | 西 | 其他 | 中楼层(共25层)  | 板楼,0人关注 / 一年前发布,50,"9,616元/平"
道里海富康城c区 一楼适合老人居住带花园,海富康城 -公路大桥,1室1厅 | 40平米 | 南 | 简装 | 低楼层(共6层)  | 板塔结合,12人关注 / 5个月以前发布,26,"6,500元/平"
马家沟  两室  97年 能公积基金  随时可以看,分部街 -儿童公园,3室1厅 | 107.12平米 | 西南 | 简装 | 中楼层(共8层)  | 板楼,1人关注 / 7个月以前发布,65,"6,068元/平"
两室明厅 中间楼层三楼 精装修 采光好 可公积金,仪兴小区 -仪兴商圈,2室1厅 | 57.95平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,20人关注 / 一年前发布,57,"9,837元/平"
南北通透，楼层好，无遮挡，交通便利，出行方便,哈药小区南区(香坊区) -动力区,2室1厅 | 65.78平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 1个月以前发布,38,"5,777元/平"
澜悦东方 新上房源 精装修 拎包入住  出门地铁口,瀾悦東方 -动力区,2室2厅 | 98平米 | 东 西 | 精装 | 中楼层(共20层)  | 板楼,1人关注 / 1个月以前发布,120,"12,245元/平"
群力工农大街 两室大明厅85万 近地铁 楼层采光好,新城花园 -工农大街,2室1厅 | 95.36平米 | 南 北 西 | 精装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,85,"8,914元/平"
哈站，秋林，博物馆，团结，萧红,凤翥街 -团结萧红校哈站北秀宾馆,3室1厅 | 70.65平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,65,"9,201元/平"
两室明厅 H格局 南北通透 精装修 拎包入住 万科物业,瀾悦東方 -动力区,2室1厅 | 81.57平米 | 南 北 | 精装 | 高楼层(共21层)  | 板楼,7人关注 / 一年前发布,118,"14,467元/平"
视野宽阔  采光好  交通便利,橄榄城 -哈东站商圈,2室1厅 | 63.5平米 | 南 北 | 简装 | 中楼层(共28层)  | 板楼,2人关注 / 一年前发布,50,"7,875元/平"
阳 光 充 足 没 有 大 税 精 装 修,玉翠秀府 -动力区,2室1厅 | 54.01平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,5人关注 / 一年前发布,16.4,"3,037元/平"
保利观澜，正规南北通透！好楼层有装修！,保利观澜 -松北商圈,2室1厅 | 86.3平米 | 南 北 | 精装 | 中楼层(共26层)  | 板楼,23人关注 / 5个月以前发布,80.3,"9,305元/平"
三个朝向 很亮堂 格局好通透 有独立进户门厅,盛世香湾 -松北商圈,2室2厅 | 92.95平米 | 南 西 北 | 精装 | 低楼层(共18层)  | 板楼,10人关注 / 6个月以前发布,60,"6,456元/平"
哈尔滨市第二医院哈尔滨火车站东站，桦树街地铁站,进步小区 -先锋路商圈,1室1厅 | 33平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 9个月以前发布,15,"4,546元/平"
房子通透 出行方便 楼层好 拎包入住 采光充足,星园小区 -先锋路商圈,2室1厅 | 64.17平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,10人关注 / 一年前发布,44.5,"6,935元/平"
小区环境好有景观园林绿化自然水系保安,珠江帝景 -南岗会展商圈,1室1厅 | 63平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,3人关注 / 一年前发布,68,"10,794元/平"
南北通透 中间楼层  看房方便 采光好 配套设施全,红河一街区 -太平商圈,2室1厅 | 66平米 | 南 北 | 简装 | 中楼层(共9层)  | 板楼,4人关注 / 一年前发布,53,"8,031元/平"
