标题,开发商,房子信息,发布信息,售价/万,单价
地理位置好，小区环境好，户型通透 采光好，读书方便,电信花园 -八字门,3室1厅 | 127.78平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,77.88,"6,095元/平"
此房格局通透，为次新花园小区步梯房，公摊少,岳阳碧桂園 -城陵矶,3室2厅 | 124.1平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 17天以前发布,80,"6,447元/平"
十中 中层电梯 首尔 精装  满2 接受贷款,首尔东成樽品 -五里牌,3室2厅 | 77.7平米 | 南 北 | 精装 | 高楼层(共30层)  | 塔楼,0人关注 / 19天以前发布,73,"9,396元/平"
户型好 南北朝向 千亩湖 洞庭湖 南湖湖景房 证齐可贷,环球中心 -桥西,4室2厅 | 140.29平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 17天以前发布,138,"9,837元/平"
八字门园林小区 天邦珍珠湾 精装修 带院子 拎包入住,天邦珍珠湾 -八字门,2室2厅 | 90平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 24天以前发布,95,"10,556元/平"
远鹏·壹品 3室2厅 南 北,远鹏·壹品 -八字门,3室2厅 | 102.39平米 | 南 北 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 31天以前发布,62,"6,056元/平"
巴陵中路 单位品质小区 交通便利 此房户型周正 纯板房,金税荣城 -八字门,4室2厅 | 147平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 16天以前发布,79,"5,375元/平"
王家 河 畔 二 医 院 对 面  南北通透,天伦溪山府 -八字门,3室2厅 | 119.95平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 暂无数据,1人关注 / 22天以前发布,65.8,"5,486元/平"
小区环境良好，采光通透，交通方便,环球中心 -桥西,3室2厅 | 92平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 18天以前发布,75,"8,153元/平"
房间采光足，户型周正，小区环境安静，保安24小时执勤,板桥幸福小区 -新路口,3室2厅 | 93.02平米 | 南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,78.8,"8,472元/平"
步行街，东方红学  校，年丰巷，建行家属区,年丰巷社区 -步行街,2室2厅 | 74.48平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,5人关注 / 7个月以前发布,42,"5,640元/平"
步行街，电子研究所单位房，武商,电子研究所家属楼 -步行街,3室2厅 | 115平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,58,"5,044元/平"
千亩湖 南湖美食街 电梯大三 房证件齐全 接受贷款,三辉家园 -螺丝港,3室2厅 | 146.11平米 | 南 | 简装 | 高楼层(共9层)  | 塔楼,2人关注 / 一年前发布,81,"5,544元/平"
佳境怡苑 步梯房低层 户型周正大三房 精装修保养好,佳境怡苑 -湘阴县,3室2厅 | 132.72平米 | 南 北 | 其他 | 低楼层(共8层)  | 暂无数据,2人关注 / 一年前发布,64.8,"4,883元/平"
南湖风光带 朝阳  精装大三房 拎包入住,亨利阁小区 -南湖,3室2厅 | 146.64平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 5个月以前发布,69.8,"4,760元/平"
岳纺 洞麻三区 精装三房 带杂物间 仅售56.8万,洞麻三区 -岳纺,3室2厅 | 102.41平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 21天以前发布,56.8,"5,547元/平"
宗棠步行街 宜居楼层 清水毛坯坐北朝南 3房2厅,宗棠商业步行街 -湘阴县,3室2厅 | 129平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,46.8,"3,628元/平"
小区重新翻新，24小时有门卫，停车方便，出行方便。,岳阳市琵琶王邮政小区 -东升社区,2室2厅 | 80.54平米 | 南 | 简装 | 高楼层(共6层)  | 塔楼,0人关注 / 2个月以前发布,44.8,"5,563元/平"
东风湖广济医院岳纺生活区步梯2楼中装三房50万,洞麻一区 -岳纺,3室2厅 | 88.61平米 | 南 北 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 4个月以前发布,49,"5,530元/平"
此房户型周正、楼层好，单价低，性 价 比 高。,清华苑小区 -南湖新区,4室2厅 | 156平米 | 北 南 | 其他 | 低楼层(共27层)  | 塔楼,1人关注 / 一年前发布,79.8,"5,116元/平"
八字门高铁站市妇幼旁美的梧桐庄园电梯3房带车位,美的梧桐庄园 -东站,4室2厅 | 132.69平米 | 南 北 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 16天以前发布,105,"7,914元/平"
带车位 南湖美食街 金鹗山 小高层电梯洋房,中建湖山壹号 -苗圃,3室2厅 | 104平米 | 南 北 | 其他 | 高楼层(共17层)  | 板塔结合,2人关注 / 8个月以前发布,90,"8,654元/平"
麦子港规划院小区3房2厅中间楼层带杂物间出售,麦子港规划院小区 -南湖,3室2厅 | 123平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 1个月以前发布,63,"5,122元/平"
琵琶王花园小区精装大三房带露台80万,琵琶王花园小区 -洛王,3室2厅 | 168.3平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,80,"4,754元/平"
南景花园在千亩湖、六中旁边，简装大三房。,南景花園 -桥西,3室2厅 | 140平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 16天以前发布,56,"4,000元/平"
步行街北辅道路桥三公司家属房 证件齐全满2年接受贷款,路桥三公司家属院 -步行街,3室2厅 | 100.21平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,9人关注 / 8个月以前发布,48.5,"4,840元/平"
建湘路  南苑小区   三房二厅一厨一卫    拎包入住,南苑小区 -新路口,3室2厅 | 108.95平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,51.8,"4,755元/平"
急火车站中医院鹰山社区2楼精装3房证齐可贷款好停车,鹰山社区 -岳城,3室2厅 | 69.28平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 3个月以前发布,47,"6,785元/平"
市区  十二 站东 铁路小区 简装大两房,铁路生活小区 -火车站,2室2厅 | 77平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,31.8,"4,130元/平"
新路口小区，大五房，电梯精装修。,新路口小区 -新路口,5室2厅 | 155.92平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,80.5,"5,163元/平"
南湖新区，叠墅，环境优美，带2个大露台,尚阳香颂 -南湖新区,5室2厅 | 220平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,2人关注 / 一年前发布,241.8,"10,991元/平"
八字门珍珠山星河国际 滨水新境界电梯中层大三房,滨水·新境界 -八字门,3室2厅 | 141.14平米 | 南 | 简装 | 中楼层(共16层)  | 板楼,0人关注 / 5个月以前发布,96,"6,802元/平"
香樟园毛培三楼大三房带车位出售,香樟園 -八字门,3室2厅 | 143.51平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,91.5,"6,376元/平"
楼层好，八字门地段，二医院旁，有电梯带杂物间,教师新村 -八字门,3室2厅 | 108.33平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 3个月以前发布,52.5,"4,847元/平"
带阁楼不收费，王家河畔大型园林小区。,富興華城 -八字门,3室2厅 | 107.06平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,57,"5,325元/平"
城陵矶 芭蕉湖 碧桂园小三房可看湖景,岳阳碧桂園 -城陵矶,3室2厅 | 90.72平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,3人关注 / 9个月以前发布,49,"5,402元/平"
南湖千亩湖旁 大3房中间楼层 看房方便,渔光新村 -南湖,3室2厅 | 153.91平米 | 南 | 其他 | 中楼层(共4层)  | 平房,0人关注 / 11个月以前发布,75,"4,873元/平"
荷杏花园 低层 低首付 南北通透 交通便利 停车方便,荷杏花园 -君山区,3室2厅 | 104.91平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,31.6,"3,013元/平"
园林小区 精装三房 五里牌 巴陵星城 证齐全可贷款,玉鑫巴陵星城 -五里牌,3室2厅 | 106.53平米 | 南 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 13天以前发布,96,"9,012元/平"
青年路，沃土尔玛，太阳场市场，,青年东路南 -八字门,3室2厅 | 159.72平米 | 东南 西北 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 5个月以前发布,59.8,"3,745元/平"
圣安福邸 小区环境雅静 物业负责 四室二厅,圣安福邸 -南湖新区,4室2厅 | 142.9平米 | 南 北 | 毛坯 | 高楼层(共12层)  | 板楼,0人关注 / 1个月以前发布,90,"6,299元/平"
珍珠山公园  翠碧山庄  交通方便,翠碧山莊 -八字门,3室2厅 | 135平米 | 南 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 12天以前发布,100,"7,408元/平"
中南批发交易大市场 3室2厅 南 北,中南批发交易大市场 -八字门,3室2厅 | 118平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,52.8,"4,475元/平"
大润发，天伦国际三期毛坯三房，中间楼层证齐接受贷款,天伦国际 -五里牌,3室2厅 | 115平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,1人关注 / 4个月以前发布,108,"9,392元/平"
市区  十二 站东 铁路小区 简装大两房,铁路生活小区 -火车站,2室2厅 | 77平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 10天以前发布,31.8,"4,130元/平"
急火车站中医院鹰山社区2楼精装3房证齐可贷款好停车,鹰山社区 -岳城,3室2厅 | 69.28平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,1人关注 / 3个月以前发布,47,"6,785元/平"
火车站铁路小区 大两室带杂物间 南北通采光好,铁路生活小区 -火车站,2室2厅 | 75.51平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,39,"5,165元/平"
太子花园泰康楼精装大三房业主急售,太子花园 -桥西,3室2厅 | 125.29平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,62,"4,949元/平"
东升社区  中间楼层带十多平大杂物间  拎包入住,东升社区 -东升社区,2室2厅 | 70平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 11天以前发布,43.9,"6,272元/平"
此房户型周正，诚心出售，价格实惠,欣登中央公園 -无效,1室1厅 | 43.07平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 6个月以前发布,37.5,"8,707元/平"
中航联排别墅东边户，自带300平花园。,中航·翡翠湾 -八字门,3室2厅 | 225平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 7天以前发布,440,"19,556元/平"
立交桥妇幼 带一个大露台 交通方便,上東一城 -洛王,3室2厅 | 119.46平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 6天以前发布,70,"5,860元/平"
岳阳 洛王 园林小区 毛坯大三房 43平露台,上東一城 -洛王,3室2厅 | 119.32平米 | 南 | 毛坯 | 高楼层(共18层)  | 板塔结合,0人关注 / 6天以前发布,70,"5,867元/平"
洞庭湖边 央企  繁华的街道 户型方正、采光通风,金茂洞庭生态创新城 -九华山,4室2厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 8天以前发布,123,"8,849元/平"
香洲名都 4室2厅 南 北,香洲名都 -南湖,4室2厅 | 160平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,105,"6,563元/平"
银泰小区 大四房带车库 交通方便,银泰小区 -八字门,4室2厅 | 168平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,135,"8,036元/平"
中建 · 岳阳中心 3室1厅 南,中建 · 岳阳中心 -新路口,3室1厅 | 97平米 | 南 | 其他 | 低楼层(共31层)  | 板塔结合,0人关注 / 6天以前发布,78.8,"8,124元/平"
中航翡翠湾，全湖景，小区环境优美，带车位,中航·翡翠湾 -八字门,3室2厅 | 119平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 3天以前发布,120,"10,085元/平"
春晖花园，户型周正，采光，北港十九中，十五中,金子湾春晖花园 -八字门,4室2厅 | 139平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 4天以前发布,90,"6,475元/平"
中建 · 岳阳中心 3室1厅 南,中建 · 岳阳中心 -新路口,3室1厅 | 97平米 | 南 | 其他 | 低楼层(共31层)  | 板塔结合,0人关注 / 6天以前发布,78.8,"8,124元/平"
中航翡翠湾，全湖景，小区环境优美，带车位,中航·翡翠湾 -八字门,3室2厅 | 119平米 | 南 北 | 精装 | 高楼层(共33层)  | 板塔结合,0人关注 / 3天以前发布,120,"10,085元/平"
小区环境优雅，户型南北通透，采光好。,星河国际 -八字门,3室2厅 | 108平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 4天以前发布,98,"9,075元/平"
春晖花园，户型周正，采光，北港十九中，十五中,金子湾春晖花园 -八字门,4室2厅 | 139平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 4天以前发布,90,"6,475元/平"
洞庭湖边 央企  繁华的街道 户型方正、采光通风,金茂洞庭生态创新城 -九华山,4室2厅 | 139平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 8天以前发布,123,"8,849元/平"
香洲名都 4室2厅 南 北,香洲名都 -南湖,4室2厅 | 160平米 | 南 北 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,105,"6,563元/平"
南湖新区 海伦堡路 滨水翡丽城 证齐满二 可贷,滨水翡丽城 -南湖新区,3室2厅 | 120.5平米 | 南 | 毛坯 | 中楼层(共23层)  | 暂无数据,0人关注 / 5天以前发布,85,"7,054元/平"
银泰小区 大四房带车库 交通方便,银泰小区 -八字门,4室2厅 | 168平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 8天以前发布,135,"8,036元/平"
阳光美居 3室2厅 南,阳光美居 -冷水铺,3室2厅 | 126平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3天以前发布,75,"5,953元/平"
雷锋山DADA的水岸2梯5户 70年产权湖景精装公寓,DADA的水岸 -雷锋山,1室1厅 | 45平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,5人关注 / 8个月以前发布,39,"8,667元/平"
八字门园林小区，钻石山，电梯毛坯两房，中层，可贷款,天邦·钻石山 -八字门,2室2厅 | 89.9平米 | 南 | 毛坯 | 中楼层(共28层)  | 板楼,7人关注 / 9个月以前发布,54.8,"6,096元/平"
新路口 市妇幼 电梯毛坯三房 证齐可贷款 随时看房,湘岳兰庭 -新路口,3室2厅 | 97平米 | 南 | 毛坯 | 中楼层(共30层)  | 暂无数据,3人关注 / 一年前发布,70,"7,217元/平"
天伦国际 五里牌 花板桥 温馨两房 精装修拎包入住,天伦国际 -五里牌,2室2厅 | 78平米 | 南 | 精装 | 低楼层(共29层)  | 暂无数据,1人关注 / 8个月以前发布,87,"11,154元/平"
枫桥尚城东风湖中医院精装修两房证件齐全户型周正,枫桥尚城 -岳城,2室1厅 | 76平米 | 南 北 | 精装 | 中楼层(共11层)  | 塔楼,0人关注 / 2个月以前发布,63,"8,290元/平"
缤纷年华 证件齐全 中间楼层 精装两房 拎包入住,缤纷年华 -新路口,2室2厅 | 102平米 | 南 | 精装 | 低楼层(共31层)  | 塔楼,3人关注 / 7个月以前发布,66,"6,471元/平"
市 中 心 精装2楼 拎包入住 18中旁,湖南建工集团湖南省第三工程有限公司岳阳分公司 -岳纺,2室1厅 | 56.37平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,39.6,"7,026元/平"
巴陵尚都诚心出售，价格实惠，交通方便，商圈成熟。,巴陵尚都 -火车站,2室2厅 | 90平米 | 南 | 精装 | 中楼层(共28层)  | 塔楼,1人关注 / 一年前发布,78,"8,667元/平"
南湖新区 湖景房 精装 恒大南湖半岛 证齐全可贷,恒大南湖半岛 -桥西,3室2厅 | 108平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 一年前发布,92,"8,519元/平"
花板桥 十 中天伦步行街边 湘隆园三房,湘隆园 -天伦城,3室2厅 | 105.21平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,6人关注 / 一年前发布,52,"4,943元/平"
南湖花园必看好房，纯湖景，中高楼层。,南湖花園 -南湖,4室2厅 | 148平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 一年前发布,158,"10,676元/平"
娄子房 上站前 步行街 金岳花园 三楼 接受贷款,金岳花园 -火车站,2室2厅 | 85.25平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,39,"4,575元/平"
金地花园 精装两房 证件在手拎包入住,金地花园 -冷水铺,2室2厅 | 85.91平米 | 南 | 精装 | 低楼层(共16层)  | 塔楼,2人关注 / 4个月以前发布,46,"5,355元/平"
火车站 步行街 润华时代中心精装一房一厅 接受贷款,润华时代中心 -火车站,1室1厅 | 66平米 | 南 北 | 精装 | 中楼层(共22层)  | 塔楼,0人关注 / 8天以前发布,48,"7,273元/平"
小区位于岳阳市妇幼保健院深蓝时代的正方地处市区繁华,湘岳兰庭 -新路口,3室2厅 | 143平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 5个月以前发布,78,"5,455元/平"
新路口 市妇幼 电梯高层 毛坯三房 证件齐全 诚心出售,湘岳兰庭 -新路口,2室2厅 | 94.8平米 | 南 | 其他 | 低楼层(共30层)  | 暂无数据,2人关注 / 5个月以前发布,52,"5,486元/平"
格局好 采光好 户型周正 读书方便,中南批发交易大市场 -八字门,4室2厅 | 125平米 | 南 | 精装 | 中楼层(共5层)  | 板塔结合,1人关注 / 5个月以前发布,65,"5,200元/平"
小区位于岳阳市妇幼保健院深蓝时代的正方地处市区繁华,湘岳兰庭 -新路口,2室2厅 | 94.8平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 5个月以前发布,54,"5,697元/平"
东升，七中，电梯中层装修保养好 拎包入住,锦城嘉园 -新路口,4室2厅 | 150.1平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,0人关注 / 4个月以前发布,110,"7,329元/平"
南湖 美食街 湖景花园旁 电梯精装房  靠步行街金鹗山,三辉家园 -螺丝港,3室2厅 | 146.2平米 | 南 北 | 精装 | 高楼层(共9层)  | 塔楼,0人关注 / 3个月以前发布,110,"7,524元/平"
南湖广场 苗圃 万隆花园 楼梯精装三房 中间楼层 证齐,万隆花园 -苗圃,3室2厅 | 130.23平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,70,"5,376元/平"
毛坯洋房环境好，价格实惠，交通方便商圈成熟人车分流,滨湖•新境界 -南湖新区,3室2厅 | 132平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,105,"7,955元/平"
户型周正，电梯房，交通方便，配套周全。,中建彩虹阁 -新路口,2室2厅 | 86.73平米 | 南 | 其他 | 中楼层(共23层)  | 塔楼,0人关注 / 2个月以前发布,69,"7,956元/平"
交通便捷，业主诚心出售，已满两年，紧挨东升,金税小区 -东升社区,3室2厅 | 140.69平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,85,"6,042元/平"
"东升星城 三室 简装 环境好,生活配套,交通方便",東升星城 -东升社区,3室2厅 | 121.95平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,1人关注 / 11个月以前发布,92.8,"7,610元/平"
花板桥天伦繁华地带 天伦国际 精装三房 证件满2年,天伦国际 -五里牌,3室2厅 | 125平米 | 南 北 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 一年前发布,130,"10,400元/平"
生产资料精装三房，楼层好，可拎包入住,生产资料服务公司住宅区 -螺丝港,3室2厅 | 138.08平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,74,"5,360元/平"
美食街 千庙湖 电梯两房精装修 欣登中央公园 满五唯一,欣登中央公園 -无效,2室2厅 | 96.55平米 | 北 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 6个月以前发布,83,"8,597元/平"
洞庭美域4室2厅2卫  好楼层 业主诚心出售,洞庭美域 -岳阳楼区,4室2厅 | 136.86平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,73,"5,334元/平"
临港新区城陵矶碧桂园 高层3房 30万装修的好房出售,岳阳碧桂園 -城陵矶,3室2厅 | 89.9平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 8个月以前发布,65,"7,231元/平"
炮台山  东方红 精装电梯 三房 满五唯一 诚心出售,美丽家园小区 -炮台山,3室2厅 | 120.26平米 | 南 | 精装 | 中楼层(共16层)  | 塔楼,0人关注 / 3个月以前发布,105,"8,732元/平"
南湖美食街  螺丝港 金鶚山居民小区 三室低层可贷,金鹗山居民小区 -螺丝港,3室2厅 | 97.23平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,45,"4,629元/平"
此小区物业管理完善，采光好，物业人员贴心，楼中楼,八中家属区 -李家冲,4室2厅 | 157.82平米 | 南 | 精装 | 高楼层(共4层)  | 暂无数据,1人关注 / 9个月以前发布,98,"6,210元/平"
城陵矶临港 恒泰雅园 精装大3房可调整4房 满2年无抵押,芭蕉湖 · 恒泰雅园 -城陵矶,3室2厅 | 134.38平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,0人关注 / 9个月以前发布,75,"5,582元/平"
新路口 沃尔 玛大润发 楼区政府小区 加装电梯精装房,楼区政府家属区 -五里牌,3室2厅 | 125.64平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,88.2,"7,021元/平"
南湖广场 南湖税务局旁 巴陵石化对 面 三楼带一个车库,中诚乐园小区 -苗圃,4室2厅 | 169.08平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,14人关注 / 7个月以前发布,87,"5,146元/平"
南湖公园 朝阳  花板桥步步高 精装大四房，交通方便,杏林小区 -花板桥,4室2厅 | 150平米 | 南 | 精装 | 中楼层(共8层)  | 塔楼,2人关注 / 9个月以前发布,87,"5,800元/平"
交通便捷，地理位置好，商圈众多，居住舒适,运通街社区 -五里牌,3室2厅 | 108平米 | 南 北 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 4个月以前发布,75,"6,945元/平"
步行街地段 单位房 有院子好停车 闹中取静 好楼层,路桥一公司 -步行街,3室2厅 | 110.53平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,16人关注 / 一年前发布,68,"6,153元/平"
火车站五里牌步行街东茅岭南湖东方红一楼带大院子,市政府老家属区 -炮台山,3室2厅 | 89平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,65,"7,304元/平"
花板桥步步高旁精装修大三房单位房带阁楼优价出售！,枫叶巷公路局宿舍 -鲤鱼嘴社区,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 15天以前发布,69.5,"5,941元/平"
东站旁带车位高层四房首付3十几个达不溜，满两年,君临国际新城 -东站,3室2厅 | 150.39平米 | 南 | 毛坯 | 高楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,85,"5,652元/平"
八字门 王家河 精装四房 证齐可贷款 随时看房,启明星花园 -八字门,4室2厅 | 159.43平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,92,"5,771元/平"
环球中心 3室2厅 南,环球中心 -桥西,3室2厅 | 105平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 15天以前发布,100,"9,524元/平"
东站八字门 恒大绿洲 临街门面 低 价出手 在营业中,恒大绿洲 -东站,4室1厅 | 125.93平米 | 北 | 精装 | 低楼层(共1层)  | 板楼,0人关注 / 6个月以前发布,121,"9,609元/平"
现房！带车位！南湖新区碧桂园精装三房，证齐可贷,碧桂园·凤凰城 -南湖新区,3室2厅 | 117.64平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,85,"7,226元/平"
恒大绿洲 3室2厅 南,恒大绿洲 -东站,3室2厅 | 124平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 17天以前发布,95,"7,662元/平"
南湖千亩湖 南湖壹号 精装九成新 大三房 证齐可贷满二,南湖壹号 -南湖新区,3室2厅 | 140平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 3个月以前发布,128,"9,143元/平"
装修保养好，地段不错，出行购物方便,佳汇华庭 -花板桥,3室2厅 | 122.57平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 4个月以前发布,123,"10,036元/平"
广济旁-鹰山社区。生活配套成熟。,鹰山社区 -岳城,3室2厅 | 140.28平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 8个月以前发布,95,"6,773元/平"
省建三公司单位房 户型好 采光好 小三房,湖南建工集团湖南省第三工程有限公司岳阳分公司 -岳纺,3室2厅 | 72平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,26,"3,612元/平"
装修保养好，地段不错，出行购物方便,佳汇华庭 -花板桥,3室2厅 | 122.57平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,2人关注 / 4个月以前发布,123,"10,036元/平"
市妇幼旁电梯精装大三房 通透 视野好 楼层好,港九湾 -洛王,3室2厅 | 137.9平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,1人关注 / 一年前发布,104,"7,542元/平"
八字门 王家河 精装四房 证齐可贷款 随时看房,启明星花园 -八字门,4室2厅 | 159.43平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,92,"5,771元/平"
东站旁带车位高层四房首付3十几个达不溜，满两年,君临国际新城 -东站,3室2厅 | 150.39平米 | 南 | 毛坯 | 高楼层(共29层)  | 板塔结合,0人关注 / 一年前发布,85,"5,652元/平"
南湖千亩湖 南湖壹号 精装九成新 大三房 证齐可贷满二,南湖壹号 -南湖新区,3室2厅 | 140平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 3个月以前发布,128,"9,143元/平"
恒大绿洲 3室2厅 南,恒大绿洲 -东站,3室2厅 | 124平米 | 南 | 简装 | 高楼层(共17层)  | 板塔结合,0人关注 / 17天以前发布,95,"7,662元/平"
市委大院家属房金鄂山公园交通便利,岳阳市委机关社区 -杨树塘,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,3人关注 / 7个月以前发布,95,"8,408元/平"
步行街枫桥湖中医院旁园林小区 枫桥尚城 电梯精装4房,枫桥尚城 -岳城,4室2厅 | 130.63平米 | 南 北 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 7个月以前发布,98,"7,503元/平"
南湖一线湖景精装修大四房，不容错过的优质房,金桥花园 -花板桥,4室2厅 | 178.57平米 | 南 北 | 精装 | 中楼层(共19层)  | 暂无数据,3人关注 / 9个月以前发布,228,"12,769元/平"
东风湖，岳城，中医院，三房，买一层另外还有顶层,新胜小区 -岳城,3室2厅 | 142平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,76,"5,353元/平"
