标题,开发商,房子信息,发布信息,售价/万,单价
攀大学院旁两室电梯房朝小区中庭出行出售,龙箐花园小区 -九附二+九附六,2室1厅 | 85平米 | 东 南 西北 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 2天以前发布,32.8,"3,859元/平"
阳光骊景 3室2厅 东南,阳光骊景 -九附二+九附六,3室2厅 | 92平米 | 东南 | 其他 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,42,"4,566元/平"
蝴蝶花园精装修四室两厅两卫房东诚心急售,蝴蝶花园 -竹湖园,4室2厅 | 156平米 | 南 北 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,55,"3,526元/平"
上海花园环境好出行方便朝南电梯房安静采光好,上海花园 -仁和区,3室2厅 | 135平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,74,"5,482元/平"
南山花园电梯房  清水房 中间楼层,南山花园 -南山,4室2厅 | 133.9平米 | 东南 | 毛坯 | 中楼层(共23层)  | 暂无数据,0人关注 / 3个月以前发布,50,"3,735元/平"
阳城龙庭小区 3室2厅  简单装修 单价4000多,阳城龙庭 -九附二+九附六,3室2厅 | 99.8平米 | 南 北 | 简装 | 中楼层(共26层)  | 暂无数据,0人关注 / 11个月以前发布,46,"4,610元/平"
此房满二税费低，朝小区方向安静，小区平稳。,三中电梯公寓 -九附二+九附六,3室2厅 | 117平米 | 东南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,52,"4,445元/平"
金海世纪城精装三室南北通透 环境舒适,金海世纪城 -炳三区,3室2厅 | 88平米 | 南 北 | 精装 | 中楼层(共34层)  | 暂无数据,1人关注 / 1个月以前发布,68,"7,728元/平"
仁和华芝 三居室 朝中庭 拎包住,华芝御景城御苑一二期 -仁和区,3室2厅 | 98平米 | 东南 | 精装 | 高楼层(共31层)  | 板楼,2人关注 / 6个月以前发布,63,"6,429元/平"
此房满两年唯一，证件齐全，有贷款，需要买家协助帮忙,龙江明珠 -九附二+九附六,3室2厅 | 117.6平米 | 南 北 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,66,"5,613元/平"
临江路76号 2室2厅 东南,临江路76号 -竹湖园,2室2厅 | 70平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,24,"3,429元/平"
此房是商品房，满五唯一，出行交通方便,上海花园 -仁和区,4室3厅 | 190平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,175.5,"9,237元/平"
炳三区炳三中旁精装好房出行方便配套完善,金海花溪谷 -九附二+九附六,3室2厅 | 133平米 | 南 | 简装 | 低楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,71,"5,339元/平"
南博湾 3室2厅 东 东南,南博湾 -电影院+中心广场,3室2厅 | 112平米 | 东 东南 | 精装 | 高楼层(共9层)  | 暂无数据,2人关注 / 2个月以前发布,35,"3,125元/平"
户型方正出行方便随时可看拎包入住,交通局家属楼 -仁和区,3室2厅 | 97平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 11个月以前发布,38,"3,918元/平"
公园大地精装修，四室两厅双卫，面积108平,金泰公园大地 -炳三区,4室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,89.9,"8,325元/平"
华芝御景城全新装修三室双卫，随时可看房，支持按揭,华芝御景城御苑一二期 -仁和区,3室2厅 | 117平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,90,"7,693元/平"
新上炳草岗曼哈顿精装3室2厅家具家电齐全拎包入住,曼哈顿 -电影院+中心广场,3室2厅 | 97平米 | 东南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,44,"4,537元/平"
龙箐花园  精装电梯三室  满五唯一,龙箐花园小区 -九附二+九附六,3室2厅 | 106平米 | 东南 | 精装 | 高楼层(共8层)  | 暂无数据,1人关注 / 6个月以前发布,48,"4,529元/平"
仁和银泰城清水三室双卫户型方正采光充足,银泰城泰悦居 -仁和区,3室2厅 | 114.13平米 | 东北 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 1个月以前发布,68,"5,959元/平"
标准大3室  房东诚心出售  价格美丽  精装修,金泰公园大地 -炳三区,4室2厅 | 120平米 | 东南 | 精装 | 高楼层(共18层)  | 暂无数据,3人关注 / 5个月以前发布,93,"7,750元/平"
水岸沙湾 4室2厅 东南,水岸沙湾 -仁和区,4室2厅 | 128.93平米 | 东南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 2个月以前发布,119,"9,230元/平"
星瑞二期  精装三室两厅一卫 九成新 拎包入住,星瑞时代广场二期 -清香坪,2室2厅 | 80.3平米 | 南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,47,"5,854元/平"
南博湾三室两厅简装好房诚心出售,南博湾 -电影院+中心广场,3室2厅 | 105平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,34,"3,239元/平"
花城新区清水大三室 横厅设计  户型方正  正朝南,金科集美阳光二期 -仁和区,3室2厅 | 111平米 | 南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,72,"6,487元/平"
阳城龙庭 3室2厅 南 北,阳城龙庭 -九附二+九附六,3室2厅 | 98平米 | 南 北 | 简装 | 中楼层(共27层)  | 板塔结合,0人关注 / 3个月以前发布,60,"6,123元/平"
金域阳光小高层2梯四户精装修保持9成新三室,金域阳光 -炳三区,3室2厅 | 104平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,90,"8,654元/平"
仁和套三精装 出行便利 家具家电打包出售,波尔卡城邦 -仁和区,3室2厅 | 113平米 | 东南 | 精装 | 低楼层(共16层)  | 暂无数据,0人关注 / 4个月以前发布,70,"6,195元/平"
满五唯一 装修简单保持的比较良好 户型方正,龙江明珠 -九附二+九附六,4室2厅 | 137.9平米 | 东南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 11个月以前发布,65,"4,714元/平"
万象城小区 3室2厅  拎包入住 带车位出售 全新装修,华芝万象城 -九附二+九附六,3室2厅 | 111平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,109,"9,820元/平"
万象城旁 精装两室出售 看房方便,中冶金沙 -九附二+九附六,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,37,"4,625元/平"
攀商首院清水三室双卫114平74万,攀商首院 -炳三区,3室2厅 | 114平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,74,"6,492元/平"
炳草岗桃源街简单装修三室视野开阔出行方便,桃源街84号 -电影院+中心广场,3室2厅 | 132.8平米 | 南 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 4个月以前发布,50,"3,766元/平"
此房是精装房，保持好，家具家电齐全可拎包入住,恒大城 -炳三区,3室2厅 | 89平米 | 东南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,55,"6,180元/平"
富麒家园、三室两厅、精装修、家具家电齐全、好房出售,富麒家园 -九附二+九附六,3室2厅 | 102平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,48,"4,706元/平"
沃尔玛金瓯精装三室诚心出售 户型方正,云锦金瓯广场 -九附二+九附六,3室2厅 | 133.89平米 | 东南 | 精装 | 低楼层(共25层)  | 暂无数据,4人关注 / 8个月以前发布,66,"4,930元/平"
华山医院旁精装三室两厅低楼层拎包入住,华庭雅居 -华山,3室2厅 | 100平米 | 西北 | 精装 | 中楼层(共7层)  | 塔楼,0人关注 / 3个月以前发布,36.8,"3,680元/平"
振兴小区 3室2厅 东北,振兴小区 -电影院+中心广场,3室2厅 | 115平米 | 东北 | 其他 | 高楼层(共15层)  | 暂无数据,1人关注 / 2个月以前发布,35,"3,044元/平"
金科集美阳光顶跃带楼顶花园现房带两个产权车位出售,金科集美阳光一期 -仁和区,3室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共10层)  | 板塔结合,1人关注 / 4个月以前发布,115,"8,985元/平"
房东急售，仁和金科集美阳光清水三室,金科集美阳光二期 -仁和区,3室2厅 | 111平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 4个月以前发布,60,"5,406元/平"
单价三千多买仁和大四室朝向好视野开阔电梯房小高层,起辰和瑞广场 -仁和区,4室2厅 | 125平米 | 东北 | 毛坯 | 中楼层(共17层)  | 板塔结合,1人关注 / 2个月以前发布,44,"3,520元/平"
竹苑春晓九成新装修大三室诚心出售，带三十平大露台,竹苑春晓 -仁和区,3室2厅 | 127.41平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,86,"6,750元/平"
炳草岗桃源街简单装修三室视野开阔出行方便,桃源街84号 -电影院+中心广场,3室2厅 | 132.8平米 | 南 | 简装 | 高楼层(共9层)  | 暂无数据,0人关注 / 4个月以前发布,50,"3,766元/平"
满五唯一 装修简单保持的比较良好 户型方正,龙江明珠 -九附二+九附六,4室2厅 | 137.9平米 | 东南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 11个月以前发布,65,"4,714元/平"
万象城小区 3室2厅  拎包入住 带车位出售 全新装修,华芝万象城 -九附二+九附六,3室2厅 | 111平米 | 南 北 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 1个月以前发布,109,"9,820元/平"
万象城旁 精装两室出售 看房方便,中冶金沙 -九附二+九附六,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,37,"4,625元/平"
富麒家园、三室两厅、精装修、家具家电齐全、好房出售,富麒家园 -九附二+九附六,3室2厅 | 102平米 | 东南 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,48,"4,706元/平"
沃尔玛金瓯精装三室诚心出售 户型方正,云锦金瓯广场 -九附二+九附六,3室2厅 | 133.89平米 | 东南 | 精装 | 低楼层(共25层)  | 暂无数据,4人关注 / 8个月以前发布,66,"4,930元/平"
攀商首院清水三室双卫114平74万,攀商首院 -炳三区,3室2厅 | 114平米 | 东南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,74,"6,492元/平"
此房是精装房，保持好，家具家电齐全可拎包入住,恒大城 -炳三区,3室2厅 | 89平米 | 东南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,55,"6,180元/平"
振兴小区 3室2厅 东北,振兴小区 -电影院+中心广场,3室2厅 | 115平米 | 东北 | 其他 | 高楼层(共15层)  | 暂无数据,1人关注 / 2个月以前发布,35,"3,044元/平"
大渡口街木棉路精装修三室带衣帽间，价格可商量,木棉花141号 -瓜子坪,3室2厅 | 132.79平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,31,"2,335元/平"
普达阳光 精装高层 视野好 俯瞰这个仁和,普达阳光康和假日 -仁和区,3室2厅 | 110平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 3个月以前发布,105,"9,546元/平"
和润精装大四室户型方正南北通透保持好,仁和和润小区 -仁和区,4室2厅 | 132平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,0人关注 / 一年前发布,63,"4,773元/平"
仁和河边 精装三室 出行方便 配套成熟,仁和攀钢小区二期 -仁和区,3室2厅 | 88平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,39,"4,432元/平"
亏本卖  亏本卖  精装两室  视野户型空气良好,普达阳光国际康养度假区 -仁和区,2室2厅 | 80.61平米 | 东 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 8个月以前发布,70,"8,684元/平"
仁和波尔卡城邦清水三室户型方正,波尔卡城邦 -仁和区,3室2厅 | 99平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,56,"5,657元/平"
五十一 精装三室 采光通风好 装修保持佳,攀枝花大道南段756号 -仁和区,3室2厅 | 88平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,37,"4,205元/平"
房东急售，仁和金科集美阳光清水三室,金科集美阳光二期 -仁和区,3室2厅 | 111平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,0人关注 / 4个月以前发布,60,"5,406元/平"
单价三千多买仁和大四室朝向好视野开阔电梯房小高层,起辰和瑞广场 -仁和区,4室2厅 | 125平米 | 东北 | 毛坯 | 中楼层(共17层)  | 板塔结合,1人关注 / 2个月以前发布,44,"3,520元/平"
阳光家园三室两厅 户型方正 出行方便 居住舒适,阳光家园 -仁和区,3室2厅 | 105平米 | 东南 | 简装 | 中楼层(共11层)  | 暂无数据,0人关注 / 3个月以前发布,45,"4,286元/平"
竹苑春晓九成新装修大三室诚心出售，带三十平大露台,竹苑春晓 -仁和区,3室2厅 | 127.41平米 | 东南 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,86,"6,750元/平"
普达北苑小洋房带68平花园新装修未入住看房方便,普达阳光康和北苑 -仁和区,3室2厅 | 86平米 | 南 | 精装 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,105,"12,210元/平"
仁和三千多的房子手慢无 有小区环境,香榭丽都一期 -仁和区,3室2厅 | 121平米 | 东南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,48,"3,967元/平"
金科集美阳光顶跃带楼顶花园现房带两个产权车位出售,金科集美阳光一期 -仁和区,3室2厅 | 128平米 | 南 | 毛坯 | 高楼层(共10层)  | 板塔结合,1人关注 / 4个月以前发布,115,"8,985元/平"
华芝御景城御苑一二期 3室2厅 东南,华芝御景城御苑一二期 -仁和区,3室2厅 | 121平米 | 东南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,82,"6,777元/平"
江山里 3室1厅 东南,江山里 -竹湖园,3室1厅 | 99.86平米 | 东南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,50,"5,008元/平"
南洋瑞景 3室2厅 东南,南洋瑞景 -仁和区,3室2厅 | 92.7平米 | 东南 | 精装 | 低楼层(共24层)  | 板楼,0人关注 / 3个月以前发布,59,"6,365元/平"
君临江山一期一梯两户跃层洋房，房子保持九成新，,君临江山 -九附二+九附六,3室2厅 | 139平米 | 南 北 | 精装 | 低楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,94.9,"6,828元/平"
金域阳光全新精装2室，房东诚心出售，钥匙在手随,金域阳光 -炳三区,2室2厅 | 86平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,70,"8,140元/平"
仁和富人小区，精装三室，房东换房急售,波尔卡城邦 -仁和区,3室2厅 | 96.49平米 | 东北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,65,"6,737元/平"
长寿路好房出售 拎包入住 出行方便,长寿路4号 -瓜子坪,3室2厅 | 89平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,24,"2,697元/平"
仁和城区，四室两厅两卫，房东诚心出售,波尔卡城邦 -仁和区,4室2厅 | 121平米 | 东南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,77,"6,364元/平"
东区机场路口加州国际精装三室出售,加州国际 -九附二+九附六,3室2厅 | 115平米 | 东南 | 简装 | 中楼层(共19层)  | 暂无数据,0人关注 / 一年前发布,60,"5,218元/平"
仁和富人小区，精装三室，房东换房急售,波尔卡城邦 -仁和区,3室2厅 | 96.49平米 | 东北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,65,"6,737元/平"
金域阳光全新精装2室，房东诚心出售，钥匙在手随,金域阳光 -炳三区,2室2厅 | 86平米 | 南 | 精装 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,70,"8,140元/平"
长寿路好房出售 拎包入住 出行方便,长寿路4号 -瓜子坪,3室2厅 | 89平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,24,"2,697元/平"
东风景秀精装三室房子保持比较新，户型方正，出行方便,东风景秀 -瓜子坪,3室2厅 | 105平米 | 南 北 | 精装 | 高楼层(共23层)  | 暂无数据,0人关注 / 5个月以前发布,35,"3,334元/平"
瓜子坪天娇名城精装三室出售 价格可以少,天娇名城 -瓜子坪,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 3个月以前发布,50,"3,907元/平"
九附二 阳光丽景 低楼层 采光好 看房方便,阳光骊景 -九附二+九附六,3室2厅 | 124平米 | 东南 | 精装 | 低楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,54,"4,355元/平"
金域阳光精装套三双卫装修保持好出行方便,金域阳光 -炳三区,3室2厅 | 120平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,2人关注 / 4个月以前发布,90,"7,500元/平"
此房双证齐全满五年，产权清晰，户型方正，保持好,海德堡 -炳三区,4室2厅 | 133平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,2人关注 / 5个月以前发布,81,"6,091元/平"
湖光上半段，精装三室出售，户型方正，交通便利,湖光西街2号 -竹湖园,3室2厅 | 128平米 | 东南 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 2个月以前发布,46,"3,594元/平"
竹湖园竹雅巷3室两厅双卫房子诚心出售,竹雅巷13号 -竹湖园,3室2厅 | 114平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 5个月以前发布,43,"3,772元/平"
星瑞时代广场一期 3室2厅 北,星瑞时代广场一期 -清香坪,3室2厅 | 120平米 | 北 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,65,"5,417元/平"
竹湖园旁精装三室  房子保持九成新  户型方正,蝴蝶花园 -竹湖园,4室2厅 | 154.64平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 2个月以前发布,55,"3,557元/平"
此房精装，满五唯一，朝小区内安静，小区平稳。,江山里 -竹湖园,3室2厅 | 117平米 | 南 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 1个月以前发布,54.8,"4,684元/平"
湖光小区四室双卫江景楼梯房，天桥上去三层半户型方正,甘露园 -竹湖园,4室2厅 | 142平米 | 东南 | 精装 | 高楼层(共11层)  | 塔楼,1人关注 / 2个月以前发布,43,"3,029元/平"
七中附.近1楼带花园 可商.可住,半岛阳光 -仁和区,3室2厅 | 118平米 | 东 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 1个月以前发布,95,"8,051元/平"
银泰三室两厅电梯房   户型方正  出行购物方便,银泰商业城 -仁和区,3室2厅 | 107平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,58,"5,421元/平"
此房满五，南北朝向，诚心出售，看房方便,天娇名城 -瓜子坪,3室2厅 | 111.35平米 | 东南 | 精装 | 中楼层(共22层)  | 暂无数据,1人关注 / 1个月以前发布,45,"4,042元/平"
炳三区金海世纪城精装三室家具家电齐全可小刀,金海世纪城 -炳三区,3室2厅 | 95平米 | 东 东南 | 精装 | 低楼层(共34层)  | 暂无数据,0人关注 / 1个月以前发布,72,"7,579元/平"
精装三室  物业30元车位免费,桃源街84号 -电影院+中心广场,3室2厅 | 132平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,48,"3,637元/平"
攀研院、两室两厅、新装修、带家具、好房出售,桃源街96号 -电影院+中心广场,2室2厅 | 74平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,1人关注 / 6个月以前发布,34,"4,595元/平"
万达旁精装三室双卫家具家电齐全领包入住,新宏国际社区 -九附二+九附六,3室2厅 | 97平米 | 东南 | 精装 | 中楼层(共25层)  | 暂无数据,0人关注 / 1个月以前发布,57,"5,877元/平"
炳三区金域阳光现代轻奢风全屋品牌家具家电,金域阳光 -炳三区,3室2厅 | 92平米 | 南 | 精装 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,78,"8,479元/平"
一楼带花园洋房价格便宜视线三室两厅,普达阳光康和北苑 -仁和区,3室2厅 | 63平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,0人关注 / 1个月以前发布,90,"14,286元/平"
交通便利小区环境干净舒适出行方便   装修保持七成新,芯港(晨雨苑) -电影院+中心广场,2室2厅 | 70.34平米 | 东南 | 精装 | 中楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,39,"5,545元/平"
出行方便，小区配套齐全，绿化不错，值得购买,香榭丽都二期 -仁和区,3室2厅 | 118.78平米 | 东 | 毛坯 | 中楼层(共27层)  | 暂无数据,0人关注 / 31天以前发布,61.7,"5,195元/平"
九附二龙江明珠高楼层精装三室电梯房，户型方正采光好,龙江明珠 -九附二+九附六,3室2厅 | 127平米 | 东南 | 精装 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,60,"4,725元/平"
花溪谷大面积三室精装房，家具家电齐全，拎包入住,金海花溪谷 -九附二+九附六,3室2厅 | 111.65平米 | 东南 | 精装 | 高楼层(共27层)  | 暂无数据,0人关注 / 1个月以前发布,85,"7,614元/平"
粮食局家属楼 3室1厅 东南,粮食局家属楼 -九附二+九附六,3室1厅 | 130平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,42,"3,231元/平"
世纪大厦 3室2厅 南 北,世纪大厦 -九附二+九附六,3室2厅 | 136平米 | 南 北 | 精装 | 中楼层(共20层)  | 板塔结合,0人关注 / 1个月以前发布,65,"4,780元/平"
仁和精装大三室，出行方便，配套齐全,和谐御林 -仁和区,3室2厅 | 116平米 | 东 | 精装 | 中楼层(共23层)  | 暂无数据,0人关注 / 3个月以前发布,76,"6,552元/平"
曼哈顿采光好出行方便下楼购物买菜都比较便利,曼哈顿 -电影院+中心广场,3室2厅 | 128平米 | 西南 | 精装 | 中楼层(共32层)  | 板塔结合,0人关注 / 3个月以前发布,60,"4,688元/平"
仁和 春天花园 精装大三室 装修好 保持好,春天花园 -仁和区,3室2厅 | 130平米 | 东南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,86,"6,616元/平"
奥林匹克花园套二出售 户型方正 看房方便,奥林匹克花园 -炳三区,2室2厅 | 84平米 | 东 | 简装 | 中楼层(共29层)  | 暂无数据,1人关注 / 一年前发布,45,"5,358元/平"
仁和银泰泰悦居精装三室欧式装修，带花园,银泰城泰悦居 -仁和区,3室2厅 | 98平米 | 南 | 精装 | 低楼层(共34层)  | 塔楼,0人关注 / 3个月以前发布,70,"7,143元/平"
普达康和假日  环境优美  阳光康养的好地方,普达阳光康和假日 -仁和区,3室2厅 | 110平米 | 东 | 精装 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,105,"9,546元/平"
领域 清水大三室  出行方便   电梯房,领誉二期 -仁和区,3室2厅 | 101平米 | 东南 | 毛坯 | 中楼层(共29层)  | 暂无数据,0人关注 / 4个月以前发布,53,"5,248元/平"
康和假日精装三室带大阳台，采光好，看房方便,普达阳光康和假日 -仁和区,3室2厅 | 110平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,105,"9,546元/平"
精装保持良好，家具家电齐全，随时看房,攀枝花大道南段756号 -仁和区,3室2厅 | 100平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,49,"4,900元/平"
五十一阳光家园精装电梯房，靠河边,阳光家园 -仁和区,3室2厅 | 105平米 | 东南 | 简装 | 中楼层(共11层)  | 暂无数据,1人关注 / 5个月以前发布,41,"3,905元/平"
房子不满两年，没交契税和维修基金，全款购买。,恒邦双林悦山府一期 -仁和区,3室2厅 | 99平米 | 南 | 精装 | 高楼层(共31层)  | 塔楼,0人关注 / 4个月以前发布,88,"8,889元/平"
书香里 3室2厅 东南,书香里 -仁和区,3室2厅 | 90.43平米 | 东南 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,39,"4,313元/平"
中间楼层清水三室 视野好双阳台 卧室也带阳台随时看房,香榭丽都二期 -仁和区,4室2厅 | 119平米 | 东南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 3个月以前发布,50,"4,202元/平"
炳草岗精装大三室 方便停车 看房方便,泉福路9号 -电影院+中心广场,3室2厅 | 92平米 | 南 | 精装 | 低楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,25,"2,718元/平"
温州商城精装大三室，房东诚心急售，价格可谈,花城上街31号 -电影院+中心广场,3室2厅 | 126平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,40,"3,175元/平"
桃源街两室一厅，本小区交通方便，环境干净居住舒适,桃源街96号 -电影院+中心广场,2室1厅 | 46.08平米 | 南 北 | 简装 | 中楼层(共5层)  | 暂无数据,0人关注 / 2个月以前发布,22,"4,775元/平"
公园大地精装大3室双卫出售，两梯两户中高层,金泰公园大地 -炳三区,3室2厅 | 113平米 | 南 | 精装 | 中楼层(共18层)  | 暂无数据,2人关注 / 3个月以前发布,90,"7,965元/平"
华芝精装房 带车位 拎包入住 诚心出售,华芝御景城御苑一二期 -仁和区,3室2厅 | 88平米 | 西南 | 简装 | 高楼层(共31层)  | 暂无数据,0人关注 / 1个月以前发布,58,"6,591元/平"
领地全新装修大户型 小区环境好 人车分流出行便利,领地·阳光花城 -仁和区,3室2厅 | 99平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,72.8,"7,354元/平"
金瓯 沃尔玛 万象城 精装三室 单价便宜,云锦金瓯广场 -九附二+九附六,3室2厅 | 126平米 | 东南 | 精装 | 高楼层(共28层)  | 板塔结合,1人关注 / 3个月以前发布,62,"4,921元/平"
金域阳光 三期 精装2室 8成新 随时看房,金域阳光 -炳三区,2室2厅 | 83.46平米 | 西南 | 精装 | 低楼层(共30层)  | 暂无数据,1人关注 / 3个月以前发布,58,"6,950元/平"
南山花园 满五 急售 价钱可以谈,南山花园 -南山,4室2厅 | 158平米 | 东南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,40,"2,532元/平"
顶跃大户型  精装修 保持好 拎包入住,南山花园 -南山,4室2厅 | 178平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 3个月以前发布,62,"3,484元/平"
银泰泰悦居3室清水 户型通透 急于出售,银泰城泰悦居 -仁和区,3室2厅 | 104平米 | 东北 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,54,"5,193元/平"
华芝精装套三带花园保持好房东底价出售,华芝御景城御苑一二期 -仁和区,3室2厅 | 89平米 | 东南 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,87,"9,776元/平"
户型方正，居此房满2年，出行方便，住方便舒适,银泰城泰悦居 -仁和区,3室2厅 | 117平米 | 东南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,63,"5,385元/平"
南洋瑞景128平大三室精装修保持好83万,南洋瑞景 -仁和区,3室2厅 | 128平米 | 东 | 精装 | 低楼层(共24层)  | 暂无数据,0人关注 / 1个月以前发布,83,"6,485元/平"
