标题,开发商,房子信息,发布信息,售价/万,单价
户型好正宗4室2厅2卫 朝南 正对中庭 装修保存完好,春天印象北区 -城北,4室2厅 | 132.76平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 4天以前发布,122.5,"9,228元/平"
电信广场《山水康城》简装套三单卫！带几十平大露台,山水康城 -经开区,3室1厅 | 81平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,24人关注 / 一年前发布,51,"6,297元/平"
城南品质精装套三，居家好选择。。。,雍锦坊 -广汉市,3室1厅 | 100平米 | 东南 | 精装 | 低楼层(共11层)  | 板塔结合,3人关注 / 10个月以前发布,67.8,"6,780元/平"
环境优美，户型方正，精装修，拎包入住,奥园玖珑湾 -广汉市,4室2厅 | 119平米 | 东南 南 | 精装 | 高楼层(共14层)  | 板塔结合,1人关注 / 2个月以前发布,85,"7,143元/平"
黄河片区次新房单价7000多自己青衣江庐山路,美林康城 -黄河片区,3室2厅 | 114平米 | 东 | 毛坯 | 中楼层(共25层)  | 板塔结合,1人关注 / 5个月以前发布,86,"7,544元/平"
爱德华庭二期套四急售双卫.房东诚心出售 唯 一 住房,爱德华庭 -工农村,4室2厅 | 125.7平米 | 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 5个月以前发布,69.8,"5,553元/平"
城西翡翠郡精装房，户型方正，诚意出售,东泰翡翠郡 -广汉市,3室1厅 | 119平米 | 南 | 精装 | 低楼层(共25层)  | 塔楼,2人关注 / 5个月以前发布,72.8,"6,118元/平"
全新精装套三 无主灯设计  拎包入住,锦弘泓景湾 -广汉市,3室2厅 | 92平米 | 东北 | 精装 | 高楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,68.8,"7,479元/平"
有证满五 房东诚心出售 价格可谈,宏苑小区 -广汉市,3室2厅 | 100平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,0人关注 / 3个月以前发布,47.8,"4,780元/平"
城北品质小区，户型方正，采光好。小区物业负责,万兴一品 -广汉市,3室2厅 | 126.37平米 | 西南 | 毛坯 | 低楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,83,"6,569元/平"
吾悦华府 3室2厅 东南,吾悦华府 -工农村,3室2厅 | 96平米 | 东南 | 毛坯 | 中楼层(共34层)  | 暂无数据,2人关注 / 一年前发布,65,"6,771元/平"
此房满2年，出行方便，户型方正，居住方便舒适,和泰锦苑 -五洲广场,3室2厅 | 90平米 | 东 | 简装 | 低楼层(共21层)  | 板楼,3人关注 / 3个月以前发布,56.6,"6,289元/平"
美丽房源，4室大空间任意装修！！！,中央绿洲 -五洲广场,4室1厅 | 124.94平米 | 东 | 毛坯 | 高楼层(共34层)  | 塔楼,1人关注 / 3个月以前发布,79.6,"6,372元/平"
交通便利，户型方正，带大平台，环境优美,奥园玖珑湾 -广汉市,4室2厅 | 118平米 | 东南 南 | 精装 | 低楼层(共14层)  | 板塔结合,0人关注 / 2个月以前发布,130,"11,017元/平"
商务CBD区，全临湖品质大盘经典户型,天悦湾 -五洲广场,3室2厅 | 118.94平米 | 东南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,106.8,"8,980元/平"
套三双卫中层，证满二，采光好，步梯,马牧小区 -广汉市,3室2厅 | 118.4平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,49.9,"4,215元/平"
二线湖景房龙湾上城好楼层中庭带产权车位,龙湾上城 -城北,3室2厅 | 121平米 | 东 西 | 毛坯 | 高楼层(共18层)  | 塔楼,1人关注 / 8个月以前发布,90,"7,439元/平"
城南南滨佳苑 精装修带家具家电 朝南户型 采光好,南滨佳苑 -经开区,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,68,"7,158元/平"
南北通透，老城位置，适合居住，出门公园，高楼层,迎祥广场西巷33号 -绵竹市,3室2厅 | 96.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,26,"2,695元/平"
空气流通， 采光好 ，出行方便,花样年华 -旌东,4室2厅 | 186.5平米 | 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,92,"4,933元/平"
大同小区中间楼层，套三。。。。,大同安居小区 -广汉市,3室2厅 | 91平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,45.8,"5,033元/平"
平康苑  简装  小区干净整洁  业主诚心出售,平康苑 -102生活广场,2室2厅 | 69.8平米 | 南 | 简装 | 高楼层(共7层)  | 平房,5人关注 / 一年前发布,32.2,"4,614元/平"
出行方便，户型无浪费空间，居住方便舒适，配套成熟,厦门路小区A区 -广汉市,3室1厅 | 96平米 | 东南 | 毛坯 | 高楼层(共11层)  | 塔楼,2人关注 / 3个月以前发布,39,"4,063元/平"
此房户型方正，无浪费空间。小区人文环境好，采光充足,奥园玖珑湾 -广汉市,4室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共14层)  | 塔楼,1人关注 / 一年前发布,67,"5,678元/平"
大同小区中间楼层，套三。。。。,大同安居小区 -广汉市,3室2厅 | 91平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,45.8,"5,033元/平"
房东急售！此房位置好，小区环境好，价格可谈,德阳恒大首府 -广汉市,3室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,0人关注 / 一年前发布,65,"5,702元/平"
二线湖景房龙湾上城好楼层中庭带产权车位,龙湾上城 -城北,3室2厅 | 121平米 | 东 西 | 毛坯 | 高楼层(共18层)  | 塔楼,1人关注 / 8个月以前发布,90,"7,439元/平"
城南南滨佳苑 精装修带家具家电 朝南户型 采光好,南滨佳苑 -经开区,3室2厅 | 95平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,1人关注 / 1个月以前发布,68,"7,158元/平"
南北通透，老城位置，适合居住，出门公园，高楼层,迎祥广场西巷33号 -绵竹市,3室2厅 | 96.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,26,"2,695元/平"
天籁福巴黎之春 3室1厅 东,天籁福巴黎之春 -经开区,3室1厅 | 108平米 | 东 | 毛坯 | 高楼层(共19层)  | 板楼,0人关注 / 1个月以前发布,73,"6,760元/平"
城南五洲广场旌湖旁天悦湾精装三室，拎包入住,天悦湾 -五洲广场,3室2厅 | 119平米 | 北 东北 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 2个月以前发布,108,"9,076元/平"
天悦湾 3室1厅 东,天悦湾 -五洲广场,3室1厅 | 119.8平米 | 东 | 毛坯 | 高楼层(共32层)  | 塔楼,12人关注 / 一年前发布,108,"9,016元/平"
城南品质小区临湖带车位天籁福.,天籁福 -经开区,3室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共18层)  | 塔楼,4人关注 / 一年前发布,105,"8,204元/平"
小区环境好 绿化好 物业管理尽职尽责,世家城南1号 -五洲广场,3室2厅 | 98.73平米 | 东 | 其他 | 中楼层(共32层)  | 板塔结合,2人关注 / 7个月以前发布,72,"7,293元/平"
美林康城 3室2厅 东,美林康城 -黄河片区,3室2厅 | 105.98平米 | 东 | 毛坯 | 中楼层(共17层)  | 板楼,4人关注 / 一年前发布,82,"7,738元/平"
万达旁  玉泉片区，老证，生活配套齐全有钥匙,万兴花园 -玉泉,3室2厅 | 95.4平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,64,"6,709元/平"
此房临湖，生活配套方便，购物娱乐，锻炼，都很方便,同森锦樾壹号 -五洲广场,3室2厅 | 107.33平米 | 东南 | 毛坯 | 高楼层(共47层)  | 塔楼,0人关注 / 3个月以前发布,90,"8,386元/平"
城北黄河片区，四房双卫，户型方正通透，随时看房,美林康城 -黄河片区,4室2厅 | 132.28平米 | 北 | 毛坯 | 中楼层(共19层)  | 板塔结合,4人关注 / 一年前发布,106,"8,014元/平"
正成南庭 4室2厅 南,正成南庭 -经开区,4室2厅 | 129平米 | 南 | 简装 | 低楼层(共25层)  | 塔楼,1人关注 / 一年前发布,84,"6,512元/平"
城南品质大盘；采光十足。环境优美,天籁福 -经开区,3室2厅 | 97平米 | 东南 | 毛坯 | 中楼层(共18层)  | 塔楼,3人关注 / 一年前发布,75,"7,732元/平"
玉泉片区 多层大套三 低单价 旌阳区机关宿舍,旌阳区委机关宿舍 -玉泉,3室2厅 | 136平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,6人关注 / 一年前发布,56.5,"4,155元/平"
城南新城吾悦广场旁边，正宗3室，宽景阳台，电梯楼.,吾悦华府 -工农村,3室2厅 | 107平米 | 南 | 其他 | 低楼层(共34层)  | 暂无数据,0人关注 / 2个月以前发布,68.8,"6,430元/平"
中间楼层，视野宽阔，采光充足，配套设施齐全,融发雅居 -高铁新区,3室2厅 | 104平米 | 南 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,63,"6,058元/平"
万达广场旁，精致标准套三，金三银四，楼层好,美林康城 -黄河片区,3室2厅 | 113.97平米 | 东南 西南 | 毛坯 | 低楼层(共25层)  | 暂无数据,0人关注 / 一年前发布,95,"8,336元/平"
天籁福精装套三  小区中间不临路  老证可贷款,天籁福 -经开区,3室2厅 | 97.72平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,1人关注 / 11个月以前发布,81,"8,289元/平"
城南，万嘉国际，中间楼层，清水房套三，户型方正,万嘉国际社区 -工农村,3室2厅 | 98.78平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,68,"6,884元/平"
汇乐花城  对中庭 采光好   四汇集团,汇乐花城 -旌东,3室2厅 | 137平米 | 东南 | 毛坯 | 中楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,75,"5,475元/平"
西湖街！康健优士阁三室 生活配套齐全！电梯小高层！,康健优士阁 -旌东,3室2厅 | 130.01平米 | 西南 | 简装 | 中楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,82,"6,308元/平"
天籁福精装修  楼层好  小区环境好  诚心出售,天籁福 -经开区,3室1厅 | 104.7平米 | 西南 | 精装 | 高楼层(共25层)  | 塔楼,0人关注 / 6个月以前发布,89.8,"8,577元/平"
玉泉片区望龙东郡3室两厅东南·,望龙东郡 -玉泉,3室2厅 | 105平米 | 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,1人关注 / 9个月以前发布,69,"6,572元/平"
户型方正，东南朝向通风采光好，视野宽阔,天悦湾 -五洲广场,3室2厅 | 150平米 | 东 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,213,"14,200元/平"
英伦豪庭高层一线河景房。客厅卧室直接看河,金雁英伦豪庭 -广汉市,3室2厅 | 113平米 | 南 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 3个月以前发布,84.8,"7,505元/平"
巴适的一楼清水房等有缘的你来爱,金雁·欧城联邦 -广汉市,3室2厅 | 127平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,3人关注 / 一年前发布,84.5,"6,654元/平"
"全明格局,客厅宽敞 、热闹地段,楼层",金雁·欧城联邦 -广汉市,3室2厅 | 109平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 塔楼,1人关注 / 一年前发布,76,"6,973元/平"
此房格局通透 视野开阔 采光充足，配套设施设施齐..,金雁·欧城联邦 -广汉市,3室2厅 | 91平米 | 南 | 毛坯 | 22层  | 塔楼,9人关注 / 一年前发布,60,"6,594元/平"
天鹅堡 天鹅堡 出行方便，户型方正，配套成熟,天鹅堡 -广汉市,3室2厅 | 119.48平米 | 东 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 一年前发布,50,"4,185元/平"
三星堆旁 户型方正 电梯清水房 采光好,华景川万悦城 -广汉市,4室2厅 | 128平米 | 东南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,87,"6,797元/平"
汉口路老政府旁，标准套三单卫，房子保养好干净整洁！,汉口路104号 -广汉市,3室2厅 | 119.25平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,8人关注 / 一年前发布,26,"2,181元/平"
中间楼层，正对中庭，视野宽广，户型方正,金雁·欧城联邦 -广汉市,3室2厅 | 91平米 | 南 | 毛坯 | 29层  | 板塔结合,0人关注 / 一年前发布,61.8,"6,792元/平"
欧城联邦，清水大套三，飞机户型，全款可更名,金雁·欧城联邦 -广汉市,3室2厅 | 124平米 | 北 | 毛坯 | 22层  | 塔楼,1人关注 / 一年前发布,72,"5,807元/平"
欧城联邦3室2卫，户型方正采光好，横厅户型带入户连廊,金雁·欧城联邦 -广汉市,3室2厅 | 122平米 | 南 | 毛坯 | 22层  | 塔楼,1人关注 / 一年前发布,75,"6,148元/平"
欧城联邦高品质小区，配套完善，小区环境优美,金雁·欧城联邦 -广汉市,4室2厅 | 133平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 一年前发布,85,"6,391元/平"
欧城联邦  套三双卫 环境好配套成熟是个不错的选择,金雁·欧城联邦 -广汉市,3室2厅 | 122平米 | 东南 | 毛坯 | 22层  | 塔楼,0人关注 / 一年前发布,73,"5,984元/平"
价格实惠，交通便利，户型朝向好，配套设施齐全。,金雁·欧城联邦 -广汉市,3室2厅 | 108.95平米 | 西南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 一年前发布,69,"6,334元/平"
绿地新里城 4室2厅 南,绿地新里城 -旌阳区,4室2厅 | 123平米 | 南 | 毛坯 | 高楼层(共27层)  | 暂无数据,5人关注 / 8个月以前发布,81,"6,586元/平"
此房房东诚心卖，随时可以看房，小区位置好。,奥园玖珑湾 -广汉市,4室1厅 | 118平米 | 东南 | 毛坯 | 中楼层(共14层)  | 板塔结合,0人关注 / 2个月以前发布,71.8,"6,085元/平"
月明风清，套三双卫，半跃层式！,月明风清 -广汉市,3室2厅 | 131平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,57.5,"4,390元/平"
城北主心位置，嘉铭悦城小区品质很好，环境好,嘉铭悦城 -广汉市,3室2厅 | 110平米 | 北 | 精装 | 中楼层(共25层)  | 板塔结合,0人关注 / 6个月以前发布,79.8,"7,255元/平"
玉泉片区 出门就是菜市场 爬山就到东湖山,瑞丰苑 -玉泉,3室2厅 | 128平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,61,"4,766元/平"
北区嘉铭悦城套三单卫，中间楼层，带基装,嘉铭悦城 -广汉市,3室1厅 | 89平米 | 北 | 简装 | 高楼层(共18层)  | 板塔结合,7人关注 / 10个月以前发布,59.5,"6,686元/平"
钻石二楼不临街5平米入户花园老证税费低,江南印象 -广汉市,3室2厅 | 128平米 | 北 南 | 毛坯 | 中楼层(共4层)  | 板楼,25人关注 / 一年前发布,56.8,"4,438元/平"
城北泓景湾 环境优美 套三双卫 视野开阔 通透性好,锦弘泓景湾 -广汉市,3室2厅 | 114平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,13人关注 / 一年前发布,70,"6,141元/平"
小区配套齐全，环境优美，地理位置好，出行方便,金雁·欧城联邦 -广汉市,3室2厅 | 109平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 一年前发布,70,"6,423元/平"
城北欧城联邦 套四户型 诚心出售 错过拍大腿,金雁·欧城联邦 -广汉市,3室2厅 | 118.75平米 | 北 | 毛坯 | 高楼层(共33层)  | 塔楼,16人关注 / 一年前发布,60,"5,053元/平"
房东诚心出售，看起价格可谈，看房提前联系,枕水小镇三期 -经开区,3室2厅 | 105平米 | 南 | 毛坯 | 高楼层(共33层)  | 平房,1人关注 / 一年前发布,76,"7,239元/平"
小区中庭，主卧大阳台，清水，方便二次装修,现代花园 -黄河片区,3室2厅 | 121平米 | 东南 | 毛坯 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,59.8,"4,943元/平"
雅馨花园4-2-1-2 171.00m² 94 万,雅馨花园 -玉泉,4室2厅 | 171平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,83,"4,854元/平"
金雁 欧城联邦 电梯洋房   套四双卫  配套齐全,金雁·欧城联邦 -广汉市,4室2厅 | 143平米 | 东南 | 毛坯 | 低楼层(共10层)  | 塔楼,1人关注 / 11个月以前发布,116,"8,112元/平"
滨江阳光 河景房 客厅衔接景观阳台,滨江阳光 -广汉市,3室2厅 | 118.51平米 | 西 | 毛坯 | 中楼层(共24层)  | 板塔结合,0人关注 / 一年前发布,72,"6,076元/平"
四季景园 3室2厅 东,四季景园 -玉泉,3室2厅 | 149.49平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,3人关注 / 8个月以前发布,68,"4,549元/平"
卖点： 采光好，无遮挡 格局合理 利用率高 园区的位置,望龙东郡 -玉泉,3室2厅 | 100平米 | 西北 | 毛坯 | 低楼层(共32层)  | 塔楼,2人关注 / 6个月以前发布,75,"7,500元/平"
绿地新里程*清水*四室两厅两卫*看房有钥匙,绿地新里城 -旌阳区,3室2厅 | 123.64平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,10人关注 / 一年前发布,79,"6,390元/平"
欧城联邦 清水套三，对中庭，采光视野好,金雁·欧城联邦 -广汉市,3室2厅 | 91.7平米 | 东南 | 毛坯 | 29层  | 板塔结合,4人关注 / 一年前发布,55,"5,998元/平"
金雁公园旁+朝南大套三+低楼层随时可以看房,怡景花苑 -广汉市,3室2厅 | 135平米 | 南 | 简装 | 中楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,90,"6,667元/平"
宏苑小区，精装房，家具家电齐全配套齐全，购物方便,宏苑小区 -广汉市,3室1厅 | 110平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 6个月以前发布,56.8,"5,164元/平"
福兴小区 标准大套三 中间楼层 有钥匙随时看房,福兴小区 -广汉市,3室1厅 | 124平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,3人关注 / 7个月以前发布,40,"3,226元/平"
125平大空间，前后双阳台，贯穿式通透,万兴一品 -广汉市,3室1厅 | 125.92平米 | 西北 | 毛坯 | 高楼层(共25层)  | 板塔结合,0人关注 / 5个月以前发布,75,"5,957元/平"
雒城公园旁 市中电梯大阳台房 通透户型 房东急售,时代广场 -广汉市,3室1厅 | 146平米 | 南 | 毛坯 | 中楼层(共15层)  | 暂无数据,3人关注 / 一年前发布,76,"5,206元/平"
视野开阔 小区环境好  采光充足，交通便利,金雁·欧城联邦 -广汉市,3室1厅 | 96平米 | 北 | 毛坯 | 29层  | 板塔结合,20人关注 / 一年前发布,54.5,"5,678元/平"
华景川万悦城 电梯清水房 户型方正 南北通透,华景川万悦城 -广汉市,3室2厅 | 118.65平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板塔结合,0人关注 / 一年前发布,78.8,"6,642元/平"
广信鹭岛，房子户型方正，房东诚心出售,广信鹭岛 -广汉市,3室2厅 | 86平米 | 南 | 精装 | 低楼层(共25层)  | 塔楼,1人关注 / 一年前发布,76,"8,838元/平"
电梯中层  小区中庭  经典套三双卫,金雁·欧城联邦 -广汉市,3室2厅 | 116平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,1人关注 / 11个月以前发布,74,"6,380元/平"
欧城联邦 清水大套三 地段繁华 交通便利 房主诚心出售,金雁·欧城联邦 -广汉市,3室2厅 | 114平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板楼,3人关注 / 9个月以前发布,69,"6,053元/平"
城北泓景湾 品质小区 小洋房 套三双卫,锦弘泓景湾 -广汉市,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共8层)  | 暂无数据,6人关注 / 8个月以前发布,91.6,"7,763元/平"
小区配套齐全，环境优美，地理位置好，出行方便！,金雁·欧城联邦 -广汉市,3室2厅 | 118.75平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,80,"6,737元/平"
户型 方正 采光好 看房 方便,金雁·欧城联邦 -广汉市,4室2厅 | 132平米 | 南 | 毛坯 | 中楼层(共31层)  | 塔楼,1人关注 / 11个月以前发布,82,"6,213元/平"
采光充足，目前为毛坯状态。。。。。。。。。。,金雁·欧城联邦 -广汉市,3室1厅 | 96平米 | 东 | 毛坯 | 29层  | 板塔结合,1人关注 / 一年前发布,62,"6,459元/平"
清水套三诚心售出，随时看房有钥匙,金雁·欧城联邦 -广汉市,3室2厅 | 119平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 塔楼,3人关注 / 一年前发布,77.2,"6,488元/平"
欧城联邦，横厅套三双卫底层，采光好，不临街,金雁·欧城联邦 -广汉市,3室1厅 | 121平米 | 南 | 毛坯 | 22层  | 塔楼,0人关注 / 一年前发布,68.8,"5,686元/平"
广汉 城西东泰翡翠郡 套三 清水 阳光充足,东泰翡翠郡 -广汉市,3室1厅 | 103.28平米 | 东 | 其他 | 高楼层(共25层)  | 塔楼,0人关注 / 一年前发布,58.8,"5,694元/平"
骏逸东山4-2-1-2 155.00m² 155 万,骏逸东山 -黄河片区,4室2厅 | 155平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,135,"8,710元/平"
城北新城区 户型方正 一楼可做商用,金雁·欧城联邦 -广汉市,3室1厅 | 93平米 | 东 | 毛坯 | 22层  | 塔楼,12人关注 / 一年前发布,53.8,"5,785元/平"
欧城联邦 4是 小区环境好 物业好,金雁·欧城联邦 -广汉市,3室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共31层)  | 板楼,1人关注 / 一年前发布,76.8,"6,565元/平"
邮政小区好房出售，楼层好，位置好,邮政小区 -玉泉,2室2厅 | 76平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,13人关注 / 一年前发布,25.8,"3,395元/平"
一棵树景霞花苑多层 旁边就是一中高中部和外国语,景霞花苑 -玉泉,3室3厅 | 154平米 | 东南 | 毛坯 | 低楼层(共6层)  | 暂无数据,6人关注 / 一年前发布,79,"5,130元/平"
金雁·欧城联邦 3室2厅 东南 南,金雁·欧城联邦 -广汉市,3室2厅 | 89.6平米 | 东南 南 | 毛坯 | 31层  | 塔楼,0人关注 / 5个月以前发布,66,"7,367元/平"
黄河片区，万达旁清水四室可装修,地王豪庭 -黄河片区,4室2厅 | 126.5平米 | 东南 | 毛坯 | 低楼层(共24层)  | 板楼,1人关注 / 一年前发布,126.5,"10,000元/平"
老城城中 中山小区 房东诚心出售,中山小区 -广汉市,3室2厅 | 108.6平米 | 南 | 精装 | 中楼层(共7层)  | 平房,1人关注 / 9个月以前发布,35,"3,223元/平"
城北新区 御景水岸 套四 户型方正 随时看 带平台,御景水岸 -广汉市,4室2厅 | 122.63平米 | 南 | 毛坯 | 高楼层(共26层)  | 塔楼,1人关注 / 一年前发布,68,"5,546元/平"
东泰帝景国际 3室2厅 东南,东泰帝景国际 -广汉市,3室2厅 | 120.2平米 | 东南 | 精装 | 低楼层(共10层)  | 板塔结合,2人关注 / 一年前发布,86,"7,155元/平"
广汉城北核 心区域，房子格局方正，通透户型,金雁·欧城联邦 -广汉市,3室1厅 | 120平米 | 南 | 毛坯 | 高楼层(共31层)  | 塔楼,0人关注 / 一年前发布,85,"7,084元/平"
欧城联邦 标准大套三 中间楼层 房东诚心卖 随时看房,金雁·欧城联邦 -广汉市,3室1厅 | 117平米 | 南 | 毛坯 | 22层  | 塔楼,0人关注 / 一年前发布,76,"6,496元/平"
金雁 欧城联邦 环境优美环境舒适 带空中露台,金雁·欧城联邦 -广汉市,3室2厅 | 122平米 | 南 | 毛坯 | 22层  | 塔楼,7人关注 / 一年前发布,82.5,"6,763元/平"
小区绿化高，人车分流，物业很负责,金雁·欧城联邦 -广汉市,3室1厅 | 92.4平米 | 东南 | 毛坯 | 22层  | 塔楼,2人关注 / 一年前发布,55.5,"6,007元/平"
房子楼层高 采光好 小区24小时安保系统 绿化高,金雁·欧城联邦 -广汉市,3室2厅 | 127平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,3人关注 / 一年前发布,75,"5,906元/平"
欧城联邦 装修套三带车位 业主诚心卖 满二免增值税,金雁·欧城联邦 -广汉市,3室2厅 | 118平米 | 西南 | 毛坯 | 高楼层(共27层)  | 塔楼,0人关注 / 一年前发布,82,"6,950元/平"
房子户型方正宽敞，交通便利，配套完善，双公园.,金雁·欧城联邦 -广汉市,3室2厅 | 121平米 | 南 | 毛坯 | 29层  | 板塔结合,0人关注 / 一年前发布,76,"6,281元/平"
欧城联邦 清水套三，对中庭，采光视野好,金雁·欧城联邦 -广汉市,3室2厅 | 91.7平米 | 东南 | 毛坯 | 29层  | 板塔结合,4人关注 / 一年前发布,55,"5,998元/平"
奥园 套三 采光好 房东诚心出售,奥园玖珑湾 -广汉市,3室1厅 | 100平米 | 东 西 | 毛坯 | 中楼层(共14层)  | 塔楼,0人关注 / 一年前发布,70,"7,000元/平"
御景水岸清水套三双卫  户型方正,御景水岸 -广汉市,3室2厅 | 122.19平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 塔楼,1人关注 / 一年前发布,73,"5,975元/平"
欧城联邦 此房户型方正 没有浪费 房东诚心出售,金雁·欧城联邦 -广汉市,4室2厅 | 131平米 | 南 | 毛坯 | 低楼层(共31层)  | 塔楼,0人关注 / 一年前发布,88,"6,718元/平"
城北新城区 品质小区欧城联邦 户型方正,金雁·欧城联邦 -广汉市,3室2厅 | 121.31平米 | 南 | 毛坯 | 29层  | 板塔结合,0人关注 / 一年前发布,72,"5,936元/平"
欧城联邦带300多的大平台，有证可按揭,金雁·欧城联邦 -广汉市,3室2厅 | 119平米 | 南 | 毛坯 | 31层  | 塔楼,3人关注 / 一年前发布,131.8,"11,076元/平"
小区配套齐全，环境优美，地理位置好，出行方便,金雁·欧城联邦 -广汉市,3室2厅 | 117平米 | 西北 | 毛坯 | 22层  | 塔楼,1人关注 / 一年前发布,72.8,"6,223元/平"
1.业主换房，诚意出售，户型方正..,雁江苑 -广汉市,3室2厅 | 131.38平米 | 东 西 | 简装 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,49.5,"3,768元/平"
欧城联邦 清水套三 小区内部设施设备齐全 满足全龄段,金雁·欧城联邦 -广汉市,3室2厅 | 127平米 | 西南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,76,"5,985元/平"
采光好，无遮挡 格局合理 利用率高 园区的位置,望龙东郡 -玉泉,3室2厅 | 98平米 | 东南 | 毛坯 | 高楼层(共32层)  | 塔楼,7人关注 / 一年前发布,66.8,"6,817元/平"
精装大套3 拎包入住 支持按揭 欢迎看房 老证 无高税,黎康塞纳湾 -广汉市,3室2厅 | 103.8平米 | 南 | 精装 | 低楼层(共15层)  | 暂无数据,2人关注 / 一年前发布,53.6,"5,164元/平"
万兴一品 3室1厅 东南,万兴一品 -广汉市,3室1厅 | 99.6平米 | 东南 | 毛坯 | 中楼层(共17层)  | 板塔结合,4人关注 / 一年前发布,66,"6,627元/平"
欧城联邦经典小套三，坐北朝南，视线相当巴适,金雁·欧城联邦 -广汉市,3室1厅 | 92平米 | 南 | 毛坯 | 22层  | 塔楼,0人关注 / 一年前发布,62,"6,740元/平"
威肯郡小区步梯3室-2厅-2卫,威肯郡 -广汉市,3室2厅 | 98平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,56.5,"5,766元/平"
卓越君城 大套三 业主急售 有证可按揭  随时看房,卓越君城 -广汉市,3室2厅 | 107平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,56.6,"5,290元/平"
