标题,开发商,房子信息,发布信息,售价/万,单价
御景苑电梯中层商品房，南北通透大H户型，单价低！,御景苑三期 -元宝区,2室2厅 | 98.56平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 3天以前发布,74,"7,509元/平"
万隆和馨园旁  私产满五 南北通透 配套齐全,北二道小区 -振兴区,2室1厅 | 77平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 10个月以前发布,68,"8,832元/平"
独栋大别墅 车库 地下室 花园 一应俱全,保利江山墅 -振兴区,6室4厅 | 351.6平米 | 东 南 西 北 | 其他 | 低楼层(共2层)  | 暂无数据,0人关注 / 8个月以前发布,920,"26,167元/平"
保利锦江林语 依山 南北通透，楼层好,保利锦江林语A区 -振兴区,2室2厅 | 105平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,80,"7,620元/平"
此房采光好，格局立正，小区环境优美，交通便利,上城·左岸 -振兴区,3室2厅 | 126.63平米 | 南 北 | 其他 | 低楼层(共17层)  | 板楼,1人关注 / 一年前发布,57.5,"4,541元/平"
此房为江景房，自带270度观景阳台，视野好,月亮岛界河明珠 -振兴区,2室1厅 | 110平米 | 南 | 其他 | 中楼层(共33层)  | 板楼,0人关注 / 8个月以前发布,138,"12,546元/平"
此房园区中间三居室  业主诚心出售,翡翠壹号 -振兴区,3室2厅 | 122平米 | 南 北 | 毛坯 | 中楼层(共15层)  | 板楼,5人关注 / 10个月以前发布,80,"6,558元/平"
鸿利公寓 一线江景 电梯高层非顶 万达商圈 阳光好,鸿利公寓 -振兴区,4室2厅 | 196平米 | 西南 东南 | 其他 | 高楼层(共15层)  | 板塔结合,2人关注 / 一年前发布,135,"6,888元/平"
新加坡城一楼带地下室，离江近地点好,新加坡城 -振兴区,3室2厅 | 133平米 | 南 北 | 其他 | 低楼层(共30层)  | 板楼,0人关注 / 3个月以前发布,85,"6,391元/平"
此房满五唯一，东西向，格局好，步梯高层,菜市小区 -元宝区,3室2厅 | 105平米 | 东 西 | 其他 | 高楼层(共8层)  | 板楼,0人关注 / 一年前发布,36,"3,429元/平"
此房园区中间三居室 业主诚心出售,翡翠壹号 -振兴区,3室2厅 | 120.97平米 | 南 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,70.8,"5,853元/平"
佳兆业一号 联排别墅 南北向 格局好 好位置 一线江景,佳兆业壹号 -振兴区,4室3厅 | 213.67平米 | 南 北 | 其他 | 低楼层(共3层)  | 暂无数据,4人关注 / 一年前发布,280,"13,105元/平"
怡山风情 三室两厅的好房出售啦,怡山风情 -振兴区,3室2厅 | 143平米 | 南 北 | 其他 | 高楼层(共12层)  | 板塔结合,2人关注 / 9个月以前发布,79,"5,525元/平"
步梯中层 通透户型，适合过渡期的人群居住，户型板正,永昌社区 -振兴区,2室2厅 | 74.3平米 | 南 北 | 其他 | 中楼层(共8层)  | 板塔结合,1人关注 / 10个月以前发布,57,"7,672元/平"
月亮岛洋房 步梯4楼 南北通透格局 精装修 可贷款可谈,园林样板小区 -振兴区,4室3厅 | 188平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,138,"7,341元/平"
绿城紫金园，，大通透户型，采光好，环境好,绿城紫金园 -振兴区,3室1厅 | 110平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,110,"10,000元/平"
此房满五，中等装修大H户型拎包入住，看房方便，。,丹建佳园 -元宝区,2室2厅 | 116平米 | 南 北 | 其他 | 中楼层(共15层)  | 板楼,1人关注 / 10个月以前发布,104.5,"9,009元/平"
锦绣一期 步梯7跃8 繁华地段 居家之选,锦绣花园 -振兴区,2室2厅 | 109.25平米 | 南 北 | 其他 | 高楼层(共7层)  | 平房,0人关注 / 11个月以前发布,70,"6,408元/平"
此房楼层好 不挡光， 。 房东着急卖,上城·左岸 -振兴区,2室2厅 | 143平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,100,"6,994元/平"
此房是鸭纸小区，欧尚广场商圈，步梯中高层 阳光充足,鸭纸小区 -元宝区,2室1厅 | 70平米 | 东 西 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,30.8,"4,400元/平"
滨江凯旋门三室一厅一厨一卫 通透三居户型一楼,滨江凯旋门 -振兴区,3室1厅 | 113.77平米 | 东南 | 其他 | 低楼层(共33层)  | 板楼,7人关注 / 一年前发布,46.7,"4,105元/平"
怡山风情三居室，采光视野好，看房方便,怡山风情 -振兴区,3室2厅 | 118.39平米 | 南 | 其他 | 高楼层(共13层)  | 板塔结合,0人关注 / 8个月以前发布,62,"5,237元/平"
滨江一号前排可看江三居室，业主诚心出售,滨江壹号 -振兴区,3室1厅 | 137.97平米 | 南 北 | 其他 | 高楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,83,"6,016元/平"
此房二楼带外露平台满五唯一精装修精美家具家电,金海永安花园 -元宝区,2室2厅 | 111.17平米 | 东 西 | 精装 | 低楼层(共15层)  | 板楼,15人关注 / 一年前发布,94.5,"8,501元/平"
此房通透户型，清水房，配套完善.,金和温州城 -振兴区,3室2厅 | 116平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,93,"8,018元/平"
怡山风情三居室，通透户型，采光好,怡山风情 -振兴区,3室2厅 | 112.41平米 | 南 | 其他 | 高楼层(共13层)  | 板楼,2人关注 / 8个月以前发布,62,"5,516元/平"
此房楼层好 不挡光， 。 房东着急卖。,上城·左岸 -振兴区,3室2厅 | 121平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,0人关注 / 9个月以前发布,68,"5,620元/平"
此房楼层好 不挡光， 。 房东着急卖,上城·左岸 -振兴区,2室2厅 | 143平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,100,"6,994元/平"
一线江景 一线江景 满五唯一 中高层,滨江壹号 -振兴区,2室2厅 | 108平米 | 南 北 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 一年前发布,81.9,"7,584元/平"
楼层为中高层，视野好，小区地理位置优越。,上城·左岸 -振兴区,4室2厅 | 126平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板楼,4人关注 / 一年前发布,87,"6,905元/平"
新区公务员楼，电梯中层3居室，前后看江 ！,新世纪佳園 -振兴区,3室2厅 | 166.63平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,2人关注 / 一年前发布,83,"4,982元/平"
此房为电梯11楼，精装修，可拎包入住,万达华府 -振兴区,3室1厅 | 127.64平米 | 东 西 | 其他 | 中楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,128,"10,029元/平"
怡山风情楼间距宽，采光视野好，,怡山风情 -振兴区,2室2厅 | 104.4平米 | 南 北 | 其他 | 低楼层(共13层)  | 板楼,0人关注 / 9个月以前发布,60,"5,748元/平"
此房南向房采光好，格局立正，小区环境优美，交通便利,上城·左岸 -振兴区,3室2厅 | 103平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,65,"6,311元/平"
公务员小区，前能看到市政府，后看新区大桥,新世纪佳園 -振兴区,2室2厅 | 123.73平米 | 南 北 | 其他 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,53,"4,284元/平"
金叶东方明珠，前排江景房，阳光好，户型好，看房方便,金叶东方明珠 -振兴区,3室2厅 | 153平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,2人关注 / 8个月以前发布,140,"9,151元/平"
月亮岛界河明珠江景房 商品 精装修,月亮岛界河明珠 -振兴区,3室2厅 | 133平米 | 东南 | 其他 | 高楼层(共17层)  | 板楼,5人关注 / 7个月以前发布,135,"10,151元/平"
房子通透户型，中间楼层，采光充足，户型好,SK新城 -振兴区,3室2厅 | 115.75平米 | 南 西 北 | 毛坯 | 高楼层(共15层)  | 板楼,10人关注 / 一年前发布,56.5,"4,882元/平"
采光充足，视野广阔，交通便利，设施齐全,月亮岛界河明珠 -振兴区,2室2厅 | 111.09平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 板楼,3人关注 / 一年前发布,142,"12,783元/平"
表公司大院 通透两室  精装修 可贷款 有钥匙 随时看房,振七街 -振兴区,3室1厅 | 69平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,2人关注 / 8个月以前发布,49.8,"7,218元/平"
楼间距大 园区安静 小高层 采光好 视野好！,怡山风情 -振兴区,3室2厅 | 132平米 | 南 北 | 毛坯 | 中楼层(共13层)  | 暂无数据,0人关注 / 2个月以前发布,59.8,"4,531元/平"
世景芳华三居室采光好视野开阔可以看三期洋房景观,世景芳华 -振兴区,3室2厅 | 130平米 | 南 西南 北 | 毛坯 | 中楼层(共24层)  | 板楼,0人关注 / 2个月以前发布,64,"4,924元/平"
金地水岸豪庭 一线江景 清水三室 在家俯瞰异国风情,金地水岸豪庭 -振兴区,3室2厅 | 205.23平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,5人关注 / 7个月以前发布,260,"12,669元/平"
此房园区中间三居室 业主诚心出售,翡翠壹号 -振兴区,3室2厅 | 120.97平米 | 南 | 毛坯 | 中楼层(共16层)  | 暂无数据,0人关注 / 1个月以前发布,70.8,"5,853元/平"
月亮岛界河明珠，电梯中层，江景房，采光视野开阔,月亮岛界河明珠 -振兴区,2室2厅 | 112.11平米 | 南 | 毛坯 | 中楼层(共15层)  | 板楼,9人关注 / 8个月以前发布,95,"8,474元/平"
跃层精装修 带个车位 拎包入住的,德隆家园二期 -振兴区,3室1厅 | 193平米 | 南 北 | 其他 | 高楼层(共17层)  | 板楼,5人关注 / 一年前发布,158,"8,187元/平"
园区前排 一楼带花园 三室两卫 有房本可贷款,绿云嘉园 -振安区,3室2厅 | 140平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,105,"7,500元/平"
御景苑二期 电梯中层 清水房阳光好无遮挡,御景苑二期 -元宝区,3室2厅 | 138平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 一年前发布,151.8,"11,000元/平"
唐宁一号两居室清水房，电梯中层，业主诚心出售,唐宁壹号 -振兴区,2室2厅 | 101平米 | 南 北 | 毛坯 | 高楼层(共19层)  | 板楼,0人关注 / 一年前发布,47,"4,654元/平"
金叶东方明珠，前排江景房，阳光好，户型好，看房方便,金叶东方明珠 -振兴区,3室2厅 | 153平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,2人关注 / 8个月以前发布,140,"9,151元/平"
表公司大院 通透两室  精装修 可贷款 有钥匙 随时看房,振七街 -振兴区,3室1厅 | 69平米 | 南 北 | 其他 | 中楼层(共6层)  | 板塔结合,2人关注 / 8个月以前发布,49.8,"7,218元/平"
北二道小区，步梯五楼，南北通透，可贷款。,北二道小区 -振兴区,3室2厅 | 79平米 | 南 北 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 8个月以前发布,44,"5,570元/平"
"：
江景房，视野开阔，带露台，品质园区，大开间",金海·滨江3号 -振安区,2室2厅 | 100.65平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,12人关注 / 一年前发布,126,"12,519元/平"
金海滨江三号 很好的园区 楼层好阳光不挡 可看江,金海·滨江3号 -振安区,3室2厅 | 186平米 | 南 北 | 毛坯 | 低楼层(共25层)  | 板楼,6人关注 / 一年前发布,205,"11,022元/平"
新城官邸，一梯两户，楼间距宽视野采光好,新城官邸 -振兴区,3室2厅 | 120平米 | 南 北 | 其他 | 低楼层(共13层)  | 板楼,3人关注 / 4个月以前发布,55,"4,584元/平"
精装修 户型标准 阳光特好 封闭小区,紫光福郡东区 -振安区,2室2厅 | 99.8平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,8人关注 / 一年前发布,79.8,"7,996元/平"
"此房通透格局 视野宽阔 采光充足配套设施齐全,电梯",新世纪佳园A区 -振兴区,3室1厅 | 131.9平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板楼,1人关注 / 一年前发布,82,"6,217元/平"
佳兆业4室2厅1厨2卫好房出售,佳兆业壹号 -振兴区,4室2厅 | 172平米 | 南 北 | 其他 | 中楼层(共18层)  | 板楼,10人关注 / 一年前发布,145,"8,431元/平"
江边步梯洋房好楼层，可看江，公摊小,新宇黄金水岸 -振兴区,3室2厅 | 112.12平米 | 东南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,52,"4,638元/平"
绿城紫金园3室2厅1厨1卫毛坯出售,绿城紫金园 -振兴区,3室2厅 | 123.54平米 | 西南 | 其他 | 中楼层(共11层)  | 板楼,4人关注 / 11个月以前发布,81,"6,557元/平"
楼间距大 园区安静 小高层 采光好 视野好,新城官邸 -振兴区,3室1厅 | 118.83平米 | 南 北 | 其他 | 中楼层(共13层)  | 板楼,0人关注 / 2个月以前发布,66,"5,555元/平"
楼间距大 园区安静 小高层 采光好 视野好,怡山风情 -振兴区,3室2厅 | 144平米 | 东 南 北 | 其他 | 中楼层(共12层)  | 板塔结合,0人关注 / 2个月以前发布,67,"4,653元/平"
世景芳华二期洋房通透户型采光好视野开阔,世景芳华 -振兴区,3室2厅 | 96.3平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,20人关注 / 11个月以前发布,51,"5,296元/平"
南北通透格局，电梯六楼无遮挡，视野宽阔，采光充足。,SK新城 -振兴区,2室1厅 | 101平米 | 北 南 | 毛坯 | 低楼层(共23层)  | 板楼,18人关注 / 一年前发布,49,"4,852元/平"
锦绣二期 永昌 步梯3楼  阳光刺眼 房主诚心出售,锦绣花园 -振兴区,3室1厅 | 101平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,91.9,"9,100元/平"
保利四期 带花园 光线好 可贷款,保利·锦江林語四期 -振兴区,3室2厅 | 121.3平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,84.5,"6,967元/平"
金和温州城 3室1厅2卫1厨 119平 67万,金和温州城 -振兴区,3室1厅 | 119平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板塔结合,9人关注 / 一年前发布,61.7,"5,185元/平"
此房为商品房，三室两厅，精装，一线江景,金海世纪嘉苑 -振兴区,3室2厅 | 205.99平米 | 南 北 | 其他 | 低楼层(共32层)  | 平房,10人关注 / 1个月以前发布,285,"13,836元/平"
中 央花城三居室采光好视野 开阔,和顺中央花城 -振兴区,3室1厅 | 127平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,1人关注 / 2个月以前发布,65,"5,119元/平"
此房南向房采光好，格局立正，小区环境优美。,上城·左岸 -振兴区,2室1厅 | 102.28平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,2人关注 / 一年前发布,48,"4,693元/平"
此房为通透三居室，看房方便，清水房,SK新城 -振兴区,3室1厅 | 127平米 | 西南 | 其他 | 高楼层(共23层)  | 板楼,0人关注 / 1个月以前发布,60,"4,725元/平"
凯旋门132.95平电梯洋房 三室两厅两卫 带阳台,滨江凯旋门 -振兴区,3室2厅 | 132.95平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,90,"6,770元/平"
怡山风情跃层，楼上同样大小带露台,怡山风情 -振兴区,5室2厅 | 98平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 板塔结合,0人关注 / 2个月以前发布,53,"5,409元/平"
锦绣公馆 电梯跃层 三室三厅两卫 毛坯随意装修,锦绣公馆 -振兴区,3室2厅 | 97平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,2人关注 / 9个月以前发布,169.8,"17,506元/平"
江景湖畔 电梯高层 一览青年湖景 阳光刺眼 可贷款,江景湖畔 -振兴区,3室2厅 | 150.23平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,5人关注 / 10个月以前发布,158,"10,518元/平"
聚隆回迁，金汤十七，精装修一天没住，纯私产，,聚隆D区 -元宝区,2室1厅 | 51.5平米 | 东南 | 精装 | 中楼层(共32层)  | 暂无数据,19人关注 / 一年前发布,36,"6,991元/平"
楼层为电梯中层，视野好，小区地理位置优越，格局好,上城·左岸 -振兴区,3室1厅 | 99.64平米 | 西南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,77,"7,728元/平"
滨江壹号三居室通透户型采光好视野好,滨江壹号 -振兴区,3室2厅 | 123.68平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,4人关注 / 一年前发布,61,"4,933元/平"
一线江景，大四居室！清水房！！,佳兆业壹号 -振兴区,4室2厅 | 172平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,120,"6,977元/平"
江景湖畔 电梯高层 一览青年湖景 阳光刺眼 可贷款,江景湖畔 -振兴区,3室2厅 | 150.23平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板楼,5人关注 / 10个月以前发布,158,"10,518元/平"
锦绣公馆 电梯跃层 三室三厅两卫 毛坯随意装修,锦绣公馆 -振兴区,3室2厅 | 97平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,2人关注 / 9个月以前发布,169.8,"17,506元/平"
温州城3室2厅优质电梯洋房出售,金和温州城 -振兴区,3室2厅 | 118平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,88,"7,458元/平"
物业管理好，绿化好，小区干净利落，喷泉水景,新加坡城 -振兴区,3室2厅 | 124平米 | 南 北 | 其他 | 高楼层(共30层)  | 板楼,0人关注 / 1个月以前发布,65,"5,242元/平"
名仕庄园小区  精装修四室 拎包住  带500平花园庭院,名仕莊園 -振安区,4室2厅 | 172平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,0人关注 / 1个月以前发布,166,"9,652元/平"
江景之都回迁房 电梯高层 一室一厅 无遮挡,江景之都 -元宝区,1室1厅 | 44.84平米 | 西 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 17天以前发布,22,"4,907元/平"
一室一厅，视野呱呱滴，阳光好，拎包入住,御景苑 -元宝区,1室1厅 | 48平米 | 南 北 | 简装 | 高楼层(共32层)  | 板楼,0人关注 / 16天以前发布,24,"5,000元/平"
新丰社区，位置好，步梯7楼非顶，精装修，阳光充足,于家小区 -元宝区,2室2厅 | 94平米 | 西南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 15天以前发布,26.8,"2,852元/平"
封闭式园区 小区带物业管理 电梯高层 一居室 简单装修,丹景俪城 -振兴区,1室1厅 | 40平米 | 北 | 简装 | 低楼层(共32层)  | 板楼,0人关注 / 16天以前发布,34,"8,500元/平"
楼层好，总价低，适合各年龄段人群。,爱民小区 -元宝区,2室1厅 | 59.22平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,0人关注 / 10天以前发布,16,"2,702元/平"
户型方正，位置好 电梯中层 万达商圈 南北通透,知春园 -振兴区,2室2厅 | 72平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 16天以前发布,61,"8,473元/平"
知春园 2室1厅 南,知春园 -振兴区,2室1厅 | 73平米 | 南 | 简装 | 低楼层(共3层)  | 板楼,0人关注 / 16天以前发布,65,"8,905元/平"
东皇国际城 前排商品房 采光好 价格便宜可以贷款,东皇国际城-菊香溪谷C-1区 -振兴区,2室1厅 | 103平米 | 东 西 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 15天以前发布,34,"3,301元/平"
六纬路 二三零医院后面 两室 私产 通透户型 可贷款,六纬路学区东晨社区北区 -振兴区,2室1厅 | 59.06平米 | 北 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 9天以前发布,59,"9,990元/平"
东方枫景商品房，南向无遮挡，手续齐全 可贷款,東方枫景 -振安区,2室1厅 | 67平米 | 南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 13天以前发布,39.8,"5,941元/平"
楼下就是站前 小 学，步梯7楼，公产房,钟源小区 -振兴区,1室1厅 | 40平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 9天以前发布,29.8,"7,450元/平"
站 前 六 私产 一室一厅 步梯中层 采光好,绿苑小区 -振兴区,1室1厅 | 39.32平米 | 西 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 9天以前发布,26.8,"6,816元/平"
户型好 ，楼层好，交通便利，阳光充足，封闭园区,東方枫景 -振安区,2室1厅 | 84.67平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 15天以前发布,58,"6,851元/平"
金地广场  位置好  电梯房  阳光滋滋好  商品房可贷款,金地廣塲 -元宝区,2室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,2人关注 / 一年前发布,105,"9,052元/平"
地理位置优越，阳光好，通透户型，楼层好,福春二小区 -振兴区,1室0厅 | 30平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 一年前发布,16,"5,334元/平"
林江名城 电梯两室 可贷款 拎包入住 楼层适中 阳光好,林江名城 -元宝区,2室1厅 | 60平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,4人关注 / 一年前发布,39,"6,500元/平"
商圈齐全 交通方便 视野开阔 无遮挡.。。。,一中小区 -振兴区,2室1厅 | 45平米 | 南 北 | 简装 | 低楼层(共8层)  | 板楼,2人关注 / 一年前发布,56.8,"12,623元/平"
此房 为风和日丽小区 精装修满五年 拎包入住,风和日丽 -振兴区,1室1厅 | 48.57平米 | 南 | 简装 | 低楼层(共11层)  | 塔楼,0人关注 / 一年前发布,92,"18,942元/平"
此房为福春六社区房源.步梯6楼、简单装修,福春六社区 -振兴区,2室1厅 | 57.7平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,28,"4,853元/平"
永昌十九中 步梯7楼非顶 60.83平 43.5万 可贷款,振七北街 -振兴区,2室1厅 | 60.83平米 | 南 北 | 简装 | 高楼层(共8层)  | 板塔结合,0人关注 / 一年前发布,38,"6,247元/平"
太阳财富中 心银座 70年产权 可贷款,太阳财富中心银座 -振兴区,1室0厅 | 55平米 | 西 | 精装 | 低楼层(共31层)  | 塔楼,0人关注 / 一年前发布,59.8,"10,873元/平"
金山大厦商品可贷款，南北通透格局合理，光照时间长,金山大厦 -振兴区,3室2厅 | 144.19平米 | 南 北 | 简装 | 低楼层(共21层)  | 板塔结合,5人关注 / 一年前发布,101,"7,005元/平"
此房 步梯6楼 下楼就是月亮岛，还有夜市，近江边,福春六社区 -振兴区,2室1厅 | 59.8平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,21,"3,512元/平"
房主诚心出售，步梯4楼，私产！,春六路小区 -振兴区,2室1厅 | 75.27平米 | 东 西 南 | 精装 | 中楼层(共8层)  | 板楼,4人关注 / 一年前发布,41,"5,448元/平"
万达精装写字楼 电梯高层 精装修 带租户出售,万达华府 -振兴区,1室0厅 | 154.26平米 | 东南 | 精装 | 高楼层(共24层)  | 塔楼,0人关注 / 一年前发布,124,"8,039元/平"
六合小区  采光好 格局合理 简单装修,六和小区 -振兴区,2室1厅 | 64.75平米 | 西南 | 简装 | 中楼层(共7层)  | 板塔结合,3人关注 / 一年前发布,45.5,"7,028元/平"
锦江佳园  电梯中层 南北向 阳光视野不挡  精装修,锦江佳园 -振兴区,2室2厅 | 121.71平米 | 南 北 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 一年前发布,160,"13,147元/平"
商品房 干净立正 拎包入住 地点好 可贷款 手续齐全,振八街13号 -振兴区,1室1厅 | 53平米 | 东 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,55,"10,378元/平"
福春六社区 格局好 私产 可以贷款,福春六社区 -振兴区,2室1厅 | 59.89平米 | 南 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 一年前发布,35,"5,845元/平"
福民小区，步梯3楼，房改房，干净利索。,福民小区 -振兴区,1室1厅 | 38平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 10个月以前发布,22.8,"6,000元/平"
玻璃公司楼 1室1厅 东南,玻璃公司楼 -振兴区,1室1厅 | 47.65平米 | 东南 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 4个月以前发布,48,"10,074元/平"
6越7带空中花园 C区 品质住宅 温泉入户低税费,宗裕城C区 -元宝区,3室2厅 | 94平米 | 西 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,67,"7,128元/平"
此房格局规整，视野开阔，光线充足,陽光家園 -元宝区,2室1厅 | 149.7平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,50.2,"3,354元/平"
虹桥一楼，简单装修，格局无改造，两室一厅,虹桥小区 -元宝区,2室1厅 | 58平米 | 西南 | 简装 | 低楼层(共7层)  | 板楼,7人关注 / 一年前发布,30,"5,173元/平"
房子位置好 下楼去哪都很方便 医院在旁边,六纬路学区市政府小区 -振兴区,1室1厅 | 41.75平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,48.5,"11,617元/平"
绿丹江苑南区，电梯中层，地段位置好，视野开阔,绿丹江苑南区 -振安区,1室1厅 | 59.94平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,1人关注 / 一年前发布,33,"5,506元/平"
此房 户型好 楼层好 配套齐全 交通便利,朝凤小区聚宝住宅 -元宝区,2室1厅 | 72.4平米 | 南 北 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,29.6,"4,089元/平"
阳光家园  阳光视野好 生活交通便利,陽光家園 -元宝区,2室1厅 | 75平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,45,"6,000元/平"
金汤， 房改可贷款 ，东西通透，阳光好,中富小区南区 -元宝区,3室1厅 | 83.69平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,41.8,"4,995元/平"
楼层低，商品房，精装修，可贷款，看房方便，价格可谈,陽光家園 -元宝区,2室1厅 | 80.35平米 | 东 西 | 简装 | 中楼层(共6层)  | 板楼,4人关注 / 一年前发布,47.8,"5,949元/平"
步梯3楼精装修 采光好 无遮挡 二纬路 十三,十街二轻开发小区 -振兴区,2室1厅 | 50.57平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 7个月以前发布,30,"5,933元/平"
保利 步梯  顶楼  采光好  封闭式小区 可贷款,保利锦江林语B区 -振兴区,2室1厅 | 66.4平米 | 东 西 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,25,"3,766元/平"
二纬路、13中，7楼非顶，下楼就是小xue，拎包即住,二纬路 -振兴区,2室1厅 | 59.25平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,4人关注 / 一年前发布,20.8,"3,511元/平"
北麓园回迁 电梯高层  简单装修 价位低,北麓园 -元宝区,1室1厅 | 45.75平米 | 南 北 | 简装 | 高楼层(共15层)  | 板楼,2人关注 / 一年前发布,19,"4,154元/平"
可贷款 房本随时办理 诚心出售 看房方便 户型方正,城市家园 -元宝区,3室2厅 | 98平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,63.8,"6,511元/平"
此房为商品房，精装修，电梯房，，温泉房,宗裕城A区 -元宝区,2室1厅 | 86.33平米 | 南 北 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,59,"6,835元/平"
公证处对.面 步梯4楼 通透两室 59平 采光好,表具小区 -振兴区,2室1厅 | 58.42平米 | 东 西 | 简装 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,28,"4,793元/平"
