标题,开发商,房子信息,发布信息,售价/万,单价
此房是B区临河户型的精装四房全屋中 央空调报价88万！,溶江小区 -经开区,4室2厅 | 141.37平米 | 西南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 7天以前发布,88,"6,225元/平"
湘西高新区 溶江小区毛胚四房 带车位,溶江小区 -经开区,4室2厅 | 143平米 | 西南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 9个月以前发布,89.8,"6,280元/平"
大四房带个大平台 户型好 南北通,大汉新城 -吉首,4室2厅 | 156平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,59.6,"3,821元/平"
户型周正、采光充足、视眼开阔。,溶江小区 -经开区,5室2厅 | 180平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,99.8,"5,545元/平"
大汉腾龙府 3房现房 56.8万 好楼层现房,大汉新城 -吉首,3室2厅 | 120.93平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,1人关注 / 7个月以前发布,55.8,"4,615元/平"
经开区州幼儿园楼盘看河户型，视野无遮挡,名门江山小区 -经开区,3室2厅 | 129平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,70,"5,427元/平"
小高层一梯两户 精装 通透三房 户型采光都很好,荣昌裕隆世纪山庄（新城花园） -乾州,3室2厅 | 128.38平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 4个月以前发布,58.5,"4,557元/平"
御香山顶楼复式 带大露台 户型通透 人车分流,仁安·御香山 -经开区,4室2厅 | 169.75平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 暂无数据,2人关注 / 6个月以前发布,118,"6,952元/平"
烫金板块 喜鹊江景房 5房两厅两卫 中区楼层满二,溶江小区 -经开区,5室2厅 | 180平米 | 北 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 一年前发布,92,"5,112元/平"
高铁新城 四代住宅业主急卖 3房两厅大阳台,世纪山水·天麓城 -乾州,3室2厅 | 97平米 | 东南 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 7个月以前发布,55.8,"5,753元/平"
乾州 单位房  一梯两户 纯板房 停车免费 看房方便,工商花园 -乾州,3室2厅 | 135.51平米 | 东南 | 毛坯 | 高楼层(共13层)  | 暂无数据,1人关注 / 11个月以前发布,53.8,"3,971元/平"
雅溪板块 毛坯两室一厅 单价3000多一平,吉盟天下一期 -吉首,2室2厅 | 87平米 | 南 | 毛坯 | 高楼层(共11层)  | 板塔结合,2人关注 / 5个月以前发布,32.8,"3,771元/平"
吉首西站电梯三房3000多一平看房有钥匙,西郊嘉苑 -吉首,3室2厅 | 123平米 | 西南 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,38.8,"3,155元/平"
状元首府毛坯三房视线开阔，价格合理，房东诚心出售,状元首府 -经开区,3室2厅 | 117.13平米 | 东南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 3个月以前发布,62.8,"5,362元/平"
经开区带车位，总价低，楼层好视野开阔,蓝天花园 -经开区,4室2厅 | 142.59平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 4个月以前发布,61.5,"4,314元/平"
精致大两房两厅 带入户花园 满二看房随时房东诚意卖,太平洋家园 -经开区,2室2厅 | 106平米 | 南 | 毛坯 | 低楼层(共25层)  | 板塔结合,1人关注 / 6个月以前发布,48,"4,529元/平"
河景房 吉凤家园小高层 户型通透 双阳台,吉凤家园小区 -经开区,3室2厅 | 154.48平米 | 东南 西北 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 4个月以前发布,78,"5,050元/平"
好房推荐 世纪山水楼 王栋 大户型出售,世纪山水 -乾州,4室2厅 | 161.81平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 板楼,3人关注 / 5个月以前发布,75,"4,636元/平"
乾州农贸市场毛坯大三房房东诚心出售,金宏帝景 -乾州,4室2厅 | 124平米 | 东南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,55.8,"4,500元/平"
吉首市经开区，溶江小区临河大四房，中高楼层看房方便,溶江小区 -经开区,4室2厅 | 143.6平米 | 南 | 毛坯 | 高楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,75.8,"5,279元/平"
乾州单位房，物业费1~2毛电梯房 停车免费,德厚园 -乾州,5室2厅 | 197.96平米 | 南 北 | 毛坯 | 高楼层(共13层)  | 暂无数据,0人关注 / 4个月以前发布,109.8,"5,547元/平"
世纪山水188大平层 99万临湖大4房 产权清晰,世纪山水 -乾州,4室2厅 | 188.86平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,96.8,"5,126元/平"
蓝天花园  3房2厅   毛坯低价出售    可 随时办理过户,蓝天花园 -经开区,3室2厅 | 119.83平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,3人关注 / 7个月以前发布,45.6,"3,806元/平"
溶江A区内，毛坯大三房出售，价格漂亮,太平洋家园 -经开区,3室2厅 | 143.72平米 | 西北 | 毛坯 | 中楼层(共31层)  | 暂无数据,1人关注 / 4个月以前发布,59,"4,106元/平"
光明学  校旁，电梯4房，双向通透，3个阳台有钥匙出售,峒河馨苑 -吉首,4室2厅 | 154.13平米 | 东南 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,50,"3,245元/平"
中间楼层，视野开阔看河户型，前面无遮挡,名门江山小区 -经开区,3室2厅 | 127.47平米 | 东 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,62.8,"4,927元/平"
吉首乾州三房物业免费停车一年1000元,四零五小区 -乾州,3室2厅 | 96.67平米 | 南 | 简装 | 中楼层(共5层)  | 暂无数据,1人关注 / 9个月以前发布,29.8,"3,083元/平"
热门户型大平层房东外地发展所以诚心出售,碧桂园中央公园 -经开区,5室2厅 | 225平米 | 东南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 2个月以前发布,150,"6,667元/平"
溶江B区 临河通车库 中区楼层 1号户型 视野开阔,溶江小区 -经开区,4室2厅 | 140平米 | 西 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 7个月以前发布,70,"5,000元/平"
采光充足 大四房 视野开阔  物业安全,老州法院宿舍 -吉首,4室2厅 | 157平米 | 东南 | 简装 | 高楼层(共9层)  | 板楼,1人关注 / 7个月以前发布,49.8,"3,172元/平"
此房契税满二证件在手，业主诚意出售该房,中宇和园 -乾州,3室2厅 | 129.19平米 | 东 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 8个月以前发布,54,"4,180元/平"
校门口宜居品质小区，此价带车位,武陵书香苑 -经开区,3室2厅 | 129.49平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,67.8,"5,236元/平"
经开区溶江小区复式楼，底价出售，随时看房,溶江小区 -经开区,5室2厅 | 230平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,138,"6,000元/平"
御香山毛坯3房边户，带2层地下室，带花园，带车位,仁安·御香山 -经开区,3室2厅 | 131.94平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,2人关注 / 一年前发布,99,"7,504元/平"
人车分流 内设幼儿园 绿化环境好 小区安静 交通方便,华商国际城 -乾州,2室2厅 | 84.09平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,47.8,"5,685元/平"
出售乾州芙蓉小区旁 毛坯3房2厅 欢迎咨询,金坪家园 -乾州,3室2厅 | 129.43平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 7个月以前发布,42.8,"3,307元/平"
文艺路小月亮旁单位四房中间楼层精装修拎包入住,吉首市水利局宿舍 -吉首,4室2厅 | 151.68平米 | 东南 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,54.8,"3,613元/平"
一梯一户 中高层 带大露台 三居室,武陵书香苑 -经开区,3室2厅 | 131.69平米 | 东南 | 毛坯 | 低楼层(共18层)  | 暂无数据,2人关注 / 7个月以前发布,67.8,"5,149元/平"
火车站旁 电梯复式楼 2020年竣工 欢迎咨询,峒河馨苑 -吉首,4室2厅 | 156.78平米 | 西 | 毛坯 | 高楼层(共32层)  | 暂无数据,1人关注 / 7个月以前发布,59.8,"3,815元/平"
高铁新城九龙山庄毛坯三房价格美丽,九龍山莊 -乾州,3室2厅 | 132.7平米 | 南 | 毛坯 | 高楼层(共9层)  | 板楼,0人关注 / 7个月以前发布,49.8,"3,753元/平"
小区绿化环境好，人车分流，设施配套齐全,吉盟天下一期 -吉首,4室2厅 | 140.69平米 | 南 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,52,"3,697元/平"
乾州金宏帝景房东诚心出售，随时看房,金宏帝景 -乾州,3室2厅 | 97.39平米 | 东 | 精装 | 低楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,42.8,"4,395元/平"
吉盟天下 4房全明采光  128平3+1 44.8万单价3500,吉盟天下一期 -吉首,4室2厅 | 128平米 | 南 | 毛坯 | 低楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,42.3,"3,305元/平"
乾州四房！单价3300多一平，电梯高层!,金坪家园 -乾州,4室2厅 | 129.43平米 | 东南 | 毛坯 | 中楼层(共30层)  | 板塔结合,0人关注 / 8个月以前发布,41.8,"3,230元/平"
楼下三个校园，两房做到全彩钢和无遮挡视野,状元首府 -经开区,2室2厅 | 69.53平米 | 东北 | 毛坯 | 高楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,39.8,"5,725元/平"
溶江小区带一个外阳台的。户型周正,溶江小区 -经开区,4室2厅 | 147.22平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,65.8,"4,470元/平"
溶江小区带一个外阳台的。户型周正,溶江小区 -经开区,4室2厅 | 147.22平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,1人关注 / 4个月以前发布,65.8,"4,470元/平"
乾州毛胚电梯小三房 临河视野好 首付8W月供1500,金坪家园 -乾州,3室2厅 | 95.51平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 6个月以前发布,32.5,"3,403元/平"
经开区太平洋家园电梯房 三加一户型 采光好,太平洋家园 -经开区,3室2厅 | 142.63平米 | 南 | 毛坯 | 中楼层(共31层)  | 暂无数据,0人关注 / 5个月以前发布,62.8,"4,404元/平"
格局好，阳台是客厅连着房间的，很大，很舒服,旅游之家 -乾州,3室2厅 | 126.48平米 | 南 | 毛坯 | 高楼层(共9层)  | 暂无数据,0人关注 / 3个月以前发布,42.8,"3,384元/平"
溶江小区B区高楼层 好房 户型方正,溶江小区 -经开区,4室2厅 | 143平米 | 西南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 8个月以前发布,71.5,"5,000元/平"
碧桂园一期公园里 中区  满二税少看房随时有钥匙,碧桂园中央公园 -经开区,4室2厅 | 143.27平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,65.8,"4,593元/平"
御香山洋房区 吉首富仁区标杆 房东诚心出售,仁安·御香山 -经开区,3室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,65,"5,119元/平"
吉首文艺路精装一室一厅中间楼层,湘德雅居 -吉首,1室1厅 | 54.43平米 | 南 | 精装 | 中楼层(共31层)  | 板塔结合,0人关注 / 9天以前发布,28.8,"5,292元/平"
世纪山水三房，证件在手，满两年，随时看房,世纪山水 -乾州,3室2厅 | 122.45平米 | 南 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 8个月以前发布,66.8,"5,456元/平"
溶江A区1号户型全景视野，价格Z划算的一套房源,溶江小区 -经开区,4室2厅 | 141平米 | 东南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,77.8,"5,518元/平"
房东上门挂牌急售 现外地发展 满二急售 看房有钥匙,溶江小区 -经开区,4室2厅 | 140平米 | 南 | 毛坯 | 低楼层(共24层)  | 板塔结合,1人关注 / 4个月以前发布,65,"4,643元/平"
吉首市经开区，溶江小区，毛坯大四房带车位，降价卖,溶江小区 -经开区,4室2厅 | 147平米 | 南 | 毛坯 | 低楼层(共28层)  | 板塔结合,0人关注 / 7个月以前发布,75.8,"5,157元/平"
3+1户型 两梯两户 中区南北对流 满二看房有钥匙,名门江山小区 -经开区,4室2厅 | 140.12平米 | 南 | 毛坯 | 中楼层(共17层)  | 暂无数据,0人关注 / 4个月以前发布,76.6,"5,467元/平"
吉首市乾州，公路局单位三房高层电梯视野好，房东急售,和馨苑 -乾州,3室2厅 | 123.04平米 | 南 | 毛坯 | 高楼层(共28层)  | 暂无数据,1人关注 / 7个月以前发布,51.8,"4,211元/平"
乾州.吉泰家园  全新装修从来没住过,吉泰嘉园 -乾州,3室2厅 | 115.96平米 | 东南 | 精装 | 中楼层(共33层)  | 板塔结合,1人关注 / 2个月以前发布,68.5,"5,908元/平"
经开区品质三房，房型方正，易装修。,名门江山小区 -经开区,3室2厅 | 127平米 | 南 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 4个月以前发布,68.8,"5,418元/平"
吉首市经开区，溶江小区电梯三房，视野好，看房都方便,溶江小区 -经开区,3室2厅 | 92平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 7个月以前发布,49.8,"5,414元/平"
湘西高新区 溶江小区 河景房 双阳台 户型好 空气对流,溶江小区 -经开区,4室2厅 | 141平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 板楼,2人关注 / 5个月以前发布,62,"4,398元/平"
火车站旁 电梯三房 2021年竣工 不动产证在手 随时看房,峒河馨苑 -吉首,3室2厅 | 128.08平米 | 南 | 毛坯 | 中楼层(共28层)  | 塔楼,2人关注 / 9个月以前发布,45.8,"3,576元/平"
经开区三房，视野王，满二，户型正。,溶江一号 -经开区,3室2厅 | 126平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,0人关注 / 4个月以前发布,67.8,"5,381元/平"
乾州伟业广场，单位宿舍，高层非顶，2室可停车小区,团结报社宿舍 -乾州,2室2厅 | 100.9平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,39.8,"3,945元/平"
小区人车分流 户型周正，房间阳光充足,华商国际城 -乾州,2室2厅 | 89.93平米 | 南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,49,"5,449元/平"
三小旁边，精装两层 公寓，拎包入住。,湘源公寓 -吉首,2室1厅 | 43.66平米 | 东南 | 精装 | 中楼层(共14层)  | 塔楼,0人关注 / 19天以前发布,25,"5,727元/平"
经开区 牯牛城 2房 格局方正 采光好 出行便利 好楼层,牯牛城 -经开区,2室2厅 | 94.03平米 | 南 | 毛坯 | 低楼层(共28层)  | 塔楼,1人关注 / 10个月以前发布,38.8,"4,127元/平"
吉大旁精装一室一厅，拎包入住满两年中间楼层,大汉新城 -吉首,1室1厅 | 42.57平米 | 南 | 简装 | 低楼层(共30层)  | 塔楼,1人关注 / 7个月以前发布,19,"4,464元/平"
户型周正，视野开阔，直接拎包入住，采光好,老电信小区 -吉首,3室1厅 | 78.02平米 | 东南 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 4个月以前发布,25.8,"3,307元/平"
两房两厅，户型周正，采光好，临河户型,水畔铭城 -吉首,2室2厅 | 107.04平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,2人关注 / 6个月以前发布,32.9,"3,074元/平"
文艺路正规小两居室朝南 视野开阔,首府印象 -吉首,2室1厅 | 59.22平米 | 南 | 毛坯 | 低楼层(共25层)  | 塔楼,1人关注 / 一年前发布,27.5,"4,644元/平"
安全系数高，采光好买乾州电梯单位大三房，人车分离,中宇和园 -乾州,4室2厅 | 166.67平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,2人关注 / 一年前发布,61,"3,660元/平"
溶江小区 3室2厅 东,溶江小区 -经开区,3室2厅 | 90.02平米 | 东 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 9个月以前发布,54.8,"6,088元/平"
溶江小区 3室2厅 东,溶江小区 -经开区,3室2厅 | 90.02平米 | 东 | 毛坯 | 中楼层(共33层)  | 板塔结合,1人关注 / 9个月以前发布,54.8,"6,088元/平"
经开区溶江小区难得小户型全新装修从未入住,溶江小区 -经开区,2室2厅 | 71.42平米 | 东南 | 精装 | 中楼层(共10层)  | 暂无数据,4人关注 / 10个月以前发布,46,"6,441元/平"
吉首和盛堂旁边政府单位房 3房 可按揭 楼层适中环境好,老州政府宿舍 -吉首,3室1厅 | 89.17平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,38,"4,262元/平"
房东诚心出售，价格优惠，看房有钥匙,中大花园 -吉首,2室2厅 | 96.45平米 | 东北 | 简装 | 低楼层(共20层)  | 板楼,0人关注 / 2个月以前发布,31.8,"3,298元/平"
小高层电梯房 小区人车分流 两房两厅 适合居住,湘泉城市花园 -吉首,2室2厅 | 87.81平米 | 南 | 简装 | 高楼层(共12层)  | 塔楼,0人关注 / 2个月以前发布,32,"3,645元/平"
出售大汉新城装修房 直接拎包入住即可,大汉新城 -吉首,4室2厅 | 139.39平米 | 东南 | 精装 | 低楼层(共26层)  | 板塔结合,0人关注 / 一年前发布,56.8,"4,075元/平"
红旗门 地段好 小孩上学  交通方便 房东诚心出售,武陵东路18-4号 -吉首,3室2厅 | 104平米 | 东南 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 9个月以前发布,34.8,"3,347元/平"
中宇和园 3室2厅 南,中宇和园 -乾州,3室2厅 | 129.19平米 | 南 | 毛坯 | 高楼层(共32层)  | 暂无数据,0人关注 / 8个月以前发布,51.8,"4,010元/平"
房东做生意需要资金，所以现在处理了,大汉新城 -吉首,4室2厅 | 142.94平米 | 南 | 简装 | 低楼层(共26层)  | 板塔结合,0人关注 / 9个月以前发布,68.8,"4,814元/平"
经开区御香山 洋房复式楼 通透 视野好,仁安·御香山 -经开区,5室2厅 | 163.69平米 | 东南 | 毛坯 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,124.8,"7,625元/平"
乾州·小溪桥路段，单独产证，精装3房,桥中巷11号 -乾州,3室2厅 | 97.44平米 | 西南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 27天以前发布,48.8,"5,009元/平"
乾州州医院单位房  全屋品牌家具家电,利贞杏园 -乾州,3室2厅 | 128平米 | 南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 27天以前发布,53.8,"4,204元/平"
首府印象 37.8万电梯2房 证件在手 诚意出售 急售,首府印象 -吉首,2室2厅 | 81.45平米 | 南 | 简装 | 中楼层(共28层)  | 板楼,0人关注 / 30天以前发布,37.8,"4,641元/平"
楼层好，采光好，小区绿化好，急售，，,金坪家园 -乾州,3室2厅 | 117平米 | 南 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 28天以前发布,42,"3,590元/平"
房子房东诚心出售，带个大露台，南北通透户型、,诚信御景园 -乾州,3室2厅 | 141平米 | 南 北 | 精装 | 低楼层(共33层)  | 暂无数据,0人关注 / 24天以前发布,82,"5,816元/平"
乾州四中旁 装修单位四房户型通透停车免费 物业8角！,国土资源局小区 -乾州,4室2厅 | 138.49平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,54.8,"3,957元/平"
乾州单位毛佩三房单价3200一个平方,吉首市卫生局宿舍 -乾州,3室2厅 | 139.58平米 | 东南 | 毛坯 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,44.8,"3,210元/平"
乾州周民中公寓出售，房东还有一个车库，价格另算,学生公寓 -乾州,1室1厅 | 57.39平米 | 西南 | 简装 | 高楼层(共19层)  | 塔楼,3人关注 / 6个月以前发布,27.8,"4,845元/平"
中高楼层，户型周正，采光充足，业主诚心,吉盟天下一期 -吉首,3室2厅 | 89.6平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 22天以前发布,36.8,"4,108元/平"
：房子是属于中等装修，但是家具家电齐全,新纱厂宿舍 -乾州,3室2厅 | 98平米 | 南 | 简装 | 低楼层(共8层)  | 暂无数据,1人关注 / 5个月以前发布,43.8,"4,470元/平"
博源新康4-2-1-2 168.68m² 70 万,博源新康 -乾州,4室2厅 | 168.68平米 | 南 | 毛坯 | 中楼层(共18层)  | 塔楼,1人关注 / 一年前发布,62,"3,676元/平"
客厅视野俯瞰体育馆 无遮挡 采光好,文瑞泽宇 -经开区,3室2厅 | 118.53平米 | 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,2人关注 / 一年前发布,45.8,"3,865元/平"
吉首步步高地段复式楼36.8万看房方便,派克•中央城 -吉首,1室1厅 | 39.55平米 | 东南 | 精装 | 高楼层(共24层)  | 板塔结合,1人关注 / 7个月以前发布,36.8,"9,305元/平"
财信电梯装修两房诚心出售，看房可以提前联系。,财信商贸中心 -吉首,2室2厅 | 100.99平米 | 南 北 | 精装 | 低楼层(共25层)  | 塔楼,1人关注 / 6个月以前发布,46,"4,555元/平"
火车站电梯两房拎包入住看房方便,阳光城 -吉首,2室1厅 | 65.57平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,2人关注 / 5个月以前发布,34.8,"5,308元/平"
仁安·御香山 4室2厅 东南,仁安·御香山 -经开区,4室2厅 | 155.86平米 | 东南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,89.8,"5,762元/平"
吉首市乾州，世纪山水精装电梯两房，家电齐全视野开阔,世纪山水 -乾州,2室2厅 | 89.85平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,58,"6,456元/平"
单位电梯房 一梯2户 通透的格局,德馨园小区 -吉首,3室2厅 | 132.86平米 | 南 | 精装 | 中楼层(共16层)  | 暂无数据,0人关注 / 2个月以前发布,64.8,"4,878元/平"
3800买吉首红旗门电梯三房，楼层适中。采光好,环城花园 -吉首,3室2厅 | 121.81平米 | 南 北 | 简装 | 高楼层(共12层)  | 塔楼,4人关注 / 5个月以前发布,43.8,"3,596元/平"
闹中取静，单位房免物业停车费，,气象局宿舍 -吉首,4室2厅 | 145.97平米 | 西南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,53,"3,631元/平"
吉首市位置  临河观景大四房 户型周正采光好 房东急售,财信商贸中心 -吉首,4室2厅 | 156平米 | 东南 | 精装 | 中楼层(共23层)  | 塔楼,1人关注 / 2个月以前发布,65.8,"4,218元/平"
吉首市，经开区状元首府电梯三房，高层视野好，无遮挡,状元首府 -经开区,3室2厅 | 117平米 | 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 16天以前发布,61.8,"5,283元/平"
吉首市，经开区状元首府电梯三房，人车分流，得房率高,状元首府 -经开区,3室2厅 | 89平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 17天以前发布,53.8,"6,045元/平"
房东诚心出售，价格看起可议，小区免停车费,吉祥苑 -吉首,4室2厅 | 140.51平米 | 西 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,51.8,"3,687元/平"
吉首文艺路旁 楼梯三房 单价2千多 产权清晰 接受流程,金路缘小区 -吉首,3室2厅 | 109.38平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 14天以前发布,29.8,"2,725元/平"
御香山洋房，带露台跟1楼花园，两层地下室、看房方便,仁安·御香山 -经开区,4室2厅 | 154平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 16天以前发布,112,"7,273元/平"
房东诚售 装修4室 拎包入住 朝南户型,帝景豪庭 -吉首,4室2厅 | 107平米 | 南 | 精装 | 低楼层(共27层)  | 暂无数据,0人关注 / 18天以前发布,51.8,"4,842元/平"
房子满两年，，房子干净整洁，视野宽阔，采光无死,宏大广场 -经开区,3室2厅 | 118.5平米 | 南 | 简装 | 中楼层(共18层)  | 塔楼,0人关注 / 6个月以前发布,72.8,"6,144元/平"
世纪广场天虹旁，大三房精装修诚心出售，可随时看房。,盛世豪庭 -乾州,3室2厅 | 132.58平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,1人关注 / 3个月以前发布,89.8,"6,774元/平"
州医院旁，全新装修一年多，精装大三房，交通便利,利贞杏园 -乾州,3室2厅 | 149.92平米 | 东北 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,78.8,"5,257元/平"
红旗门大三房价格便宜，楼层好南北通.透免费停车急卖,楚源大湘西小区 -吉首,3室2厅 | 134.14平米 | 南 | 简装 | 中楼层(共9层)  | 暂无数据,0人关注 / 2个月以前发布,45.8,"3,415元/平"
世纪山水精装一房 采光好带阳台户型周正,世纪山水 -乾州,1室1厅 | 54平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,0人关注 / 2个月以前发布,38,"7,038元/平"
光明单位房，采光好 ，户型周正，随时看房,河溪水电管理站宿舍 -吉首,3室2厅 | 101.9平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 6个月以前发布,32.8,"3,219元/平"
乾州州医院近单位四房。户型周正 出行方便 拎包入住,利贞杏园 -乾州,4室2厅 | 161平米 | 东 | 精装 | 低楼层(共33层)  | 塔楼,0人关注 / 2个月以前发布,69.9,"4,342元/平"
房东诚心出售，房子装修的很好，干净整洁,水云天小区 -乾州,3室2厅 | 140平米 | 东 | 简装 | 低楼层(共7层)  | 暂无数据,2人关注 / 4个月以前发布,51.6,"3,686元/平"
采光好 视角好 中等楼层 旁边世纪广场,湘泉纯水岸 -乾州,4室2厅 | 186.1平米 | 南 | 精装 | 中楼层(共29层)  | 塔楼,1人关注 / 一年前发布,129,"6,932元/平"
世纪山水·天麓城 3室2厅 南,世纪山水·天麓城 -乾州,3室2厅 | 110.25平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,59.8,"5,425元/平"
雅溪半山公馆环境优美人车分流交通便利,半山公馆 -吉首,2室2厅 | 126.69平米 | 南 | 简装 | 中楼层(共23层)  | 暂无数据,0人关注 / 3个月以前发布,55,"4,342元/平"
新出房源 户型方正 简约风格 业主诚心出售,九龍山莊 -乾州,3室2厅 | 127.88平米 | 南 | 简装 | 低楼层(共9层)  | 暂无数据,5人关注 / 11个月以前发布,53.8,"4,208元/平"
财信新上两居室  全屋采光好 诚心出售,财信商贸中心 -吉首,2室2厅 | 100.99平米 | 东南 | 简装 | 低楼层(共25层)  | 塔楼,4人关注 / 8个月以前发布,50.8,"5,031元/平"
盛世豪庭精装急售，家电家具齐全！,盛世豪庭 -乾州,2室2厅 | 88.46平米 | 南 | 精装 | 中楼层(共31层)  | 暂无数据,1人关注 / 1个月以前发布,55,"6,218元/平"
经开区中 心地段 俯瞰体育馆 无遮挡 采光好,文瑞泽宇 -经开区,4室2厅 | 137.88平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,1人关注 / 6个月以前发布,66.3,"4,809元/平"
世纪广场盛世豪庭精装房，证件在手，满五唯一,盛世豪庭 -乾州,2室2厅 | 91平米 | 南 | 精装 | 中楼层(共33层)  | 塔楼,4人关注 / 8个月以前发布,62,"6,814元/平"
梦中情房 一套钱买两套房 一套自住一套出租 以租养 贷,大汉新城 -吉首,3室2厅 | 85平米 | 西 | 简装 | 中楼层(共30层)  | 塔楼,0人关注 / 3个月以前发布,39,"4,589元/平"
