标题,开发商,房子信息,发布信息,售价/万,单价
老城区 西门九曲小区套三简装104平2楼  公摊小,九曲河小区 -雁江区,3室1厅 | 104平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,4人关注 / 7个月以前发布,39,"3,750元/平"
京华国际 毛坯套二 地段成熟  读书生活方便,京华国际 -雁江区,2室1厅 | 88平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 9个月以前发布,45.8,"5,205元/平"
刘家湾狮子山小区三室两厅交通便利适合居住停车方便！,狮子山小区 -雁江区,3室2厅 | 64.1平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,4人关注 / 11个月以前发布,32.8,"5,118元/平"
九家湾   道路宽敞 容积绿低,狮子山小区 -雁江区,2室1厅 | 71.66平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,32,"4,466元/平"
狮子山小区 2室1厅 东南,狮子山小区 -雁江区,2室1厅 | 64平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 7个月以前发布,39.8,"6,219元/平"
北门市场旁 星宇花园 76㎡套二,星宇花园 -雁江区,2室2厅 | 76.2平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,29.8,"3,911元/平"
业主急售圣高旁 紫韵东城 精装套三,博邦紫韵东城 -雁江区,3室2厅 | 89.2平米 | 西南 | 精装 | 高楼层(共27层)  | 板塔结合,0人关注 / 5个月以前发布,57,"6,391元/平"
房东急售圣高广场旁，圣桦名城清水套三双卫,圣桦名城 -雁江区,3室2厅 | 84平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,58.8,"7,000元/平"
达高国际旁边，时代广场。套二单卫，南北通透,时代广场A区 -雁江区,2室2厅 | 68平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 3个月以前发布,26.5,"3,898元/平"
圣高旁圣桦名城，房东急售84平套三双卫,圣桦名城 -雁江区,3室2厅 | 84平米 | 东北 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 5个月以前发布,53,"6,310元/平"
同福B区三室一厅  交通便利 小区环境干净舒适,同福小区B区 -雁江区,3室1厅 | 87.6平米 | 西南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,44.8,"5,115元/平"
急售！圣桦名城清水三房中间好楼层！,圣桦名城 -雁江区,3室2厅 | 84平米 | 东南 | 毛坯 | 中楼层(共28层)  | 板楼,1人关注 / 1个月以前发布,51.6,"6,143元/平"
宝台地铁口三医院区政府 中铁滨江国际一期 套三清水,中铁·滨江国际 -雁江区,3室2厅 | 90平米 | 北 | 毛坯 | 中楼层(共27层)  | 塔楼,0人关注 / 5个月以前发布,64.8,"7,200元/平"
万达华府熙城地铁口全新装修没有住过人新房出售,东能华府熙城 -雁江区,3室2厅 | 90.45平米 | 东南 | 精装 | 低楼层(共34层)  | 塔楼,2人关注 / 7个月以前发布,85,"9,398元/平"
中交锦亭  套三 清水房  买到就可以装修哦！！！！,中交锦亭 -雁江区,3室1厅 | 90.3平米 | 南 | 毛坯 | 高楼层(共23层)  | 塔楼,1人关注 / 10个月以前发布,58,"6,424元/平"
中交锦湾沱东甄稀小户型急售！！71平套二好楼层！,中交锦湾 -雁江区,2室2厅 | 74.8平米 | 西南 | 简装 | 中楼层(共25层)  | 暂无数据,2人关注 / 9个月以前发布,49.8,"6,658元/平"
雁城大院 90平套三  精装空房 随时看房,道轩雁城大院 -雁江区,3室2厅 | 90平米 | 西南 | 精装 | 低楼层(共30层)  | 暂无数据,2人关注 / 7个月以前发布,74.6,"8,289元/平"
时代阳光  四通八达  离老城近 离沱东近 离高新区近,时代阳光B区 -雁江区,2室2厅 | 89平米 | 东南 | 精装 | 中楼层(共28层)  | 暂无数据,0人关注 / 10个月以前发布,59,"6,630元/平"
万达地铁口佳和时代套二精装户型方正中间楼层视野开阔,诚易佳和时代 -雁江区,2室2厅 | 77平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,1人关注 / 7个月以前发布,49.8,"6,468元/平"
世纪城2区精装修套二、满五唯一，税费低,世纪城二区 -雁江区,2室2厅 | 76.4平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 1个月以前发布,36,"4,713元/平"
日杂巷 两室一厅一卫，楼层好，视野开阔,日杂巷小区 -雁江区,2室1厅 | 76.7平米 | 东南 | 其他 | 中楼层(共8层)  | 暂无数据,0人关注 / 6个月以前发布,28,"3,651元/平"
凯旋国际精装套二单卫，税费低，视野开阔采光好,筑鼎凯旋国际 -雁江区,2室2厅 | 75平米 | 东南 | 精装 | 高楼层(共26层)  | 塔楼,0人关注 / 10个月以前发布,53.8,"7,174元/平"
圣高商圈 区政府大地市场 东城1号 套三清水 中间楼层,东城1号二期 -雁江区,3室2厅 | 87.5平米 | 东南 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,56.8,"6,492元/平"
京华国际 毛坯套二 地段成熟  读书生活方便,京华国际 -雁江区,2室1厅 | 88平米 | 南 | 毛坯 | 中楼层(共25层)  | 暂无数据,0人关注 / 9个月以前发布,45.8,"5,205元/平"
老城区北门车站 三 晓 儿中旁 雁江苑小区,雁江苑小区 -雁江区,2室2厅 | 78平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 1个月以前发布,26,"3,334元/平"
芙蓉苑套二清水出售 房东诚心出售价,芙蓉苑 -雁江区,2室2厅 | 86.81平米 | 东南 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,52.8,"6,083元/平"
万达旁爱琴海，中间楼层，精装。,爱琴海 -雁江区,3室2厅 | 89平米 | 东南 | 精装 | 高楼层(共22层)  | 暂无数据,0人关注 / 7个月以前发布,65.8,"7,394元/平"
房东急售，江南花都，套三，拎包入住,江南花都 -雁江区,3室2厅 | 102平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,49.9,"4,893元/平"
东城一号二期毛坯套三出售急急急,东城1号二期 -雁江区,3室2厅 | 87平米 | 东南 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 6个月以前发布,62,"7,127元/平"
金穗花园 3室2厅 东南,金穗花园 -雁江区,3室2厅 | 84平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 9个月以前发布,43.8,"5,215元/平"
万达地铁口一楼套二，可以直接拎包入住........,千业观领一品 -雁江区,2室2厅 | 86平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,51.8,"6,024元/平"
梅西时代阳光精装套三房东诚心出售,时代阳光B区 -雁江区,3室1厅 | 115平米 | 南 | 简装 | 低楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,75,"6,522元/平"
家乐福梅西旁 摩根时代 电梯标准精装套二 诚心出售,摩根时代 -雁江区,2室2厅 | 66平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,1人关注 / 7个月以前发布,50.8,"7,697元/平"
品质小区 恒大名都 中间楼层 精装套三,恒大名都（资阳） -雁江区,3室2厅 | 93平米 | 西南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 10个月以前发布,70,"7,527元/平"
急售！急售！急售！好楼层，视野好，清水,多弗绿城·诚园 -雁江区,2室2厅 | 80.51平米 | 东南 | 毛坯 | 低楼层(共6层)  | 塔楼,0人关注 / 5个月以前发布,38,"4,720元/平"
房东急售，多弗绿城，套二清水，户型方正,多弗绿城·诚园 -雁江区,2室2厅 | 74.25平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,38.8,"5,226元/平"
圣高旁精装套三单卫，满2年税费低，视野开阔采光好,鼎晟泓府 -雁江区,3室2厅 | 90平米 | 南 | 简装 | 中楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,60,"6,667元/平"
车苑小区 套三精装房 出行便利 买菜方便,车苑小区 -雁江区,3室2厅 | 109.89平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 11个月以前发布,40.8,"3,713元/平"
急售！急售！急售！好楼层，视野好，清水,多弗绿城·诚园 -雁江区,2室2厅 | 74.25平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,38,"5,118元/平"
置地城一期精装乖房子，拎包入住,置地城一期 -雁江区,3室2厅 | 85平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,0人关注 / 11个月以前发布,59.8,"7,036元/平"
一楼带花园大套二，房东原装修，品牌家具,馨城家园 -雁江区,2室2厅 | 94.5平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,4人关注 / 4个月以前发布,49.6,"5,249元/平"
万达旁 恒大名都精装新房没有住过人 套三单卫,恒大名都（资阳） -雁江区,3室2厅 | 88平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,6人关注 / 6个月以前发布,57.6,"6,546元/平"
房东急售，多弗绿城，套二清水。户型方正,多弗绿城·诚园 -雁江区,2室2厅 | 74.25平米 | 东南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,38.8,"5,226元/平"
北门菜市旁 金山花园100.3平 套三精装修 房东急售,金山花园 -雁江区,3室2厅 | 100.3平米 | 东北 | 精装 | 高楼层(共7层)  | 板楼,2人关注 / 8个月以前发布,43.8,"4,367元/平"
御府国际，套二毛呸，想怎么装就怎么装，适合自住过度,御府国际 -雁江区,2室2厅 | 82.6平米 | 南 | 毛坯 | 中楼层(共20层)  | 暂无数据,1人关注 / 10个月以前发布,45,"5,448元/平"
红星美凯龙商圈  汽车总站旁 多弗绿城 电梯套二清水,多弗绿城·诚园 -雁江区,2室2厅 | 76平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,29.8,"3,922元/平"
急售！多弗绿城精装房，套二，中间楼层,多弗绿城·诚园 -雁江区,2室2厅 | 76平米 | 东南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,52.8,"6,948元/平"
出售 狮子山 套二 简单装修  低楼层,狮子山小区 -雁江区,2室1厅 | 87平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,29.8,"3,426元/平"
毛坯房想怎么装就怎么装，别不相信，就是这么好,雁江华府 -雁江区,4室2厅 | 165平米 | 西南 | 毛坯 | 中楼层(共17层)  | 暂无数据,2人关注 / 7个月以前发布,95.8,"5,807元/平"
弘城水韵精装修3室2厅1卫，诚意出售，户型采光好,中城建弘城水韵 -雁江区,3室2厅 | 97.2平米 | 南 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,65.7,"6,760元/平"
上东国际精装好房，满五唯一 户型方正 采光好,上东国际 -雁江区,2室2厅 | 90平米 | 东南 南 | 精装 | 低楼层(共25层)  | 暂无数据,3人关注 / 7个月以前发布,58.6,"6,512元/平"
体育路小区套二，简装修，户型方正,体育路小区三区 -雁江区,2室2厅 | 83平米 | 南 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,28.6,"3,446元/平"
华西嘉苑精装套三双卫，大横厅设计，拎包入住,华西嘉苑 -雁江区,3室2厅 | 99平米 | 南 | 精装 | 低楼层(共26层)  | 塔楼,1人关注 / 10个月以前发布,68.8,"6,950元/平"
急售！急售！急售！好楼层，视野好，清水,多弗绿城·诚园 -雁江区,2室2厅 | 80.51平米 | 东南 | 毛坯 | 低楼层(共6层)  | 塔楼,1人关注 / 5个月以前发布,38,"4,720元/平"
多弗清水套二出售，好楼层，梯户比小,多弗绿城·诚园 -雁江区,2室2厅 | 74.25平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,38,"5,118元/平"
和平路三室一厅两卫，简装出售！,土产公司家属楼 -雁江区,3室1厅 | 90平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,40.8,"4,534元/平"
弘城水韵套三小钢炮户型方正商圈成熟,中城建弘城水韵 -雁江区,3室2厅 | 88平米 | 东南 | 毛坯 | 高楼层(共25层)  | 暂无数据,1人关注 / 7个月以前发布,51,"5,796元/平"
急售弘乐府一楼精装套二，带花园，拎包入住,弘乐府公园一号 -雁江区,2室1厅 | 85平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,59.5,"7,000元/平"
凯旋国际四期精装套二空房带大平台花园,筑鼎凯旋国际 -雁江区,2室2厅 | 79平米 | 南 | 其他 | 低楼层(共23层)  | 塔楼,3人关注 / 11个月以前发布,66.4,"8,406元/平"
希望园五楼套三原房东简装，随时看房,希望园小区 -雁江区,3室2厅 | 96平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,35,"3,646元/平"
梅西雁南郡毛坯套二诚心出售高楼层,金瑞雁南郡 -雁江区,2室2厅 | 72平米 | 南 | 毛坯 | 高楼层(共24层)  | 暂无数据,0人关注 / 6个月以前发布,47.6,"6,612元/平"
梅西时代阳光精装套三房东诚心出售,时代阳光B区 -雁江区,3室1厅 | 115平米 | 南 | 简装 | 低楼层(共26层)  | 暂无数据,0人关注 / 5个月以前发布,75,"6,522元/平"
多弗清水套二出售，好楼层，梯户比小,多弗绿城·诚园 -雁江区,2室2厅 | 74.25平米 | 东南 | 毛坯 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,38,"5,118元/平"
万达旁 恒大名都精装新房没有住过人 套三单卫,恒大名都（资阳） -雁江区,3室2厅 | 88平米 | 南 北 | 精装 | 高楼层(共32层)  | 塔楼,6人关注 / 6个月以前发布,57.6,"6,546元/平"
出售 刘家湾松树坪小区   套二,万和嘉苑 -雁江区,2室1厅 | 89.99平米 | 西南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,34.8,"3,868元/平"
红星美凯龙商圈  汽车总站旁 多弗绿城 电梯套二清水,多弗绿城·诚园 -雁江区,2室2厅 | 76平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,29.8,"3,922元/平"
急售！多弗绿城精装房，套二，中间楼层,多弗绿城·诚园 -雁江区,2室2厅 | 76平米 | 东南 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,52.8,"6,948元/平"
出售 狮子山 套二 简单装修  低楼层,狮子山小区 -雁江区,2室1厅 | 87平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,1人关注 / 2个月以前发布,29.8,"3,426元/平"
城西华西九曲一号，房东急售，户型方正，,华西九曲1号 -雁江区,3室2厅 | 100平米 | 东南 | 简装 | 高楼层(共22层)  | 暂无数据,0人关注 / 8个月以前发布,68.8,"6,880元/平"
梅西 达高国际套三精装 交通方便 小区环境优美！,达高国际 -雁江区,3室2厅 | 86平米 | 东南 | 精装 | 高楼层(共28层)  | 板塔结合,0人关注 / 6个月以前发布,63.6,"7,396元/平"
主城区一环路 电梯 时代阳光D区套三清水 房东急售,时代阳光D区 -雁江区,3室2厅 | 113.34平米 | 南 | 毛坯 | 高楼层(共23层)  | 暂无数据,0人关注 / 8个月以前发布,73.5,"6,485元/平"
万达商圈精装套三小区门口有幼儿园100米内有鸿富市场,丽景华庭 -雁江区,3室2厅 | 89平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 8个月以前发布,53.8,"6,045元/平"
河心地 晶鑫街 平安苑小区 有小区 好停车 小区已改造,平安苑 -雁江区,3室2厅 | 99平米 | 西南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,47.8,"4,829元/平"
城西万达商圈，恒大名都，精装套二,恒大名都（资阳） -雁江区,2室2厅 | 78平米 | 南 | 其他 | 中楼层(共31层)  | 塔楼,0人关注 / 1个月以前发布,65.8,"8,436元/平"
摩根时代 套二 简装修拎包入住 自住 出租 都可以,摩根时代 -雁江区,2室1厅 | 66.01平米 | 东 | 其他 | 低楼层(共25层)  | 暂无数据,0人关注 / 27天以前发布,43.8,"6,636元/平"
东能华府熙城 3室2厅 南,东能华府熙城 -雁江区,3室2厅 | 89.28平米 | 南 | 其他 | 中楼层(共34层)  | 塔楼,0人关注 / 22天以前发布,62.8,"7,035元/平"
交投丽景雅居 套二清水区政府未来服务大厅,交投地产·丽景雅居 -雁江区,2室2厅 | 72平米 | 南 | 其他 | 低楼层(共25层)  | 塔楼,0人关注 / 18天以前发布,46,"6,389元/平"
水润东都套三双卫好楼层 任意装修,水润东都 -雁江区,3室2厅 | 118平米 | 南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,75.5,"6,399元/平"
水润东都套三双卫好楼层，价格可谈,水润东都 -雁江区,3室2厅 | 118平米 | 西南 | 其他 | 低楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,75.8,"6,424元/平"
水润东都清水套三双卫 好楼层任意装修,水润东都 -雁江区,3室2厅 | 132平米 | 西南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,81.8,"6,197元/平"
坨东上东国际 第三人民医院旁 精装 随时看房！！,上东国际 -雁江区,3室2厅 | 108.52平米 | 东南 | 其他 | 高楼层(共23层)  | 暂无数据,1人关注 / 9个月以前发布,73.8,"6,801元/平"
水润东都套三双卫好楼层 素颜 任意装修,水润东都 -雁江区,3室2厅 | 118平米 | 南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,75.5,"6,399元/平"
套四    简装     180平方   诚心出售 价格可以谈,雁江区教育局南门职工宿舍小区 -雁江区,4室2厅 | 180平米 | 东南 | 其他 | 中楼层(共7层)  | 暂无数据,3人关注 / 8个月以前发布,66,"3,667元/平"
沱东新区电梯清水套三双卫圣桦名城单价5800随时看房,圣桦名城 -雁江区,3室2厅 | 95平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,1人关注 / 8个月以前发布,56.8,"5,979元/平"
万达御府143平套四双卫毛坯出售,资阳万达二期 -雁江区,4室2厅 | 143平米 | 南 | 其他 | 高楼层(共33层)  | 板塔结合,0人关注 / 4个月以前发布,88.6,"6,196元/平"
沱东新区水润东都，总高18楼洋房，房东急卖，价格好谈,水润东都 -雁江区,3室2厅 | 114.68平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 7个月以前发布,66,"5,756元/平"
城西，万达商圈，正读马鞍山九义校，凯旋国际洋房,筑鼎凯旋国际 -雁江区,3室2厅 | 112.3平米 | 东南 | 其他 | 低楼层(共11层)  | 塔楼,1人关注 / 6个月以前发布,88.8,"7,908元/平"
圣桦名城18楼小高层，带车位带基装,圣桦名城 -雁江区,3室2厅 | 121平米 | 东 东南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,81.8,"6,761元/平"
中城建弘城水韵 3室2厅 东南,中城建弘城水韵 -雁江区,3室2厅 | 104平米 | 东南 | 其他 | 高楼层(共30层)  | 暂无数据,0人关注 / 7个月以前发布,84,"8,077元/平"
房东急售，东城1号，套三双卫，户型方正,东城1号 -雁江区,3室2厅 | 87.5平米 | 东南 | 其他 | 高楼层(共33层)  | 塔楼,0人关注 / 3个月以前发布,69.8,"7,978元/平"
城南高新区 全新优质房子 正套三,多弗绿城·诚园 -雁江区,3室2厅 | 85.43平米 | 东南 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 8个月以前发布,53.5,"6,263元/平"
水润东都清水套三双卫  任意装修 好楼层,水润东都 -雁江区,3室2厅 | 132平米 | 西南 | 其他 | 低楼层(共11层)  | 暂无数据,0人关注 / 5个月以前发布,81.8,"6,197元/平"
中交锦湾带花园跃层，前后均可入户。产权194，实际350,中交锦湾 -雁江区,4室2厅 | 194平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,158,"8,145元/平"
机会只有一次！！！不看这套房子一定后悔,东城1号二期 -雁江区,3室2厅 | 105平米 | 北 | 其他 | 低楼层(共26层)  | 暂无数据,0人关注 / 7个月以前发布,68,"6,477元/平"
房东急售 小区环境优美 正对中庭 中间楼层,喜悦长岛 -雁江区,3室2厅 | 112平米 | 南 | 其他 | 高楼层(共31层)  | 暂无数据,0人关注 / 3个月以前发布,71.68,"6,401元/平"
圣高广场旁，鼎晟泓府套三清水近字 库山九义校,鼎晟泓府二期 -雁江区,4室2厅 | 145平米 | 东南 南 | 其他 | 低楼层(共30层)  | 暂无数据,0人关注 / 3个月以前发布,95,"6,552元/平"
恒大名都精装套三双卫 南北朝向 随时看房 ！！！,恒大名都（资阳） -雁江区,3室2厅 | 118平米 | 东南 南 | 其他 | 高楼层(共31层)  | 塔楼,1人关注 / 8个月以前发布,77,"6,526元/平"
万达商圈，体育馆旁正读马鞍山九义校观领一品跃层精装,千业观领一品 -雁江区,6室4厅 | 125平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,85,"6,800元/平"
爱琴海 4室2厅 东南,爱琴海 -雁江区,4室2厅 | 288平米 | 东南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,103.8,"3,605元/平"
金洋花园套三低价出售，随时看房，价格可谈,金洋花园A区 -雁江区,3室2厅 | 118平米 | 东南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,52,"4,407元/平"
万达商圈地铁口旁，生活出行配套齐全，小区环境优美，,爱琴海 -雁江区,3室2厅 | 124平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,74.8,"6,033元/平"
房屋是新小区 户型好 很划算 是你居家自住的不二选择,车城小区三区 -雁江区,3室2厅 | 124平米 | 东北 | 其他 | 高楼层(共8层)  | 暂无数据,0人关注 / 6个月以前发布,42,"3,388元/平"
水润东都套三双卫好楼层，清水任意装修,水润东都 -雁江区,3室2厅 | 118平米 | 西南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,73.8,"6,255元/平"
城西临空经济区教育园区优品道精装套三拎包入住,优品道资溪学府 -雁江区,3室2厅 | 108平米 | 南 | 其他 | 低楼层(共28层)  | 塔楼,2人关注 / 5个月以前发布,86,"7,963元/平"
地铁洋房视野开阔，户型方正，空间大，采光好,华鼎.江宸府 -雁江区,3室2厅 | 137平米 | 东南 | 其他 | 高楼层(共10层)  | 暂无数据,0人关注 / 1个月以前发布,96,"7,008元/平"
江辰府清水套四双卫 视野开阔 采光充足,华鼎.江宸府 -雁江区,4室2厅 | 116平米 | 南 | 毛坯 | 高楼层(共18层)  | 暂无数据,1人关注 / 9个月以前发布,78.8,"6,794元/平"
富力天禧花园套三双卫出售，价格可谈,富力天禧花园 -雁江区,3室1厅 | 120平米 | 东南 | 毛坯 | 低楼层(共13层)  | 暂无数据,0人关注 / 4个月以前发布,76.8,"6,400元/平"
圣高旁  玫瑰园133平 户型方正 随时看房单价5000多,玫瑰苑 -雁江区,4室2厅 | 133平米 | 南 | 其他 | 低楼层(共20层)  | 暂无数据,0人关注 / 8个月以前发布,74.8,"5,625元/平"
水润东都 清水套三 任意装修 提前联系,水润东都 -雁江区,3室2厅 | 119.2平米 | 东南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,68,"5,705元/平"
房东诚心出售 价格可谈 小区环境好,圣桦名城 -雁江区,3室2厅 | 109.77平米 | 东南 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 4个月以前发布,65.8,"5,995元/平"
万达商圈 娇子大道地铁口 万达华府 套三双卫精装修,万达华府 -雁江区,3室2厅 | 96平米 | 东南 | 精装 | 高楼层(共34层)  | 暂无数据,0人关注 / 2个月以前发布,81.8,"8,521元/平"
喜悦长岛蕞便宜二手房，房东急售,喜悦长岛 -雁江区,3室2厅 | 114平米 | 南 | 其他 | 低楼层(共31层)  | 暂无数据,0人关注 / 2个月以前发布,65.5,"5,746元/平"
多弗绿城 横厅套三素颜可随意装修诚心出售 价格美丽,多弗绿城·诚园 -雁江区,3室2厅 | 117平米 | 东南 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,66.8,"5,710元/平"
自带花园别墅  跃层 负一、一、二楼,中交锦湾 -雁江区,5室2厅 | 129.96平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,138,"10,619元/平"
城南高新区 天台山公园旁 小区环境好 多弗绿城清水房,多弗绿城·诚园 -雁江区,3室2厅 | 85.32平米 | 西南 | 其他 | 低楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,58.8,"6,892元/平"
蓝光公园学府 套四双卫 地段优越 价位适中,蓝光公园学府 -雁江区,4室2厅 | 136平米 | 南 | 其他 | 高楼层(共33层)  | 暂无数据,0人关注 / 3个月以前发布,80,"5,883元/平"
筑鼎凯旋国际 3室2厅 南 北,筑鼎凯旋国际 -雁江区,3室2厅 | 98平米 | 南 北 | 其他 | 中楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,78.8,"8,041元/平"
城西优品道旁福临小区有证精装随时看房,福临小区 -雁江区,3室2厅 | 129平米 | 南 | 其他 | 高楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,68.8,"5,334元/平"
沱东圣桦名城套三双卫清水急售.,圣桦名城 -雁江区,3室2厅 | 94.09平米 | 东南 南 | 其他 | 低楼层(共28层)  | 板塔结合,0人关注 / 4个月以前发布,59.8,"6,356元/平"
三贤公园 文博园套三精装修出售 价格美丽环境好。。,振越文博园 -雁江区,3室2厅 | 112平米 | 东南 | 精装 | 高楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,78.8,"7,036元/平"
刘家湾 万和嘉园 电梯 精装 家具家电齐全 可拎包入住,万和嘉苑 -雁江区,4室2厅 | 124平米 | 西南 | 其他 | 中楼层(共18层)  | 暂无数据,0人关注 / 6个月以前发布,66.6,"5,371元/平"
万达二期，清水套四双卫 配套成熟,资阳万达二期 -雁江区,4室2厅 | 134平米 | 东南 | 其他 | 中楼层(共33层)  | 暂无数据,1人关注 / 4个月以前发布,83.8,"6,254元/平"
万达旁边-帝景名苑-套三双卫-精装修,帝景名苑二期 -雁江区,3室2厅 | 118平米 | 东南 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 3个月以前发布,66.8,"5,662元/平"
置地城二期  精装修  满二  报价72.8万  拎包入住,置地城天玺 -雁江区,3室2厅 | 87平米 | 东南 | 其他 | 高楼层(共30层)  | 板塔结合,0人关注 / 4个月以前发布,72.8,"8,368元/平"
水润东都矮楼层采光视野都很好，欢迎咨询,水润东都 -雁江区,3室2厅 | 111.8平米 | 东 东南 | 其他 | 低楼层(共27层)  | 暂无数据,0人关注 / 3个月以前发布,56.8,"5,081元/平"
上东逸景 套三双卫 户型方正 楼层好,上东逸景 -雁江区,3室2厅 | 109平米 | 东南 | 其他 | 中楼层(共29层)  | 暂无数据,0人关注 / 6个月以前发布,72.8,"6,679元/平"
紫韵东城套三精装修，家具家电齐全，拎包入住随时看房,博邦紫韵东城 -雁江区,3室2厅 | 96.6平米 | 南 | 其他 | 中楼层(共27层)  | 板塔结合,0人关注 / 2个月以前发布,66.8,"6,916元/平"
凯旋国际小区三室两厅，交通便利，小区环境舒适,筑鼎凯旋国际 -雁江区,3室2厅 | 110平米 | 东南 南 | 其他 | 中楼层(共11层)  | 塔楼,0人关注 / 6个月以前发布,87.8,"7,982元/平"
资阳万达二期 4室2厅 东南,资阳万达二期 -雁江区,4室2厅 | 143平米 | 东南 | 其他 | 低楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,93.8,"6,560元/平"
