标题,开发商,房子信息,发布信息,售价/万,单价
出售 沈抚新区  电梯洋房 精装修 三室户型,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 26天以前发布,64.5,"6,650元/平"
沈抚新区 万科金域蓝湾 南北通透新装修奶油风干净整洁,万科金域蓝湾 -沈抚新区,2室2厅 | 88平米 | 南 北 | 精装 | 中楼层(共28层)  | 板楼,2人关注 / 5个月以前发布,55,"6,250元/平"
中环天地2-1-1-1 89.23平 39 万,中环天地 -其它,2室1厅 | 89.23平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,2人关注 / 8个月以前发布,37,"4,147元/平"
中金公园启程 小户型 看大环 单价低,中金公元启城 -沈抚新区,2室1厅 | 56平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,2人关注 / 一年前发布,31.3,"5,590元/平"
房源位置优户型好采光视野好拎包入住,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,82,"6,308元/平"
沈抚新区优质房源两室两厅一厨一卫,德商国际花园 -沈抚新区,2室2厅 | 70.85平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,45.9,"6,479元/平"
房主诚心出售 南北户型 采光通风好 近商圈 交通方便,中金公元启城 -沈抚新区,2室1厅 | 93.9平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 1个月以前发布,41,"4,367元/平"
园区绿化好 安全性好 私密性佳 开发商自持物业,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,46,"4,743元/平"
业主急售德商国际花园南北三室精装56万满二唯一,德商国际花园 -沈抚新区,3室2厅 | 94平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,56,"5,958元/平"
沈抚万科城市之光2-2-1-1 95.00平 南北户型 精装修,沈抚万科城市之光 -沈抚新区,2室2厅 | 95平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,6人关注 / 8个月以前发布,60.2,"6,337元/平"
沈抚新区德商国际花园两室毛坯出售,德商国际花园 -沈抚新区,2室2厅 | 78.86平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,3人关注 / 5个月以前发布,32.4,"4,109元/平"
沈抚新区万科城市之光 精装修  三室两厅一卫 大开间,沈抚万科城市之光 -沈抚新区,3室2厅 | 96.82平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,1人关注 / 一年前发布,65,"6,714元/平"
急售  沈抚新区 融创海逸长洲 南北通透 采光好 格局好,融创东环海逸长洲 -沈抚新区,2室2厅 | 110.25平米 | 南 北 | 其他 | 低楼层(共10层)  | 板楼,2人关注 / 一年前发布,50,"4,536元/平"
此房源未满二年，南北通透格局，采光好，无遮挡，配,沈抚中南熙悦 -沈抚新区,2室1厅 | 75平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板楼,1人关注 / 8个月以前发布,41,"5,467元/平"
出售 中金公元启城小两室 清水 尽览大环风景,中金公元启城 -沈抚新区,2室1厅 | 61.38平米 | 南 | 毛坯 | 高楼层(共32层)  | 板楼,2人关注 / 一年前发布,30,"4,888元/平"
南北通透好楼层 好户型  采光好 通风好,地旺国际 -沈抚新区,3室2厅 | 127.05平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,45.5,"3,582元/平"
房源户型好带花园满二可贷款，随时看房,万科金域蓝湾 -沈抚新区,2室2厅 | 87.99平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,0人关注 / 5个月以前发布,83,"9,433元/平"
中环天地2-1-1-1 89.23平39.5 万,中环天地 -其它,2室1厅 | 89.23平米 | 南 北 | 毛坯 | 中楼层(共27层)  | 板楼,0人关注 / 8个月以前发布,37.5,"4,203元/平"
沈抚新区万科精装洋房 拎包入住 格局方正,沈抚万科城市之光 -沈抚新区,3室2厅 | 100.79平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,85,"8,434元/平"
沈抚新区明俊雅居南京一笑旁南北大三室楼层好价格便宜,明骏雅居 -沈抚新区,3室2厅 | 109平米 | 南 北 | 其他 | 低楼层(共25层)  | 板楼,2人关注 / 8个月以前发布,57,"5,230元/平"
此房为河景新房 园区物业好 绿化面积大 南北通透格局,沈抚中南熙悦 -沈抚新区,2室1厅 | 76.36平米 | 南 北 | 毛坯 | 高楼层(共28层)  | 板楼,0人关注 / 一年前发布,46,"6,025元/平"
沈抚德商春天里电梯洋房房龄短精装修南北大两室64万,德商春天里 -沈抚新区,2室1厅 | 86.29平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,2人关注 / 9个月以前发布,63.5,"7,359元/平"
房源户型好位置优越价格可议，随时看房,沈抚万科城市之光 -沈抚新区,3室2厅 | 99平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,3人关注 / 6个月以前发布,60,"6,061元/平"
房源位置优，户型好，价格可以议,沈抚中南熙悦 -沈抚新区,3室2厅 | 96平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,75,"7,813元/平"
沈抚新区德商春天里电梯洋房经典户型楼间距大低密园区,德商春天里 -沈抚新区,3室2厅 | 89.9平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,3人关注 / 一年前发布,54.3,"6,041元/平"
南北格局 电梯精装三室 采光好 视野开阔 物业好,沈抚万科城市之光 -沈抚新区,3室1厅 | 96.29平米 | 南 | 精装 | 中楼层(共20层)  | 板楼,1人关注 / 3个月以前发布,59.9,"6,221元/平"
低密度  高品质 德商春天里 近南昌南京 育才,德商春天里 -沈抚新区,3室2厅 | 89.84平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,0人关注 / 3个月以前发布,57.4,"6,390元/平"
锦绣澜湾步梯清水洋房急售，采光好，无遮挡,锦绣澜湾C区 -沈抚新区,6室2厅 | 165.65平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,55,"3,321元/平"
万科金域蓝湾 三室两厅 南北通透 采光好 配套齐全,万科金域蓝湾 -沈抚新区,3室2厅 | 165平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 一年前发布,122,"7,394元/平"
沈抚新区 万科金域蓝湾小三室精装修视楼层好野开阔,沈抚万科城市之光 -沈抚新区,3室2厅 | 102平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,1人关注 / 一年前发布,73,"7,157元/平"
出售 沈抚新区 中南熙悦 三室户型 东边户,沈抚中南熙悦 -沈抚新区,3室2厅 | 106.59平米 | 南 | 毛坯 | 低楼层(共27层)  | 板楼,0人关注 / 9个月以前发布,73,"6,849元/平"
沈抚万科城市之光三室两厅二卫南北通透格局好采光好,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 8个月以前发布,107.9,"8,300元/平"
万科金域蓝湾退台式洋房，顶跃，精装三室两厅,万科金域蓝湾 -沈抚新区,5室2厅 | 186平米 | 南 北 | 精装 | 高楼层(共4层)  | 板楼,7人关注 / 11个月以前发布,154.5,"8,307元/平"
房源户型好，位置优，价格可议，看房方便，随时看房,明骏雅居 -沈抚新区,3室2厅 | 122.54平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,0人关注 / 3个月以前发布,70,"5,713元/平"
沈抚新区 3室房源 格局好 户型好,金鼎世纪城 -沈抚新区,3室1厅 | 111.36平米 | 南 北 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 9个月以前发布,51,"4,580元/平"
万科130平米标准大三室诚意出售,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 10个月以前发布,83.8,"8,298元/平"
沈抚 河景高层全天采光 装修好,德商国际花园 -沈抚新区,3室2厅 | 98平米 | 南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 7个月以前发布,63,"6,429元/平"
6层洋房 位置好 三室一厨一卫 南北通透,德商国际花园 -沈抚新区,3室1厅 | 108.44平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 9个月以前发布,63.5,"5,856元/平"
急售德商国际花园，清水洋房，97.4平,德商国际花园 -沈抚新区,3室2厅 | 97.4平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,63,"6,469元/平"
沈抚新区 轻轨旁万科金域蓝湾精装大三室 一梯一户,万科金域蓝湾 -沈抚新区,3室2厅 | 168平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,2人关注 / 一年前发布,120,"7,143元/平"
精装修洋房，三室两厅两卫，楼层好位置好,沈抚万科城市之光 -沈抚新区,3室2厅 | 108平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,87.9,"8,139元/平"
国际新城 小高 3室  此房没有浪费面积,国际鑫城 -沈抚新区,3室2厅 | 99.15平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,10人关注 / 一年前发布,47.5,"4,791元/平"
房源位置好，户型好。满二可贷款精装修。,明骏雅居 -沈抚新区,3室1厅 | 114.35平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,89,"7,784元/平"
封闭园区  人车分流  户型方正 南北通透,明骏雅居 -沈抚新区,3室2厅 | 123平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 8个月以前发布,69,"5,610元/平"
130平 精装电梯洋房 3室2厅2卫 采光好 万科城市之光,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,109.9,"8,454元/平"
国际新城 精装修顶跃 南北通透好户型 配套成熟园区好,国际鑫城 -沈抚新区,5室2厅 | 120平米 | 东 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 5个月以前发布,68.9,"5,742元/平"
房源户型好，带负一，负一举架高，前后院带边园,沈抚万科城市之光 -沈抚新区,3室2厅 | 102平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,165,"16,177元/平"
沈抚万科城市之光3-2-1-1 101.00平 93 万,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,85,"8,416元/平"
电梯洋房 中间户 中间层 不临街 不把山 南北通透,德商国际花园 -沈抚新区,3室1厅 | 96.44平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,55,"5,704元/平"
精装三室满二价格可议，随时看房,沈抚万科城市之光 -沈抚新区,3室2厅 | 100平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,83.5,"8,350元/平"
清水三室两厅，采光充足无遮挡。,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 东 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,64,"6,598元/平"
沈抚新区德商国际花园大面积可办公或者自住,德商国际花园 -沈抚新区,3室2厅 | 223平米 | 南 北 | 毛坯 | 低楼层(共26层)  | 板楼,0人关注 / 2个月以前发布,108,"4,844元/平"
沈抚新区德商国际花园三室精装修满五唯一价格可议,德商国际花园 -沈抚新区,3室2厅 | 100平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,56,"5,600元/平"
悦府鑫城南北通透户型 拎包入住,悦府鑫城 -沈抚新区,3室2厅 | 102平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,3人关注 / 一年前发布,52,"5,099元/平"
沈抚新区绿地剑桥三室两厅一卫精装修出售,绿地剑桥 -沈抚新区,3室2厅 | 92平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,2人关注 / 4个月以前发布,47.7,"5,185元/平"
沈抚新区中金公元启城两室毛坯出售,中金公元启城 -沈抚新区,3室1厅 | 80平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,63,"7,875元/平"
沈抚新区同城一品三室两厅两卫精装修出售,同城一品 -沈抚新区,3室2厅 | 132.22平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,7人关注 / 5个月以前发布,61.6,"4,659元/平"
沈抚万科城市之光三室两厅一卫一楼带花园采光好楼层好,沈抚万科城市之光 -沈抚新区,3室2厅 | 100平米 | 北 南 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 9个月以前发布,138,"13,800元/平"
出售 沈抚新区德商国际花园 三室户型 电梯洋房,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 一年前发布,64,"6,598元/平"
诚心出售，高标准欧式装修，即买即住，,万科金域蓝湾 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,120,"9,231元/平"
沈抚新区德商国际花园 房主急售 价格可议,德商国际花园 -沈抚新区,3室2厅 | 97平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,59,"6,083元/平"
急售，方大天阶精装修129.40平，南北通透,方大·天阶 -高湾,3室2厅 | 129.4平米 | 南 北 | 精装 | 中楼层(共4层)  | 板楼,1人关注 / 一年前发布,82,"6,337元/平"
沈抚新区南北通透三室两卫南厅北厨 全天采光无遮挡,同城一品 -沈抚新区,3室2厅 | 132.23平米 | 南 北 | 毛坯 | 低楼层(共10层)  | 板楼,11人关注 / 一年前发布,50,"3,782元/平"
一楼精装大院儿两室好房 南北通透 户型方正,德商春天里 -沈抚新区,2室2厅 | 91平米 | 北 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,79.6,"8,748元/平"
南北通透，视野好 格局好，万科精装修,沈抚万科城市之光 -沈抚新区,3室2厅 | 99.56平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 8个月以前发布,69,"6,931元/平"
满五唯一，成熟园区，房主急售价格便宜。,万科金域蓝湾 -沈抚新区,3室2厅 | 115.28平米 | 南 北 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 一年前发布,80,"6,940元/平"
满二唯一，生命之环旁，楼层好...,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 西 北 | 精装 | 低楼层(共32层)  | 板楼,1人关注 / 一年前发布,70,"6,931元/平"
急售 沈抚新区 名骏雅居 洋房 一楼 南北花园,明骏雅居 -沈抚新区,3室2厅 | 114平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 7个月以前发布,93.5,"8,202元/平"
装修好 电梯 中间楼层 可议做为婚房,德商国际花园 -沈抚新区,3室1厅 | 97平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 6个月以前发布,73,"7,526元/平"
万科精装修大三室户型 全天采光无遮挡,万科金域蓝湾 -沈抚新区,3室1厅 | 168.17平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,1人关注 / 4个月以前发布,111,"6,601元/平"
沈抚万科城市之光3-2-1-1 101.00m² 145 万,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共5层)  | 板楼,1人关注 / 10个月以前发布,139,"13,763元/平"
万科 3室精装 全屋定制 拎包即住 102平,沈抚万科城市之光 -沈抚新区,3室2厅 | 102平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,10人关注 / 5个月以前发布,75,"7,353元/平"
沈抚万科城市之光3-2-1-2 127平90 万,沈抚万科城市之光 -沈抚新区,3室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 10个月以前发布,79,"6,221元/平"
电梯洋顶 南北通透 南有阳台 北有露台 另有北向储藏室,沈抚中南熙悦 -沈抚新区,3室2厅 | 77平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,65,"8,442元/平"
电梯洋房 南北格局大4室 采光充足 楼层好 园区位置好,沈抚中南熙悦 -沈抚新区,4室2厅 | 120平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,80,"6,667元/平"
沈抚新区！德商国际花园！一楼带院！,德商国际花园 -沈抚新区,3室2厅 | 107平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,95,"8,879元/平"
沈抚万科城市之光3-1-1-2 131.24平 南北户型,沈抚万科城市之光 -沈抚新区,3室1厅 | 131.24平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 5个月以前发布,108,"8,230元/平"
房主急售 精装修 好户型  万科品牌开发,沈抚万科城市之光 -沈抚新区,3室2厅 | 97平米 | 南 北 | 精装 | 中楼层(共20层)  | 板楼,3人关注 / 一年前发布,72,"7,423元/平"
沈抚新区精装修一楼带地下 南北通透标准户型,德商国际花园 -沈抚新区,3室2厅 | 119.07平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,119.5,"10,037元/平"
沈抚万科城市之光3-1-1-2 131.24平 南北户型,沈抚万科城市之光 -沈抚新区,3室1厅 | 131.24平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 5个月以前发布,108,"8,230元/平"
电梯洋房 南北格局大4室 采光充足 楼层好 园区位置好,沈抚中南熙悦 -沈抚新区,4室2厅 | 120平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,80,"6,667元/平"
沈抚新区！德商国际花园！一楼带院！,德商国际花园 -沈抚新区,3室2厅 | 107平米 | 南 北 | 其他 | 低楼层(共6层)  | 板楼,3人关注 / 一年前发布,95,"8,879元/平"
房源户型好，装修好。价格可议看房提前约。,沈抚万科城市之光 -沈抚新区,4室2厅 | 146平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,134,"9,179元/平"
三室两厅两卫 精装修 采光好 不把山不临街,万科金域蓝湾 -沈抚新区,3室2厅 | 115平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,1人关注 / 一年前发布,110,"9,566元/平"
一楼带大花园，视野宽阔，采光充足，南北三室两卫,明骏雅居 -沈抚新区,3室2厅 | 124平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,100,"8,065元/平"
沈抚万科城市之光3-2-1-1 100.00平 84万,沈抚万科城市之光 -沈抚新区,3室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共20层)  | 板楼,0人关注 / 一年前发布,74,"7,400元/平"
沈抚新区 锦绣A区新上房源124平三室毛坯 低价出售,锦绣澜湾A区 -沈抚新区,3室2厅 | 124.1平米 | 南 北 | 毛坯 | 中楼层(共17层)  | 暂无数据,3人关注 / 一年前发布,51,"4,110元/平"
洋房顶楼  带露台  南北标户  宽敞明亮,沈抚中南熙悦 -沈抚新区,2室2厅 | 85.99平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,2人关注 / 10个月以前发布,66,"7,676元/平"
急售沈抚中南熙悦南北小三室简单装修看房方便价格可议,沈抚中南熙悦 -沈抚新区,3室2厅 | 88.25平米 | 南 北 | 其他 | 高楼层(共28层)  | 暂无数据,0人关注 / 1个月以前发布,62,"7,026元/平"
精装步梯洋房 南北通透 采光好 家具家电都有 拎包入住,德商春天里 -沈抚新区,3室2厅 | 88平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,51,"5,796元/平"
自持物业  室内温度好 邻居素质高 园区环境优美,沈抚万科城市之光 -沈抚新区,3室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,3人关注 / 9个月以前发布,78,"7,800元/平"
低密度  生态环境好   拎包入住,德商国际花园 -沈抚新区,3室2厅 | 108平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,72,"6,667元/平"
万科城市之光三室两厅一卫 楼层好 采光好 格局好,沈抚万科城市之光 -沈抚新区,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,7人关注 / 一年前发布,85,"7,392元/平"
万科城市之光精装修四室拎包入住,沈抚万科城市之光 -沈抚新区,4室2厅 | 147平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,7人关注 / 一年前发布,126,"8,572元/平"
万科城市之光 配套全交通便利，3室 景色怡人,沈抚万科城市之光 -沈抚新区,3室2厅 | 100平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,107,"10,700元/平"
精装 电梯大户型 业主自住 保养好 拎包入住,德商国际花园 -沈抚新区,3室2厅 | 120.23平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,3人关注 / 一年前发布,91,"7,569元/平"
房子位子好视野开阔，精装修拎包入住,沈抚万科城市之光 -沈抚新区,3室2厅 | 102平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 5个月以前发布,110,"10,785元/平"
低密度园区，园区绿化覆盖高，空气质量好，交通便利,浑河城 -其它,3室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共26层)  | 板楼,1人关注 / 3个月以前发布,68,"5,038元/平"
万科城市之光电梯洋房精装修品牌家具家电全新118万,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 6个月以前发布,105,"8,077元/平"
出售 沈抚万科金域蓝湾 四室 清水房 一梯一户,万科金域蓝湾 -沈抚新区,4室2厅 | 167.2平米 | 南 | 毛坯 | 低楼层(共28层)  | 板楼,0人关注 / 5个月以前发布,106,"6,340元/平"
沈抚新区 德商国际花园 99平电梯洋房,德商国际花园 -沈抚新区,3室2厅 | 99平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,3人关注 / 11个月以前发布,47,"4,748元/平"
21年新交付房源 临河观景房 南北户型 通风采光好,沈抚中南熙悦 -沈抚新区,3室2厅 | 88平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 暂无数据,1人关注 / 4个月以前发布,48,"5,455元/平"
万科城市之光，精装三室，南北通透户型，位置佳。,沈抚万科城市之光 -沈抚新区,3室1厅 | 96.29平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 6个月以前发布,68,"7,063元/平"
沈抚新区 万科金域蓝湾 园区优美 植被茂盛 南北通透,万科金域蓝湾 -沈抚新区,3室2厅 | 108平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,82,"7,593元/平"
沈抚 电梯洋房 满五唯一 随时看房,德商国际花园 -沈抚新区,3室2厅 | 97.06平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,69.5,"7,161元/平"
业主急售 精装一楼 带地下室花园 看房方便,德商国际花园 -沈抚新区,5室2厅 | 119.8平米 | 南 北 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,95,"7,930元/平"
本房满五 无贷款 南北通透 大开间 采光好 无遮挡,锦绣澜湾C区 -沈抚新区,2室2厅 | 101.14平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 5个月以前发布,46,"4,549元/平"
沈抚新区德商春天里电梯洋房精装修南北小三室63万,德商春天里 -沈抚新区,3室2厅 | 89.99平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,8人关注 / 一年前发布,54,"6,001元/平"
沈抚新区中南熙悦三室南北毛坯出售,沈抚中南熙悦 -沈抚新区,3室2厅 | 88平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 板楼,1人关注 / 6个月以前发布,51.8,"5,887元/平"
精装修 拎包入住 采用环保材料,沈抚中南熙悦 -沈抚新区,3室2厅 | 95平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,80,"8,422元/平"
万科大物业，好楼层  户型好  园区优美,沈抚万科城市之光 -沈抚新区,3室1厅 | 101平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 6个月以前发布,80,"7,921元/平"
万科洋房108平.采光好有电梯南北通透,沈抚万科城市之光 -沈抚新区,3室2厅 | 108平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,4人关注 / 一年前发布,85,"7,871元/平"
有钱人的大房子，采光好，万科物业，屋里可打乒乓球,万科金域蓝湾 -沈抚新区,3室2厅 | 168平米 | 南 北 西 | 精装 | 低楼层(共28层)  | 板楼,6人关注 / 一年前发布,121,"7,203元/平"
新房没有人住过，看房方便，价格可议,沈抚万科城市之光 -沈抚新区,3室2厅 | 102.3平米 | 南 北 东 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 8个月以前发布,85,"8,309元/平"
南北通透，楼层好，视野宽阔，采光充足，交通便利,沈抚万科城市之光 -沈抚新区,3室2厅 | 103平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 一年前发布,95,"9,224元/平"
万科洋房，不把山，不临街，不是顶层，不是一楼，精装,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 一年前发布,97,"9,604元/平"
沈抚万科城市之光3-2-1-1 101.00平 129 万,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 北 南 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 10个月以前发布,123,"12,179元/平"
沈抚中南熙悦  22年交付 电梯高层   看房方便,沈抚中南熙悦 -沈抚新区,3室2厅 | 105.23平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 暂无数据,0人关注 / 3个月以前发布,56,"5,322元/平"
户型方正，配套成熟，入住率高，交通方便,德商国际花园 -沈抚新区,3室2厅 | 119平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,79,"6,639元/平"
沈抚万科城市之光3-2-1-1 101.00平 85 万,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 9个月以前发布,84,"8,317元/平"
万科金域蓝湾3-2-1-2 115.00平 南北户型,万科金域蓝湾 -沈抚新区,3室2厅 | 115平米 | 北 东南 | 精装 | 高楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,79,"6,870元/平"
房源户型好，位置好满两年随时看房。,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,79.8,"7,901元/平"
房源微置好户型好，价格可以满二年随时看房,沈抚万科城市之光 -沈抚新区,3室2厅 | 130平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,169,"13,000元/平"
房源户型好，楼层好。家具，家电齐全。,沈抚万科城市之光 -沈抚新区,3室2厅 | 101平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,0人关注 / 3个月以前发布,79.5,"7,872元/平"
房子户型好，楼层好，精装修，拎包入住满两年。,沈抚万科城市之光 -沈抚新区,3室2厅 | 99平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 2个月以前发布,109.8,"11,091元/平"
采光充足，楼层高好，视野宽阔，采暖很好！交通方便！,中金公元启城 -沈抚新区,3室2厅 | 80平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,3人关注 / 5个月以前发布,39,"4,875元/平"
