标题,开发商,房子信息,发布信息,售价/万,单价
主城区电梯小高层户型方正得房率高配套齐全,金石•凤凰城 -魏都区,3室2厅 | 143.76平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 7天以前发布,121,"8,417元/平"
新东街大三室 毛坯 房东急售 有储藏室车位,长城家园 -建安区,3室2厅 | 144.27平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,91,"6,308元/平"
古城旁关帝新村院内 合理三室  证件齐全可按揭,关帝新村 -魏都区,3室2厅 | 114.47平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,52,"4,543元/平"
许继大道 延中二期满五住房  双气 可按揭 有储藏室,延中小区二三期 -魏都区,3室2厅 | 128.12平米 | 南 | 其他 | 中楼层(共7层)  | 塔楼,2人关注 / 4个月以前发布,53,"4,137元/平"
八一路蓝海岸旁 工行家属院3室2厅 带储藏室,工行家属院 -魏都区,3室2厅 | 95.08平米 | 南 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,37,"3,892元/平"
此房满五 精装修 拎包入住 南北朝向 采光好 出行方便,永丰新城国际 -魏都区,3室2厅 | 137.71平米 | 南 | 精装 | 高楼层(共11层)  | 板楼,4人关注 / 8个月以前发布,115.9,"8,417元/平"
新东街大三室 毛坯 房东急售 有储藏室车位,长城家园 -建安区,3室2厅 | 144.27平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,91,"6,308元/平"
兴华路精装3室电梯低层洋房采光好南北通风可按揭,广宇颐景苑 -魏都区,3室1厅 | 146.02平米 | 南 北 | 精装 | 低楼层(共9层)  | 板楼,0人关注 / 14天以前发布,75,"5,137元/平"
文化街 一中旁 恒达相府 5-6复式  证件齐全 看房方便,恒达相府四号院 -魏都区,4室2厅 | 153.34平米 | 南 | 其他 | 高楼层(共5层)  | 板塔结合,4人关注 / 7个月以前发布,128,"8,348元/平"
解放路铁路家属院 合理小三室 需全款,铁路家属院南院 -魏都区,3室1厅 | 64.72平米 | 东 南 | 其他 | 高楼层(共7层)  | 板楼,6人关注 / 11个月以前发布,22.8,"3,523元/平"
古城旁关帝新村院内 合理三室  证件齐全可按揭,关帝新村 -魏都区,3室2厅 | 114.47平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 2个月以前发布,52,"4,543元/平"
西湖公园旁  五中家属院 中间楼层 可按揭,许昌市第五中学家属院 -魏都区,3室2厅 | 115.45平米 | 东 | 其他 | 中楼层(共6层)  | 板塔结合,10人关注 / 一年前发布,57,"4,938元/平"
满五唯一，一楼养老楼层。......,烟行街房管局家属院 -魏都区,2室2厅 | 72.89平米 | 南 | 简装 | 低楼层(共5层)  | 板楼,2人关注 / 一年前发布,25,"3,430元/平"
壹号公馆大三室 采光好 不遮挡,壹号公馆 -建安区,3室2厅 | 128.91平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,6人关注 / 4个月以前发布,45,"3,491元/平"
采光好，布局合理，南北通透，饮马河，环境好,北海腾飞花园 -建安区,3室2厅 | 115.25平米 | 南 北 | 毛坯 | 低楼层(共22层)  | 塔楼,0人关注 / 13天以前发布,58.5,"5,076元/平"
许继大道 延中二期满五住房  双气 可按揭 有储藏室,延中小区二三期 -魏都区,3室2厅 | 128.12平米 | 南 | 其他 | 中楼层(共7层)  | 塔楼,2人关注 / 4个月以前发布,53,"4,137元/平"
此房满五年唯一住宅，户型方正无浪费面积,丽景新苑 -建安区,3室2厅 | 132.34平米 | 南 | 其他 | 中楼层(共7层)  | 板塔结合,0人关注 / 5个月以前发布,80,"6,046元/平"
千玺乐苑，两室两厅一厨一卫，毛坯房，随意装修,千玺乐苑 -建安区,2室2厅 | 87.42平米 | 南 | 其他 | 高楼层(共28层)  | 板楼,2人关注 / 一年前发布,40,"4,576元/平"
采光良好，户型方正，交通方便，有商*,盛亚名郡 -长葛市,3室2厅 | 129.4平米 | 东 | 其他 | 中楼层(共16层)  | 暂无数据,0人关注 / 一年前发布,90,"6,956元/平"
市区简单装修，业主诚心出售，看房方便,百禾都市领域 -长葛市,2室2厅 | 104.05平米 | 东 | 其他 | 高楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,34.8,"3,345元/平"
铁东路中装两室楼层适中过户费用低,阳光佳苑(长葛市) -长葛市,2室2厅 | 100.91平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,46.5,"4,609元/平"
汇金星城简装三室  有证满五唯一,汇金星城 -长葛市,3室1厅 | 106.21平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,50,"4,708元/平"
城市花园电梯房，两梯一户，拎包入住！,城市花园 -长葛市,3室2厅 | 156.96平米 | 南 北 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,68,"4,333元/平"
威武大道轻轨暖气天燃气供应出行便利采光充足交通便利,盛亚名郡 -长葛市,3室2厅 | 128.81平米 | 南 | 其他 | 高楼层(共32层)  | 板楼,0人关注 / 一年前发布,58,"4,503元/平"
双龙湖旁，百瑞花园，7室精装复式,百瑞花园 -魏都区,7室2厅 | 266.64平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,170,"6,376元/平"
房子满五唯一，交通便利，采光好,雍福园 -长葛市,3室2厅 | 140.58平米 | 南 | 其他 | 高楼层(共12层)  | 板塔结合,1人关注 / 一年前发布,60,"4,269元/平"
千玺乐园  毛坯大三室  房东急售 可按揭,千玺乐苑 -建安区,3室2厅 | 155.31平米 | 南 北 | 其他 | 中楼层(共29层)  | 板楼,0人关注 / 5个月以前发布,70,"4,508元/平"
和美花园 电梯好楼层 采光好  交通方便,和美佳苑 -长葛市,3室2厅 | 97.75平米 | 南 | 其他 | 中楼层(共17层)  | 暂无数据,2人关注 / 一年前发布,47.5,"4,860元/平"
新区盛合国际花园现房，精美三室 后邻千亩生态园林,盛合国际花园东区 -长葛市,3室2厅 | 137.44平米 | 南 北 | 其他 | 低楼层(共11层)  | 暂无数据,3人关注 / 一年前发布,92,"6,694元/平"
丽园名城 精装三室 支持按揭 洋房好楼层,丽园名城 -长葛市,3室2厅 | 131.45平米 | 南 | 其他 | 高楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,69,"5,250元/平"
许继南院 3室2厅 南,许继南院 -魏都区,3室2厅 | 68.4平米 | 南 | 其他 | 中楼层(共5层)  | 板塔结合,0人关注 / 7天以前发布,42,"6,141元/平"
胖东来时代西侧 电梯复式 带露台 精装修 满五唯一,清华苑 -魏都区,4室3厅 | 239.71平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,146,"6,091元/平"
地税局家属院 4室2厅 南,地税局家属院 -建安区,4室2厅 | 134.49平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,3人关注 / 3个月以前发布,55,"4,090元/平"
户型方正，配套齐全，交通便利，全明户型..........,中原银行家属院 -魏都区,3室1厅 | 120.21平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,67,"5,574元/平"
满五唯一，电梯好楼层，精装修拎包入住,盛合中央花园 -长葛市,3室2厅 | 105.08平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,0人关注 / 3个月以前发布,65.5,"6,234元/平"
千亩游园旁 鼎鑫开发 复式房 环境优美，可直接入住。,滨河花园 -魏都区,6室2厅 | 264.55平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,146,"5,519元/平"
不动产证在手，随时可过户，拎包入住,卓越香格里拉 -长葛市,5室3厅 | 205.66平米 | 南 | 精装 | 低楼层(共2层)  | 暂无数据,0人关注 / 2个月以前发布,130,"6,322元/平"
北海龙城精装 别墅 可按揭 拎包入住,恒达北海龙城一期 -建安区,5室2厅 | 202.21平米 | 南 | 精装 | 中楼层(共4层)  | 板楼,1人关注 / 2个月以前发布,225,"11,128元/平"
铁东路步梯大三室，简装拎包入住即可！,奔马小区家属院 -长葛市,3室2厅 | 138.08平米 | 东 西 | 其他 | 高楼层(共6层)  | 暂无数据,19人关注 / 一年前发布,22.5,"1,630元/平"
此房满五唯一，采光充足，交通便利，配套成熟。,三八路五交化家属院 -魏都区,3室2厅 | 124.72平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,5人关注 / 一年前发布,50,"4,009元/平"
建安大道  鼎鑫新世纪花园 精装四室 满五唯一拎包入住,鼎鑫新世纪花园 -魏都区,4室3厅 | 226.02平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,10人关注 / 5个月以前发布,103,"4,558元/平"
百禾都市公寓 中装家具齐全拎包入住,百禾·中央都市公寓 -长葛市,3室2厅 | 153.98平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,60,"3,897元/平"
交通便利，环境干净，子母车位，楼顶有露台，储物间,鸿景苑 -魏都区,5室3厅 | 288.9平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,17人关注 / 11个月以前发布,228,"7,893元/平"
北海两室现房 价格优惠  户型方正,千玺乐苑 -建安区,2室1厅 | 82平米 | 南 | 其他 | 高楼层(共29层)  | 板楼,1人关注 / 7个月以前发布,37,"4,513元/平"
许继大道西段电梯好楼层，精装修，有阳光房,宏伟西雅图 -魏都区,3室2厅 | 137.8平米 | 南 北 | 其他 | 中楼层(共27层)  | 板楼,0人关注 / 5个月以前发布,73,"5,298元/平"
鼎鑫鑫悦广场 5室2厅 南,鼎鑫鑫悦广场 -魏都区,5室2厅 | 288平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 4个月以前发布,260,"9,028元/平"
满五唯一，采光好，运动楼层，南北通透,恒达都市花园 -魏都区,5室2厅 | 208平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 2个月以前发布,103,"4,952元/平"
怡景花城  带露台 带车库 诚心出售,怡景花城 -魏都区,5室2厅 | 235.33平米 | 南 西南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,119,"5,057元/平"
玉龙湾小区 5室2厅 交通便利 小区环境干净舒适,玉龙湾 -魏都区,5室2厅 | 228.08平米 | 南 北 | 其他 | 高楼层(共15层)  | 板塔结合,12人关注 / 8个月以前发布,195,"8,550元/平"
好房推荐 滨河花园单价4000，价格真低啊顶楼复式,滨河花园 -魏都区,5室2厅 | 195.19平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,61人关注 / 一年前发布,79.6,"4,079元/平"
仓库路新兴路，满五唯一，双气，步梯3楼。,许昌石油分公司住宅楼东院 -魏都区,4室2厅 | 130.23平米 | 南 北 | 其他 | 中楼层(共6层)  | 暂无数据,0人关注 / 11个月以前发布,65,"4,992元/平"
此房是全明户型，通风采光好，视野开阔，中间楼层,翰林苑 -魏都区,2室2厅 | 89.06平米 | 东 西 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,67,"7,524元/平"
户型方正通透格局，楼层好，视野开阔。采光充足,瑞祥新村 -魏都区,4室2厅 | 134.27平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,48.5,"3,613元/平"
古槐街 九曲街 春秋古城 户型方正,恒达东院 -魏都区,4室1厅 | 138.16平米 | 南 | 其他 | 高楼层(共4层)  | 板楼,3人关注 / 一年前发布,73,"5,284元/平"
户型好 ，电梯楼层， 采光好，双气 中间楼层,碧水名郡 -魏都区,3室1厅 | 135.84平米 | 南 东北 | 简装 | 中楼层(共11层)  | 板塔结合,1人关注 / 8个月以前发布,87,"6,405元/平"
满五唯一，四卧朝南，采光好，楼层好。,春秋花园 -魏都区,4室2厅 | 153.74平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,90,"5,855元/平"
金域湾 4室2厅 南,金域湾 -建安区,4室2厅 | 147.8平米 | 南 | 其他 | 低楼层(共26层)  | 板楼,0人关注 / 5个月以前发布,99,"6,699元/平"
本房满五唯一，楼层佳，房东精装修。户型合理。,林溪公馆 -魏都区,2室1厅 | 90平米 | 南 | 其他 | 中楼层(共23层)  | 板塔结合,0人关注 / 一年前发布,55,"6,112元/平"
振兴路工商局家属院.......,工商局家属院 -建安区,4室2厅 | 158.62平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,59,"3,720元/平"
学府街上 胖东来云鼎广场旁 电梯洋房  精装修好楼层,瑞贝卡·家天下 -魏都区,6室3厅 | 278平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,3人关注 / 7个月以前发布,200,"7,195元/平"
胖东来时代西侧 电梯复式 带露台 精装修 满五唯一,清华苑 -魏都区,4室3厅 | 239.71平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,4人关注 / 7个月以前发布,146,"6,091元/平"
许由路诚意出售县外贸家属院满五唯一储藏室户型方正,许昌县外贸家属院 -魏都区,3室2厅 | 125.1平米 | 西 | 简装 | 中楼层(共6层)  | 板楼,11人关注 / 一年前发布,48,"3,837元/平"
户型方正，配套齐全，交通便利，全明户型..........,中原银行家属院 -魏都区,3室1厅 | 120.21平米 | 东南 | 其他 | 低楼层(共6层)  | 板楼,2人关注 / 一年前发布,67,"5,574元/平"
地税局家属院 4室2厅 南,地税局家属院 -建安区,4室2厅 | 134.49平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,3人关注 / 3个月以前发布,55,"4,090元/平"
潩水庄园  精装三室  拎包入住  可按揭,潩水庄园南区 -建安区,3室2厅 | 125平米 | 南 | 其他 | 中楼层(共11层)  | 板塔结合,3人关注 / 一年前发布,92,"7,360元/平"
健发御园 精装修 复式 有子母车位  通风好 可按揭,健发御园一期 -魏都区,4室2厅 | 181.02平米 | 南 | 其他 | 中楼层(共22层)  | 塔楼,22人关注 / 一年前发布,168,"9,281元/平"
户型好 ，电梯楼层， 采光好，双气 中间楼层,碧水名郡 -魏都区,3室1厅 | 135.84平米 | 南 东北 | 简装 | 中楼层(共11层)  | 板塔结合,1人关注 / 8个月以前发布,87,"6,405元/平"
满五唯一，四卧朝南，采光好，楼层好。,春秋花园 -魏都区,4室2厅 | 153.74平米 | 南 北 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,90,"5,855元/平"
古槐街 九曲街 春秋古城 户型方正,恒达东院 -魏都区,4室1厅 | 138.16平米 | 南 | 其他 | 高楼层(共4层)  | 板楼,3人关注 / 一年前发布,73,"5,284元/平"
户型方正通透格局，楼层好，视野开阔。采光充足,瑞祥新村 -魏都区,4室2厅 | 134.27平米 | 东 | 简装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,48.5,"3,613元/平"
好房推荐 滨河花园单价4000，价格真低啊顶楼复式,滨河花园 -魏都区,5室2厅 | 195.19平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,61人关注 / 一年前发布,79.6,"4,079元/平"
此房是全明户型，通风采光好，视野开阔，中间楼层,翰林苑 -魏都区,2室2厅 | 89.06平米 | 东 西 | 其他 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,67,"7,524元/平"
鼎鑫鑫悦广场 5室2厅 南,鼎鑫鑫悦广场 -魏都区,5室2厅 | 288平米 | 南 | 精装 | 中楼层(共22层)  | 板塔结合,0人关注 / 4个月以前发布,260,"9,028元/平"
怡景花城  带露台 带车库 诚心出售,怡景花城 -魏都区,5室2厅 | 235.33平米 | 南 西南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,119,"5,057元/平"
：三八路新世纪家属院，大三居室，简单装修，可按揭,新世纪家属院 -魏都区,3室2厅 | 143.12平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,16人关注 / 一年前发布,50,"3,494元/平"
新兴路向阳路口电梯小三室有证可贷款,龙湖西苑 -魏都区,3室1厅 | 93.36平米 | 东 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,46.2,"4,949元/平"
实景现房，即买即可装修，免过户费,宏基钻石城 -长葛市,1室1厅 | 71.71平米 | 南 北 | 其他 | 高楼层(共18层)  | 暂无数据,9人关注 / 7个月以前发布,25.5,"3,556元/平"
青竹苑 3室2厅 南 北,青竹苑 -魏都区,3室2厅 | 104.71平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,0人关注 / 8天以前发布,61,"5,826元/平"
东大街 都市花园 大小区 满五唯一出行方便,恒达都市花园 -魏都区,2室2厅 | 98平米 | 南 | 其他 | 高楼层(共5层)  | 板楼,22人关注 / 一年前发布,53,"5,409元/平"
水语花城 3室2厅 南 北,水语花城 -魏都区,3室2厅 | 129.05平米 | 南 北 | 其他 | 中楼层(共12层)  | 板楼,0人关注 / 4个月以前发布,91,"7,052元/平"
此房采光很好，拎包入住，没有个税，成熟小区,华友·远大瑞园 -长葛市,5室3厅 | 136.8平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,2人关注 / 4个月以前发布,66,"4,825元/平"
镜湖花园 三室两厅两卫    精装,镜湖花园 -建安区,3室2厅 | 133.67平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,18人关注 / 5个月以前发布,50,"3,741元/平"
锦华小区三室精装  步梯中层  采光好,錦華小區 -长葛市,3室2厅 | 127.57平米 | 南 | 其他 | 中楼层(共6层)  | 塔楼,0人关注 / 一年前发布,39,"3,058元/平"
此房精装修，可拎包入住！.......,育龙小区 -长葛市,3室2厅 | 152.49平米 | 南 北 | 其他 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,59.8,"3,922元/平"
东城区一楼带花园，带车库260平，一二层叠墅。,怡景花城 -魏都区,4室2厅 | 239.99平米 | 南 北 | 其他 | 中楼层(共4层)  | 板楼,7人关注 / 一年前发布,218,"9,084元/平"
魏文路 莲城大道 大平层 60平露台 20多平储藏室,紫云花园 -魏都区,6室3厅 | 202.83平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,145,"7,149元/平"
市区好楼层 过户简单 看房方便,汇金星城 -长葛市,3室2厅 | 104.37平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,4人关注 / 一年前发布,49.5,"4,743元/平"
延安路 豫中置业 双龙湖游园 步梯中层 满五唯一,豫中置业 -魏都区,3室1厅 | 124.98平米 | 南 东南 | 其他 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,40,"3,201元/平"
百禾都市领域 有证 户型方正 大阳台,百禾都市领域 -长葛市,4室2厅 | 161.75平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 3个月以前发布,75,"4,637元/平"
满五不唯一毛坯空置河畔旁，洋房，均摊少，,卓越香格里拉 -长葛市,4室2厅 | 139.59平米 | 南 北 | 其他 | 6层  | 暂无数据 | 双拼别墅 ,4人关注 / 一年前发布,70,"5,015元/平"
一楼带院，下沉式设计，采光充足，布局合理,滨河名郡 -魏都区,3室2厅 | 129.97平米 | 北 南 | 简装 | 低楼层(共18层)  | 板楼,1人关注 / 7个月以前发布,160,"12,311元/平"
洋房低密小区，一梯两户，居住舒适度高，公摊小,北海森林半岛 -建安区,3室2厅 | 116.95平米 | 南 | 其他 | 中楼层(共10层)  | 板楼,0人关注 / 1个月以前发布,73,"6,242元/平"
精装，带南北露台，看房方便，诚心出售,鼎鑫丽景苑 -魏都区,4室2厅 | 167.81平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,9人关注 / 3个月以前发布,85,"5,066元/平"
七一路时代广场旁 卧室空间大 大露台 拎包入住满五唯,清华苑 -魏都区,5室3厅 | 224.83平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,1人关注 / 4个月以前发布,100,"4,448元/平"
此房户型合理，采光充足，精装修。配置齐,英地·泰和院 -建安区,3室2厅 | 136.01平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,72,"5,294元/平"
满五唯一，挑空复式，采光好，楼层好,建业帕拉帝奥 -魏都区,5室3厅 | 274.9平米 | 南 北 | 其他 | 高楼层(共10层)  | 板楼,5人关注 / 7个月以前发布,185,"6,730元/平"
恒达阳光城，满二，包含车位，业主诚心出售,恒达阳光城(长葛市) -长葛市,3室2厅 | 138.74平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,11人关注 / 一年前发布,82,"5,911元/平"
此房户型合理，采光充足，精装修。配置齐,英地·泰和院 -建安区,3室2厅 | 136.01平米 | 南 | 其他 | 高楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,72,"5,294元/平"
文峰路鼎鑫丽景苑 5-6复式 精装 带露台有车库 可另售,鼎鑫丽景苑 -魏都区,4室2厅 | 219.79平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,175,"7,963元/平"
文化路园丁园小区 满五唯一 可按揭 有储藏室,园丁园 -魏都区,3室1厅 | 96平米 | 东 南 | 简装 | 高楼层(共6层)  | 板楼,19人关注 / 一年前发布,63,"6,563元/平"
东区  恒达阳光城退台洋房四室  有证可按揭,恒达阳光城(长葛市) -长葛市,4室2厅 | 159.96平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 板楼,7人关注 / 8个月以前发布,102,"6,377元/平"
出售  魏武大道中段  空港新城二期 精装一室,空港新城二期 -建安区,1室0厅 | 59.45平米 | 北 | 精装 | 低楼层(共28层)  | 板塔结合,2人关注 / 一年前发布,39.5,"6,645元/平"
空港新城二期一室 52平 34万满五唯一  房东诚心出售,空港新城二期 -建安区,1室0厅 | 51.63平米 | 北 | 精装 | 低楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,33,"6,392元/平"
东区双气 两房 采光好 视野宽阔 交通便利,天明城 -建安区,2室2厅 | 82.43平米 | 南 | 简装 | 低楼层(共30层)  | 板楼,2人关注 / 4个月以前发布,62,"7,522元/平"
高铁旁 高品质小区，精装修，业主包税，拎包入住,空港新城二期 -建安区,2室1厅 | 87.83平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 1个月以前发布,65,"7,401元/平"
高铁站旁一室70年产权 精装修 户型方正 楼层好,空港新城 -建安区,1室1厅 | 36.03平米 | 北 | 精装 | 高楼层(共28层)  | 板塔结合,1人关注 / 5个月以前发布,29.5,"8,188元/平"
电梯房，小户型，方便入住，户型方正,许继花园 -魏都区,1室1厅 | 30.71平米 | 北 | 简装 | 高楼层(共19层)  | 板楼,0人关注 / 一年前发布,20,"6,513元/平"
科技广场旁 配套齐全环境好 天宝路交通便利,万象春天 -魏都区,2室1厅 | 91.48平米 | 南 | 精装 | 中楼层(共27层)  | 塔楼,1人关注 / 一年前发布,83.5,"9,128元/平"
此房户型方正 电梯双气 南北通 双气电梯 随时过户,百瑞花园 -魏都区,2室1厅 | 88.84平米 | 南 | 简装 | 中楼层(共11层)  | 板塔结合,1人关注 / 8个月以前发布,49.8,"5,606元/平"
楼层低，双气，公摊少，适合养老,电业局家属院 -魏都区,2室1厅 | 73.17平米 | 南 | 精装 | 低楼层(共3层)  | 板楼,6人关注 / 10个月以前发布,25,"3,417元/平"
铁东路精装两室，优质房，礼包入住,百禾都市领域 -长葛市,2室2厅 | 93.54平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,44,"4,704元/平"
大一室  阳光充足  干净整洁,鼎鑫商务广场 -魏都区,1室1厅 | 72.77平米 | 南 北 | 简装 | 中楼层(共27层)  | 板楼,1人关注 / 一年前发布,25,"3,436元/平"
空港新城2-1-1-1 价格低位 诚心出售,空港新城 -建安区,2室1厅 | 83.56平米 | 南 北 | 简装 | 高楼层(共28层)  | 板楼,9人关注 / 一年前发布,38,"4,548元/平"
此房满五唯一，楼层好，采光好，地理位置优，出行便利,热电厂宿舍楼 -魏都区,2室1厅 | 60.5平米 | 东 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,19.5,"3,224元/平"
许昌市烟草公司家属院 2室1厅 南,许昌市烟草公司家属院 -魏都区,2室1厅 | 48.26平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,20,"4,145元/平"
此房楼层好步梯二楼，视野宽阔，采光充足。,光明新村 -魏都区,2室1厅 | 55.82平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,1人关注 / 4个月以前发布,21,"3,763元/平"
人行家属院，两居室，南北通透，采光好,人行家属院 -魏都区,2室1厅 | 82.94平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 7个月以前发布,50,"6,029元/平"
温馨小公寓，原值高，税少，可选性多。,汇润映象 -魏都区,1室1厅 | 70.13平米 | 南 | 毛坯 | 高楼层(共27层)  | 塔楼,2人关注 / 9个月以前发布,30.5,"4,350元/平"
学府名苑大三室带花园楼层好..,学府名苑 -魏都区,3室2厅 | 130.82平米 | 南 北 | 其他 | 低楼层(共11层)  | 板塔结合,2人关注 / 一年前发布,95,"7,262元/平"
南临北海公园胖东来各大银行和教育北临三国文化广场,潩水庄园北区 -建安区,2室2厅 | 85.37平米 | 南 | 毛坯 | 高楼层(共21层)  | 板楼,0人关注 / 2个月以前发布,45,"5,272元/平"
房子南北通透 精装修 看房方便 有暖气,阳光佳苑(长葛市) -长葛市,2室2厅 | 101.59平米 | 南 北 | 精装 | 低楼层(共6层)  | 暂无数据,6人关注 / 10个月以前发布,57.5,"5,661元/平"
楼层好 视野开阔 拎包入住 可自住,恒达·立体国际 -魏都区,1室1厅 | 45.62平米 | 南 北 | 精装 | 中楼层(共19层)  | 板塔结合,6人关注 / 一年前发布,19,"4,165元/平"
养老宜居。简单小两室。好楼层看房方便。。。,八一西路1639号 -魏都区,2室1厅 | 55.53平米 | 南 | 简装 | 中楼层(共4层)  | 暂无数据,4人关注 / 6个月以前发布,32,"5,763元/平"
东区精装一室大产权好楼层朝南户型加阳台,空港新城 -建安区,1室1厅 | 45.83平米 | 南 | 精装 | 中楼层(共28层)  | 板塔结合,1人关注 / 3个月以前发布,29,"6,328元/平"
此房满五唯一，看房方便，户型方正采光好,丽景新苑 -建安区,2室2厅 | 101.88平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,54,"5,301元/平"
简装一室公寓房，金三角胖东来旁，交通便利。,广汇.君悦城 -建安区,1室1厅 | 43.21平米 | 北 | 精装 | 高楼层(共14层)  | 塔楼,9人关注 / 10个月以前发布,17.9,"4,143元/平"
瑞贝卡北海62郡70年产权公寓，好物业,北海62郡 -建安区,1室1厅 | 51平米 | 南 | 简装 | 高楼层(共20层)  | 板塔结合,2人关注 / 一年前发布,28,"5,491元/平"
许都公园 两室精装 双气 采光好 拎包入住,三达府西雅园 -魏都区,2室1厅 | 59.39平米 | 北 | 精装 | 中楼层(共19层)  | 板楼,13人关注 / 4个月以前发布,43,"7,241元/平"
户型方正 没浪费面积 空间格局合理 采光好 一梯两户,丽景新苑 -建安区,2室1厅 | 91.94平米 | 东南 | 毛坯 | 高楼层(共16层)  | 板楼,14人关注 / 一年前发布,40,"4,351元/平"
魏武大道东站旁，空港新城一室一厅拎包入住,空港新城二期 -建安区,1室0厅 | 42.93平米 | 北 | 精装 | 高楼层(共28层)  | 板塔结合,3人关注 / 一年前发布,27.3,"6,360元/平"
70年产权小公寓，纯南户型，看房方便，诚心出售,空港新城二期 -建安区,1室1厅 | 41.41平米 | 南 | 简装 | 低楼层(共28层)  | 板楼,2人关注 / 10个月以前发布,25.9,"6,255元/平"
广杰御翠花苑 精装2室小高层南北通透 满五唯一可按揭,广杰御萃花园 -建安区,2室2厅 | 96.17平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,1人关注 / 9个月以前发布,62,"6,447元/平"
