标题,开发商,房子信息,发布信息,售价/万,单价
东坝江景房，朝南，精装修三房双卫，拎包入住，,翡翠城 -东坝,3室2厅 | 136.33平米 | 南 | 其他 | 中楼层(共24层)  | 暂无数据,0人关注 / 8天以前发布,123,"9,023元/平"
环境优美，配套齐全，交通便利，户型方正,香山怡园 -东坝,3室2厅 | 117.66平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 5个月以前发布,85,"7,225元/平"
广元老城华北星城三房两厅110平方米售100万一楼带花园,华北星城 -老城,3室2厅 | 110平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 8个月以前发布,100,"9,091元/平"
广元城南时代广场一期 3室2厅 南 北,广元城南时代广场一期 -老城,3室2厅 | 116平米 | 南 北 | 精装 | 中楼层(共28层)  | 塔楼,1人关注 / 3个月以前发布,120,"10,345元/平"
和成原著高层顶楼带露台三室两厅双卫,和成原著 -东坝,3室2厅 | 92平米 | 南 | 毛坯 | 高楼层(共31层)  | 暂无数据,0人关注 / 2个月以前发布,69.8,"7,587元/平"
东坝御锦湾精装出售，坐北朝南，方正户型，,御锦湾 -东坝,3室2厅 | 110.6平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,7人关注 / 一年前发布,112,"10,127元/平"
来雅居3室2厅2卫，简装，户型方正，,莱雅居 -东坝,3室2厅 | 138.6平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,88,"6,350元/平"
老城电梯三室光宇国际采光户型安逸,广宇国际 -老城,3室2厅 | 107平米 | 西南 | 简装 | 低楼层(共28层)  | 暂无数据,1人关注 / 一年前发布,95,"8,879元/平"
东坝利州广场旁精装套二 户型朝向好 看房方便,升泰苑 -东坝,2室2厅 | 93平米 | 南 | 精装 | 高楼层(共27层)  | 暂无数据,5人关注 / 一年前发布,68,"7,312元/平"
老城  一线江景  装修保养非 常好,陵江尚品 -老城,3室2厅 | 142.6平米 | 西 | 精装 | 高楼层(共19层)  | 暂无数据,0人关注 / 8个月以前发布,142,"9,958元/平"
兴和苑3室2厅，简装，您可以选择拎包入住,兴和苑 -东坝,3室2厅 | 120平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,3人关注 / 7个月以前发布,86,"7,167元/平"
东坝 建行院 140平宽敞大三室 带平台花园,自来水公司宿舍 -老城,3室2厅 | 140平米 | 南 | 精装 | 低楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,95,"6,786元/平"
锦典家园三室二厅，采光好，户型方正,锦典家园 -东坝,3室2厅 | 120平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,98,"8,167元/平"
东坝金桂园精装修3居室，小区停车方便，环境优美,金桂苑 -东坝,3室2厅 | 143平米 | 西南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 一年前发布,85,"5,945元/平"
北二环 和成原著 清水现房4房诚售！,和成原著 -东坝,4室2厅 | 110平米 | 西 | 毛坯 | 高楼层(共31层)  | 暂无数据,3人关注 / 9个月以前发布,62,"5,637元/平"
东坝御锦湾精装出售，坐北朝南，方正户型，,御锦湾 -东坝,3室2厅 | 110.6平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,7人关注 / 一年前发布,112,"10,127元/平"
科兴园二期 豪 华装修 欧式风格 成色全新 没住过人,科兴园二期 -东坝,3室2厅 | 131.81平米 | 东 西 | 精装 | 高楼层(共24层)  | 暂无数据,0人关注 / 一年前发布,128,"9,711元/平"
红星小区 2室2厅 南,红星小区 -雪峰,2室2厅 | 70平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,43,"6,143元/平"
老城 龙眼花园 大三居 小区停车方便,龙眼花园 -东坝,3室2厅 | 110平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,62,"5,637元/平"
临江小区 世纪城龙湾 3室2厅2卫 中间楼层,龙湾 -下西坝,3室2厅 | 99.19平米 | 南 | 毛坯 | 中楼层(共29层)  | 暂无数据,1人关注 / 6个月以前发布,58,"5,848元/平"
中医院上河街分院宿舍 3室2厅 南,中医院上河街分院宿舍 -老城,3室2厅 | 106.71平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,65,"6,092元/平"
简装大三室可以直接拎包入住，单价低,二十九街坊 -南河,3室2厅 | 102.61平米 | 东南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,56,"5,458元/平"
大型社区，享一线江景，精装三房,广元碧桂园 -雪峰,3室2厅 | 97平米 | 东南 | 精装 | 低楼层(共26层)  | 板楼,13人关注 / 11个月以前发布,70,"7,217元/平"
养护段小区三居室出售89.51平米。55万！,养护段小区 -南河,3室2厅 | 89.51平米 | 北 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,50,"5,586元/平"
南河大小区精装三房保养好拎包入住,滨江花园 -南河,3室2厅 | 144平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,85,"5,903元/平"
好房出售，真跃层  带花园 清水现房 方便装修,普罗旺斯一期 -雪峰,5室2厅 | 129.7平米 | 东 | 毛坯 | 高楼层(共31层)  | 暂无数据,10人关注 / 9个月以前发布,105,"8,096元/平"
南岭居 2室2厅 南,南岭居 -南河,2室2厅 | 72.79平米 | 南 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,50,"6,870元/平"
玉树家园小区3室2厅交通便利小区环境干净舒适适合居住,玉树家园 -南河,3室2厅 | 135平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 7个月以前发布,75,"5,556元/平"
明珠园 3室2厅 南,明珠园 -东坝,3室2厅 | 111平米 | 南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,115,"10,361元/平"
精装三室两厅，关门卖，65万  可谈,农行宿舍 -南河,3室2厅 | 95平米 | 东 | 其他 | 高楼层(共7层)  | 暂无数据,2人关注 / 11个月以前发布,65,"6,843元/平"
南河市场附 近 九十多平 宽敞两室  价格优美,蔬菜公司小区 -南河,2室2厅 | 91平米 | 南 | 其他 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,42,"4,616元/平"
广信水岸丽舍 3室2厅 东南,广信水岸丽舍 -雪峰,3室2厅 | 90平米 | 东南 | 精装 | 高楼层(共15层)  | 暂无数据,4人关注 / 5个月以前发布,65,"7,223元/平"
万达广场对 面普罗旺斯精装三房双卫 全屋中 央空调,普罗旺斯一期 -雪峰,3室2厅 | 94平米 | 东 南 | 精装 | 高楼层(共29层)  | 暂无数据,0人关注 / 2个月以前发布,95,"10,107元/平"
嘉华市场 2室2厅1厨1卫  地理位置佳 视野开阔 采光好,嘉华市场 -老城,2室1厅 | 81平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,48,"5,926元/平"
南河桂湖花园三室  房屋面积大  宽敞,桂湖花园 -南河,3室2厅 | 139.8平米 | 西北 | 精装 | 中楼层(共7层)  | 暂无数据,1人关注 / 6个月以前发布,76,"5,437元/平"
老城套三  挨的北街 配套设施齐全  户型方正,金达商城 -老城,3室2厅 | 137.7平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,69,"5,011元/平"
粼峰逸景大三居，精装，拧包入住,粼峰逸景 -东坝,3室2厅 | 123平米 | 西北 | 其他 | 中楼层(共26层)  | 板塔结合,1人关注 / 8个月以前发布,110,"8,944元/平"
新世纪小区 3室2厅 南 北,新世纪小区 -上西坝,3室2厅 | 143.37平米 | 南 北 | 简装 | 中楼层(共8层)  | 暂无数据,0人关注 / 1个月以前发布,62,"4,325元/平"
"户型方正,满两年税费低,孩子读书方便。",聚贤巷 -南河,3室2厅 | 106平米 | 东南 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,68,"6,416元/平"
南河大三居室，双卫出售，采光好,福园公寓 -南河,3室2厅 | 122平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,4人关注 / 一年前发布,60,"4,919元/平"
【电梯3室】邮政公寓3-2-1-1 108.00m²,邮政公寓 -南河,3室2厅 | 108平米 | 南 | 简装 | 高楼层(共8层)  | 暂无数据,0人关注 / 2个月以前发布,64,"5,926元/平"
万达华城，精装四居，采光好，户型方正,万达中央华城 -万源,4室2厅 | 129平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,6人关注 / 一年前发布,160,"12,404元/平"
老城好地段住房出售 生活方便   交通便利,捷顺公寓 -南河,4室2厅 | 189平米 | 东 | 精装 | 高楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,101,"5,344元/平"
陵江御苑 3室2厅 东,陵江御苑 -南河,3室2厅 | 139.93平米 | 东 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 3个月以前发布,82,"5,861元/平"
此房户型方正，出行便利，领包入住,和谐人家 -南河,3室2厅 | 126平米 | 东 | 简装 | 低楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,88,"6,985元/平"
急售 利州公馆清水三室双卫 中间楼层业主成本价售,阳光利州公馆 -雪峰,3室2厅 | 89.96平米 | 北 | 毛坯 | 低楼层(共32层)  | 板塔结合,0人关注 / 7个月以前发布,68,"7,559元/平"
老城 好地段 好楼层 人和大厦 可直接入住,人和大厦 -老城,3室2厅 | 110平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,73,"6,637元/平"
位置好，东南朝向，周 边配套丰富，户型方正,鸿宇时代 -东坝,3室2厅 | 118.76平米 | 南 | 毛坯 | 低楼层(共30层)  | 暂无数据,3人关注 / 一年前发布,85,"7,158元/平"
此房真实在售，请多推荐，价可刀,龙眼花园 -东坝,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 6个月以前发布,80,"6,780元/平"
此房满五不唯一 ，位于老城南街，地理位置好。,南苑 -老城,4室2厅 | 133.3平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 6个月以前发布,70,"5,252元/平"
东城国际精装套二出售，拎包入住,东城国际 -东坝,2室1厅 | 87平米 | 东南 | 精装 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,81,"9,311元/平"
托斯卡纳清水3居室双卫江景房满2年诚心出售。,托斯卡纳 -万源,3室2厅 | 94平米 | 北 | 毛坯 | 中楼层(共31层)  | 板塔结合,6人关注 / 一年前发布,107,"11,383元/平"
万源托斯卡纳精装3居室双卫，朝小区。,托斯卡纳 -万源,3室2厅 | 94平米 | 北 | 精装 | 低楼层(共31层)  | 暂无数据,1人关注 / 一年前发布,132,"14,043元/平"
邦泰天誉东区清水三室双卫 中间楼层带车位 支持按揭,邦泰天誉 -万源,3室2厅 | 89.31平米 | 西南 | 毛坯 | 低楼层(共25层)  | 暂无数据,1人关注 / 一年前发布,95,"10,638元/平"
万达精装套三，满二，欢迎咨询。,天悦府 -万源,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共26层)  | 暂无数据,0人关注 / 11个月以前发布,170,"14,783元/平"
万源河景小区 精装三居室  产权满两年,水岸华府 -万源,3室2厅 | 97平米 | 西南 | 精装 | 低楼层(共30层)  | 暂无数据,0人关注 / 3个月以前发布,96.5,"9,949元/平"
利源小区精装修洋房，屋顶花园，南！,利源小区 -东坝,4室2厅 | 245.5平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,164,"6,681元/平"
满五唯一  税费低  三室两厅  南北朝向,南院春天东区 -东坝,3室2厅 | 97平米 | 南 北 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,90,"9,279元/平"
万达精装套三，满五，物美价廉，欢迎咨询。,天悦府 -万源,3室2厅 | 108平米 | 南 | 简装 | 高楼层(共28层)  | 板塔结合,3人关注 / 7个月以前发布,115,"10,649元/平"
万源优山郡 精装两居 带车位 拎包入住,英伦优山郡 -万源,2室2厅 | 85平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 9个月以前发布,86,"10,118元/平"
水上公园....震后大三房....龙眼花园,龙眼花园 -东坝,3室2厅 | 114平米 | 东南 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,79,"6,930元/平"
关门出售！邦泰天誉精装修三室两厅两卫 视线好,邦泰天誉 -万源,3室2厅 | 89.31平米 | 北 | 精装 | 中楼层(共25层)  | 平房,0人关注 / 2个月以前发布,140,"15,676元/平"
是个 可 看 江 景 的 房 子,东山半岛 -东坝,4室2厅 | 113平米 | 东南 | 其他 | 中楼层(共28层)  | 暂无数据,1人关注 / 一年前发布,95,"8,408元/平"
万源水岸华府带花园3室2卫毛坯  业主诚售,水岸华府 -万源,3室2厅 | 139.22平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,120,"8,620元/平"
南岸阳光 3室2厅 南,南岸阳光 -万源,3室2厅 | 129平米 | 南 | 精装 | 高楼层(共16层)  | 暂无数据,0人关注 / 7个月以前发布,124.9,"9,683元/平"
东坝滨河路 江景房 看山观水 格局方正,阳春印象 -东坝,3室2厅 | 153平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,122,"7,974元/平"
阅兰山 5室3厅 南,阅兰山 -万源,5室3厅 | 169.33平米 | 南 | 精装 | 高楼层(共4层)  | 暂无数据,0人关注 / 2个月以前发布,290,"17,127元/平"
万源精装三居江景房，含车位出售满二,水岸华府 -万源,3室2厅 | 121平米 | 北 | 精装 | 高楼层(共30层)  | 暂无数据,2人关注 / 一年前发布,140,"11,571元/平"
刚交完房的新小区，位于万源地段，小区配套成熟,恒昌如意湖畔 -万源,6室3厅 | 224.29平米 | 南 | 毛坯 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,202,"9,007元/平"
托斯卡纳 5室3厅 南,托斯卡纳 -万源,5室3厅 | 117平米 | 南 | 精装 | 高楼层(共32层)  | 暂无数据,1人关注 / 4个月以前发布,230,"19,659元/平"
此房满5年，出行方便，户型方正，居住方便舒适,权家巷 -东坝,3室2厅 | 110平米 | 南 | 其他 | 中楼层(共5层)  | 暂无数据,7人关注 / 一年前发布,52,"4,728元/平"
托斯卡纳精装3居室带空调和暖气。,托斯卡纳 -万源,3室2厅 | 84.7平米 | 南 | 精装 | 低楼层(共32层)  | 暂无数据,7人关注 / 一年前发布,128,"15,113元/平"
万源优山郡 精装两居 带车位 拎包入住,英伦优山郡 -万源,2室2厅 | 85平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 9个月以前发布,86,"10,118元/平"
高品质小区，万源新区，新小区，交通便利,世纪名邸 -万源,3室2厅 | 81平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,1人关注 / 6个月以前发布,138,"17,038元/平"
南北朝向，采光好，户型方正，小区停车免费。,金桂苑 -东坝,2室2厅 | 93平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,50,"5,377元/平"
利州广场旁，繁华街区，税费低，拎包入住，关门卖，,利源小区 -东坝,3室2厅 | 151平米 | 东南 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,104,"6,888元/平"
东坝利州广场旁恒星城 3室2厅双卫 豪 装拎包入住。,恒星城东区 -东坝,3室2厅 | 156平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,5人关注 / 一年前发布,150,"9,616元/平"
花园式小区    3房单卫   买房有车位,学府华庭 -东坝,3室2厅 | 82.9平米 | 西北 | 毛坯 | 高楼层(共25层)  | 塔楼,8人关注 / 一年前发布,67,"8,083元/平"
利州广场 繁华街区，配套齐全，拎包入住,御锦湾 -东坝,3室2厅 | 116.5平米 | 北 | 精装 | 低楼层(共18层)  | 暂无数据,2人关注 / 5个月以前发布,135,"11,588元/平"
此房简单装修，出门就是公交站，地震后小区适合养老,东城国际 -东坝,2室2厅 | 79平米 | 南 | 简装 | 高楼层(共27层)  | 板楼,0人关注 / 10个月以前发布,71,"8,988元/平"
大户型满五年  视野广阔 采光好   拎包即可入住,工贸小区 -东坝,3室2厅 | 155平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 8个月以前发布,73,"4,710元/平"
托斯卡纳 叠院 落地窗采光好 私家家园 影视厅,托斯卡纳 -万源,4室5厅 | 340平米 | 南 北 | 精装 | 低楼层(共5层)  | 暂无数据,0人关注 / 3个月以前发布,655,"19,265元/平"
精装大三室    拎包入住     生活配套齐全,骏仕佳苑 -东坝,3室2厅 | 113平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,2人关注 / 一年前发布,96,"8,496元/平"
龙眼花园三室两厅  98万、、、、、、,龙眼花园 -东坝,3室2厅 | 123平米 | 南 北 | 简装 | 低楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,93,"7,561元/平"
此房户型格局好，楼层佳，采光充足，交通便利。,邀月巷 -东坝,4室2厅 | 139.72平米 | 东 | 精装 | 中楼层(共7层)  | 暂无数据,10人关注 / 一年前发布,68,"4,867元/平"
老城北街震后精装跃层 全现浇结构实际有二百六十平,广信馨苑 -老城,5室2厅 | 178平米 | 南 北 | 精装 | 中楼层(共8层)  | 塔楼,7人关注 / 一年前发布,128,"7,192元/平"
东坝 凤凰世纪城御都商品房 电梯两室,凤凰世纪城御都 -东坝,2室2厅 | 86平米 | 南 西南 | 毛坯 | 高楼层(共25层)  | 暂无数据,2人关注 / 一年前发布,53,"6,163元/平"
朝南 通透户型 优质房源 精装修 品牌家具家电关门出售,天悦府 -万源,2室2厅 | 85.17平米 | 南 | 精装 | 高楼层(共28层)  | 暂无数据,1人关注 / 5个月以前发布,92,"10,802元/平"
万源邦泰天誉  户型方正 采光好,邦泰天誉 -万源,3室2厅 | 94平米 | 南 | 毛坯 | 中楼层(共25层)  | 平房,3人关注 / 一年前发布,103,"10,958元/平"
新民社区 大面积三房 诚心出售,新民社区 -东坝,3室2厅 | 139平米 | 东南 | 其他 | 高楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,74.9,"5,389元/平"
利州广场电梯精装套二  诚心出售,天润新天地 -东坝,2室2厅 | 89.93平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,0人关注 / 2个月以前发布,85,"9,452元/平"
此房在万达楼层适中配套成熟环境好,碧波南庭 -万源,3室2厅 | 117.5平米 | 西南 | 精装 | 中楼层(共25层)  | 板楼,2人关注 / 一年前发布,124,"10,554元/平"
东坝三居室  有电梯，   拎包入住,宏图公寓 -东坝,3室2厅 | 122平米 | 西南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,69,"5,656元/平"
水榭花都2室2厅，交通便利，家电齐全，拎包入住,水榭花都二期 -东坝,2室2厅 | 98平米 | 东 | 简装 | 中楼层(共6层)  | 板塔结合,5人关注 / 一年前发布,84,"8,572元/平"
万源简装两居 户型方正 面积大 中间楼层,长城新苑小区 -万源,2室2厅 | 102.08平米 | 南 | 其他 | 高楼层(共22层)  | 塔楼,0人关注 / 7个月以前发布,85,"8,327元/平"
军转办三居室业主          诚心低价出售,肉联厂家属院 -东坝,3室1厅 | 72平米 | 西南 | 简装 | 低楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,48,"6,667元/平"
托斯卡纳精装三室双卫，户型好采光佳，品牌家具家电,托斯卡纳 -万源,3室2厅 | 85平米 | 西北 | 精装 | 低楼层(共32层)  | 暂无数据,4人关注 / 一年前发布,123,"14,471元/平"
万源邦泰天誉东区跃层 朝南带车位 享三代人同居的幸福,邦泰天誉 -万源,5室2厅 | 128平米 | 南 北 | 毛坯 | 低楼层(共1层)  | 暂无数据,1人关注 / 5个月以前发布,165,"12,891元/平"
交通便利，小区环境，干净舒适，适合居住,双园楼 -东坝,3室2厅 | 140平米 | 西 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,88,"6,286元/平"
此房四室两厅一卫，南北朝向，户型方正，停车方便安全,广元市老干部修养所 -东坝,4室2厅 | 100平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 暂无数据,2人关注 / 11个月以前发布,50,"5,000元/平"
精装修 三室两厅两卫 其中一个卫生间改成了衣帽间,水榭花都二期 -东坝,3室2厅 | 140平米 | 北 | 精装 | 中楼层(共16层)  | 暂无数据,2人关注 / 一年前发布,150,"10,715元/平"
满五税少， 楼层佳， 采光足， 出行交通方便,四川信息职业技术学院家属院 -东坝,3室2厅 | 141.71平米 | 西南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,76,"5,364元/平"
百货大厦3-1-1-1，小区停车方便安全，适合居住。,广元市委宿舍 -东坝,3室1厅 | 99.01平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,3人关注 / 一年前发布,66,"6,666元/平"
单价六千多购老城凤凰山旁精装3房，满五,香山怡园 -东坝,3室2厅 | 109平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,2人关注 / 7个月以前发布,70,"6,423元/平"
东坝香山怡园精装跃层带屋顶花园,香山怡园 -东坝,5室2厅 | 223平米 | 南 北 | 精装 | 高楼层(共5层)  | 暂无数据,1人关注 / 6个月以前发布,132,"5,920元/平"
南岸阳光 3室2厅 南,南岸阳光 -万源,3室2厅 | 129平米 | 南 | 精装 | 高楼层(共16层)  | 暂无数据,0人关注 / 7个月以前发布,124.9,"9,683元/平"
万源水岸华府带花园3室2卫毛坯  业主诚售,水岸华府 -万源,3室2厅 | 139.22平米 | 南 | 毛坯 | 低楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,120,"8,620元/平"
万源一线江景房 托斯卡纳精装四室中间楼层 南 北通透,托斯卡纳 -万源,4室2厅 | 110平米 | 北 | 精装 | 高楼层(共32层)  | 板塔结合,3人关注 / 4个月以前发布,155,"14,091元/平"
东坝滨河路 江景房 看山观水 格局方正,阳春印象 -东坝,3室2厅 | 153平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 6个月以前发布,122,"7,974元/平"
万源优山郡 精装两居 带车位 拎包入住,英伦优山郡 -万源,2室2厅 | 85平米 | 南 北 | 精装 | 中楼层(共18层)  | 板塔结合,3人关注 / 9个月以前发布,86,"10,118元/平"
此房满五，采光充足。。。。。。。。。。。。。。。,天成东坝商务小区 -东坝,4室2厅 | 197平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 6个月以前发布,112,"5,686元/平"
托斯卡纳别墅清水房  小区环境幽美值得拥有,托斯卡纳 -万源,5室3厅 | 345.78平米 | 南 | 毛坯 | 低楼层(共5层)  | 暂无数据,7人关注 / 一年前发布,287,"8,301元/平"
楼层好  户型方正  交通方便  拎包入住,川桥五处 -东坝,3室2厅 | 97.64平米 | 东南 | 精装 | 中楼层(共7层)  | 暂无数据,11人关注 / 一年前发布,64,"6,555元/平"
水岸华府三居室出售，通透，户型方正,水岸华府 -万源,3室2厅 | 97平米 | 南 | 毛坯 | 高楼层(共30层)  | 塔楼,9人关注 / 一年前发布,88,"9,073元/平"
此房四室两厅一卫，南北朝向，户型方正，停车方便安全,广元市老干部修养所 -东坝,4室2厅 | 100平米 | 南 北 | 毛坯 | 高楼层(共5层)  | 暂无数据,2人关注 / 11个月以前发布,50,"5,000元/平"
精装修 三室两厅两卫 其中一个卫生间改成了衣帽间,水榭花都二期 -东坝,3室2厅 | 140平米 | 北 | 精装 | 中楼层(共16层)  | 暂无数据,2人关注 / 一年前发布,150,"10,715元/平"
满五税少， 楼层佳， 采光足， 出行交通方便,四川信息职业技术学院家属院 -东坝,3室2厅 | 141.71平米 | 西南 北 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,76,"5,364元/平"
三室两厅双卫 带屋顶花园 拎包入住,军转办小区 -东坝,3室2厅 | 111平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,73,"6,577元/平"
交通便利，小区环境，干净舒适，适合居住,双园楼 -东坝,3室2厅 | 140平米 | 西 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,88,"6,286元/平"
文化路三室一厅，价格低，二楼朝南，,权家巷 -东坝,3室1厅 | 88.8平米 | 南 | 其他 | 低楼层(共6层)  | 暂无数据,0人关注 / 8个月以前发布,55,"6,194元/平"
水榭花都精装大三居拎包入住97万急售,水榭花都 -东坝,3室2厅 | 128平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 3个月以前发布,97,"7,579元/平"
东坝轻奢地段优质房源，坐北朝南,御锦湾 -东坝,2室2厅 | 108平米 | 南 | 其他 | 低楼层(共18层)  | 板楼,0人关注 / 一年前发布,103,"9,538元/平"
此房满五年，出行方便，户型方正，居住方便舒适,中国农业银行宿舍 -东坝,3室2厅 | 99.75平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,48,"4,813元/平"
凤琴岚湾 3室2厅 南,凤琴岚湾 -东坝,3室2厅 | 89平米 | 南 | 精装 | 低楼层(共10层)  | 暂无数据,2人关注 / 5个月以前发布,82,"9,214元/平"
恒星城一期 精装大户型 电梯小区 拎包入住,恒星城东区 -东坝,3室3厅 | 166平米 | 南 北 | 精装 | 中楼层(共17层)  | 暂无数据,3人关注 / 8个月以前发布,138,"8,314元/平"
万源精装4居跃层带阳光房，户型方正，采光好,东方曼哈顿 -万源,4室2厅 | 101平米 | 东 | 其他 | 高楼层(共28层)  | 板楼,2人关注 / 7个月以前发布,180,"17,822元/平"
：万源带车位清水房出售    面积朝向都是不错的,恒昌如意湖畔 -万源,3室2厅 | 115平米 | 南 | 毛坯 | 中楼层(共28层)  | 暂无数据,3人关注 / 6个月以前发布,125,"10,870元/平"
东坝大四居室，居住舒适，配套齐全，出行方便。,成功花园 -东坝,4室2厅 | 160平米 | 北 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,100,"6,250元/平"
东坝河边震后电梯  精装大三房  带产权车位,启明星花园 -东坝,3室2厅 | 127平米 | 西南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 7个月以前发布,109,"8,583元/平"
此房位于下西  环境优美  地势平坦,龙湾 -下西坝,3室2厅 | 84.7平米 | 南 | 精装 | 高楼层(共30层)  | 暂无数据,0人关注 / 2个月以前发布,72,"8,501元/平"
价位低  环境好  配套齐  全款看过来,广元碧桂园 -雪峰,3室2厅 | 127平米 | 东 | 其他 | 高楼层(共32层)  | 暂无数据,1人关注 / 5个月以前发布,78,"6,142元/平"
震后电梯，老城城中间，装修保养好，一街之隔，,世纪广场 -老城,3室2厅 | 113平米 | 东南 | 简装 | 高楼层(共14层)  | 暂无数据,2人关注 / 一年前发布,108,"9,558元/平"
东坝精装电梯房两室出售，中间楼层,皇尊公寓 -东坝,2室2厅 | 88平米 | 南 | 精装 | 中楼层(共19层)  | 暂无数据,0人关注 / 2个月以前发布,80,"9,091元/平"
托斯卡纳顶跃江景房  精致装修 带车位,托斯卡纳 -万源,4室2厅 | 119平米 | 西北 | 精装 | 高楼层(共32层)  | 塔楼,9人关注 / 一年前发布,215,"18,068元/平"
凤琴岚湾精装三室两厅两卫   采光很好 视野优秀,凤琴岚湾 -东坝,3室2厅 | 126平米 | 西 | 简装 | 高楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,115,"9,127元/平"
老城福兴家园三房两厅113平方米售60万精装修！,福兴家园 -老城,3室2厅 | 113.42平米 | 南 | 精装 | 中楼层(共7层)  | 暂无数据,5人关注 / 9个月以前发布,60,"5,291元/平"
万源南岸阳光精装157平大四房  带车位180万,南岸阳光 -万源,4室2厅 | 156.9平米 | 东 | 精装 | 低楼层(共13层)  | 板塔结合,3人关注 / 9个月以前发布,180,"11,473元/平"
