标题,开发商,房子信息,发布信息,售价/万,单价
美的三期，环境好，适合老人小孩居住,美的蝴蝶海三期 -梅山岛,2室2厅 | 79.58平米 | 南 | 精装 | 低楼层(共27层)  | 板塔结合,10人关注 / 7个月以前发布,89,"11,184元/平"
新上好房，精装两房户型方正楼层好位置佳看房方便，,晴园东区 -高桥,2室2厅 | 73.79平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,12人关注 / 5个月以前发布,192,"26,020元/平"
高新区 梅墟 精装，户型方正，拎包入住，交通便利，,东和雅苑 -高新区,2室2厅 | 90.37平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,0人关注 / 3个月以前发布,198,"21,910元/平"
国医小区 鼓楼双地铁 楼层好 采光好,国医双拥小区 -天一广场,2室1厅 | 60.81平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,192,"31,574元/平"
江南逸庭 小面积 总价低 户型方正,江南逸庭 -小港,2室1厅 | 69.95平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,159,"22,731元/平"
总价低 老江东位置 采光好 南北通,演武社区 -百丈,1室1厅 | 45.02平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,5人关注 / 一年前发布,167,"37,095元/平"
马园新村 小面积 低楼层 落户,马园新村 -南门,2室1厅 | 37.82平米 | 南 | 简装 | 低楼层(共5层)  | 暂无数据,4人关注 / 4个月以前发布,99,"26,177元/平"
名仕单身公寓，毛坯，朝南！！！！！！！！,名仕花园 -兰江,1室1厅 | 43平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,7人关注 / 一年前发布,70,"16,280元/平"
中河街道，房东诚心出售！新房已看好！,盛世天城二期 -中河,1室1厅 | 32.65平米 | 西 | 精装 | 32层  | 板塔结合,21人关注 / 一年前发布,149,"45,636元/平"
房子真实在卖的，采光好楼层好，房东和诚心出售,安居小区 -招宝山,2室1厅 | 56平米 | 南 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,122,"21,786元/平"
楼层佳 光线好 配套成熟 格局好,亲亲家园 -洪塘,2室1厅 | 81.81平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,5人关注 / 6个月以前发布,158,"19,314元/平"
蒲家兰庭配套齐全 诚心出售 精装,蒲家兰庭 -高桥,2室1厅 | 71.81平米 | 南 | 精装 | 低楼层(共17层)  | 板塔结合,0人关注 / 1个月以前发布,169.9,"23,660元/平"
名仕单身公寓，毛坯，朝南！！！！！！！！,名仕花园 -兰江,1室1厅 | 43平米 | 南 | 毛坯 | 高楼层(共17层)  | 暂无数据,7人关注 / 一年前发布,70,"16,280元/平"
格兰云天二期 精装 房东诚心出售 价格可谈 有钥匙随看,格兰云天二期 -中河,1室1厅 | 29.73平米 | 北 | 精装 | 高楼层(共18层)  | 板楼,10人关注 / 8个月以前发布,163,"54,827元/平"
楼层好，户型好。位置佳，出入方便，配套齐全,郎官社区 -南门,1室1厅 | 33.51平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,4人关注 / 5个月以前发布,102,"30,439元/平"
此房楼层好 视野开阔 采光充足 房东诚心出售,水岸花园 -高桥,2室1厅 | 55.23平米 | 南 | 精装 | 低楼层(共12层)  | 板楼,5人关注 / 5个月以前发布,130,"23,538元/平"
房子装修保养好，边套，采光充足。。。,迪赛青苹果 -望春,2室1厅 | 54.9平米 | 西南 | 精装 | 高楼层(共18层)  | 平房,0人关注 / 2个月以前发布,86,"15,665元/平"
明楼电梯毛坯房，小户型，诚心出售,余隘人家 -明楼,2室1厅 | 71.53平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,225,"31,456元/平"
有天然气，配套成熟，男女老小都适合,金色江南 -中河,2室2厅 | 53.52平米 | 南 | 简装 | 低楼层(共19层)  | 板塔结合,4人关注 / 3个月以前发布,73,"13,640元/平"
小区内有幼儿园，房龄新，姚江书院小户型房子,云水湾 -姚江新区,2室1厅 | 65.55平米 | 南 | 毛坯 | 30层  | 板楼,0人关注 / 2个月以前发布,208,"31,732元/平"
"横溪户型方正，采光好，楼层好，保养好,价格可谈",丰乐苑 -横溪,2室2厅 | 90.91平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,162,"17,820元/平"
星河晨光刚需户型，朝南，楼层好，诚心出售,星河晨光A区 -潘火,2室1厅 | 61.8平米 | 南 北 | 精装 | 中楼层(共32层)  | 塔楼,3人关注 / 4个月以前发布,120,"19,418元/平"
位置佳，楼层佳，户型佳，采光佳，价格美丽！,朱雀新村 -百丈,2室1厅 | 48.58平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,6人关注 / 4个月以前发布,139,"28,613元/平"
户型方正，楼层佳，房东自住装修 可拎包入住,丽晶国际 -文教,1室1厅 | 45.05平米 | 西 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 1个月以前发布,114,"25,306元/平"
70年产权住宅，朝南户型，适合刚需，楼层好！看房方便,星河晨光A区 -潘火,2室1厅 | 73.15平米 | 东北 | 精装 | 中楼层(共32层)  | 塔楼,9人关注 / 4个月以前发布,138,"18,866元/平"
二房朝南，全亮间，新小区价格便宜。,望童北苑 -高桥,2室2厅 | 68.85平米 | 南 | 毛坯 | 低楼层(共11层)  | 板楼,40人关注 / 一年前发布,165,"23,966元/平"
70年产权，全款一口价22万房子 好楼层，配套成熟,越溪湖畔 -杭州湾新区,1室1厅 | 44.81平米 | 东 北 | 毛坯 | 22层  | 板塔结合,6人关注 / 一年前发布,22,"4,910元/平"
1号线芦港地铁口清沁家园精装大两房 诚心出售拎包入住,新桥清沁家园二期 -高桥,2室1厅 | 84.69平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,14人关注 / 6个月以前发布,179,"21,136元/平"
"户型方正 格局好,精致装修，配套齐全",银亿上上城 -潘火,2室2厅 | 76.52平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,11人关注 / 5个月以前发布,212,"27,706元/平"
房东诚心出售，提前约都可以，二房朝南 价格可谈,东莺新村 -潘火,2室2厅 | 63.38平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,160,"25,245元/平"
地铁口，东方丽都，毛坯，楼层好，彩光好，有钥匙,东方丽都 -潘火,2室1厅 | 80.84平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,2人关注 / 2个月以前发布,210,"25,978元/平"
视野开阔，小区绿化好，环境优美，出行方便，生活便利,后河小区 -西门,2室1厅 | 54.58平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,179,"32,796元/平"
南部商务区  近罗蒙环球  水街  精装，靓丽,恒银铂悦 -南部商务区,1室1厅 | 39.34平米 | 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,49,"12,456元/平"
此房户型方正，两房朝南，低楼层，出行方便,古城新境 -慈城,2室2厅 | 93.5平米 | 南 | 其他 | 5层  | 板楼,0人关注 / 3个月以前发布,152,"16,257元/平"
钱东社区，房东诚售，看房方便，采光好,钱东社区 -高塘,2室1厅 | 52.81平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,140,"26,511元/平"
颐和名苑  小区环境舒适  适合居住  进出方便,颐和名苑 -洪塘,2室2厅 | 72.13平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,42人关注 / 9个月以前发布,132,"18,301元/平"
此房装修清爽，室内采光清晰，地铁4号线旁，地段成熟,天成家园北区 -江北万达,1室1厅 | 47.96平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 3个月以前发布,165,"34,404元/平"
房东自住装修，全天采光无遮挡。,合生杭州湾国际新城一期 -杭州湾新区,2室2厅 | 103.54平米 | 东 南 西 北 | 简装 | 18层  | 板楼,15人关注 / 一年前发布,84,"8,113元/平"
庄和家园 中间楼层 精装修 户型方正,庄和家园 -高新区,2室2厅 | 79.59平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,2人关注 / 8个月以前发布,215,"27,014元/平"
涨馨苑 两房朝南 毛坯 全亮间诚售,涨馨苑 -高新区,2室1厅 | 69.38平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,174,"25,080元/平"
此房视野开阔，中上楼层，看房方便。,新华园东区 -大碶,1室1厅 | 54.23平米 | 东 | 简装 | 中楼层(共10层)  | 板楼,1人关注 / 7个月以前发布,125,"23,050元/平"
山清轩两室两厅，楼层好，采光好。,浃江小区山清轩 -小港,2室2厅 | 80.14平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,1人关注 / 1个月以前发布,150,"18,718元/平"
通透户型 小区环境舒适 进出方便,宁静家园 -洪塘,2室1厅 | 50.26平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,39人关注 / 一年前发布,140,"27,856元/平"
南部商务区  近罗蒙环球  水街  精装，靓丽,恒银铂悦 -南部商务区,1室1厅 | 39.34平米 | 北 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 2个月以前发布,49,"12,456元/平"
颐和名苑  小区环境舒适  适合居住  进出方便,颐和名苑 -洪塘,2室2厅 | 72.13平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,42人关注 / 9个月以前发布,132,"18,301元/平"
《梅园社区》月湖一类地段，不占X，总价低！推荐,梅园社区 -月湖公园,1室1厅 | 39.51平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,120,"30,373元/平"
郎官社区诚意出售，小平方，低总价 得房率高,郎官社区 -南门,2室1厅 | 60.43平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,158,"26,146元/平"
视野开阔，小区绿化好，环境优美，出行方便，生活便利,后河小区 -西门,2室1厅 | 54.58平米 | 南 | 其他 | 低楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,179,"32,796元/平"
地铁口，东方丽都，毛坯，楼层好，彩光好，有钥匙,东方丽都 -潘火,2室1厅 | 80.84平米 | 南 | 毛坯 | 高楼层(共17层)  | 板塔结合,2人关注 / 2个月以前发布,210,"25,978元/平"
此房装修清爽，室内采光清晰，地铁4号线旁，地段成熟,天成家园北区 -江北万达,1室1厅 | 47.96平米 | 南 | 简装 | 低楼层(共9层)  | 板楼,0人关注 / 3个月以前发布,165,"34,404元/平"
小区环境优美入住率高，位置好得房率高，精装修保养好,迪赛缘园 -集士港,2室2厅 | 83.66平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,6人关注 / 7个月以前发布,159,"19,006元/平"
云水湾 交通出行方便，户型方正 采光好,云水湾 -姚江新区,1室1厅 | 65.5平米 | 南 | 毛坯 | 33层  | 板楼,10人关注 / 一年前发布,203,"30,993元/平"
本房位置好 采光好小区环境优雅 交通便捷,君睿名苑 -下应,1室1厅 | 58.53平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,149.8,"25,594元/平"
地铁4号线 70年带燃气复式公寓，东恩 民水民电,生活大师 -南门,2室2厅 | 31.59平米 | 北 | 精装 | 中楼层(共8层)  | 板塔结合,8人关注 / 7个月以前发布,86,"27,224元/平"
老江东 日月星城 中间套  楼层好  位置佳,日月星城社区 -白鹤,2室1厅 | 118.26平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,349,"29,512元/平"
格兰晴天三开间朝南，中间楼层，满五唯一，业主急售,格兰晴天 -潘火,3室2厅 | 82.71平米 | 南 北 | 简装 | 高楼层(共14层)  | 板楼,0人关注 / 2个月以前发布,245,"29,622元/平"
东柳坊二楼 环境整洁 套型佳  单价低  二房朝南,东柳坊 -东柳,2室1厅 | 54.67平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,147,"26,889元/平"
君悦国际一期 业主急售 84.85平 精装 拎包入住,君悦国际花园 -余姚周边,2室2厅 | 84.85平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,2人关注 / 4个月以前发布,155,"18,268元/平"
此房格局好，楼层好，视野宽阔，采光充足，全亮间。,慈湖人家三期 -慈城,2室1厅 | 68.6平米 | 南 | 毛坯 | 11层  | 板塔结合,1人关注 / 7个月以前发布,115,"16,764元/平"
镇海招宝山，小面积，交通便捷，生活圈成熟,白龙小区 -招宝山,2室1厅 | 48.5平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,99.5,"20,516元/平"
高新区民和家园77平两房毛坯诚心出售,民和家园 -高新区,2室1厅 | 77.6平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,188,"24,227元/平"
邻里花园，小面积低总价，配套设施齐全，地铁4号线旁,邻里花园 -文教,1室1厅 | 40.58平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,10人关注 / 7个月以前发布,78,"19,222元/平"
日月星城70年产权，房东诚心出售，楼层号，地段佳,日月星城社区 -白鹤,2室1厅 | 39.06平米 | 西 | 精装 | 中楼层(共7层)  | 板塔结合,6人关注 / 6个月以前发布,155,"39,683元/平"
阳光充足，楼层好，位置好，配套设施齐全,东柳坊 -东柳,2室1厅 | 50.44平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,140,"27,756元/平"
近中河印象城 宝龙 万象汇 地理位置优越 房东诚心急卖,金桥水岸花园 -中河,2室1厅 | 70.64平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,195,"27,605元/平"
总价低  次新小区  商品房 小区环境好,星海熙园 -高桥,3室2厅 | 78.77平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,156,"19,805元/平"
小区中庭位置  景观房  无遮挡,盛世天城二期 -中河,2室1厅 | 89.54平米 | 南 | 简装 | 28层  | 板楼,37人关注 / 一年前发布,278,"31,048元/平"
洋墅茗苑大三房，通风好，交通方便,洋墅名苑 -庄桥,2室1厅 | 86.17平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,170,"19,729元/平"
正两房，采光好，户型方正，白胚，居住舒适。,应嘉丽园 -庄桥,2室1厅 | 70.83平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,4人关注 / 7个月以前发布,135,"19,060元/平"
美的六期高层，诚心出售的，看房方便,美的蝴蝶海 -梅山岛,3室2厅 | 91.2平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,85,"9,321元/平"
户型方正，楼层佳，房东自住装修 可拎包入住,丽晶国际 -文教,1室1厅 | 52.97平米 | 北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,128,"24,165元/平"
涨馨苑次新小区，全新毛坯，交通便利,涨馨苑 -高新区,2室1厅 | 68.83平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,195,"28,331元/平"
户型方正，楼层佳，房东自住装修 可拎包入住,丽晶国际 -文教,1室1厅 | 52.97平米 | 北 | 精装 | 中楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,128,"24,165元/平"
近中河印象城 宝龙 万象汇 地理位置优越 房东诚心急卖,金桥水岸花园 -中河,2室1厅 | 70.64平米 | 南 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 2个月以前发布,195,"27,605元/平"
日月星城70年产权，房东诚心出售，楼层号，地段佳,日月星城社区 -白鹤,2室1厅 | 39.06平米 | 西 | 精装 | 中楼层(共7层)  | 板塔结合,6人关注 / 6个月以前发布,155,"39,683元/平"
阳光充足，楼层好，位置好，配套设施齐全,东柳坊 -东柳,2室1厅 | 50.44平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,140,"27,756元/平"
小区中庭位置  景观房  无遮挡,盛世天城二期 -中河,2室1厅 | 89.54平米 | 南 | 简装 | 28层  | 板楼,37人关注 / 一年前发布,278,"31,048元/平"
总价低  次新小区  商品房 小区环境好,星海熙园 -高桥,3室2厅 | 78.77平米 | 南 北 | 其他 | 低楼层(共18层)  | 板楼,2人关注 / 4个月以前发布,156,"19,805元/平"
小区环境优美入住率高，位置好得房率高，精装修保养好,迪赛缘园 -集士港,2室2厅 | 83.66平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,6人关注 / 7个月以前发布,159,"19,006元/平"
正两房，采光好，户型方正，白胚，居住舒适。,应嘉丽园 -庄桥,2室1厅 | 70.83平米 | 南 | 毛坯 | 高楼层(共11层)  | 板楼,4人关注 / 7个月以前发布,135,"19,060元/平"
美的六期高层，诚心出售的，看房方便,美的蝴蝶海 -梅山岛,3室2厅 | 91.2平米 | 南 | 毛坯 | 中楼层(共26层)  | 暂无数据,0人关注 / 3个月以前发布,85,"9,321元/平"
洋墅茗苑大三房，通风好，交通方便,洋墅名苑 -庄桥,2室1厅 | 86.17平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 2个月以前发布,170,"19,729元/平"
本房位置好 采光好小区环境优雅 交通便捷,君睿名苑 -下应,1室1厅 | 58.53平米 | 南 | 简装 | 中楼层(共17层)  | 塔楼,0人关注 / 2个月以前发布,149.8,"25,594元/平"
高新区民和家园77平两房毛坯诚心出售,民和家园 -高新区,2室1厅 | 77.6平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,188,"24,227元/平"
格兰晴天三开间朝南，中间楼层，满五唯一，业主急售,格兰晴天 -潘火,3室2厅 | 82.71平米 | 南 北 | 简装 | 高楼层(共14层)  | 板楼,0人关注 / 2个月以前发布,245,"29,622元/平"
此房格局好，楼层好，视野宽阔，采光充足，全亮间。,慈湖人家三期 -慈城,2室1厅 | 68.6平米 | 南 | 毛坯 | 11层  | 板塔结合,1人关注 / 7个月以前发布,115,"16,764元/平"
地铁4号线 70年带燃气复式公寓，东恩 民水民电,生活大师 -南门,2室2厅 | 31.59平米 | 北 | 精装 | 中楼层(共8层)  | 板塔结合,8人关注 / 7个月以前发布,86,"27,224元/平"
老江东 日月星城 中间套  楼层好  位置佳,日月星城社区 -白鹤,2室1厅 | 118.26平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,349,"29,512元/平"
云水湾 交通出行方便，户型方正 采光好,云水湾 -姚江新区,1室1厅 | 65.5平米 | 南 | 毛坯 | 33层  | 板楼,10人关注 / 一年前发布,203,"30,993元/平"
东柳坊二楼 环境整洁 套型佳  单价低  二房朝南,东柳坊 -东柳,2室1厅 | 54.67平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,147,"26,889元/平"
君悦国际一期 业主急售 84.85平 精装 拎包入住,君悦国际花园 -余姚周边,2室2厅 | 84.85平米 | 南 | 其他 | 低楼层(共25层)  | 板楼,2人关注 / 4个月以前发布,155,"18,268元/平"
镇海招宝山，小面积，交通便捷，生活圈成熟,白龙小区 -招宝山,2室1厅 | 48.5平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 2个月以前发布,99.5,"20,516元/平"
房屋简装，经典户型三开间朝南，得房率高约95%，价优,郎官社区 -南门,2室1厅 | 49.59平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,14人关注 / 一年前发布,119,"23,997元/平"
涨馨苑次新小区，全新毛坯，交通便利,涨馨苑 -高新区,2室1厅 | 68.83平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,195,"28,331元/平"
联南花园  精装保养好  位置不错 户型方正 诚心出售,联南花园 -白云,2室1厅 | 60.28平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,148,"24,553元/平"
中海国际不靠马路精装修房东诚心出售,中海国际社区三期 -下应,2室2厅 | 88.71平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,20人关注 / 一年前发布,269,"30,324元/平"
天一 城隍庙 急售好房 天封南区  楼层好 户型佳,天封社区南区 -月湖公园,2室1厅 | 58.97平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,30人关注 / 一年前发布,150,"25,437元/平"
汪弄小区 南北通， 小区配套齐全， 交通便利 出行方便,汪弄社区 -西门,2室1厅 | 46.89平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 2个月以前发布,143,"30,497元/平"
大发中山隽府四室两厅 全新白坯   位置佳  楼层好,大发海隽府 -高桥,4室2厅 | 129.43平米 | 东南 | 其他 | 高楼层(共18层)  | 暂无数据,7人关注 / 11个月以前发布,345,"26,656元/平"
户型方正，楼层佳，房东自住装修 可拎包入住,双东坊社区 -文教,1室1厅 | 30.59平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,89.9,"29,389元/平"
新小区电梯房，环境优美，交通便利。,碧海蓝湾 -大榭,2室2厅 | 88.57平米 | 南 北 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 3个月以前发布,93,"10,501元/平"
急售蒲家兰庭2室2厅南北通边套,蒲家兰庭 -高桥,2室2厅 | 84.1平米 | 南 | 毛坯 | 中楼层(共11层)  | 板塔结合,1人关注 / 1个月以前发布,170,"20,215元/平"
潘火板块刚需小区绿化好 小区安静 近宁波东 地铁口,紫郡 -潘火,2室1厅 | 80.67平米 | 东南 | 简装 | 高楼层(共24层)  | 塔楼,0人关注 / 3个月以前发布,210,"26,032元/平"
满两年，精装修，拎包入住，电梯房,九龙家苑一期 -九龙湖,2室1厅 | 81.55平米 | 南 | 其他 | 中楼层(共10层)  | 板塔结合,1人关注 / 9个月以前发布,120,"14,715元/平"
精装小户型，采光好，位置佳 小区环境优美,奥林80 -洪塘,2室2厅 | 57.32平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 3个月以前发布,128,"22,331元/平"
户型方正 三房 视野开阔 产光充足 房东诚心卖,彩虹新村 -长丰,3室2厅 | 79.77平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 一年前发布,271.8,"34,073元/平"
东首小花园，婚装带家具家电，大客厅三面通风全亮间。,姜沈庭苑 -石碶,2室2厅 | 65.52平米 | 南 | 精装 | 低楼层(共14层)  | 板楼,33人关注 / 一年前发布,155,"23,657元/平"
楼层好，户型好。全亮间，自住..................,郎官社区 -南门,1室1厅 | 38.4平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 7个月以前发布,109,"28,386元/平"
城市花园 业主诚心出售 看房方便,宁兴城市花园 -中河,2室2厅 | 67.54平米 | 东南 | 精装 | 30层  | 板楼,8人关注 / 4个月以前发布,269,"39,829元/平"
世纪花园复式，挑高5.4米，两室一厅，精装出售,世纪花园B区 -潘火,2室1厅 | 44.29平米 | 西 | 精装 | 高楼层(共19层)  | 板塔结合,3人关注 / 4个月以前发布,145,"32,739元/平"
东柳坊 低层 2房朝南 精装修 拎包入住 位置好,东柳坊 -东柳,2室1厅 | 66.13平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,185,"27,976元/平"
地铁1号线 楼层好位置佳 房东诚售,太古城 -东柳,2室1厅 | 55.67平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 5个月以前发布,163,"29,280元/平"
宜家花园精装修 保养好 业主诚心急售 看房方便的,宜家花园一期 -潘火,3室1厅 | 86.77平米 | 南 北 | 其他 | 中楼层(共32层)  | 板楼,1人关注 / 4个月以前发布,258,"29,734元/平"
西首边套，高楼层，精装修拎包入住，全亮间，采光充足,惊驾名庭A区 -明楼,2室1厅 | 88.36平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,5人关注 / 一年前发布,272,"30,784元/平"
常青藤小城视野宽阔，采光足，交通便利，3号线明楼站,常青藤小城 -明楼,1室1厅 | 68.57平米 | 东 | 精装 | 中楼层(共23层)  | 板塔结合,11人关注 / 3个月以前发布,151,"22,022元/平"
宁波老外滩 三江口 位置好 70年产权电梯房 江景房,同方杰座 -中马,2室1厅 | 55.55平米 | 东北 | 简装 | 中楼层(共30层)  | 暂无数据,1人关注 / 3个月以前发布,155,"27,903元/平"
太古城小面积一居室，房东诚心出售,太古城 -东柳,1室1厅 | 38.61平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,16人关注 / 11个月以前发布,115,"29,786元/平"
此房有一个三四十平方小院子.配套设施齐全，交通便利.,碧桂园碧玥府 -集士港,3室2厅 | 114.61平米 | 南 | 毛坯 | 11层  | 板塔结合,7人关注 / 一年前发布,240,"20,941元/平"
急售好房 精装修 拎包入住 看房方便,应嘉丽园 -庄桥,2室1厅 | 70.28平米 | 南 | 精装 | 低楼层(共11层)  | 板楼,18人关注 / 5个月以前发布,142,"20,205元/平"
石碶 轻纺城江南绿洲70年产权 小户型 成交快,江南绿洲 -石碶,2室1厅 | 50.41平米 | 东南 | 精装 | 5层  | 板楼,14人关注 / 11个月以前发布,100,"19,838元/平"
精装 双阳台  拎包入住 3楼 房东诚心出售,镇安社区贺丞新村 -白鹤,2室2厅 | 59.24平米 | 南 | 精装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,199,"33,593元/平"
新小区 三面环山 环境优美适合自住,龙湖双珑原著府 -慈城,3室2厅 | 92.01平米 | 南 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,159,"17,281元/平"
奥体未来城 环境舒适 适合居住 进出方便,奥体未来城 -洪塘,3室2厅 | 78.09平米 | 南 | 毛坯 | 26层  | 板楼,7人关注 / 4个月以前发布,185,"23,691元/平"
洪塘中路2-2-1-1 60.12m² 115 万,洪塘中路 -洪塘,2室2厅 | 60.12平米 | 南 北 | 简装 | 高楼层(共4层)  | 暂无数据,30人关注 / 8个月以前发布,110,"18,297元/平"
颐和名苑  环境舒适 适合居住 进出方便,颐和名苑 -洪塘,2室2厅 | 90.87平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,185,"20,359元/平"
精装修  可以拎包入住  配套设施齐全,天裕家园 -钟公庙,2室2厅 | 85.45平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,10人关注 / 一年前发布,209,"24,459元/平"
殷家花园刚需户型，南北通，中间楼层，小区人车分流,殷家花园 -潘火,2室1厅 | 80.9平米 | 南 | 精装 | 中楼层(共24层)  | 板塔结合,1人关注 / 3个月以前发布,212,"26,206元/平"
两房南 全亮间 一梯两户 南北通风,朱雀新村 -百丈,2室1厅 | 55.4平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,16人关注 / 一年前发布,140,"25,271元/平"
此房楼幢位置好前面中庭 装修保养好,绿城深蓝公寓 -高新区,1室1厅 | 36.24平米 | 北 | 精装 | 低楼层(共21层)  | 板楼,0人关注 / 3个月以前发布,52,"14,349元/平"
新小区电梯房，交通便利，环境优美。,芦湾家园 -柴桥,2室1厅 | 85.67平米 | 南 | 简装 | 高楼层(共16层)  | 板塔结合,0人关注 / 2个月以前发布,139.5,"16,284元/平"
江北热闹地段地配套设施齐全，低总价，精装修单身公寓,江北万达公寓 -江北万达,1室1厅 | 41.05平米 | 北 | 其他 | 21层  | 板楼,2人关注 / 一年前发布,39,"9,501元/平"
东边套，全亮间，中间楼层，家电齐全拎包入住,翠柏二里 -西门,2室1厅 | 47.07平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 9个月以前发布,140,"29,743元/平"
城市花园 业主诚心出售 看房方便,宁兴城市花园 -中河,2室2厅 | 67.54平米 | 东南 | 精装 | 30层  | 板楼,8人关注 / 4个月以前发布,269,"39,829元/平"
标准三房三开间朝南南北通采光不影响 安静适合居住,大发海隽府 -高桥,3室2厅 | 112.51平米 | 南 | 毛坯 | 低楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,280,"24,887元/平"
