标题,开发商,房子信息,发布信息,售价/万,单价
中南家园A区三房，拎包入，房东诚心出售，看房方便,中南家园 -湖滨商业街,3室1厅 | 74.48平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 4天以前发布,103,"13,830元/平"
联排别墅 小区环境好 带院子 业主诚心出售,万业观山泓郡 -安镇,5室3厅 | 214.62平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,7人关注 / 4个月以前发布,570.7,"26,592元/平"
满2年 业主诚意卖 看房有钥匙 看中面谈,建发玖里湾1期3期 -安镇,4室2厅 | 204.68平米 | 南 北 | 毛坯 | 低楼层(共2层)  | 暂无数据,1人关注 / 2个月以前发布,490,"23,940元/平"
建发湖景下叠 好位置 （带双车位） 价格好谈 随时看房,建发玖里湾1期3期 -安镇,4室2厅 | 204.9平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 暂无数据,4人关注 / 4个月以前发布,550,"26,843元/平"
玉兰公馆好房出售看房有密码随时看房,融创玉兰公馆 -澄江街道,4室2厅 | 203.82平米 | 南 | 毛坯 | 低楼层(共8层)  | 暂无数据,1人关注 / 一年前发布,470,"23,060元/平"
安镇世纪景园边套别墅426平525万,华夏世纪锦园南区 -安镇,5室3厅 | 425.9平米 | 南 北 | 毛坯 | 3层  | 板楼 | 联排别墅 ,0人关注 / 3个月以前发布,525,"12,327元/平"
好房诚售 春江花园一期精装顶带阁 实用面积大 配套齐,春江花园A区（锡山） -东亭,6室1厅 | 211.76平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,220,"10,390元/平"
装修700多万  全屋大理石 东边套  拎包入住,华夏世纪锦园南区 -安镇,6室4厅 | 561.06平米 | 南 | 精装 | 3层  | 板楼 | 联排别墅 ,41人关注 / 7个月以前发布,1292,"23,028元/平"
急售景瑞别墅 天一旁.联排边套别墅.花园大.满五唯一,瑞景望府 -安镇,4室2厅 | 233.94平米 | 南 | 毛坯 | 3层  | 板塔结合 | 联排别墅 ,0人关注 / 4个月以前发布,698,"29,837元/平"
春风湖上，毛坯大别墅，环境优美诚意出售,ΜΟΜΛ春风湖上 -鹅湖,5室2厅 | 372.58平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 1个月以前发布,390,"10,468元/平"
无锡碧桂园A区 4室2厅 南,无锡碧桂园A区 -安镇,4室2厅 | 349.19平米 | 南 | 毛坯 | 3层  | 板楼 | 双拼别墅 ,4人关注 / 6个月以前发布,850,"24,343元/平"
房子是总高5层洋房，上下两层，拎包入住，保养好。,新洲花园 -生态园,4室2厅 | 147.72平米 | 南 | 精装 | 高楼层(共5层)  | 塔楼,0人关注 / 11天以前发布,193,"13,066元/平"
新出 金桂尚苑五开间朝南电梯洋房 诚心出售 随时可看,金桂尚苑 -中桥,4室2厅 | 267.27平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 暂无数据,6人关注 / 7个月以前发布,635,"23,759元/平"
建发玖里湾下叠带院子带地下室纯毛坯现房户型好采光好,建发玖里湾1期3期 -安镇,4室2厅 | 221.62平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 暂无数据,3人关注 / 7个月以前发布,530,"23,915元/平"
房子位置好，沿河大边套大花园，采光无遮挡。,万业观山泓郡 -安镇,5室3厅 | 353.27平米 | 南 | 毛坯 | 低楼层(共3层)  | 暂无数据,1人关注 / 1个月以前发布,810,"22,929元/平"
联排别墅 位置好上下四层 实用面积大 业主诚售,蠡湖壹号丽苑 -蠡湖新城,5室3厅 | 286.19平米 | 南 | 毛坯 | 3层  | 板塔结合 | 独栋别墅 ,18人关注 / 7个月以前发布,1080,"37,738元/平"
花溪美墅！复式洋房！自住精装！南北双院！满五唯一！,融创熙园三期 -长广溪/大学城,4室2厅 | 275.96平米 | 南 北 | 精装 | 下叠(共5层)  | 板楼 | 叠拼别墅 ,0人关注 / 7个月以前发布,845,"30,621元/平"
看湖景观3+1户型 性 价 比醉高一套 随时看 有钥匙,山水湖滨花园二期 -湖滨商业街,3室2厅 | 116.55平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,4人关注 / 3个月以前发布,268,"22,995元/平"
采光充足 交通便利 配套设施齐全 看房方便,怡江城小区 -澄江街道,3室2厅 | 240平米 | 南 | 毛坯 | 高楼层(共5层)  | 暂无数据,12人关注 / 一年前发布,165,"6,875元/平"
长泰国际大平层 地铁口300米 中层 南北通透 诚心出售,长泰国际社区 -东亭,3室2厅 | 169.04平米 | 南 北 | 毛坯 | 中楼层(共25层)  | 塔楼,0人关注 / 1个月以前发布,270,"15,973元/平"
中上楼层采光充足小三房总价低；次新房小高层密度低。,溪湾雅苑三区 -融创文化旅游城,3室2厅 | 92.07平米 | 南 | 简装 | 中楼层(共17层)  | 板楼,0人关注 / 31天以前发布,170,"18,465元/平"
蔚蓝都市花园 3室2厅 南,蔚蓝都市花园 -东亭,3室2厅 | 123.3平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 1个月以前发布,193,"15,653元/平"
碧桂园下叠毛坯大四房 钥匙房随时看 带两个车位,碧桂园梅公馆 -梅村,4室2厅 | 190.96平米 | 南 | 毛坯 | 低楼层(共6层)  | 板楼,0人关注 / 26天以前发布,410,"21,471元/平"
前洲御景名士苑纯毛坯两房 满2年 采光没问题 看房有钥,御景名仕苑 -前洲,2室2厅 | 87.78平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 28天以前发布,110,"12,532元/平"
洛龙花苑洋房顶复 纯毛坯 带两个阳光房 产权清晰,洛龙花苑小区 -洛社,5室2厅 | 163.69平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 22天以前发布,295,"18,022元/平"
恒大绿洲一期 3室2厅 南 北,恒大绿洲一期 -东亭,3室2厅 | 123.99平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,1人关注 / 25天以前发布,215,"17,341元/平"
阳光100北区 商品房小区 带装修 价格实惠 三房,阳光100国际新城北区 -西漳,3室2厅 | 108.09平米 | 西 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 19天以前发布,135,"12,490元/平"
熙园五期小高层 双阳台 清水毛坯 装修自由 满五少税,融创熙园五期 -长广溪/大学城,2室2厅 | 88.87平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 23天以前发布,238,"26,781元/平"
瑷颐湾总高6层洋房  4房3卫  3楼带露台 高品质小区,融创·瑷颐湾C区 -海岸城/市民中心,3室2厅 | 136.01平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,2人关注 / 20天以前发布,528,"38,821元/平"
三开间朝南 优质户型 小区中间位置安静 中间楼层,清扬御庭 -清名桥,2室1厅 | 87.23平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 板楼,1人关注 / 19天以前发布,185,"21,209元/平"
此房精装 视野开阔  采光好  诚心出售,明发·国际新城（东区） -西漳,2室2厅 | 88.4平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 21天以前发布,163,"18,439元/平"
地铁口 毛坯三房 户型正气 钥匙看房,蓝光五彩城 -东亭,3室2厅 | 89.7平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,0人关注 / 24天以前发布,161,"17,949元/平"
精装大两房，楼层好 采光好 视野好 随时看房,阳光100国际新城北区 -西漳,2室1厅 | 89.88平米 | 东 | 精装 | 高楼层(共33层)  | 板楼,1人关注 / 21天以前发布,120,"13,352元/平"
蔚蓝观邸 小区中间位置 户型正气 采光好 生活便利,元一蔚蓝观邸 -北大街,3室2厅 | 128.01平米 | 南 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 27天以前发布,265,"20,702元/平"
三开间朝南 双阳台 户型 精装修 业主诚心售有钥匙,龙湖悠山郡 -阳山,3室2厅 | 90.66平米 | 南 | 精装 | 低楼层(共11层)  | 暂无数据,0人关注 / 18天以前发布,145,"15,994元/平"
随时可看 配套设施齐全 交通便利 诚心出售,万科天一新著 -西漳,3室2厅 | 93.46平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 19天以前发布,190,"20,330元/平"
圣芭芭拉 3室2厅 南,圣芭芭拉 -马山,3室2厅 | 127平米 | 南 | 简装 | 高楼层(共11层)  | 暂无数据,0人关注 / 24天以前发布,179,"14,095元/平"
房子是次新房，纯毛坯，楼层好，多多推荐,锦旺小区三期 -东北塘,2室1厅 | 75.43平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 28天以前发布,85,"11,269元/平"
双阳台，得房率高，诚心出售，看房方便。,孙蒋新村 -河埒口,2室2厅 | 75.68平米 | 南 | 毛坯 | 中楼层(共7层)  | 板楼,0人关注 / 20天以前发布,93,"12,289元/平"
九龙仓御玺毛坯洋房顶复，随时看房，业主诚心出售,九龙仓御玺 -塘南,5室2厅 | 169.54平米 | 南 | 毛坯 | 高楼层(共7层)  | 板楼,1人关注 / 27天以前发布,660,"38,929元/平"
小区是11层小高层，人车分流，楼龄新，环境好,保利香槟国际 -长广溪/大学城,3室2厅 | 94平米 | 南 北 | 毛坯 | 高楼层(共11层)  | 板楼,2人关注 / 20天以前发布,240,"25,532元/平"
华夏泉绅 精装两房 楼层佳 诚心出售,华夏泉绅永利花苑 -刘潭,2室2厅 | 96.94平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 19天以前发布,135,"13,927元/平"
新上！华夏青城大三房！边套！落地窗采光！敞亮！,华夏青城怡景苑 -锡北,3室2厅 | 118.91平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 19天以前发布,145,"12,195元/平"
双阳台户型 房东诚心出售 看房方便,盛世家园一期 -民丰/庄前,2室2厅 | 89.99平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,0人关注 / 17天以前发布,170,"18,891元/平"
采光无遮挡，不靠路边，安静 业主诚心出售,恒大绿洲四期 -东亭,3室2厅 | 127平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 20天以前发布,215,"16,930元/平"
华夏泉绅小三房 户型方正 楼层好 采光好,华夏泉绅永利花苑 -刘潭,3室2厅 | 88.77平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,0人关注 / 16天以前发布,148,"16,673元/平"
公益新村大两房，两房朝南，南北通透，看房有钥匙,公益新村 -荣巷,2室1厅 | 66.31平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 29天以前发布,83,"12,517元/平"
新上波普洋房  满五唯一 沿河安静 贝壳诚心售,阳光100国际新城南区 -刘潭,3室2厅 | 100.84平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,0人关注 / 30天以前发布,135,"13,388元/平"
此房为两房 的户型，楼层好，采光好，房东诚心,阳光100阿尔勒 -西漳,2室2厅 | 73.49平米 | 南 | 简装 | 中楼层(共34层)  | 板楼,0人关注 / 30天以前发布,107,"14,560元/平"
梁溪区小天鹅北苑 龙山梢 中高楼层 拎包入住,小天鹅北苑 -山北,2室2厅 | 82.9平米 | 南 | 简装 | 高楼层(共34层)  | 板楼,0人关注 / 16天以前发布,146,"17,612元/平"
蟠龙湾花园 精装三居室 家具家电齐全 可拎包入住,蟠龙湾 -高新区,3室2厅 | 108.64平米 | 南 北 | 精装 | 高楼层(共13层)  | 塔楼,0人关注 / 17天以前发布,135,"12,427元/平"
通风好，好楼层，阳光满满 产权清晰,富城湾 -黄巷,3室2厅 | 112.81平米 | 南 北 | 简装 | 高楼层(共33层)  | 板楼,1人关注 / 29天以前发布,159,"14,095元/平"
无土出，满五唯一，税费少价格可谈。,龙塘家园 -黄巷,2室1厅 | 68.98平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 26天以前发布,89,"12,903元/平"
首创隽府大两房，业主小孩天一高中就读完6年诚心出售,首创隽府 -东亭,2室1厅 | 96.6平米 | 南 | 精装 | 中楼层(共32层)  | 板楼,2人关注 / 20天以前发布,158,"16,357元/平"
溪湾雅苑三区 3室2厅 南,溪湾雅苑三区 -融创文化旅游城,3室2厅 | 132.4平米 | 南 | 毛坯 | 低楼层(共15层)  | 板楼,1人关注 / 17天以前发布,198,"14,955元/平"
荟聚旁地铁口长泰104平精装拎包入住三房 ，自住保养好,长泰国际社区 -东亭,3室2厅 | 104.9平米 | 南 | 精装 | 低楼层(共34层)  | 板楼,0人关注 / 22天以前发布,186,"17,732元/平"
楼栋位置，楼层采光佳 单价便宜，价格可谈,古运五爱苑A区 -扬名,2室1厅 | 86.8平米 | 西南 | 简装 | 高楼层(共25层)  | 板楼,0人关注 / 18天以前发布,130,"14,977元/平"
边套  自然通风  诚心出售   看房方便,中海凤凰璟园二期 -华庄,3室2厅 | 98.72平米 | 北 南 | 毛坯 | 低楼层(共34层)  | 板楼,0人关注 / 16天以前发布,229,"23,197元/平"
全新毛坯，户型方正，配套齐全，生活方便,融创·瑷颐湾B区 -海岸城/市民中心,3室2厅 | 121.48平米 | 南 | 毛坯 | 低楼层(共34层)  | 板楼,1人关注 / 15天以前发布,330,"27,165元/平"
恒大绿洲四期 3室2厅 南,恒大绿洲四期 -东亭,3室2厅 | 117.96平米 | 南 | 精装 | 低楼层(共32层)  | 板楼,0人关注 / 16天以前发布,225,"19,075元/平"
小区地段好 出行放便 楼层好采光好 房东诚心出售,蔚蓝观邸四期 -民丰/庄前,3室2厅 | 95.45平米 | 南 北 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 13天以前发布,195,"20,430元/平"
香熙园精装两室包土出看房有钥匙,香熙苑 -梅村,2室1厅 | 63.16平米 | 南 | 精装 | 低楼层(共15层)  | 板楼,0人关注 / 15天以前发布,115,"18,208元/平"
商品房，没有增值税，毛坯没住过,龙塘家园 -黄巷,2室2厅 | 82.85平米 | 南 | 毛坯 | 高楼层(共30层)  | 板楼,0人关注 / 10个月以前发布,109,"13,157元/平"
芦庄六区新上房源，业主诚心出售，看房有钥匙,芦庄六区 -扬名,2室1厅 | 64.45平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 16天以前发布,70,"10,862元/平"
中海凤凰璟园二期 三开间朝南 视野好 采光足 看房方便,中海凤凰璟园二期 -华庄,3室2厅 | 94.18平米 | 南 北 | 简装 | 中楼层(共34层)  | 板楼,1人关注 / 14天以前发布,240,"25,484元/平"
大品牌，物业好，精装修省时省力大楼间距采光好绿化高,江阴碧桂园白鹭湾 -高新区,3室2厅 | 134.14平米 | 南 | 精装 | 低楼层(共28层)  | 塔楼,0人关注 / 15天以前发布,139.8,"10,422元/平"
小区帝 一排 采光好 低楼层 住着不害怕 湖景房,龙湖天宸原著 -堰桥,3室2厅 | 111.47平米 | 南 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 13天以前发布,252,"22,607元/平"
近惠山万达广场 学府旁 精装修拧包入住 出行方便,天力百好锦园 -堰桥,3室2厅 | 117.87平米 | 南 北 | 毛坯 | 中楼层(共22层)  | 暂无数据,0人关注 / 13天以前发布,195,"16,544元/平"
中城誉品 3室1厅 南,中城誉品 -河埒口,3室1厅 | 87.41平米 | 南 | 其他 | 中楼层(共33层)  | 塔楼,0人关注 / 10天以前发布,210,"24,025元/平"
中海珑玺 通透三房 三开间朝南 视野开阔,中海珑玺 -塘铁桥,3室2厅 | 110.03平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,2人关注 / 15天以前发布,250,"22,722元/平"
毛坯二房，楼层采光好，看房方便,金星家园 -中桥,2室2厅 | 85.98平米 | 南 | 毛坯 | 高楼层(共26层)  | 板楼,0人关注 / 13天以前发布,165,"19,191元/平"
梅荆花苑 中间楼层 宽敞二房 古镇旁 业主换房着急出手,梅荆花苑六期 -梅村,2室1厅 | 93.47平米 | 南 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 3天以前发布,98,"10,485元/平"
急售，急售，价格可谈，随时看房，,恒大绿洲四期 -东亭,3室2厅 | 119.91平米 | 南 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 11天以前发布,216,"18,014元/平"
新出房源，小区中间位置，边套大院子，全新毛坯，,映月华府 -安镇,4室2厅 | 183平米 | 南 | 毛坯 | 下叠(共4层)  | 暂无数据 | 叠拼别墅 ,0人关注 / 8天以前发布,550,"30,055元/平"
纯毛坯单价低 楼层好，配套成熟。不包土出,中南家园 -湖滨商业街,3室2厅 | 128.87平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,1人关注 / 11天以前发布,160,"12,416元/平"
经开区凤凰璟园三期次新房，边套户型，业主诚心出售,中海凤凰璟园三期 -华庄,3室2厅 | 107.03平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,2人关注 / 16天以前发布,295,"27,563元/平"
柴机新村 看房方便 无户口 诚心出售 视野好,柴机新村 -塘南,2室1厅 | 53.73平米 | 南 | 精装 | 高楼层(共4层)  | 板楼,0人关注 / 12天以前发布,99,"18,426元/平"
美的公园天下 89平小三房  位置好 视野开阔 诚心出售,美的公园天下一期 -安镇,3室2厅 | 89.38平米 | 南 | 其他 | 高楼层(共28层)  | 板楼,0人关注 / 13天以前发布,212,"23,719元/平"
统一装修，通透户型，楼层好，采光充足，房东诚心出,朗诗绿色家园二期 -新安,3室2厅 | 89.13平米 | 南 | 精装 | 中楼层(共24层)  | 板楼,1人关注 / 12天以前发布,205,"23,001元/平"
耘林生命公寓 3室2厅 南,耘林生命公寓 -新安,3室2厅 | 84.42平米 | 南 | 其他 | 低楼层(共11层)  | 板楼,0人关注 / 12天以前发布,185,"21,915元/平"
曹张新村 采光无遮挡 看房提前联系,曹张新村 -清名桥,1室1厅 | 44.14平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 2天以前发布,88,"19,937元/平"
富力桃园 纯毛坯 四房户型 中高楼层 诚心出售,富力桃园 -旺庄,4室2厅 | 118.37平米 | 东 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 5天以前发布,188,"15,883元/平"
精装修，拎包入住，首付低，有钥匙，看房方便,毛湾家园A区 -广益,2室1厅 | 87.69平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 7天以前发布,105,"11,974元/平"
无社保可买，近地铁，人车分流，精装带,蓝光五彩城 -东亭,3室2厅 | 89.9平米 | 南 | 精装 | 高楼层(共31层)  | 板塔结合,0人关注 / 12天以前发布,175,"19,467元/平"
梅里香舍 2室1厅 南,梅里香舍 -梅村,2室1厅 | 52.8平米 | 南 | 简装 | 低楼层(共16层)  | 板楼,0人关注 / 6天以前发布,80,"15,152元/平"
楼层好，采光好，视野开阔，积余街旁尚城公寓,尚城公寓 -北大街,1室1厅 | 51.75平米 | 南 | 简装 | 中楼层(共23层)  | 板楼,0人关注 / 6天以前发布,110,"21,257元/平"
新出，钱桥中位置，小两房，适合刚需，首付20多万,邵巷新村 -钱桥,2室1厅 | 58.68平米 | 南 | 简装 | 高楼层(共5层)  | 暂无数据,1人关注 / 11天以前发布,60,"10,225元/平"
此房格局通透 配套齐全 交通便利 纯毛坯 可以自己装修,世茂时光里 -北大街,3室2厅 | 117.75平米 | 南 | 毛坯 | 中楼层(共47层)  | 板楼,0人关注 / 14天以前发布,207,"17,580元/平"
春潮二区电梯两房74平，装修保养好，看房有钥匙！,春潮花园二区 -旺庄,2室1厅 | 74.32平米 | 南 | 精装 | 中楼层(共12层)  | 板楼,0人关注 / 13天以前发布,105,"14,129元/平"
通透格局，采光好， 小区环境好，交通便利，配套好,盛世家园一期 -民丰/庄前,3室2厅 | 121.32平米 | 南 | 精装 | 中楼层(共31层)  | 板楼,0人关注 / 9天以前发布,226,"18,629元/平"
精装修，拎包入住，首付低，有钥匙，看房方便,毛湾家园A区 -广益,2室1厅 | 87.69平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 7天以前发布,105,"11,974元/平"
富力桃园 纯毛坯 四房户型 中高楼层 诚心出售,富力桃园 -旺庄,4室2厅 | 118.37平米 | 东 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 5天以前发布,188,"15,883元/平"
小区环境优美，此房户型方正，地理位置好，,惠麓苑B区 -山北,2室1厅 | 74.12平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 13天以前发布,108,"14,571元/平"
东亭地铁口独栋别墅，房东诚心出售,锦绣花园(锡山区) -东亭,4室3厅 | 265.76平米 | 南 | 简装 | 2层  | 板楼 | 独栋别墅 ,0人关注 / 4天以前发布,460,"17,309元/平"
户型方正、中间楼层、包土出、采光无遮挡,仙河苑二期 -融创文化旅游城,2室1厅 | 68.16平米 | 南 | 毛坯 | 中楼层(共15层)  | 板楼,0人关注 / 6天以前发布,100,"14,672元/平"
玉兰公馆精装修三房楼间距80米以上 有钥匙,玉兰公馆三区 -堰桥,3室2厅 | 88.28平米 | 南 北 | 精装 | 低楼层(共32层)  | 暂无数据,0人关注 / 15天以前发布,183.5,"20,787元/平"
商品房婚房精装，多层五楼，看房有钥匙,新桥花园(梁溪区) -北大街,2室2厅 | 97.66平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 6天以前发布,134,"13,722元/平"
广益佳苑，户型正，带阁楼，加露台，采光好，无土出。,广益佳苑 -广益,4室2厅 | 158.81平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,162,"10,201元/平"
北大街 四房 位置 荷花里小区 户型好 采光好 随时看房,荷花里小区 -北大街,4室2厅 | 187.28平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,307,"16,393元/平"
地铁三号线旁 荷花里小区 霸气四房 看房方便 急售,荷花里小区 -北大街,4室2厅 | 187.28平米 | 南 | 毛坯 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,301,"16,073元/平"
地铁口 荷花里小区 霸气四房 毛坯 位置好 采光好.急售,荷花里小区 -北大街,4室2厅 | 187.28平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,273,"14,578元/平"
万科天一新著4房 洋房 中空调 中间位置 全新未入住,万科天一新著 -西漳,4室2厅 | 130.54平米 | 南 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 29天以前发布,340,"26,046元/平"
惠山高铁站  精装三房 中上楼层 拎包入住,实地玫瑰庄园Ⅲ期 -玉祁,3室2厅 | 115平米 | 南 北 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 29天以前发布,150,"13,044元/平"
纯毛坯 户型方正 中间楼层 采光好 带车位 看房方便,海伦堡·梁溪本源 -山北,3室2厅 | 107.99平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 塔楼,0人关注 / 1个月以前发布,228,"21,114元/平"
满五，商圈成熟，交通便利，配套齐全，楼层好，采光佳,鹏程大厦 -河埒口,4室2厅 | 172.76平米 | 南 北 | 精装 | 中楼层(共24层)  | 板楼,0人关注 / 31天以前发布,255,"14,761元/平"
长江路 地铁口 润泽雅居 精装修 维护保养好 满五唯一,润泽雅居 -旺庄,3室1厅 | 98.68平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 31天以前发布,183,"18,545元/平"
满五唯一无个税，清新精装温馨舒适，带阁楼大露台。,华夏星辰 -锡北,4室3厅 | 142.4平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,170,"11,939元/平"
急售满五唯一带车位精装两房拎包入住好楼层视野采光,鸿景华庭 -锡北,2室2厅 | 86.63平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,1人关注 / 27天以前发布,119,"13,737元/平"
融创枫丹御园洋房出售 品质小区 看房有钥匙,融创枫丹御园 -鸿山,3室2厅 | 107.2平米 | 东南 | 毛坯 | 中楼层(共6层)  | 暂无数据,0人关注 / 1个月以前发布,182,"16,978元/平"
好房推荐 精装修 业主置换诚心出售 看房方便 价格可谈,百乐和园 -钱桥,3室2厅 | 100.37平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 24天以前发布,185,"18,432元/平"
万科玖著！舒适度高！从未住过人，总价低！地铁口！,太平洋城中城 -西漳,3室2厅 | 92.92平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 28天以前发布,192,"20,663元/平"
一楼洋房房东自住保养很好.看中价格可谈.....,东方天郡 -东北塘,3室2厅 | 135.27平米 | 南 | 精装 | 低楼层(共5层)  | 板楼,2人关注 / 31天以前发布,338,"24,988元/平"
龙湖悠山郡 5室2厅 南 北,龙湖悠山郡 -阳山,5室2厅 | 235.11平米 | 南 北 | 毛坯 | 低楼层(共3层)  | 暂无数据,0人关注 / 31天以前发布,358,"15,227元/平"
前洲玫瑰庄园纯毛坯 三房 满2年 采光无遮挡 诚心售,实地玫瑰庄园 -玉祁,3室2厅 | 107.3平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 27天以前发布,115,"10,718元/平"
华夏新出大3房 位置安静洋房得房高  精装拎包入住,华夏泉绅永利花苑 -刘潭,3室2厅 | 119.6平米 | 南 | 精装 | 低楼层(共6层)  | 板楼,0人关注 / 28天以前发布,230,"19,231元/平"
东城一品 洋房中间楼层 精装修 三开间朝南 拎包入住,华夏东城一品 -安镇,3室2厅 | 115.68平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 29天以前发布,200,"17,290元/平"
房型方正。。采光好。。房东诚心出售,云林苑西区 -东亭,3室1厅 | 91.52平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 29天以前发布,100,"10,927元/平"
新联苑 4室2厅 南,新联苑 -扬名,4室2厅 | 125.95平米 | 南 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 20天以前发布,176,"13,974元/平"
前洲街上精装3房2卫房东诚心出售看中价格可谈随时看房,新城苑 -前洲,3室2厅 | 112.65平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,110.8,"9,836元/平"
洛龙湾南光城 精装三房 家电家具全留 随时看房,洛龙花苑小区 -洛社,3室2厅 | 103.46平米 | 南 | 精装 | 低楼层(共31层)  | 板楼,0人关注 / 27天以前发布,136,"13,146元/平"
洛社镇正气大平层采光好带大阳台,中兴东路 -洛社,3室2厅 | 153.62平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,128,"8,333元/平"
前洲街上精装3房2卫房东诚心出售看中价格可谈随时看房,新城苑 -前洲,3室2厅 | 112.65平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,110.8,"9,836元/平"
户型通透，好楼层，采光好，视野开阔,长欣公寓 -旺庄,2室2厅 | 99.35平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 28天以前发布,135,"13,589元/平"
明发·国际新城（西区） 4室2厅 南,明发·国际新城（西区） -西漳,4室2厅 | 139.76平米 | 南 | 精装 | 中楼层(共22层)  | 板楼,0人关注 / 31天以前发布,228,"16,314元/平"
满五唯一，南北对流，精装保养好，采光很好没有遮挡,二泉花园 -山北,3室2厅 | 150.19平米 | 南 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 23天以前发布,255,"16,979元/平"
生活方便，交通便利，环境优美，精装修，采光好,时代城（锡溪名邸） -钱桥,3室2厅 | 97.23平米 | 南 | 精装 | 中楼层(共29层)  | 板楼,0人关注 / 29天以前发布,160,"16,456元/平"
好房推荐 次顶楼 采光视野开阔 电梯小高层 次顶楼,盛岸花园三期 -山北,4室2厅 | 134.75平米 | 南 | 精装 | 高楼层(共15层)  | 板楼,0人关注 / 24天以前发布,168,"12,468元/平"
西漳地铁畔 天润园南区 精装四房 顶复使用空间大,天润园南区 -西漳,4室2厅 | 129.57平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 25天以前发布,185,"14,278元/平"
