标题,开发商,房子信息,发布信息,售价/万,单价
奥体谷德锦商圈 电梯三室，楼层采光好，交通便利,鸢都新城 -奥体中心,3室1厅 | 118.47平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 8天以前发布,73.8,"6,230元/平"
满五出税南北通透交通方便上学方便中高楼层视野好,世嘉铭园 -潍坊学院,3室2厅 | 137平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,126,"9,198元/平"
沁园春   多层顶楼带阁楼  采光好,恒信沁園春 -锦绣学校,3室1厅 | 89.8平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,6人关注 / 一年前发布,58.8,"6,548元/平"
东风边上，好楼层，正H户型，恰好刚出税，带着地下室,华安东方名郡 -高新管委,3室1厅 | 135.15平米 | 南 北 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 3个月以前发布,126,"9,323元/平"
经开实验近 电梯洋房 小区物业管理规范，自带幼儿园,美丽华小区 -锦绣学校,3室2厅 | 121.54平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,89,"7,323元/平"
小区环境优美，配套齐全，房子南北通透，交通便利,中海大观天下三期 -市府东南,4室2厅 | 141.8平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 板楼,0人关注 / 一年前发布,126,"8,886元/平"
胜利街新华路 国土局单位房 精装修三室 近日向新华,盛世华廷 -新华中学,3室1厅 | 103.35平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,10人关注 / 5个月以前发布,94.8,"9,173元/平"
潍坊学院电梯房，临谷德，南北通透，配套齐全,金马怡园 -金融广场,3室2厅 | 124.18平米 | 南 北 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,96,"7,731元/平"
万达泰华北 金鼎华府 三室 带地下室 满五 无抵押,金鼎华府 -则尔庄,3室2厅 | 115.7平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,83,"7,174元/平"
区政府近  多层5楼  精装修不山不顶 南北通透,海新·瑞景湾 -潍城区政府,3室2厅 | 158.64平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,82,"5,169元/平"
文化旁，精装修，房间大，风景好，出行方便，配套丰富,祥瑞水岸丽景 -经开周边,3室2厅 | 87.06平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,62,"7,122元/平"
东城新海风景好房子！好楼层，生活方便 出行方便,东城新海枫景 -锦绣学校,3室2厅 | 179.95平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 一年前发布,115,"6,391元/平"
北海路近，佳乐家近，顶层复式，阁楼利用高，带露台,东方天韵 -新华路北,3室2厅 | 110.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,27人关注 / 一年前发布,79.8,"7,190元/平"
新城明珠御园 ，南北通透大3室 ，毛坯可任意装修,新城明珠御园 -寿光市,3室1厅 | 120.41平米 | 南 北 | 毛坯 | 5层  | 塔楼,0人关注 / 1个月以前发布,88,"7,309元/平"
明德近鲁鸿37度客厅朝阳房型好首付低房主诚意出售,鲁鸿37度 -新华路北,2室2厅 | 86.39平米 | 南 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,62.3,"7,212元/平"
茂华 中间楼层客厅朝阳，采光好，无遮挡，满五唯一,茂华紫苑公馆 -上城佳乐家,2室2厅 | 92.39平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,1人关注 / 10个月以前发布,64.9,"7,025元/平"
满五唯一，看房方便，自怡园近，带独立车库地下室,怡馨家园 -自怡园,3室2厅 | 131.74平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 8个月以前发布,105,"7,971元/平"
妇幼保健院近大观三室中等楼层 带地下室和车位,中海大观天下三期 -市府东南,3室2厅 | 117.95平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板楼,0人关注 / 4个月以前发布,115,"9,750元/平"
万达旁 多层三室两厅 精装未住 动静分离户型,中央丽景小区 -万达,3室2厅 | 120.55平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,79.9,"6,628元/平"
北宫佳乐家万达近，文化路通亭街北国之春三室好房急售,北国之春 -新华路北,3室2厅 | 114.39平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,3人关注 / 10个月以前发布,67,"5,858元/平"
小高层 ，一楼，前面是多层，不挡光，户型方正，精装,鲁发名城宣武郡 -福乐多,3室2厅 | 117.94平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,80,"6,784元/平"
佳乐家近多层五楼，采光好。小区集中安装电梯。,新新家园 -新华路北,3室2厅 | 130.71平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,91.6,"7,008元/平"
产证满五，南北格局，楼层好，视野宽阔 配套设施齐全,圣基铭座 -自怡园,3室2厅 | 106平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,0人关注 / 7个月以前发布,69.8,"6,585元/平"
位于北宫东街与新华路东北，多层住宅南北,怡新苑 -新华路北,3室2厅 | 92.85平米 | 南 北 | 精装 | 高楼层(共6层)  | 塔楼,2人关注 / 一年前发布,59.8,"6,441元/平"
北宫街教师单位房 128平精装 带车位,宫馨丽园 -自怡园,3室2厅 | 128.82平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 3个月以前发布,79.7,"6,187元/平"
新华路东风街！丹桂里！大H房型！ 随时可看。,丹桂里 -新华路佳乐家,3室2厅 | 165.25平米 | 南 | 精装 | 低楼层(共17层)  | 塔楼,3人关注 / 一年前发布,142,"8,594元/平"
东明古德商圈，配套成熟小区，精装三室，带地下室。,鼎邦丽池 -东明学校,3室1厅 | 112.28平米 | 南 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 一年前发布,84,"7,482元/平"
出行方便 交通便利  配套完善,鼎邦丽池 -东明学校,3室1厅 | 112.28平米 | 南 北 | 简装 | 高楼层(共25层)  | 板楼,0人关注 / 6个月以前发布,85,"7,571元/平"
新华路明德近单位房，多层四楼，视野广阔，采光好,鸿基花园(奎文区) -新华路北,3室2厅 | 144.26平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,113,"7,834元/平"
精装修可拎包入住。多层洋房，东方隔壁。,盛源小镇 -东明学校,3室2厅 | 100.95平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 6个月以前发布,128,"12,680元/平"
潍县中路旁东明东方明珠楼层好全天无遮挡适宜居住,华安东方明珠 -东明学校,3室2厅 | 87.47平米 | 南 北 | 简装 | 中楼层(共6层)  | 塔楼,13人关注 / 一年前发布,71.8,"8,209元/平"
新华路东风街 满二  带车位地下室  随时看房,丹桂里 -新华路佳乐家,2室2厅 | 99.15平米 | 南 北 | 精装 | 低楼层(共17层)  | 塔楼,0人关注 / 6个月以前发布,91,"9,179元/平"
新华近 嘉日花园 东风街新华路 H采光无遮挡 带车位,嘉日花园 -新华路佳乐家,3室2厅 | 155.43平米 | 南 北 | 简装 | 高楼层(共17层)  | 板楼,13人关注 / 一年前发布,118,"7,592元/平"
观景大三房 精装未住 房主承受 全天采光无遮挡,新华国际 -新华路北,3室1厅 | 125.79平米 | 南 北 | 精装 | 高楼层(共29层)  | 板塔结合,0人关注 / 7个月以前发布,95,"7,553元/平"
客厅朝阳，全天采光近谷德单位房落地出窗,金宸公馆 -金融广场,2室2厅 | 116.64平米 | 南 北 | 简装 | 高楼层(共17层)  | 板塔结合,2人关注 / 6个月以前发布,95,"8,145元/平"
虞河畔 小高层电梯复式 ，客厅朝阳，精装婚房,潍京水岸公馆 -新华路佳乐家,2室1厅 | 110.81平米 | 南 | 精装 | 中楼层(共28层)  | 板楼,42人关注 / 一年前发布,115,"10,379元/平"
北海路单位房，户型方正，两室朝阳。,二印宿舍 -新华路北,2室1厅 | 82.76平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,46,"5,559元/平"
虞河苑楼层好近佳乐家近附属医院,虞新花园·虞河苑 -新华路北,3室2厅 | 100.88平米 | 南 北 | 简装 | 高楼层(共18层)  | 塔楼,4人关注 / 一年前发布,73,"7,237元/平"
怡馨家园多层5楼出售 南北通透 看房方便,怡馨家园 -自怡园,3室1厅 | 84.52平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,52,"6,153元/平"
植物园南邻，北海路旁，交通方便，诚意出售,北海明珠 -植物园,4室2厅 | 152.18平米 | 南 北 | 简装 | 中楼层(共26层)  | 板楼,0人关注 / 一年前发布,110,"7,229元/平"
大观天下三期，三室毛坯，115万车位，房主诚心出售,中海大观天下三期 -市府东南,3室2厅 | 126平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,1人关注 / 一年前发布,107,"8,493元/平"
新城明珠御园 ，南北通透大3室 ，毛坯可任意装修,新城明珠御园 -寿光市,3室1厅 | 120.41平米 | 南 北 | 毛坯 | 5层  | 塔楼,0人关注 / 1个月以前发布,88,"7,309元/平"
佳乐家近，南北通透，带装修， 楼层低，适宜居住,龙凤花园 -坊子佳乐家,3室2厅 | 94.86平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,51.8,"5,461元/平"
多层社区 3室 住出阔绰空间 绿化植被高 物业品质高,潍城春天 -站南广场,2室1厅 | 77.9平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,59.8,"7,677元/平"
区政府近  多层5楼  精装修不山不顶 南北通透,海新·瑞景湾 -潍城区政府,3室2厅 | 158.64平米 | 南 北 | 精装 | 高楼层(共6层)  | 暂无数据,8人关注 / 一年前发布,82,"5,169元/平"
潍坊学院电梯房，临谷德，南北通透，配套齐全,金马怡园 -金融广场,3室2厅 | 124.18平米 | 南 北 | 精装 | 高楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,96,"7,731元/平"
万达泰华北 金鼎华府 三室 带地下室 满五 无抵押,金鼎华府 -则尔庄,3室2厅 | 115.7平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,3人关注 / 一年前发布,83,"7,174元/平"
胜利街新华路 国土局单位房 精装修三室 近日向新华,盛世华廷 -新华中学,3室1厅 | 103.35平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,10人关注 / 5个月以前发布,94.8,"9,173元/平"
北海路近，佳乐家近，顶层复式，阁楼利用高，带露台,东方天韵 -新华路北,3室2厅 | 110.99平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,27人关注 / 一年前发布,79.8,"7,190元/平"
文化旁，精装修，房间大，风景好，出行方便，配套丰富,祥瑞水岸丽景 -经开周边,3室2厅 | 87.06平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,62,"7,122元/平"
东城新海风景好房子！好楼层，生活方便 出行方便,东城新海枫景 -锦绣学校,3室2厅 | 179.95平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 一年前发布,115,"6,391元/平"
歌儿近  单位房  佳乐家近 H户型  复式带露台,鲁伟北海公寓 -东明学校,3室2厅 | 133平米 | 南 北 | 精装 | 高楼层(共11层)  | 板楼,20人关注 / 一年前发布,123,"9,249元/平"
房子多层一楼 精装，有地下室  出税,鲁发名城德胜郡 -福乐多,3室2厅 | 107平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,7人关注 / 一年前发布,69.8,"6,524元/平"
茂华 中间楼层客厅朝阳，采光好，无遮挡，满五唯一,茂华紫苑公馆 -上城佳乐家,2室2厅 | 92.39平米 | 南 | 简装 | 低楼层(共27层)  | 板楼,1人关注 / 10个月以前发布,64.9,"7,025元/平"
毛坯原房 观景大三房 采光好 南北通透 带车位,新富公寓 -东明学校,3室2厅 | 143平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,3人关注 / 一年前发布,153,"10,700元/平"
潍柴佳苑  三室两厅  南北通透,潍柴佳苑 -潍柴动力,3室2厅 | 123.47平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 板塔结合,13人关注 / 一年前发布,91,"7,371元/平"
一楼偏H户型 精装南北通透 采光好,鲁发名城宣武郡 -福乐多,3室2厅 | 127.85平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,88.9,"6,954元/平"
怡馨家园多层5楼出售 南北通透 看房方便,怡馨家园 -自怡园,3室1厅 | 84.52平米 | 南 北 | 其他 | 高楼层(共5层)  | 板楼,1人关注 / 一年前发布,52,"6,153元/平"
万达附属近 三室精装 出税带地下室 配套成熟,阳光美苑 -新华路北,3室2厅 | 116.37平米 | 南 北 | 精装 | 高楼层(共18层)  | 塔楼,0人关注 / 9个月以前发布,90,"7,734元/平"
虞河苑楼层好近佳乐家近附属医院,虞新花园·虞河苑 -新华路北,3室2厅 | 100.88平米 | 南 北 | 简装 | 高楼层(共18层)  | 塔楼,4人关注 / 一年前发布,73,"7,237元/平"
锦城公寓 佳乐家对过 两室 低首付 毛坯随意装修,锦程公寓 -高新人民医院,2室2厅 | 108.14平米 | 南 北 | 毛坯 | 高楼层(共22层)  | 板楼,0人关注 / 7个月以前发布,73,"6,751元/平"
明德近  小区环境好  绿化绿高   看房方便,恒信学府 -金三角,3室2厅 | 102.73平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 3个月以前发布,76.8,"7,476元/平"
虞河路东风街 84平单位房不顶地上的储藏室,教育电视台 -万达,2室1厅 | 84平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,40,"4,762元/平"
单位房管理好，繁华位置  明德,盈福广场小区东区 -新华路北,2室2厅 | 126.46平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,127,"10,043元/平"
北宫佳乐家万达近，文化路通亭街北国之春三室好房急售,北国之春 -新华路北,3室2厅 | 114.39平米 | 南 北 | 精装 | 低楼层(共19层)  | 板楼,3人关注 / 10个月以前发布,67,"5,858元/平"
佳乐家近多层五楼，采光好。小区集中安装电梯。,新新家园 -新华路北,3室2厅 | 130.71平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,91.6,"7,008元/平"
小高层 ，一楼，前面是多层，不挡光，户型方正，精装,鲁发名城宣武郡 -福乐多,3室2厅 | 117.94平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,1人关注 / 一年前发布,80,"6,784元/平"
万达旁 多层三室两厅 精装未住 动静分离户型,中央丽景小区 -万达,3室2厅 | 120.55平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,5人关注 / 一年前发布,79.9,"6,628元/平"
近中百 泰华商圈11层电梯洋房  楼层好 采光好看房方便,康馨苑 -自怡园,3室2厅 | 144.59平米 | 南 | 毛坯 | 中楼层(共11层)  | 板楼,1人关注 / 8个月以前发布,87.8,"6,073元/平"
单位房管理好，繁华位置  明德,盈福广场小区东区 -新华路北,2室2厅 | 126.46平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,127,"10,043元/平"
大观天下，自己重新精装修，配套齐全，有车位,大观天下一期 -市府东南,3室2厅 | 115.64平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,6人关注 / 一年前发布,90,"7,783元/平"
大观天下一期，建筑质量好，三室两厅，精装修出税。,大观天下一期 -市府东南,3室2厅 | 115.64平米 | 南 北 | 精装 | 低楼层(共32层)  | 板楼,22人关注 / 一年前发布,85,"7,351元/平"
潍棉小区新楼，三居室带内置阁楼，带地下室,潍棉小区 -北王佳乐家,3室2厅 | 86.1平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,4人关注 / 一年前发布,56.5,"6,563元/平"
渤海路近，多层洋房低密社区，一楼带院 看房方便,恒信阳光新城 -坊子四中,3室2厅 | 100.75平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,2人关注 / 9个月以前发布,88.8,"8,814元/平"
自怡园 外国语近 多层三楼 精装 交通生活方便,三友华锦苑 -上城佳乐家,2室2厅 | 90.42平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,67,"7,410元/平"
东风街，福乐多，三室，精装修，业主诚心换房,鲁发名城德胜郡 -福乐多,3室1厅 | 103.54平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,63,"6,085元/平"
福乐多 立昌路近 多层一楼 两室朝阳 采光好 带地下室,鲁发名城安定郡 -福乐多,2室2厅 | 89平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,12人关注 / 一年前发布,49,"5,506元/平"
区政府单位房，西临湿地公园三室多层洋房,新城花园(潍城区) -潍城区政府,3室2厅 | 137.66平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,15人关注 / 一年前发布,60,"4,359元/平"
急售！万科 智群近99平大两居，单价低,华泰小区 -奥体中心,2室2厅 | 99.29平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,46,"4,633元/平"
建筑质量比较好的单位房   小区环境好,财政局宿舍 -坊子佳乐家,3室2厅 | 131.3平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,61,"4,646元/平"
奎文南金宝生态花园 瞰景楼层 电梯房带地下室随时看房,金宝生态花园 -金宝,2室2厅 | 95.65平米 | 东 南 北 | 简装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,63,"6,587元/平"
中百大厦近 多层单位房 低价诚心出售,五道庙小区 -潍坊站,2室2厅 | 82.51平米 | 北 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,39.9,"4,836元/平"
万达北虞河畔 好楼层精装微住 四室 有车位 带地下室,虞河生活城 -则尔庄,4室2厅 | 141.91平米 | 南 北 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 3个月以前发布,136,"9,584元/平"
沿虞河观景房，总高18层 大H户型小区单价低，出税,盛世香榭里 -锦绣学校,3室2厅 | 135.3平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,42人关注 / 一年前发布,93,"6,874元/平"
新华路福寿街中新双语单位房不山不顶户型好50万,区直机关宿舍 -新华路北,2室2厅 | 77.66平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,49,"6,310元/平"
万达近多层4楼，三室朝阳双阳台，公摊小,舜都花园(奎文区) -新华路北,3室2厅 | 154.64平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 8个月以前发布,87,"5,626元/平"
胜利街万合华庭两室 采光好，小区环境优雅，出行方便,万合华庭 -上城佳乐家,2室2厅 | 92.96平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 6个月以前发布,56.8,"6,111元/平"
新元小区多层三室，小区配套完善，生活便利,新元小区南区 -新华路北,3室1厅 | 68.07平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,37.3,"5,480元/平"
北海路 市府广场 银座 观景大三居,加州世纪尊品 -梨园,3室2厅 | 123.85平米 | 南 | 简装 | 中楼层(共31层)  | 板楼,4人关注 / 一年前发布,118,"9,528元/平"
精装 带电梯 带家电家具 南北通透,恒大翡翠华庭 -福乐多,3室2厅 | 128.54平米 | 南 北 | 精装 | 中楼层(共32层)  | 板楼,14人关注 / 一年前发布,86,"6,691元/平"
东方星 户型好，楼层好，采光好，南北朝向，客厅朝阳,东方星小区 -则尔庄,3室2厅 | 129.11平米 | 南 北 | 简装 | 低楼层(共18层)  | 板塔结合,1人关注 / 一年前发布,134,"10,379元/平"
圣荣广场近 单位房 三居室 业主诚心出售 近中百富华,检察院宿舍 -新华路北,3室2厅 | 85.68平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,30人关注 / 一年前发布,39.99,"4,668元/平"
谷德商圈近，东方教育近，楼层好位置好 房主诚意出售,心悦蓝湾 -东明学校,4室2厅 | 196.9平米 | 南 | 毛坯 | 高楼层(共4层)  | 塔楼,10人关注 / 一年前发布,166,"8,431元/平"
三室，出税，全天采光，带地下室，北海路旁、植物园近,骏龙花园 -植物园,3室2厅 | 113.34平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 11个月以前发布,87.5,"7,721元/平"
北海路旁单位房，精装未住。多层2楼。,劳动服务公司宿舍 -新华路北,3室2厅 | 93平米 | 南 | 简装 | 低楼层(共6层)  | 板楼,1人关注 / 一年前发布,73.5,"7,904元/平"
文化路福寿街 早春园简装 2室出售,早春园小区 -万达,2室2厅 | 67.67平米 | 南 北 | 简装 | 高楼层(共6层)  | 塔楼,2人关注 / 一年前发布,31,"4,582元/平"
三室朝阳，植物园近，电梯房，北海路旁,骏龙花园 -植物园,3室1厅 | 105.4平米 | 南 北 | 精装 | 低楼层(共20层)  | 板楼,6人关注 / 11个月以前发布,76.8,"7,287元/平"
多层4楼 标三户型，带地下室 金宝双语,金宝生态花园 -金宝,3室1厅 | 89.7平米 | 北 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,57,"6,355元/平"
鲁发名城客厅朝阳多层2楼 精装修 南北通透 带地下室,鲁发名城德胜郡 -福乐多,3室2厅 | 123.03平米 | 南 北 | 精装 | 低楼层(共6层)  | 板楼,6人关注 / 一年前发布,81.5,"6,625元/平"
三室，出税，全天采光，带地下室，北海路旁、植物园近,骏龙花园 -植物园,3室2厅 | 113.34平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 11个月以前发布,87.5,"7,721元/平"
谷德商圈近，东方教育近，楼层好位置好 房主诚意出售,心悦蓝湾 -东明学校,4室2厅 | 196.9平米 | 南 | 毛坯 | 高楼层(共4层)  | 塔楼,10人关注 / 一年前发布,166,"8,431元/平"
潍县中路近！带外置阁楼 出税 带家具家电!,玉清嘉苑 -东明学校,3室2厅 | 93.51平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,66,"7,059元/平"
高新电力单位房直饮水入户。单位家属院，人群素质高,五洲佳苑 -东明学校,2室2厅 | 92.43平米 | 南 北 | 简装 | 高楼层(共18层)  | 板楼,3人关注 / 一年前发布,78.8,"8,526元/平"
万达商圈 高品质小区金鼎华府  精装 三室好房,金鼎华府 -则尔庄,3室2厅 | 115.1平米 | 南 北 | 精装 | 低楼层(共26层)  | 板塔结合,22人关注 / 一年前发布,75,"6,517元/平"
鲁发名城崇文郡此房满五唯一 电梯三楼户型方正带装修,鲁发名城崇文郡 -福乐多,3室2厅 | 102平米 | 南 北 | 简装 | 低楼层(共11层)  | 板楼,2人关注 / 一年前发布,66,"6,471元/平"
新华路中百大厦近 圣荣广场 大四居 大H户型,圣荣广场 -新华路北,4室2厅 | 169.82平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,5人关注 / 5个月以前发布,120,"7,067元/平"
此房南北通透，居住舒适。看房子很方便,金都时代新城 -则尔庄,3室1厅 | 102.16平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 一年前发布,72,"7,048元/平"
房子楼层好，小区位置好，生活方便。,宝利家园 -则尔庄,3室1厅 | 91.72平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,12人关注 / 一年前发布,58.8,"6,411元/平"
此房满五 凤凰层精装3室婚房标准 奎文中芯 虞河景观,东方太阳城(虞河路) -新华路北,3室1厅 | 104.37平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,2人关注 / 1个月以前发布,79.9,"7,656元/平"
万达近，附属医院，精装房未住，随时看房有钥匙,阳光美苑 -新华路北,3室2厅 | 87.89平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,4人关注 / 8个月以前发布,63,"7,169元/平"
精装出税，三居室，不沿街不靠路，楼前环境优美,恒大名都 -市府东南,3室2厅 | 129.22平米 | 南 北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 5个月以前发布,107,"8,281元/平"
站南广场 多层 户型方正 采光视野好除税急售,金都南苑 -站南广场,3室1厅 | 93.7平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,1人关注 / 4个月以前发布,50.5,"5,390元/平"
此房南北通透，出税，商*，医疗，教育三合一，采光好,金华丽 -市府东南,3室2厅 | 133.3平米 | 南 北 | 精装 | 中楼层(共27层)  | 板楼,1人关注 / 一年前发布,99.5,"7,465元/平"
歌尔绿城 1楼带院  带负一  出税 有钥匙 随时看房,歌尔绿城 -智谷学校,3室2厅 | 122.96平米 | 南 北 | 毛坯 | 低楼层(共4层)  | 板楼,5人关注 / 一年前发布,228,"18,543元/平"
金马怡园 多层精装三室 出税 看房有钥匙 急售,金马怡园 -金融广场,3室2厅 | 101.42平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,3人关注 / 9个月以前发布,76,"7,494元/平"
奥体 八九 佳乐家鸢都新城 婚房未住 两室通透,鸢都新城 -奥体中心,2室1厅 | 78.99平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,10人关注 / 一年前发布,44,"5,571元/平"
采光好通透视野宽阔，交通便利，生活方便,海王医药宿舍 -十笏园,3室1厅 | 80平米 | 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 9个月以前发布,31.8,"3,975元/平"
奥体近谷德锦近 文苑小区 多层四楼公摊低,文苑小区(潍城区) -奥体中心,3室1厅 | 100.9平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 4个月以前发布,65,"6,443元/平"
世嘉名苑多层 交通便利， 三室朝阳.双阳台,世嘉铭园 -潍坊学院,3室2厅 | 135.67平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 6个月以前发布,110,"8,108元/平"
中颐和园六楼带阁楼露台 劳斯莱斯户型 原房未动有钥匙,中颐和园 -凤凰山片区,4室2厅 | 188平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 暂无数据,0人关注 / 3个月以前发布,380,"20,213元/平"
精装未住，宽阔大三室，南北通透,名都百盛园 -潍坊站,3室1厅 | 106.46平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,66.8,"6,275元/平"
有钥匙好位置富华市府双阳台上东方、北海谷德大四居,新富锦光公寓1 -谷德广场,4室2厅 | 168.84平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,2人关注 / 一年前发布,141,"8,352元/平"
市府广场南十甲农贸市场佳乐家近大观三期大四室,中海大观天下三期 -市府东南,4室2厅 | 176.5平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 塔楼,2人关注 / 一年前发布,176,"9,972元/平"
东城全福元东邻 三室毛坯房 电梯观景层 带车位,中南世纪城 -寿光市,3室2厅 | 141.99平米 | 南 北 | 其他 | 高楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,118.8,"8,367元/平"
此房满五唯一，南北通透。楼层好，采光充足，交通便利,崇文园 -坊子佳乐家,3室2厅 | 136.21平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,66,"4,846元/平"
白沙河畔，英伦风格的多层2楼，毛坯,泰晤士小镇 -坊子佳乐家,3室2厅 | 131.02平米 | 南 北 | 毛坯 | 低楼层(共9层)  | 板塔结合,8人关注 / 一年前发布,94.6,"7,221元/平"
东明三室带地下室，南北通透采光好，谷德广场、歌尔近,金华苑 -潍坊学院,3室2厅 | 95.66平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,71,"7,423元/平"
