标题,开发商,房子信息,发布信息,售价/万,单价
南北通透 采光充足 长春公园  朝阳桥轻轨,我爱我家(建阳街) -景阳广场,3室1厅 | 161.67平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 7天以前发布,130,"8,042元/平"
栖乐荟府 看房方便交通便利 楼层高层，采光好 视野好,栖乐荟府 -硅谷街北,2室1厅 | 76平米 | 南 | 简装 | 低楼层(共24层)  | 板楼,11人关注 / 8个月以前发布,67,"8,816元/平"
恒泰郡城 精装 台北大街 青年路 凯旋路 火车站客车厂,恒泰郡城 -客车厂,2室1厅 | 100.49平米 | 南 北 | 精装 | 高楼层(共17层)  | 暂无数据,0人关注 / 3个月以前发布,85,"8,459元/平"
南湖新村 三室一厅 格局方正 不把山不临街,南湖新村 -南湖,3室1厅 | 80.7平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,0人关注 / 2个月以前发布,199,"24,660元/平"
锦江五区87中 多层2楼 不把山 不临街 格局好,锦江花园五区 -景阳广场,2室2厅 | 95.63平米 | 南 北 | 简装 | 中楼层(共4层)  | 板楼,1人关注 / 一年前发布,112,"11,712元/平"
龙泰檀香苑，电梯洋房，一楼带花园,龙泰檀香苑二期 -住邦城市广场,3室2厅 | 110.98平米 | 南 北 | 精装 | 低楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,128,"11,534元/平"
房产过二.不把山，南北通透，电梯房，楼层好，采光好,美景天城B区 -柳影,3室2厅 | 122.3平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,1人关注 / 5个月以前发布,81,"6,624元/平"
中冶蓝城 2室2厅 南 北,中冶蓝城 -北环沿线,2室2厅 | 92平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,2人关注 / 5个月以前发布,72,"7,827元/平"
保利林语一期134平米房源采光好精装修诚心出售,保利林语E区一期 -友谊公园,3室2厅 | 134.47平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,12人关注 / 5个月以前发布,152,"11,304元/平"
南郡水云天  精装修  视野好   交通便利  采光好,南郡水云天3号 -硅谷街南,3室2厅 | 145.32平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,2人关注 / 一年前发布,107,"7,364元/平"
二环里 封闭小区 采光视野好  交通方便,蓉桥一号B区 -站前,3室1厅 | 107.25平米 | 南 北 | 简装 | 高楼层(共34层)  | 板楼,0人关注 / 2个月以前发布,70,"6,527元/平"
蓝调倾城 不把不临 3楼 碧水云天 精装修,蓝调倾城 -支农东,2室1厅 | 96平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,79,"8,230元/平"
此房产权过五 精装修 楼层好 小区环境好 设施齐全,远创樾府 -长沈路,2室2厅 | 85.55平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,11人关注 / 一年前发布,75,"8,767元/平"
二环里 精装修采光好南北通透交通便利设施齐全,万龙台北明珠三期 -站前,2室1厅 | 86.5平米 | 南 北 | 精装 | 高楼层(共29层)  | 板楼,6人关注 / 3个月以前发布,76,"8,787元/平"
中冶蓝城 2室2厅 南 北,中冶蓝城 -北环沿线,2室2厅 | 92平米 | 南 北 | 精装 | 高楼层(共8层)  | 板楼,2人关注 / 5个月以前发布,72,"7,827元/平"
东南湖大路 豪苑翡翠城  精装3室 园区中间,豪苑翡翠城 -吉大南岭校区,3室1厅 | 129.29平米 | 南 北 | 精装 | 高楼层(共12层)  | 塔楼,1人关注 / 2个月以前发布,119,"9,205元/平"
南湖新村 大面积 单价合理 楼层合适,南湖新村 -南湖,3室1厅 | 105平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,3人关注 / 8个月以前发布,210,"20,000元/平"
天茂城中央，两室一厅，精装修，南北通透,天茂城中央B区 -东风,2室1厅 | 67平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,5人关注 / 9个月以前发布,54,"8,060元/平"
保利林语一期134平米房源采光好精装修诚心出售,保利林语E区一期 -友谊公园,3室2厅 | 134.47平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,12人关注 / 5个月以前发布,152,"11,304元/平"
房龄新2019年 产权证在手 房主换大面积和父母一起居住,恒大都市广场 -亚泰,3室2厅 | 110平米 | 南 北 | 精装 | 中楼层(共31层)  | 板楼,8人关注 / 4个月以前发布,89,"8,091元/平"
吉大尚德 下楼欧亚 公园  采光好 产权在手,中海兰庭 -硅谷街南,3室2厅 | 122.39平米 | 南 北 | 精装 | 低楼层(共28层)  | 板楼,3人关注 / 1个月以前发布,101,"8,253元/平"
南北通透 标准格局 采光好 供暖好 交通便利,武夷嘉园 -和顺,3室2厅 | 98平米 | 南 北 | 简装 | 低楼层(共6层)  | 塔楼,12人关注 / 4个月以前发布,88,"8,980元/平"
创新花园房子嘎嘎好快来看看房子内设齐全,创新花园 -净水厂,2室2厅 | 95平米 | 南 北 | 其他 | 中楼层(共7层)  | 板楼,0人关注 / 6个月以前发布,80,"8,422元/平"
精装修3室，品牌家具家电，房子保持好，急售。,香港城二期 -四季青市场,3室1厅 | 90平米 | 南 北 | 精装 | 中楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,80.5,"8,945元/平"
多层3楼，采光好，不把不临，南北通透,雁鸣湖山庄 -四季青市场,2室1厅 | 86.08平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,7人关注 / 一年前发布,58,"6,738元/平"
恒大雅苑 3室1厅 南 北,恒大雅苑 -硅谷街南,3室1厅 | 126.15平米 | 南 北 | 精装 | 高楼层(共12层)  | 板楼,1人关注 / 5个月以前发布,113,"8,958元/平"
地铁口 不把不临 带地上车位 看房方便过5非唯一,新奥蓝城 -景阳广场,2室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 1个月以前发布,112,"11,915元/平"
开运街，抚松路，红旗街，宽平桥，欧风花园,欧风花园 -红旗,2室2厅 | 73.62平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,64.7,"8,789元/平"
南湖新村 南湖公园 诚心出售 户型方正,南湖新村 -南湖,2室1厅 | 47.76平米 | 南 北 | 简装 | 中楼层(共5层)  | 板楼,5人关注 / 一年前发布,153,"32,036元/平"
不把不临  产权在手 可贷款 拎包入住,力旺美林 -南部新城,2室2厅 | 83平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,16人关注 / 5个月以前发布,82,"9,880元/平"
电梯洋房 ，采光好，得房率高，客厅开间7.5米,中海龙玺 -奋进,3室2厅 | 147.58平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,148,"10,029元/平"
万科柏翠园 5室2厅3卫 洋房 宽敞明亮,万科柏翠园 -南湖,5室2厅 | 251平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 6个月以前发布,600,"23,905元/平"
人民大街上  凯旋华府   双公园   有地铁,天泽凯旋华府 -北环沿线,3室2厅 | 110平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,86,"7,819元/平"
电梯房  南北通透 精装 可贷款 交通便利 轻轨三号线,文庭雅苑 -南湖,2室1厅 | 59平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,26人关注 / 一年前发布,47,"7,967元/平"
中信 浅山    电梯小高  采光好  好楼层,中信城浅山 -净月区,3室2厅 | 97平米 | 南 北 | 简装 | 中楼层(共11层)  | 板塔结合,1人关注 / 2个月以前发布,95,"9,794元/平"
绿化面积50% 单价低 精装 电梯 中高层 不把山,上院 -红旗,3室2厅 | 122平米 | 南 北 | 精装 | 高楼层(共26层)  | 板楼,3人关注 / 6个月以前发布,128,"10,492元/平"
华润凯旋门精装标准格局  不把不临 看房方便,华润凯旋门 -硅谷街北,2室1厅 | 91.5平米 | 南 北 | 精装 | 低楼层(共27层)  | 板楼,10人关注 / 9个月以前发布,97,"10,602元/平"
英伦小镇精装修，多层，得房率高。。。。。,英伦小镇D区 -北环沿线,3室2厅 | 87.99平米 | 南 北 | 精装 | 中楼层(共5层)  | 板塔结合,0人关注 / 1个月以前发布,79.5,"9,036元/平"
万科物业 全年采光  房主急售,吉森漫桦林二期 -南部新城,3室2厅 | 107.65平米 | 南 北 | 简装 | 低楼层(共18层)  | 板楼,12人关注 / 4个月以前发布,93,"8,640元/平"
东北师大，中间楼层 ，采光好，,中铁城A3地块 -绿园区周边,3室1厅 | 105平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 2个月以前发布,87,"8,286元/平"
万科柏翠园 5室2厅3卫 洋房 宽敞明亮,万科柏翠园 -南湖,5室2厅 | 251平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 6个月以前发布,600,"23,905元/平"
中海金域中央 封闭小区 精装两室 可按揭,中海金域中央A区 -东大桥,2室1厅 | 92平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 2个月以前发布,100,"10,870元/平"
电梯洋房 ，采光好，得房率高，客厅开间7.5米,中海龙玺 -奋进,3室2厅 | 147.58平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,148,"10,029元/平"
人民大街上  凯旋华府   双公园   有地铁,天泽凯旋华府 -北环沿线,3室2厅 | 110平米 | 南 北 | 精装 | 高楼层(共28层)  | 板楼,0人关注 / 3个月以前发布,86,"7,819元/平"
房主外地定居急售单价5000产权清晰可按揭贷款,东南阳光小区 -净水厂,2室2厅 | 179.5平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,12人关注 / 5个月以前发布,86,"4,792元/平"
赛特奥莱 地铁6号线旁 华润净月台 楼层格局好另有车位,华润净月台 -净月区,3室2厅 | 138平米 | 南 北 | 毛坯 | 中楼层(共8层)  | 板楼,9人关注 / 7个月以前发布,162,"11,740元/平"
封闭小区 3室 就是便宜楼层也好 够用 东西向,中新花园 -西安广场,3室1厅 | 104平米 | 东南 西 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,66,"6,347元/平"
恒盛豪庭 吉大尚德 中间楼层  产权在手,恒盛豪庭 -硅谷街南,3室2厅 | 117.8平米 | 南 北 | 精装 | 高楼层(共22层)  | 板楼,0人关注 / 1个月以前发布,86,"7,301元/平"
塞纳阳光A区 2室1厅 南 北,塞纳阳光A区 -柳影,2室1厅 | 56.28平米 | 南 北 | 简装 | 中楼层(共6层)  | 板塔结合,2人关注 / 2个月以前发布,36.6,"6,504元/平"
急卖，跃层产品，出门吾悦，南北通透，精装修，位置好,吾悦和府B区 -奋进,4室2厅 | 188.97平米 | 南 北 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 8个月以前发布,125,"6,615元/平"
开运街 欧亚卖场 欧亚商都 松宇花园一期,松宇花园一期 -红旗,3室1厅 | 138平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 3个月以前发布,112,"8,116元/平"
精装4居室  小高层  未住过 可拎包入住,华润紫云府二期 -南部新城,4室2厅 | 134.61平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,3人关注 / 6个月以前发布,149,"11,070元/平"
新上房源 店长推荐 园区中间 不把不临 多层低密度 急,中海水岸馨都 -净月区,3室1厅 | 126.22平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,126,"9,983元/平"
轻轨三号线 天安第一城 样板间 房子装修好 没咋住,天安第一城一期 -欧亚卖场,3室2厅 | 178平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 2个月以前发布,161,"9,045元/平"
劳动公园   2楼三室   南北通透好房出售,吉盛小区4期 -劳动公园,3室2厅 | 132.56平米 | 南 北 | 简装 | 低楼层(共7层)  | 板塔结合,3人关注 / 1个月以前发布,100,"7,544元/平"
澳海澜庭多层 两室 精装修 拎包入住地铁口,澳海澜庭 -硅谷街南,3室2厅 | 92.86平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,86,"9,262元/平"
南向正房 产权过2年 吾悦广场旁 中日联谊医院,中天北湾新城二期 -奋进,2室1厅 | 72平米 | 南 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 5个月以前发布,57,"7,917元/平"
此房地理位置好，交通便利，楼层好，采光好。,天茂城中央B区 -东风,2室1厅 | 68.41平米 | 南 北 | 精装 | 高楼层(共16层)  | 板塔结合,0人关注 / 3个月以前发布,56.5,"8,260元/平"
东皇•波尔的家 2室2厅 南 北,东皇•波尔的家 -长沈路,2室2厅 | 98.91平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,70,"7,078元/平"
市区一环地段电梯房，小区全封闭有绿化，视野开阔,蓉桥一号B区 -站前,2室1厅 | 93.03平米 | 南 北 | 精装 | 中楼层(共34层)  | 板楼,2人关注 / 4个月以前发布,70,"7,525元/平"
欧亚卖场旁伟业星城精装修电梯房南北户型出行方便,伟业星城 -硅谷街北,1室1厅 | 67.5平米 | 南 | 精装 | 高楼层(共9层)  | 板楼,1人关注 / 2个月以前发布,66,"9,778元/平"
伟业富强天玺 两室两厅一厨一卫 毛坯 视野好,伟业富强天玺 -硅谷街南,2室1厅 | 85.54平米 | 东 | 毛坯 | 高楼层(共24层)  | 板楼,0人关注 / 11个月以前发布,63,"7,365元/平"
美景天城B区2-2-1-1 88.00m² 72.5 万产权在手可按揭,美景天城B区 -柳影,2室2厅 | 88平米 | 南 北 | 精装 | 中楼层(共11层)  | 板塔结合,0人关注 / 6个月以前发布,66.5,"7,557元/平"
领秀 蓝珀湖二期 近快轨 南北通透 中间楼层 视野开阔,领秀蓝珀湖二期 -工业大学北湖校区,2室2厅 | 88.6平米 | 南 北 | 简装 | 高楼层(共16层)  | 板楼,1人关注 / 1个月以前发布,66,"7,450元/平"
万龙自持物业  两居室  中间楼层  采光充足,万龙银河城一期 -宽城区周边,2室1厅 | 84平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,2人关注 / 11个月以前发布,48,"5,715元/平"
中东大市场 14年小区 南北通透 两居室 精装修看房随时,新星宇和邑C区 -欧美工业园,2室1厅 | 66.29平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,5人关注 / 一年前发布,69,"10,409元/平"
店长推荐 全封闭新小区 南明厅 采光好 精装修,东安白金首府一期 -天光路,2室1厅 | 79.81平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,21人关注 / 9个月以前发布,65,"8,145元/平"
净月花园 一楼带花园 南北花园130多平 出门就是净月潭,净月花园小区 -净月区,2室1厅 | 104平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,9人关注 / 4个月以前发布,82,"7,885元/平"
此房地理位置好，楼层好，采光好，视野开阔。,天茂城中央A区 -东风,1室0厅 | 29.5平米 | 东 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 3个月以前发布,21,"7,119元/平"
此房地理位置好，楼层好，采光好，视野开阔。,天茂城中央A区 -东风,1室0厅 | 29.5平米 | 东 | 精装 | 高楼层(共14层)  | 板楼,0人关注 / 3个月以前发布,21,"7,119元/平"
净月花园 一楼带花园 南北花园130多平 出门就是净月潭,净月花园小区 -净月区,2室1厅 | 104平米 | 南 北 | 简装 | 低楼层(共5层)  | 板楼,9人关注 / 4个月以前发布,82,"7,885元/平"
中东大市场 14年小区 南北通透 两居室 精装修看房随时,新星宇和邑C区 -欧美工业园,2室1厅 | 66.29平米 | 南 北 | 精装 | 高楼层(共17层)  | 板楼,5人关注 / 一年前发布,69,"10,409元/平"
东皇精装两室  不把山不临街  南北通透,东皇君园一期 -长沈路,2室1厅 | 88.45平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,67,"7,575元/平"
中铁精装跃层二室+不把不临+产权过5+中铁自持物业,中铁国际花园 -长沈路,2室2厅 | 93平米 | 南 | 精装 | 低楼层(共17层)  | 板楼,0人关注 / 1个月以前发布,75,"8,065元/平"
领秀蓝珀湖两居室南北通透，拎包入住产权过二采光好,领秀蓝珀湖 -工业大学北湖校区,2室1厅 | 91.68平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,1人关注 / 2个月以前发布,66,"7,199元/平"
西康路立信街一室一厅小户型看房随时,西康路 -桂林路,1室1厅 | 36.08平米 | 西 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 1个月以前发布,33.8,"9,369元/平"
金玉良园 住宅产权公寓 非顶楼 地铁一号线 万达广场,金玉良园 -站前,1室1厅 | 38.04平米 | 西 | 精装 | 高楼层(共6层)  | 塔楼,15人关注 / 5个月以前发布,17.4,"4,575元/平"
吉大慧谷丨居然世界里丨富裕公园丨地铁五号线居然商场,居然世界里 -硅谷街南,2室2厅 | 96平米 | 南 | 精装 | 17层  | 板楼,0人关注 / 1个月以前发布,115,"11,980元/平"
产权清晰价格合理，房主诚心出售。,蓉桥一号C区 -站前,2室1厅 | 49.86平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,24人关注 / 11个月以前发布,25,"5,015元/平"
精装修 产权满五唯一 车城万达,君地天城三区 -长沈路,2室1厅 | 87.5平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 3个月以前发布,65.8,"7,520元/平"
店长力荐 我的家园 不把不临2楼 随时能看 产权过五,我的家园 -净水厂,2室2厅 | 94平米 | 南 北 | 精装 | 中楼层(共7层)  | 塔楼,1人关注 / 2个月以前发布,93,"9,894元/平"
亚泰樱花苑  南北通透  精装修,亚泰樱花苑 -万通,2室1厅 | 51.52平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,0人关注 / 4个月以前发布,49,"9,511元/平"
中铁国际花园精装两室+南北通透+南明厅+中铁自持物业,中铁国际花园 -长沈路,2室1厅 | 86.95平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,69,"7,936元/平"
南湖新村 产权过二  23年毕业,南湖新村 -南湖,2室1厅 | 54.7平米 | 南 北 | 简装 | 高楼层(共5层)  | 板楼,0人关注 / 5个月以前发布,150,"27,423元/平"
南湖新村 位置好 精装修 坐地户 不占,南湖新村 -南湖,2室1厅 | 63.5平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 5个月以前发布,155,"24,410元/平"
红旗街 上院小区 中层精装修 南北大H户型 不把山,上院 -红旗,2室2厅 | 94.75平米 | 南 北 | 精装 | 中楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,123,"12,982元/平"
水文化公园金水家园电梯2室通透格局单价低产权过五,金水家园 -净水厂,2室2厅 | 83.8平米 | 东 西 | 精装 | 中楼层(共11层)  | 板楼,0人关注 / 3个月以前发布,68,"8,115元/平"
此房产权清晰，丰和西郡房龄新新。2020年装修的.,丰和西郡 -景阳广场,2室1厅 | 70.45平米 | 南 北 | 精装 | 中楼层(共17层)  | 塔楼,9人关注 / 5个月以前发布,89.5,"12,705元/平"
精品小户型可以拎包入住，家具家电齐全！！,富苑华城 -南湖,1室1厅 | 18.6平米 | 北 | 精装 | 中楼层(共17层)  | 板塔结合,2人关注 / 5个月以前发布,16,"8,603元/平"
精装 客卧分离 标准一室 中间楼层 近欧亚 轻轨等,华大城三期 -小南,1室1厅 | 46平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,6人关注 / 一年前发布,32.5,"7,066元/平"
此房产权在手不把不临、看房随时、中间楼层、精装修！,蓝色港湾四期 -和顺,2室2厅 | 88.16平米 | 南 北 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,82,"9,302元/平"
亚泰杏花苑交通便利.生活配套完善.,亚泰花园杏花苑 -万通,2室1厅 | 86.54平米 | 东 | 简装 | 高楼层(共32层)  | 塔楼,2人关注 / 9个月以前发布,58.8,"6,795元/平"
省二旁，澳洲城，精装两室，出门活力汇，随时看房,澳洲城 -硅谷街北,2室1厅 | 80平米 | 西南 | 精装 | 高楼层(共26层)  | 板楼,0人关注 / 4个月以前发布,61,"7,625元/平"
澳洲城 小两居室 南向 楼层好 视野宽阔,澳洲城 -硅谷街北,2室1厅 | 62.9平米 | 南 | 精装 | 中楼层(共26层)  | 板楼,3人关注 / 一年前发布,45,"7,155元/平"
南向 中间楼层采光好  配套设施齐全,高力德国村 -四联大街,1室1厅 | 42.23平米 | 南 | 简装 | 低楼层(共17层)  | 板楼,8人关注 / 一年前发布,15.8,"3,742元/平"
新月花园，110平，采光好，房主诚心出售,豪邦新月花园 -柳影,2室1厅 | 110平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,9人关注 / 8个月以前发布,67,"6,091元/平"
楼层好   采光好 不把不临 视野宽阔 配套齐全,东皇君园一期 -长沈路,2室1厅 | 65平米 | 南 北 | 精装 | 低楼层(共15层)  | 板楼,1人关注 / 5个月以前发布,47,"7,231元/平"
金质融城精装修拎包入住随时看房业主急售临地铁,金质融城三期 -长新街,2室1厅 | 88.87平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 5个月以前发布,83,"9,340元/平"
沈铁盛华庭 2室1厅 南,沈铁盛华庭 -站前,2室1厅 | 75平米 | 南 | 简装 | 中楼层(共32层)  | 板楼,0人关注 / 3个月以前发布,52,"6,934元/平"
大禹华邦D区 1室0厅 东,大禹华邦D区 -西安广场,1室0厅 | 32.7平米 | 东 | 简装 | 低楼层(共14层)  | 板塔结合,1人关注 / 1个月以前发布,21,"6,423元/平"
天富御苑 2室1厅 南 北,天富御苑 -北湖,2室1厅 | 91.47平米 | 南 北 | 精装 | 高楼层(共22层)  | 板塔结合,1人关注 / 1个月以前发布,48,"5,248元/平"
地铁二号线，长春公园，吾悦广场，欧亚春城，九六四医,安居小区一期 -西安广场,2室1厅 | 67平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,56.5,"8,433元/平"
50街区 养老一楼 南北通透 精装拎包入住 诚心出售,汽车厂50街区 -支农西,2室1厅 | 67平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,45,"6,717元/平"
大禹城邦六楼南北通透采光好视野开阔,大禹城邦小区 -南湖,2室1厅 | 55平米 | 南 北 | 简装 | 低楼层(共24层)  | 板楼,6人关注 / 一年前发布,41,"7,455元/平"
中铁国际花园  精装修 南北通透 汽车厂 万达 卖场,中铁国际花园 -长沈路,2室1厅 | 85.58平米 | 南 北 | 精装 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,68,"7,946元/平"
德辉首府 采光好 观景房 绿化好 位置佳,德辉首府 -八里堡,2室1厅 | 62.28平米 | 南 | 毛坯 | 高楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,49,"7,868元/平"
新星宇左岸精装修一室拎包入住南向户型出行方便配套全,新星宇左岸 -硅谷街北,1室1厅 | 57.73平米 | 南 北 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 2个月以前发布,49,"8,488元/平"
坐拥轻轨伊通河80平两室 南北通透 楼层好 可按揭,怡景阳光 -临河街,2室2厅 | 80平米 | 北 南 | 精装 | 中楼层(共18层)  | 板塔结合,7人关注 / 一年前发布,87,"10,875元/平"
万科金域长春，南北通透户型，14层小高12楼不把山。,万科金域长春 -世界雕塑公园,2室2厅 | 80.11平米 | 南 北 | 精装 | 高楼层(共14层)  | 板楼,14人关注 / 5个月以前发布,95,"11,859元/平"
产权过五唯一   标准户型   南北通透,华泰世纪新城一期南区 -柳影,2室2厅 | 82平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,6人关注 / 一年前发布,56,"6,830元/平"
绿地新里中央公馆 2室2厅 南 北,绿地新里中央公馆 -友谊公园,2室2厅 | 90平米 | 南 北 | 精装 | 高楼层(共27层)  | 板楼,0人关注 / 2个月以前发布,84,"9,334元/平"
楼层好，视野宽阔，采光充足，交通便利,宽城万达公寓 -站前,1室0厅 | 30.59平米 | 北 | 精装 | 中楼层(共30层)  | 塔楼,118人关注 / 一年前发布,16,"5,231元/平"
华亨名城一期 经典刚需小户型，刚需的不二选择,华亨名城一期 -柳影,1室1厅 | 41.66平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 1个月以前发布,28,"6,722元/平"
金色橄榄城三期 一标格局 精装修 不把山不临街 随时看,金色橄榄城三期-中邑华章 -十里堡,2室1厅 | 87平米 | 南 北 | 精装 | 低楼层(共25层)  | 板楼,1人关注 / 2个月以前发布,79.8,"9,173元/平"
南湖公园旁 多层三楼 小户型总价低产权过五交易税费低,南湖新村 -南湖,1室1厅 | 38.25平米 | 南 | 简装 | 中楼层(共5层)  | 板楼,1人关注 / 6个月以前发布,145,"37,909元/平"
万科班芙花园一楼，不把山不临街，精装修，拎包入住,班芙花园 -净月区,3室2厅 | 98平米 | 南 北 | 精装 | 低楼层(共13层)  | 板楼,50人关注 / 6个月以前发布,85,"8,674元/平"
吴中家天下一期.园区中间位置.中间楼层南北双通透,吴中家天下一期 -八里堡,2室2厅 | 89.1平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,12人关注 / 4个月以前发布,85,"9,540元/平"
诚心出售，产权过二，电梯洋房，全屋品牌精装修,保利百合香湾B区 -八里堡,2室2厅 | 90.35平米 | 南 北 | 精装 | 中楼层(共13层)  | 板楼,3人关注 / 3个月以前发布,77,"8,523元/平"
产权过5唯一 出行方便 地理位置好 税费少 拎包入住,学士园 -小南,2室1厅 | 55.44平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,31,"5,592元/平"
小两居室，采光好，拎包入住，电梯房，看房方便,澳海梦想城 -二道区周边,2室1厅 | 69.4平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,0人关注 / 1个月以前发布,53,"7,637元/平"
万龙丽水湾 精装修两居室 产权过五唯一,万龙丽水湾 -硅谷街南,2室2厅 | 89.83平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,81,"9,018元/平"
中冶蓝城三期 精装修 采光充足 视野好 两居室南北通透,中冶蓝城三期 -北环沿线,2室1厅 | 90.18平米 | 南 北 | 精装 | 高楼层(共25层)  | 板塔结合,0人关注 / 1个月以前发布,72,"7,985元/平"
此房满二唯一 楼层好 精装修 看房方便,红大汇诚 -亚泰,2室1厅 | 88.63平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 1个月以前发布,83,"9,365元/平"
精装修 产权明晰 标准两居室 出行方便,国信御湖公馆北区 -南部新城,2室1厅 | 86平米 | 南 北 | 精装 | 低楼层(共18层)  | 板楼,1人关注 / 4个月以前发布,80,"9,303元/平"
亚泰樱花苑  地铁2号线  精装修  南北通透,亚泰樱花苑 -万通,2室1厅 | 88.5平米 | 南 北 | 精装 | 中楼层(共18层)  | 塔楼,9人关注 / 6个月以前发布,88,"9,944元/平"
动植物公园 地铁二号县线4楼 一室一厅 通透格局,邮政小区(南关区) -平阳,1室1厅 | 40平米 | 东 西 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,30,"7,500元/平"
一楼 南北通透 采光好 有产权 看房方便,一汽54A2街区 -支农东,1室1厅 | 47平米 | 南 北 | 简装 | 低楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,27.6,"5,873元/平"
北师大小初连读 绿地城E区 89平 精装2室 中层,绿地城 -硅谷街南,2室2厅 | 89平米 | 南 北 | 精装 | 中楼层(共15层)  | 板楼,1人关注 / 3个月以前发布,99,"11,124元/平"
高格蓝湾 小高层两室  南北通透  楼层好 室内采光好,昊源高格蓝湾 -劳动公园,2室2厅 | 97平米 | 南 北 | 精装 | 高楼层(共10层)  | 板楼,3人关注 / 3个月以前发布,126,"12,990元/平"
