标题,开发商,房子信息,发布信息,售价/万,单价
泰达润景园北苑 2室2厅 南,泰达润景园北苑 -柳叶湖,2室2厅 | 99.5平米 | 南 | 精装 | 高楼层(共17层)  | 板楼,0人关注 / 2天以前发布,83.8,"8,423元/平"
老西门毛坯三房电梯中层四医院几步路,老西门 -北站,3室2厅 | 123.22平米 | 东 | 毛坯 | 中楼层(共18层)  | 暂无数据,1人关注 / 一年前发布,86.8,"7,045元/平"
河街，出行便利，设施配套完善.,万建紫庭 -三闾,4室2厅 | 142.55平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,104.6,"7,338元/平"
梦竹苑 2室2厅 南,梦竹苑 -三闾,2室2厅 | 98.32平米 | 南 | 其他 | 低楼层(共7层)  | 板楼,1人关注 / 2个月以前发布,48,"4,883元/平"
地理位置好，公摊面积小，交通便利,汇景中央广场 -文理学院,3室2厅 | 115平米 | 南 | 毛坯 | 高楼层(共27层)  | 板楼,0人关注 / 一年前发布,86.5,"7,522元/平"
地理位置好，公摊面积小，交通便利,汇景中央广场 -文理学院,3室2厅 | 114平米 | 南 | 毛坯 | 中楼层(共27层)  | 板楼,1人关注 / 一年前发布,85.9,"7,536元/平"
穿紫河  中医院  大润发 紫桥 富豪花园大三房,富豪花苑 -紫桥,3室2厅 | 119.28平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,68,"5,701元/平"
中国人民银行宿舍 3室2厅 南,中国人民银行宿舍 -紫桥,3室2厅 | 115平米 | 南 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 1个月以前发布,58,"5,044元/平"
此房满两年，采光充足，配套设施成熟，交通便利,南金城二区 -桥南,3室2厅 | 114平米 | 南 北 | 毛坯 | 低楼层(共32层)  | 暂无数据,0人关注 / 5个月以前发布,65.8,"5,772元/平"
品质小区+环境优美+高楼层+采光好+无遮挡,華藝苑 -宏大,3室2厅 | 137平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,1人关注 / 一年前发布,75,"5,475元/平"
金鼎湾，南城天街旁，视野开阔，汽车总站旁,银通·金鼎湾 -桥南,3室2厅 | 130平米 | 东南 | 精装 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,85,"6,539元/平"
南金城一区 园林小区 毛坯三房出售,顺沅南金城一区 -桥南,3室2厅 | 142.4平米 | 南 北 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,80,"5,618元/平"
南城天街旁步梯中层精装大三房带杂物间单价仅五千,鼎城区信用联社宿舍 -桥南,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,60,"4,688元/平"
紫薇佳园二期高楼层！急售！看房方便！,紫薇佳园二期 -桥南,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,75,"5,860元/平"
地段位置好 ，户型好，采光好，楼层好。,福捷华中城 -桥南,4室2厅 | 140.42平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 4个月以前发布,87.8,"6,253元/平"
中医院宿舍 3室2厅 南 北,中医院宿舍 -紫桥,3室2厅 | 108.3平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,66.8,"6,169元/平"
此房交通便利，看穿紫河全景。。。。。。。,穿紫河•月畔湾 -鸿升,2室2厅 | 88.21平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,2人关注 / 一年前发布,70,"7,936元/平"
双潭金湾3-2-1-1 100.00m²,双潭金湾 -桥南,3室2厅 | 100平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,58.8,"5,880元/平"
战备桥 新一村 新二村 已加装电梯 带家具电器拎包入住,常电小区北二院 -滨湖公园,3室2厅 | 113.25平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,4人关注 / 8个月以前发布,62.5,"5,519元/平"
祥瑞小区 汽车站 毛坯 诚心急售,祥瑞小区 -桥南,3室2厅 | 129平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,0人关注 / 4个月以前发布,53.8,"4,171元/平"
地段位置好 ，户型好，采光好，楼层好。,福捷华中城 -桥南,4室2厅 | 140.42平米 | 南 | 其他 | 中楼层(共32层)  | 暂无数据,0人关注 / 4个月以前发布,87.8,"6,253元/平"
江南城区 体育馆 鼎欣嘉豪毛坯3房诚意出售,鼎欣嘉豪 -桥南,3室1厅 | 131.36平米 | 南 | 毛坯 | 高楼层(共29层)  | 板塔结合,0人关注 / 7个月以前发布,64.5,"4,911元/平"
中国银行单位房，中间楼层，采光通风好,中国银行宿舍南区 -宏大,3室2厅 | 112平米 | 南 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,62,"5,536元/平"
江南城区 紫龙花苑电梯中间楼层毛坯房诚意出售,紫龙花苑 -桥南,3室2厅 | 140.97平米 | 东南 | 其他 | 高楼层(共15层)  | 板楼,4人关注 / 一年前发布,62,"4,399元/平"
江南城区 副食城 南金城二区电梯中层毛坯三房出售,南金城二区 -桥南,3室2厅 | 112平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 一年前发布,61.8,"5,518元/平"
业主诚心出售 是一个朝南的户型 功能齐全,福捷华中城2期 -桥南,4室1厅 | 130.31平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,73.5,"5,641元/平"
捌海▪常德公馆3-2-1-2 125.00m² 85 万,捌海▪常德公馆 -桥南,3室2厅 | 125平米 | 南 | 毛坯 | 中楼层(共25层)  | 板塔结合,0人关注 / 一年前发布,68,"5,440元/平"
南金城二区3-2-1-2 130.00m² 82 万,南金城二区 -桥南,4室2厅 | 131平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 一年前发布,77,"5,878元/平"
滨江首，府电梯高层 毛坯大三房 可以看江景 诚心出售,中梁滨江首府 -桥南,3室2厅 | 119平米 | 南 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,62,"5,211元/平"
滨江中心城 3室2厅 南,滨江中心城 -德山,3室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共32层)  | 暂无数据,0人关注 / 1个月以前发布,68.8,"5,375元/平"
好房急售 江南大院 永安 名郡国际 出行方便 一线江景,捌海▪常德公馆 -桥南,3室1厅 | 127平米 | 南 | 毛坯 | 低楼层(共18层)  | 板楼,0人关注 / 9个月以前发布,69.8,"5,497元/平"
阳明湖 天泓嘉瑞电梯 毛坯3房诚意出售,天泓嘉瑞 -桥南,3室2厅 | 124.29平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 一年前发布,69.5,"5,592元/平"
佳禾大酒店后面 单位院子 正规三房 带11平杂物间,商务局宿舍 -宏大,3室2厅 | 95平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,55.8,"5,874元/平"
阳明湖板块 富华领秀公馆3-2-2 121㎡ 70.8万,富华领秀公馆 -桥南,3室2厅 | 121平米 | 南 | 毛坯 | 中楼层(共15层)  | 板楼,2人关注 / 一年前发布,70.8,"5,852元/平"
德山次新小区，业主诚意出售，配套齐全，看房方便,滨江中心城 -德山,3室2厅 | 106.5平米 | 南 | 毛坯 | 高楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,52,"4,883元/平"
江南城区 南金城3+1毛坯房诚意出售,顺沅南金城一区 -桥南,4室2厅 | 119平米 | 南 | 其他 | 中楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,72.8,"6,118元/平"
国源小区 3室2厅 南,国源小区 -火车站,3室2厅 | 157.5平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 一年前发布,102.5,"6,508元/平"
柳叶湖保利一期毛坯三房 业主诚心卖 看房方便,保利中央公园 -柳叶湖,3室2厅 | 118平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,1人关注 / 4个月以前发布,86.8,"7,356元/平"
房子装修从未住过 带200平的平台 很舒服 满两年,龙湖双珑原著 -火车站,3室2厅 | 109平米 | 南 北 | 精装 | 低楼层(共30层)  | 板塔结合,0人关注 / 7个月以前发布,100,"9,175元/平"
此房是龙湖双珑原著的现房，经典四房，即买即装修,龙湖双珑原著 -火车站,4室2厅 | 158平米 | 南 | 毛坯 | 低楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,190,"12,026元/平"
保利一期毛坯4房 人车分流 柳叶湖区域,保利中央公园 -柳叶湖,4室2厅 | 139平米 | 南 北 | 其他 | 高楼层(共34层)  | 板塔结合,3人关注 / 一年前发布,121,"8,706元/平"
湘雅医院 精装三房 直接拎包入住 郡德,龙湖双珑原著 -火车站,3室2厅 | 109平米 | 南 | 精装 | 低楼层(共21层)  | 板塔结合,5人关注 / 10个月以前发布,99.8,"9,156元/平"
保利一期湖景毛坯三房，有车位，总价低,保利中央公园 -柳叶湖,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共34层)  | 板塔结合,26人关注 / 11个月以前发布,81,"6,865元/平"
柳叶湖   国企品质 保利物业 全明格局,保利中央公园三期C区 -柳叶湖,4室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共34层)  | 暂无数据,6人关注 / 6个月以前发布,92,"6,815元/平"
此房满两年税费少，户型周正，楼层采光好。,北金城 -火车站,3室2厅 | 101.7平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,80,"7,867元/平"
高铁站，火车站，汽车站，欢乐城商圈,和瑞欢乐城 -火车站,3室2厅 | 107平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 6个月以前发布,90,"8,412元/平"
龙湖双珑原著 3室2厅 南,龙湖双珑原著 -火车站,3室2厅 | 129平米 | 南 | 其他 | 中楼层(共30层)  | 暂无数据,1人关注 / 4个月以前发布,86,"6,667元/平"
万达广场   丁玲公园  欢乐城,香江悦府 -火车站,3室2厅 | 115.63平米 | 南 | 精装 | 中楼层(共17层)  | 板楼,6人关注 / 一年前发布,96,"8,303元/平"
紫金城金色世纪一期 3室2厅 南 北,紫金城金色世纪一期 -火车站,3室2厅 | 130平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,0人关注 / 一年前发布,107,"8,231元/平"
芷兰商圈金色世纪舒适毛坯三房有钥匙诚心出售,紫金城金色世纪一期 -火车站,3室2厅 | 128.4平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,89.8,"6,994元/平"
房源点评，解析卖点，小区介绍。,北金城 -火车站,3室2厅 | 122平米 | 南 | 毛坯 | 高楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,81.8,"6,705元/平"
保利中央公园三期C区 4室2厅 南,保利中央公园三期C区 -柳叶湖,4室2厅 | 192平米 | 南 | 毛坯 | 低楼层(共8层)  | 暂无数据,0人关注 / 3个月以前发布,180,"9,375元/平"
万达商圈 丁玲公园旁 荷塘月色 精装保养好,荷塘月色 -火车站,3室2厅 | 110平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,56.4,"5,128元/平"
火车站 欢乐城旁 精装三房 中间楼层 视野采光好,泽云幸福里 -火车站,3室2厅 | 99.9平米 | 南 | 精装 | 中楼层(共17层)  | 板塔结合,3人关注 / 11个月以前发布,70,"7,008元/平"
"学 校/对 面,房子满五年不唯一,户型周正",柳都水语 -火车站,3室2厅 | 131平米 | 南 北 | 精装 | 高楼层(共15层)  | 板塔结合,0人关注 / 一年前发布,108,"8,245元/平"
柳叶湖   国企品质 保利物业 全明格局,保利中央公园三期C区 -柳叶湖,4室2厅 | 135平米 | 南 北 | 精装 | 低楼层(共34层)  | 暂无数据,6人关注 / 6个月以前发布,92,"6,815元/平"
此房满两年税费少，户型周正，楼层采光好。,北金城 -火车站,3室2厅 | 101.7平米 | 南 | 精装 | 高楼层(共17层)  | 板塔结合,1人关注 / 一年前发布,80,"7,867元/平"
高铁站，火车站，汽车站，欢乐城商圈,和瑞欢乐城 -火车站,3室2厅 | 107平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,1人关注 / 6个月以前发布,90,"8,412元/平"
龙湖双珑原著 3室2厅 南,龙湖双珑原著 -火车站,3室2厅 | 129平米 | 南 | 其他 | 中楼层(共30层)  | 暂无数据,1人关注 / 4个月以前发布,86,"6,667元/平"
德山枉水桥，步梯高层，业主诚售,善卷小区 -德山,3室2厅 | 140平米 | 南 | 简装 | 高楼层(共7层)  | 暂无数据,7人关注 / 一年前发布,39.5,"2,822元/平"
交通方便，近边有丁玲公园，白马湖公园,紫御华庭 -白马湖,3室2厅 | 127平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,92,"7,245元/平"
此房满5年非唯一，楼层适中，视野开阔，采光充足，,创鼎御和园 -三岔路,3室2厅 | 120.51平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,56,"4,647元/平"
带50平露台 穿紫河边 万达商圈 月畔湾 经典毛胚三房,穿紫河•月畔湾 -鸿升,3室1厅 | 132.77平米 | 南 | 毛坯 | 低楼层(共21层)  | 板塔结合,3人关注 / 一年前发布,94,"7,080元/平"
万达 白马湖 大三房 中高层 视野开阔,常青藤▪未来城 -白马湖,3室2厅 | 128平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,3人关注 / 4个月以前发布,75.8,"5,922元/平"
万达商圈，丁玲公园，白马湖公园,万达湖公馆C区 -白马湖,3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,86.8,"7,682元/平"
北正街 柳叶湖 大小河街 精装电梯三房,常德恒大华府 -芷兰,3室2厅 | 121平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,114.5,"9,463元/平"
白马湖公园，德景园，精装修，带家具家电！,康桥尚都 -白马湖,3室2厅 | 138.84平米 | 南 | 精装 | 中楼层(共11层)  | 板楼,12人关注 / 一年前发布,87.5,"6,303元/平"
建生银行单位房，小区带院子，停车方便,鸿升建行宿舍 -鸿升,3室2厅 | 114.58平米 | 南 北 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,61.8,"5,394元/平"
万达湖公馆C区 3室2厅 南,万达湖公馆C区 -白马湖,3室2厅 | 127.93平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,0人关注 / 11个月以前发布,115,"8,990元/平"
白马湖  紫御华庭 毛坯 两房 业主诚心出售,紫御华庭 -白马湖,2室2厅 | 96平米 | 南 | 毛坯 | 中楼层(共28层)  | 板塔结合,23人关注 / 一年前发布,68,"7,084元/平"
单位房，小区整洁，户型周正，精装3房,工商明苑 -步行街,3室2厅 | 153.43平米 | 南 | 精装 | 高楼层(共7层)  | 板楼,13人关注 / 6个月以前发布,68,"4,432元/平"
城西 碧桂园 青林苑，正规三房满二年 有尖顶,青林苑 -白马湖,3室2厅 | 118.66平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,44.8,"3,776元/平"
湘郵•紫金華庭 3室2厅 南 北,湘郵•紫金華庭 -紫桥,3室2厅 | 139.46平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,88.8,"6,368元/平"
里仁居小区 3室2厅 南,里仁居小区 -文理学院,3室2厅 | 124.72平米 | 南 | 精装 | 低楼层(共32层)  | 板塔结合,3人关注 / 6个月以前发布,89.8,"7,201元/平"
文理学院    后街   白马湖公园,钻石家苑 -文理学院,2室2厅 | 91.18平米 | 南 | 精装 | 低楼层(共16层)  | 板楼,0人关注 / 一年前发布,69.5,"7,623元/平"
芷兰 北正街 恒大华府 带车位 交房精装大四房,常德恒大华府 -芷兰,4室2厅 | 188平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,4人关注 / 一年前发布,160,"8,511元/平"
新烟厂商圈 户型周正 南北通透 毛坯房,东星临水阁 -白马湖,4室2厅 | 141.2平米 | 南 北 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 一年前发布,76,"5,383元/平"
此房马上满两年朝南 视野好 采光充足 精装修 费用各付,城投蓉国新坊和院 -白马湖,2室2厅 | 68.28平米 | 南 | 精装 | 中楼层(共32层)  | 暂无数据,0人关注 / 2个月以前发布,56.6,"8,290元/平"
新烟厂商圈 户型周正 南北通透 毛坯房,东星临水阁 -白马湖,4室2厅 | 141.2平米 | 南 北 | 其他 | 低楼层(共32层)  | 塔楼,0人关注 / 一年前发布,76,"5,383元/平"
芷兰 北正街 恒大华府 带车位 交房精装大四房,常德恒大华府 -芷兰,4室2厅 | 188平米 | 南 | 精装 | 高楼层(共29层)  | 板塔结合,4人关注 / 一年前发布,160,"8,511元/平"
保利中央公园 3室2厅 南 北,保利中央公园 -柳叶湖,3室2厅 | 118平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,0人关注 / 2个月以前发布,72.8,"6,170元/平"
常德碧桂园C区 3室2厅 南 北,常德碧桂园C区 -白马湖,3室2厅 | 121.99平米 | 南 北 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,97.7,"8,009元/平"
城西 碧桂园 青林苑，正规三房满二年 有尖顶,青林苑 -白马湖,3室2厅 | 118.66平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,44.8,"3,776元/平"
单位房、全新毛胚，南北通透大三房,常德市鼎城区农业局宿舍 -芷兰,3室2厅 | 125.71平米 | 南 北 | 毛坯 | 高楼层(共6层)  | 板楼,4人关注 / 一年前发布,62.8,"4,996元/平"
湘郵•紫金華庭 3室2厅 南 北,湘郵•紫金華庭 -紫桥,3室2厅 | 139.46平米 | 南 北 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 1个月以前发布,88.8,"6,368元/平"
文理学院 精装两房 烟厂 三岔路,金城小区 -三岔路,2室2厅 | 85平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,24人关注 / 一年前发布,35.8,"4,212元/平"
常德恒大华府 3室2厅 南,常德恒大华府 -芷兰,3室2厅 | 121平米 | 南 | 精装 | 高楼层(共26层)  | 板塔结合,1人关注 / 8个月以前发布,102,"8,430元/平"
滨湖新天地 3室2厅 南,滨湖新天地 -三岔路,3室2厅 | 120平米 | 南 | 毛坯 | 中楼层(共32层)  | 板楼,2人关注 / 一年前发布,91.8,"7,650元/平"
万达商圈，丁玲公园，白马湖公园,万达湖公馆C区 -白马湖,3室2厅 | 113平米 | 南 | 毛坯 | 中楼层(共33层)  | 板塔结合,2人关注 / 一年前发布,86.8,"7,682元/平"
，新小区环境好，地理位置优越，新烟厂，东星家居广场,东星临水阁 -白马湖,3室2厅 | 106平米 | 南 北 | 其他 | 高楼层(共32层)  | 板塔结合,1人关注 / 一年前发布,67.5,"6,368元/平"
火车站 万达商圈 芙蓉盛世 君华御庭 白马湖,万达湖公馆A2区 -白马湖,3室1厅 | 125平米 | 南 | 精装 | 中楼层(共33层)  | 板塔结合,0人关注 / 一年前发布,118,"9,440元/平"
常师 低首付毛坯价 可以看江 诚心出售,电力西苑 -三岔路,3室2厅 | 147平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,2人关注 / 6个月以前发布,85,"5,783元/平"
此房满二，户型周正，小区环境优美，适合住家。,常德恒大华府 -芷兰,3室2厅 | 99.99平米 | 南 | 精装 | 中楼层(共26层)  | 板塔结合,1人关注 / 一年前发布,86,"8,601元/平"
此房满5年非唯一，楼层适中，视野开阔，采光充足，,创鼎御和园 -三岔路,3室2厅 | 120.51平米 | 南 | 毛坯 | 高楼层(共6层)  | 板楼,2人关注 / 8个月以前发布,56,"4,647元/平"
带50平露台 穿紫河边 万达商圈 月畔湾 经典毛胚三房,穿紫河•月畔湾 -鸿升,3室1厅 | 132.77平米 | 南 | 毛坯 | 低楼层(共21层)  | 板塔结合,3人关注 / 一年前发布,94,"7,080元/平"
交通方便，近边有丁玲公园，白马湖公园,紫御华庭 -白马湖,3室2厅 | 127平米 | 东南 | 毛坯 | 高楼层(共31层)  | 板塔结合,3人关注 / 一年前发布,92,"7,245元/平"
柳叶湖，复基，荷花公园，精装电梯房，随时看房,柳叶府 -柳叶湖,4室2厅 | 143平米 | 南 | 精装 | 中楼层(共33层)  | 板楼,20人关注 / 4个月以前发布,116,"8,112元/平"
高尚名門 三闾 三一翡翠湾 大小河街 毛坯三房,高尚名門 -三闾,3室2厅 | 129.31平米 | 南 | 毛坯 | 中楼层(共18层)  | 板楼,63人关注 / 一年前发布,89,"6,883元/平"
恒大北正街旁电梯毛坯三房，南北通透，纯板房，满两年,紫金城金色世纪一期 -火车站,3室2厅 | 121.5平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,92,"7,573元/平"
临甘露寺  一医院  六中  三室两厅两卫,御泽园 -甘露寺,3室2厅 | 131.36平米 | 南 北 | 毛坯 | 高楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,80,"6,091元/平"
莱茵小镇楼梯好楼层，毛坯房诚意出售,莱茵小镇二区 -桥南,4室2厅 | 122平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,1人关注 / 一年前发布,62.8,"5,148元/平"
正规大三房的格局 楼层好 户型好 院子大 免费停车,金色文苑 -宏大,3室2厅 | 152.68平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 板楼,0人关注 / 一年前发布,78,"5,109元/平"
江南城区，十里外滩  江南明珠精装3房两厅两卫出售,江南明珠 -桥南,3室2厅 | 134.8平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,3人关注 / 一年前发布,60,"4,452元/平"
满2年 江景房 电梯26楼 南北通透 教育资源丰富,华邦国际 -桥南,3室2厅 | 142平米 | 南 北 | 毛坯 | 高楼层(共27层)  | 板楼,1人关注 / 一年前发布,73.8,"5,198元/平"
白马湖德景园正规毛坯三房此价格带车位，中间楼层,中原德景园 -白马湖,3室2厅 | 118平米 | 南 | 毛坯 | 中楼层(共18层)  | 板塔结合,9人关注 / 一年前发布,105,"8,899元/平"
高铁站，汽车站，楼下欢乐城，大三房，视野好！,和瑞欢乐城 -火车站,3室2厅 | 107.48平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,94.8,"8,821元/平"
地区医院 广德毛坯大三房  好楼层 多人住 大阳台,广德花苑 -甘露寺,3室2厅 | 144.3平米 | 南 | 毛坯 | 低楼层(共7层)  | 板楼,4人关注 / 一年前发布,89.8,"6,224元/平"
保利一期毛坯通透四房，可观荷花公园,保利中央公园 -柳叶湖,4室2厅 | 138.81平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板塔结合,5人关注 / 一年前发布,105,"7,565元/平"
紫薇佳园二期3-2-1-2 109.43m² 71.8 万,紫薇佳园二期 -桥南,3室2厅 | 109.43平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,71.8,"6,562元/平"
白马湖片区 万达广场 白马湖丁玲公园 电梯毛坯三房,紫御华庭 -白马湖,3室2厅 | 127平米 | 南 | 毛坯 | 低楼层(共31层)  | 板塔结合,9人关注 / 一年前发布,85,"6,693元/平"
高铁站，汽车站，楼下欢乐城，大三房，视野好！,和瑞欢乐城 -火车站,3室2厅 | 107.48平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 2个月以前发布,94.8,"8,821元/平"
江南城区 南金城带200平私有大平台好房出售,顺沅南金城一区 -桥南,4室2厅 | 131平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 板塔结合,0人关注 / 1个月以前发布,95,"7,252元/平"
富华领秀公馆带大露台 3+1户型 南北双阳台 户型好,富华领秀公馆 -桥南,3室2厅 | 126.74平米 | 南 | 毛坯 | 低楼层(共17层)  | 板楼,3人关注 / 一年前发布,65,"5,129元/平"
人车分流小区 绿化面积大，得房率高 南北朝向大三房,名郡国际 -桥南,3室2厅 | 134.22平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,71.2,"5,305元/平"
大润发滨湖公园旁大型小区，精装两房拎包入住,蓝湖郡 -紫桥,2室2厅 | 77.5平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,9人关注 / 一年前发布,57.8,"7,459元/平"
业主诚心出售 是一个朝南的户型 功能齐全,忆江南 -桥南,3室2厅 | 133.98平米 | 南 | 毛坯 | 高楼层(共17层)  | 塔楼,0人关注 / 11个月以前发布,55,"4,106元/平"
南城天街旁步梯中层精装大三房单价低总价便宜,鼎城置业 -桥南,3室2厅 | 142.66平米 | 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,58,"4,066元/平"
地区医院 东方嘉园 环境好 楼层好 单价便宜 紧急出售,中房东方嘉园 -甘露寺,3室2厅 | 129.08平米 | 南 | 精装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,74.8,"5,795元/平"
金城小区 3室2厅 南 北,金城小区 -三岔路,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,64,"5,000元/平"
已满两年税费少，坐北朝南，户型周正，采光充足,中梁滨江首府 -桥南,4室2厅 | 129平米 | 南 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,69.8,"5,411元/平"
捌海▪常德公馆3-2-1-1 113.00m² 74.7 万,捌海▪常德公馆 -桥南,3室2厅 | 113平米 | 南 北 | 毛坯 | 中楼层(共11层)  | 板塔结合,0人关注 / 一年前发布,74.7,"6,611元/平"
精装大三房急售 朗泰楼层好 装修新 采光好 交通便利,朗泰尚象郡 -桥南,3室2厅 | 121.46平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,71.2,"5,863元/平"
甘露寺 城东 精装三房 视野开阔 采光好 拎包入住,东城尚品 -甘露寺,3室2厅 | 113.24平米 | 东南 | 精装 | 中楼层(共6层)  | 板塔结合,3人关注 / 一年前发布,66.8,"5,899元/平"
华邦国际5-2-1-2 212.07m² 110 万,华邦国际 -桥南,5室2厅 | 212.07平米 | 南 | 毛坯 | 高楼层(共27层)  | 板塔结合,1人关注 / 11个月以前发布,110,"5,187元/平"
丁玲公园旁，离万达2公里不到，新中医院,诚信·枫林逸景 -白马湖,3室2厅 | 136平米 | 南 | 毛坯 | 高楼层(共29层)  | 板塔结合,0人关注 / 3个月以前发布,90,"6,618元/平"
地段位置好 楼层好 户型通透 小区环境优美,福捷华中城2期 -桥南,4室2厅 | 142平米 | 南 | 毛坯 | 中楼层(共32层)  | 板塔结合,0人关注 / 6个月以前发布,72,"5,071元/平"
房聚江南郡毛坯大三房，业主诚心售房看房方便,房聚江南郡 -桥南,3室2厅 | 141.3平米 | 南 北 | 毛坯 | 低楼层(共28层)  | 板塔结合,1人关注 / 一年前发布,77,"5,450元/平"
隧道口，国企大盘，十里外滩，电梯好楼层,善瑞府 -桥南,3室2厅 | 110平米 | 南 | 毛坯 | 高楼层(共31层)  | 板塔结合,0人关注 / 2个月以前发布,65,"5,910元/平"
地区医院 万美花园 设施齐全 拎包即可入住,万美花园 -甘露寺,4室2厅 | 141平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,0人关注 / 一年前发布,85,"6,029元/平"
泓鑫中苑  南北通透 首付20多万 的精装三房 拎包入住,泓鑫中苑 -三闾,3室2厅 | 105.18平米 | 南 北 东南 | 精装 | 低楼层(共18层)  | 板楼,80人关注 / 一年前发布,83,"7,892元/平"
