标题,开发商,房子信息,发布信息,售价/万,单价
石桥区樊华精装修，拎包入住，户型通透，采光好,樊华似锦二期 -高新,2室1厅 | 81.07平米 | 东 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 6天以前发布,78,"9,622元/平"
园艺山太阳城一期纯洋房 全新精装大户型 还有长租车位,太阳城一期 -科创园区,3室2厅 | 130.55平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,8人关注 / 10个月以前发布,137,"10,495元/平"
户型方正，采光好，可以拎包入住，看房方便。,富临花园 -涪城,3室2厅 | 116.44平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,4人关注 / 一年前发布,89,"7,644元/平"
绵阳城区，配套齐全大三房，业主诚心出售,涪城路141号 -涪城,3室2厅 | 114平米 | 南 | 其他 | 高楼层(共8层)  | 暂无数据,1人关注 / 3个月以前发布,70,"6,141元/平"
多层楼房，明厨明卫，正三室，小区配套完善。,红星街99号小区 -涪城,3室2厅 | 109.34平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,2人关注 / 4个月以前发布,72,"6,585元/平"
多层楼房，大三室，房子户型方正，明厨明卫，采光好。,马家巷4号 -涪城,3室1厅 | 83平米 | 东南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,57,"6,868元/平"
御营新城 精装跃层 带屋顶花园 视野开阔,御营新城 -御营坝,4室2厅 | 117.65平米 | 西北 | 简装 | 高楼层(共6层)  | 板楼,8人关注 / 一年前发布,81,"6,885元/平"
满五唯一 户型好 视野开阔 无遮挡 采光好,鹏业小区3组 -科创园区,3室2厅 | 115.61平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 4个月以前发布,62,"5,363元/平"
三桥头精装一年正临江五室三连跃,天浩大厦 -南河坝,5室2厅 | 181.18平米 | 西南 | 精装 | 中楼层(共20层)  | 塔楼,1人关注 / 2个月以前发布,177,"9,770元/平"
体育馆旁电梯套三 装修保养很好 随时可看,涪城区眼科宿舍 -涪城,3室2厅 | 142.28平米 | 东南 | 简装 | 高楼层(共8层)  | 塔楼,0人关注 / 8个月以前发布,108,"7,591元/平"
南光厂单位房楼层好采光好 过户方便,原南光厂单位房 -经开区,3室1厅 | 85.4平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,2人关注 / 5个月以前发布,49.8,"5,832元/平"
华尔街精装修3室2厅1厨2卫家具家电齐视野开阔拎包入住,东方华庭 -1958,3室2厅 | 89.94平米 | 南 | 精装 | 中楼层(共18层)  | 板塔结合,5人关注 / 一年前发布,106,"11,786元/平"
卢卡美郡精装修一楼带花园，满2年，位置安静拎包入住,富临·卢卡美郡 -科创园区,3室2厅 | 158.8平米 | 东南 | 精装 | 低楼层(共5层)  | 板楼,5人关注 / 6个月以前发布,188,"11,839元/平"
经典跃层、业主急售、急售急售、,锦绣山城 -科学城,4室2厅 | 127.64平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,9人关注 / 一年前发布,73,"5,720元/平"
南河坝优质好房，房东诚心出售，急售,红星街120号院 -涪城,3室2厅 | 104.1平米 | 东南 | 简装 | 高楼层(共7层)  | 板楼,12人关注 / 一年前发布,63,"6,052元/平"
高新区中华苑104平2楼可拎包入住证满75.2万,中华苑 -高新,2室2厅 | 104.46平米 | 北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 6个月以前发布,75,"7,180元/平"
中玮海润广场，精装修电梯，满二，拎包入住,中玮海润广场 -经开区,3室2厅 | 102.25平米 | 西南 | 精装 | 高楼层(共33层)  | 塔楼,0人关注 / 5个月以前发布,110,"10,758元/平"
六里村大三室出售 满五唯一税费少 业主诚售 拎包即住,六里村一组 -越王楼,3室2厅 | 115.46平米 | 东南 | 简装 | 中楼层(共5层)  | 板楼,21人关注 / 一年前发布,58.8,"5,093元/平"
花园小区 精装三房 邻近实小及涪城万达,花园小区(涪城区) -火车站,3室2厅 | 92.74平米 | 东南 | 精装 | 中楼层(共7层)  | 板塔结合,6人关注 / 5个月以前发布,68,"7,333元/平"
此房地理位置好，户型方正布局合理，装修是简装修,盐业小区 -火车站,2室2厅 | 81.41平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,51,"6,265元/平"
东辰国际旁，精装大四房，证满税费低，拎包入住,东辰阳光清華B区 -科创园区,4室3厅 | 154.06平米 | 东南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,123,"7,984元/平"
塘汛电梯三室双卫带装修，单价6千左右,三兴街 -未知商圈,3室2厅 | 87.75平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,55,"6,268元/平"
满两年，精装修，配套完善，可上三江,海赋长兴 -经开区,3室2厅 | 95.93平米 | 东南 | 精装 | 高楼层(共32层)  | 板塔结合,1人关注 / 2个月以前发布,102,"10,633元/平"
看江，精装，没怎么住过，带产权车位价，中间楼层。,金佳城南名著 -涪城,3室2厅 | 129.81平米 | 东南 | 精装 | 高楼层(共20层)  | 塔楼,3人关注 / 4个月以前发布,149,"11,479元/平"
御景名城顶跃精装带车位长虹世纪城旁满二,御景名城 -高水,4室2厅 | 127.02平米 | 东南 | 精装 | 高楼层(共16层)  | 板塔结合,1人关注 / 5个月以前发布,127,"9,999元/平"
火车站万达旁安昌江畔多套套三急售,花园名居 -火车站,3室2厅 | 79.54平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 4个月以前发布,60,"7,544元/平"
售阳光清华C区跃层5室2厅3卫简装满两年带车库,阳光清华C区 -科创园区,5室2厅 | 105.6平米 | 西北 | 简装 | 低楼层(共6层)  | 板塔结合,0人关注 / 9个月以前发布,118,"11,175元/平"
业主异地置业 诚意出售 价格好谈,东辰商住楼 -大都会,3室2厅 | 105.72平米 | 东 | 简装 | 中楼层(共7层)  | 板塔结合,1人关注 / 9个月以前发布,61,"5,770元/平"
林海山庄 6室2厅 东,林海山庄 -科创园区,6室2厅 | 295.58平米 | 东 | 精装 | 3层  | 板楼 | 联排别墅 ,2人关注 / 8个月以前发布,509,"17,221元/平"
翠花街 电梯精装三室 家电齐全 拎包入住,果品大厦 -涪城,3室2厅 | 120平米 | 东南 | 精装 | 中楼层(共5层)  | 板楼,1人关注 / 8个月以前发布,98,"8,167元/平"
海悦银河城旁公路局小区 电梯入户简装三房 满两年,绵阳市公路局沈家坝住宅小区 -富乐山,4室3厅 | 132.76平米 | 东北 | 简装 | 高楼层(共7层)  | 塔楼,8人关注 / 一年前发布,94.1,"7,088元/平"
满5年的房子，户型方正，无增值税费。,三汇绿岛 -富乐山,3室2厅 | 131.82平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,1人关注 / 一年前发布,115.8,"8,785元/平"
解放小区，一中背后，可以停车。,解放小区 -南河坝,3室2厅 | 125.47平米 | 东 | 精装 | 中楼层(共7层)  | 板楼,1人关注 / 6个月以前发布,84.9,"6,767元/平"
塘汛街上，电梯三室双卫，精装修，成熟配套,三兴街 -未知商圈,3室2厅 | 87.75平米 | 东南 | 简装 | 中楼层(共7层)  | 暂无数据,0人关注 / 1个月以前发布,55,"6,268元/平"
富.乐.中、xue，开元场三医院对.面，中间楼层,芙蓉园小区 -富乐山,2室2厅 | 106平米 | 东南 | 精装 | 中楼层(共8层)  | 板楼,2人关注 / 一年前发布,72,"6,793元/平"
该套房子方正，户型合理是小区里少有的家带店房子,景福花园 -富乐山,3室2厅 | 118.6平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,0人关注 / 4个月以前发布,88,"7,420元/平"
山江虹悦 3室2厅 西南,山江虹悦 -富乐山,3室2厅 | 139平米 | 西南 | 简装 | 低楼层(共18层)  | 塔楼,4人关注 / 一年前发布,119.8,"8,619元/平"
游仙区烟草公司临江，中等装修，拎包入住,烟草公司单位房 -富乐山,3室2厅 | 169平米 | 南 | 简装 | 高楼层(共13层)  | 塔楼,3人关注 / 8个月以前发布,170,"10,060元/平"
富乐实{验中}{學}，盛和枫景 电梯房 满二税费低,盛和·枫景 -富乐山,4室2厅 | 158.12平米 | 东南 | 简装 | 低楼层(共12层)  | 暂无数据,8人关注 / 一年前发布,128,"8,096元/平"
五路口长虹世纪城二期 中间楼层 大三室两卫 诚售,长虹世纪城(安州区) -安州,3室2厅 | 107.54平米 | 东 | 精装 | 中楼层(共32层)  | 塔楼,2人关注 / 8个月以前发布,88.2,"8,202元/平"
此房是3室2厅2卫，户型方正，采光好，生活方便,绵阳市城市规划设计院 -富乐山,3室2厅 | 127.8平米 | 西 | 简装 | 低楼层(共8层)  | 板楼,1人关注 / 一年前发布,83.6,"6,542元/平"
东辰国际旁阳光清华C区 精装全齐  旁公园  博雅,阳光清华C区 -科创园区,3室2厅 | 102.33平米 | 东南 | 精装 | 高楼层(共6层)  | 塔楼,1人关注 / 4个月以前发布,103,"10,066元/平"
多层顶跃带屋顶花园，户型方正，有一百平米的花园,富临外滩花园 -铁牛广场,3室2厅 | 218平米 | 南 | 简装 | 高楼层(共5层)  | 板塔结合,17人关注 / 一年前发布,161.5,"7,409元/平"
富乐实【验}{中}學，三医院对（面），生活交通方便,盛和·枫景 -富乐山,3室2厅 | 154平米 | 东 | 简装 | 高楼层(共12层)  | 暂无数据,1人关注 / 一年前发布,154.8,"10,052元/平"
视野开阔 户型方正  带车库和杂物间,金税小区 -富乐山,3室2厅 | 119.04平米 | 东南 | 简装 | 中楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,108,"9,073元/平"
游仙区湿地公园旁 品质小区 人和逸景 大三室,三汇人和逸景 -芙蓉,3室2厅 | 87.81平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,101,"11,503元/平"
满二年无高税，中高楼层，采光好，精装修，拎包入住。,英伦庄园 -江油,3室2厅 | 89.71平米 | 东南 | 精装 | 高楼层(共22层)  | 板楼,13人关注 / 一年前发布,65,"7,246元/平"
此房满两年 中间楼层 视野宽阔 居住舒适,上海公馆 -南河坝,3室2厅 | 106.89平米 | 南 北 | 其他 | 中楼层(共23层)  | 塔楼,1人关注 / 一年前发布,107.6,"10,067元/平"
小枧湿地公园旁 满两年 三室两厅两卫,兴发·枫叶绿洲 -芙蓉,3室2厅 | 99.98平米 | 西北 北 | 简装 | 低楼层(共7层)  | 塔楼,12人关注 / 一年前发布,77,"7,702元/平"
此房位于芙蓉汉城二期，小区环境优美，交通方便,置信芙蓉汉城 -芙蓉,5室2厅 | 158.8平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,125,"7,872元/平"
人民公园旁，电梯三室，精装临江房出售！,三鹏广场 -涪城,3室2厅 | 144平米 | 南 北 | 简装 | 中楼层(共18层)  | 塔楼,1人关注 / 6个月以前发布,135,"9,375元/平"
人民公园近 电梯三室 自住装修保养好,兴达商业中心 -涪城,3室2厅 | 125.62平米 | 南 | 精装 | 中楼层(共25层)  | 板楼,0人关注 / 1个月以前发布,108,"8,598元/平"
开元场  地震后电梯房   简装三室   诚心出售,建工公寓 -富乐山,3室2厅 | 100平米 | 南 | 简装 | 高楼层(共18层)  | 塔楼,1人关注 / 1个月以前发布,90,"9,000元/平"
南河大三室卧室带阳台出售  简装  诚意出售,体运村路6号 -涪城,3室2厅 | 121.45平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,92,"7,576元/平"
*100平*私人花园，大 三 室，低楼层，富乐中 学,依江花苑 -富乐山,3室2厅 | 135.66平米 | 东南 | 简装 | 低楼层(共7层)  | 板塔结合,11人关注 / 一年前发布,92.8,"6,841元/平"
房子使用面积大，出行很方便，看房方便。,现代人家 -高新,4室3厅 | 155.55平米 | 南 | 简装 | 低楼层(共7层)  | 板塔结合,7人关注 / 一年前发布,72,"4,629元/平"
装修材料好，采光好，客厅正南，物业低免费停车,钰浦花園 -高新,4室3厅 | 176.07平米 | 北 南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,119,"6,759元/平"
品质小区，精装修可拎包入住。小区物业管理水平高。,英伦庄园 -江油,3室2厅 | 92.4平米 | 东 西 | 精装 | 低楼层(共17层)  | 板塔结合,6人关注 / 一年前发布,79.8,"8,637元/平"
车都民居中庭前后不临街无遮挡大套三 业主诚心出售,车都·民居 -高水,3室2厅 | 150.67平米 | 东 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,84,"5,576元/平"
业主在异地                诚意出售       价格可谈,华丰小区 -国际城,3室2厅 | 76.51平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,55,"7,189元/平"
采光好，交通便利，设施配套齐全,金雨花园 -江油,3室2厅 | 158平米 | 南 北 | 精装 | 中楼层(共7层)  | 板楼,4人关注 / 一年前发布,52,"3,292元/平"
大三房 视野好，中间楼层，采光很好,海赋长兴 -经开区,3室2厅 | 122.01平米 | 西北 东北 | 精装 | 高楼层(共32层)  | 塔楼,0人关注 / 3个月以前发布,135,"11,065元/平"
高水次新小区 满两年，税费低，大三室双卫拎包入住,中央广场 -高水,3室2厅 | 113.73平米 | 南 | 简装 | 中楼层(共22层)  | 板塔结合,0人关注 / 3个月以前发布,113,"9,936元/平"
顺辉花园城 精装别墅 双花园 双车位,顺辉花园城 -江油,5室3厅 | 225.01平米 | 南 北 | 精装 | 低楼层(共4层)  | 暂无数据,28人关注 / 一年前发布,202,"8,978元/平"
金海南城首座阳光里 3室2厅 东南,金海南城首座阳光里 -经开区,3室2厅 | 102.88平米 | 东南 | 精装 | 高楼层(共20层)  | 板塔结合,0人关注 / 2个月以前发布,102,"9,915元/平"
五一广场近单位房正三室拎包入住,四川永安建设有限公司 -1958,3室2厅 | 81.21平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 9个月以前发布,45,"5,542元/平"
中间楼层，精装大两室，采光视野好，正对中庭,富临·大都会 -大都会,2室2厅 | 87.03平米 | 西 | 精装 | 中楼层(共38层)  | 塔楼,8人关注 / 一年前发布,104.8,"12,042元/平"
品质大小区电梯公寓贷车位出售-................,上海城·名人苑 -江油,4室3厅 | 189.2平米 | 西北 南 | 精装 | 高楼层(共15层)  | 塔楼,3人关注 / 一年前发布,94.9,"5,016元/平"
顶跃带平台 ，养花种草全线赏景喝茶烤烧烤等,昊星·观岭8号 -越王楼,4室3厅 | 150.85平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,20人关注 / 一年前发布,117.9,"7,816元/平"
桃花岛精装大三室客厅看江户型方正采光效果好税费低。,桃花岛 -经开区,3室2厅 | 119.57平米 | 西南 | 精装 | 高楼层(共19层)  | 板塔结合,0人关注 / 2个月以前发布,129,"10,789元/平"
花园路中等装修2楼家具家电齐齐出售,涪江丽苑一期 -江油,3室2厅 | 154.86平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 9个月以前发布,56,"3,617元/平"
博雅海润广场，三室双卫带入户花园，阔景阳台、露台。,博雅海润广场 -经开区,5室2厅 | 101平米 | 东南 | 精装 | 低楼层(共31层)  | 塔楼,3人关注 / 一年前发布,133,"13,169元/平"
满五年房屋，胜利街学，自住大三房，2楼,东胜小区 -江油,3室1厅 | 137.94平米 | 东南 | 简装 | 低楼层(共7层)  | 暂无数据,1人关注 / 6个月以前发布,51.4,"3,727元/平"
精装修 顶配原装进口家电  诚心出售 价格可谈,树高三江澜亭A区 -经开区,3室2厅 | 134.44平米 | 东北 | 精装 | 低楼层(共24层)  | 板塔结合,16人关注 / 5个月以前发布,198,"14,728元/平"
园艺山大四居 中庭位置 精装装天花板 难得一见,田森·奥林春天二期 -科创园区,4室2厅 | 134.47平米 | 南 | 精装 | 低楼层(共18层)  | 板塔结合,1人关注 / 1个月以前发布,189,"14,056元/平"
房屋小美风格，装修花费60多万，包含2个产权大车位,久盛華庭 -江油,4室2厅 | 138.3平米 | 南 | 精装 | 低楼层(共11层)  | 板塔结合,0人关注 / 5个月以前发布,129.6,"9,371元/平"
顺河后街，嘉来盛世华庭 邻近河提铁牛广场旁,嘉来盛世华庭 -铁牛广场,4室2厅 | 174.26平米 | 东 | 简装 | 高楼层(共29层)  | 塔楼,14人关注 / 一年前发布,145,"8,321元/平"
房子满二税费低，生活便利，就在成绵路小 学旁边,盛和公寓 -大都会,2室2厅 | 98.82平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,2人关注 / 5个月以前发布,65.5,"6,629元/平"
明月雍景湾3室的，中间楼层，交通便利，停车方便。,明月雍景湾 -江油,3室2厅 | 88.01平米 | 东南 | 精装 | 中楼层(共16层)  | 塔楼,2人关注 / 9个月以前发布,50.2,"5,704元/平"
南河坝大三房。交通便利配。套成熟,文昌街1号 -涪城,3室2厅 | 137.09平米 | 东南 | 简装 | 中楼层(共7层)  | 板塔结合,2人关注 / 10个月以前发布,80.5,"5,873元/平"
江岸山景联排别墅 带屋顶平台 一口花园 带车库,江岸山景 -经开区,5室3厅 | 277.5平米 | 东 | 精装 | 低楼层(共4层)  | 暂无数据,4人关注 / 3个月以前发布,208.1,"7,500元/平"
東原长岛 4室2厅 南 北,东原长岛 -越王楼,4室2厅 | 137.84平米 | 南 北 | 精装 | 中楼层(共9层)  | 板楼,0人关注 / 2个月以前发布,238,"17,267元/平"
房子两梯四户简单装修，总价低，绿化好,桃花岛 -经开区,3室2厅 | 129.36平米 | 南 北 | 简装 | 低楼层(共19层)  | 板塔结合,0人关注 / 1个月以前发布,130,"10,050元/平"
此房地理位置好 ，楼下出小区就是菜市场交通便利 ，,双江一小区 -江油,3室2厅 | 113.48平米 | 东南 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,31,"2,732元/平"
临江房   楼层安逸   材质环保,博雅海润广场 -经开区,3室2厅 | 101.36平米 | 东 西 | 精装 | 高楼层(共31层)  | 塔楼,2人关注 / 一年前发布,148,"14,602元/平"
安州 界牌 河西新区 电梯洋房屋顶带花园,阳光家园 -安州,4室2厅 | 117.57平米 | 西南 | 毛坯 | 高楼层(共6层)  | 板塔结合,5人关注 / 10个月以前发布,55,"4,679元/平"
家具家电齐，可拎包入住，903医院步..,博文·怡康苑 -江油,3室2厅 | 133.9平米 | 东 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 8个月以前发布,49,"3,660元/平"
此房满五唯一，格局通透，采光好！,长城新村一号南苑小区 -江油,3室2厅 | 97.43平米 | 南 北 | 简装 | 高楼层(共6层)  | 板塔结合,1人关注 / 7个月以前发布,35.5,"3,644元/平"
302片区大三室，房东诚意出售,欣欣小区 -江油,3室3厅 | 133.14平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 8个月以前发布,36,"2,704元/平"
顶跃带平台 ，养花种草全线赏景喝茶烤烧烤等,昊星·观岭8号 -越王楼,4室3厅 | 150.85平米 | 西南 | 精装 | 高楼层(共6层)  | 板楼,20人关注 / 一年前发布,117.9,"7,816元/平"
车都民居中庭前后不临街无遮挡大套三 业主诚心出售,车都·民居 -高水,3室2厅 | 150.67平米 | 东 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 一年前发布,84,"5,576元/平"
装修材料好，采光好，客厅正南，物业低免费停车,钰浦花園 -高新,4室3厅 | 176.07平米 | 北 南 | 精装 | 中楼层(共6层)  | 板楼,3人关注 / 一年前发布,119,"6,759元/平"
业主在异地                诚意出售       价格可谈,华丰小区 -国际城,3室2厅 | 76.51平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,0人关注 / 2个月以前发布,55,"7,189元/平"
花园路中等装修2楼家具家电齐齐出售,涪江丽苑一期 -江油,3室2厅 | 154.86平米 | 东南 | 简装 | 低楼层(共7层)  | 板楼,0人关注 / 9个月以前发布,56,"3,617元/平"
博雅海润广场，三室双卫带入户花园，阔景阳台、露台。,博雅海润广场 -经开区,5室2厅 | 101平米 | 东南 | 精装 | 低楼层(共31层)  | 塔楼,3人关注 / 一年前发布,133,"13,169元/平"
桃花岛精装大三室客厅看江户型方正采光效果好税费低。,桃花岛 -经开区,3室2厅 | 119.57平米 | 西南 | 精装 | 高楼层(共19层)  | 板塔结合,0人关注 / 2个月以前发布,129,"10,789元/平"
恒大翡翠华庭精装房源，业主急售,恒大翡翠华庭一期 -经开区,3室2厅 | 90.76平米 | 东南 | 精装 | 低楼层(共33层)  | 塔楼,2人关注 / 一年前发布,89.8,"9,895元/平"
此房满五   精装三连跃   带双平台屋顶花园,博雅海润广场 -经开区,5室2厅 | 74.48平米 | 东南 | 精装 | 高楼层(共25层)  | 塔楼,3人关注 / 一年前发布,149,"20,006元/平"
太白公园旁的房子！出门就是公园！生活更惬意！,银杏音乐花园 -江油,3室2厅 | 116.96平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 9个月以前发布,50,"4,275元/平"
园艺山   好房子   精装修   套三双卫   拎包入住,华润中央公园 -科创园区,3室2厅 | 100.86平米 | 西北 | 精装 | 低楼层(共31层)  | 板楼,14人关注 / 一年前发布,125,"12,394元/平"
高水次新小区 满两年，税费低，大三室双卫拎包入住,中央广场 -高水,3室2厅 | 113.73平米 | 南 | 简装 | 中楼层(共22层)  | 板塔结合,0人关注 / 3个月以前发布,113,"9,936元/平"
金海南城首座阳光里 3室2厅 东南,金海南城首座阳光里 -经开区,3室2厅 | 102.88平米 | 东南 | 精装 | 高楼层(共20层)  | 板塔结合,0人关注 / 2个月以前发布,102,"9,915元/平"
御营坝 江岸山景 全新婚装 拎包入住 关门卖,江岸山景 -经开区,3室1厅 | 106.2平米 | 南 北 | 精装 | 低楼层(共7层)  | 板楼,2人关注 / 2个月以前发布,71.8,"6,761元/平"
房子满五年，一梯二户，户型通透，采光好，交通方便。,阳光苑 -江油,4室3厅 | 207.32平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 5个月以前发布,66,"3,184元/平"
大唐汇一期三室双卫带车位出售！,明月大唐汇 -江油,3室2厅 | 85.92平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 6个月以前发布,70,"8,148元/平"
汇丰路 公园旁好房 中间楼层三房两卫,华丽花园 -江油,3室2厅 | 112.2平米 | 东 | 简装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,42,"3,744元/平"
水岸花都(江油市) 4室2厅 东南,水岸花都(江油市) -江油,4室2厅 | 156.62平米 | 东南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,68,"4,342元/平"
优势的地理位置，交通方便，生活方便,华丰小区 -江油,3室2厅 | 111.05平米 | 西南 | 简装 | 中楼层(共7层)  | 暂无数据,9人关注 / 一年前发布,30,"2,702元/平"
长虹南山一号 3室1厅 南,长虹南山一号 -经开区,3室1厅 | 133.24平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,155,"11,634元/平"
三汇玫瑰花城，精装三室，带车位，拎包入住,三汇玫瑰花城 -经开区,3室2厅 | 101.96平米 | 东南 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 2个月以前发布,129.5,"12,702元/平"
：此房通透格局，视野宽阔，采光充足，交通便利,凤凰台 -科创园区,3室2厅 | 98.16平米 | 东南 | 简装 | 低楼层(共18层)  | 塔楼,3人关注 / 一年前发布,85,"8,660元/平"
东辰座邻，安昌湖畔、品牌家具家电，拎包入住,万豪 · 尊品二期 -高新,3室2厅 | 117.77平米 | 东南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 5个月以前发布,105.6,"8,967元/平"
奥林春天清水大四室，按自己喜欢的风格装修。,田森·奥林春天一期 -科创园区,4室2厅 | 170.58平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,4人关注 / 一年前发布,168,"9,849元/平"
富乐 Z 学，三医院近，交通便利、生活方便、富乐本部.,芙蓉园小区 -富乐山,3室2厅 | 141.85平米 | 东南 | 精装 | 低楼层(共8层)  | 平房,5人关注 / 一年前发布,91,"6,416元/平"
富乐 Z 学，三医院近，交通便利、生活方便、富乐本部.,芙蓉园小区 -富乐山,3室2厅 | 141.85平米 | 东南 | 精装 | 低楼层(共8层)  | 平房,5人关注 / 一年前发布,91,"6,416元/平"
东辰座邻，安昌湖畔、品牌家具家电，拎包入住,万豪 · 尊品二期 -高新,3室2厅 | 117.77平米 | 东南 | 精装 | 高楼层(共26层)  | 板塔结合,0人关注 / 5个月以前发布,105.6,"8,967元/平"
3536小区！房东急售！步梯3楼！拎包入住！,3536 -高新,2室2厅 | 76.82平米 | 南 北 | 精装 | 中楼层(共6层)  | 板楼,0人关注 / 2个月以前发布,49,"6,379元/平"
长虹南山一号 3室1厅 南,长虹南山一号 -经开区,3室1厅 | 133.24平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,155,"11,634元/平"
房子满五年，一梯二户，户型通透，采光好，交通方便。,阳光苑 -江油,4室3厅 | 207.32平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,3人关注 / 5个月以前发布,66,"3,184元/平"
万豪尊品简装两室，户型方正，视野开阔,万豪·尊品 -高新,3室1厅 | 80.03平米 | 北 东北 | 简装 | 高楼层(共18层)  | 板塔结合,10人关注 / 一年前发布,78,"9,747元/平"
长兴星城一期套三双卫，户型方正，精装修,长兴星城一期 -科创园区,3室2厅 | 120.99平米 | 东南 | 精装 | 中楼层(共28层)  | 板塔结合,6人关注 / 一年前发布,146,"12,068元/平"
地段繁华位置好，居家陪读出租都不错，配套设施齐全,嘉和苑 -高新,3室2厅 | 134.22平米 | 南 北 | 简装 | 低楼层(共7层)  | 板楼,1人关注 / 一年前发布,82,"6,110元/平"
西科苑 三室两厅一卫，适合养老陪读,西科苑小区 -青义,3室2厅 | 86.92平米 | 东南 | 简装 | 低楼层(共6层)  | 板楼,7人关注 / 9个月以前发布,50,"5,753元/平"
三汇绿岛品质楼盘大四室视野开阔房东诚意出售,三汇绿岛 -富乐山,4室2厅 | 155.53平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,4人关注 / 一年前发布,140,"9,002元/平"
电梯房，大三室，采光好，人才公园旁。,普明北路东段居委会二组46号 -科创园区,3室2厅 | 130.06平米 | 南 西 | 简装 | 高楼层(共7层)  | 暂无数据,1人关注 / 10个月以前发布,63,"4,844元/平"
园艺山 小高层九洲家园 大套三带衣帽间 采光好 满两年,九洲家园 -科创园区,3室2厅 | 140.35平米 | 东南 | 简装 | 高楼层(共11层)  | 塔楼,0人关注 / 8个月以前发布,89,"6,342元/平"
398精装修三房，低总价，9层新，看房方便,枫璟•398A区 -高新,3室2厅 | 80.87平米 | 东南 | 精装 | 中楼层(共30层)  | 塔楼,1人关注 / 3个月以前发布,84,"10,388元/平"
电梯入户，坡上，对中庭。套四双卫双衣帽间，带平台。,田森·奥林春天二期 -科创园区,4室2厅 | 133.35平米 | 东北 | 精装 | 低楼层(共18层)  | 板塔结合,7人关注 / 5个月以前发布,195,"14,624元/平"
此房是中门大三室 证齐满两年 户型方正 拎包入住,虹色景苑 -科创园区,3室2厅 | 125.1平米 | 东 | 精装 | 中楼层(共8层)  | 板塔结合,1人关注 / 一年前发布,90,"7,195元/平"
高新区长虹天樾旁3室临街可做生意用,龙苑新区 -高新,2室2厅 | 102.89平米 | 东南 | 简装 | 低楼层(共6层)  | 塔楼,0人关注 / 6个月以前发布,76.3,"7,416元/平"
青年广场旁单价6000的套4简装出售,南河花园(涪城区) -南河坝,3室2厅 | 163.55平米 | 东南 | 简装 | 高楼层(共8层)  | 板楼,2人关注 / 一年前发布,103,"6,298元/平"
优势的地理位置，交通方便，生活方便,华丰小区 -江油,3室2厅 | 111.05平米 | 西南 | 简装 | 中楼层(共7层)  | 暂无数据,9人关注 / 一年前发布,30,"2,702元/平"
