标题,开发商,房子信息,发布信息,售价/万,单价
伟星长江之歌 5室2厅 南,伟星长江之歌 -城南滨江版块,5室2厅 | 240平米 | 南 | 其他 | 高楼层(共40层)  | 塔楼,0人关注 / 5天以前发布,361,"15,042元/平"
轻轨房！复式空中墅~装修品质好保养新，镜湖、荟萃,伟星左岸生活A区 -左岸,4室3厅 | 194.54平米 | 南 北 | 精装 | 高楼层(共18层)  | 板楼,4人关注 / 8个月以前发布,396,"20,356元/平"
香樟城市花园的房子，阳光充足，复式楼层，装修比较好,香樟城市花园 -五一广场,4室2厅 | 174.17平米 | 南 北 | 精装 | 高楼层(共7层)  | 板楼,22人关注 / 一年前发布,260,"14,928元/平"
融汇锦江顶复，空中别墅啊 融汇锦江顶复，空中别墅啊,融汇锦江A区 -大砻坊,5室2厅 | 101.89平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 3个月以前发布,141,"13,839元/平"
大四房 有阁楼阳台 视野好 三代同堂不拥挤,月桂都市花园 -五一广场,4室2厅 | 204.05平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,10人关注 / 一年前发布,340,"16,663元/平"
东部星城顶复，精装修，拎包入住,东部星城西区 -大阳垾,4室2厅 | 90.03平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,14人关注 / 7个月以前发布,98,"10,886元/平"
精装修四房 带车位 配套齐全 生活便利,伟星左岸生活A区 -左岸,4室2厅 | 190.35平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 10天以前发布,390,"20,489元/平"
信达▪蓝湖郡 5室2厅 南 北,信达▪蓝湖郡 -汀棠公园,5室2厅 | 240平米 | 南 北 | 其他 | 2层  | 板塔结合 | 联排别墅 ,1人关注 / 16天以前发布,600,"25,000元/平"
电梯顶复 露台田园风  业主诚心出售 欢迎购买,信达▪蓝湖郡 -汀棠公园,4室2厅 | 164.38平米 | 南 北 | 其他 | 高楼层(共15层)  | 板楼,17人关注 / 一年前发布,318,"19,346元/平"
金马小区顶复大户型全天采光满五年,金马小区 -大砻坊,4室2厅 | 144.47平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,129.9,"8,992元/平"
镜湖区复式大四房自带大露台采光刺眼出行便利,紫竹园 -方特一期,4室2厅 | 148.68平米 | 南 北 | 其他 | 高楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,156,"10,493元/平"
品质小区  物业环境优美 看房随时,融汇锦江C区 -大砻坊,4室2厅 | 127平米 | 南 北 | 精装 | 高楼层(共11层)  | 板塔结合,3人关注 / 2个月以前发布,173,"13,623元/平"
华仑港湾大平层 东观日出西瞰江 奢华装修享尊荣,华仑港湾 -城南滨江版块,4室2厅 | 220.24平米 | 南 | 其他 | 中楼层(共43层)  | 板楼,9人关注 / 一年前发布,530,"24,065元/平"
精装修四房 带车位 配套齐全 生活便利,伟星左岸生活A区 -左岸,4室2厅 | 190.35平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 10天以前发布,390,"20,489元/平"
江南新村小区 2室1厅 南 北,江南新村小区 -八佰伴,2室1厅 | 55.57平米 | 南 北 | 其他 | 中楼层(共5层)  | 暂无数据,0人关注 / 1个月以前发布,74,"13,317元/平"
新时代商业街好房源，地段很好，交通便利,新时代商业街 -新时代商业街,2室1厅 | 91.31平米 | 南 | 简装 | 中楼层(共6层)  | 板楼,0人关注 / 30天以前发布,99,"10,843元/平"
孝心楼，业主素质好，好沟通，诚意出售,香格里拉花园 -华强城,2室2厅 | 87.51平米 | 南 北 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,102.8,"11,748元/平"
德邑风尚全新精装两室孝心楼层采光无遮挡,德邑风尚 -华强城,2室2厅 | 78.47平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 1个月以前发布,95,"12,107元/平"
江南春城精装两房拎包入住房东诚心出售,江南春城 -柏庄时代广场,2室2厅 | 72.52平米 | 南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 30天以前发布,65,"8,964元/平"
金元华府房主诚心出售、、、、、、、、、、,金元华府 -无为县,3室2厅 | 127平米 | 南 北 | 其他 | 低楼层(共32层)  | 暂无数据,0人关注 / 27天以前发布,95,"7,481元/平"
弋江嘉园徽韵精装全新两房房东诚心出售,弋江嘉园·徽韵 -柏庄时代广场,2室2厅 | 81.6平米 | 南 北 | 精装 | 高楼层(共6层)  | 板楼,0人关注 / 23天以前发布,75,"9,192元/平"
凤凰城南岛白桦轩   次顶楼采光好   精装修有车位,凤凰城南岛白桦轩 -凤鸣湖景区,2室2厅 | 88.9平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,1人关注 / 27天以前发布,75,"8,437元/平"
阳光花园112平精装三室，有一个24平的地下室,阳光花园A区 -繁昌县,3室2厅 | 112.82平米 | 南 北 | 精装 | 高楼层(共7层)  | 板塔结合,0人关注 / 30天以前发布,89,"7,889元/平"
叠翠苑精装3室 装修保养好，可拎包入住,叠翠苑 -繁昌县,3室2厅 | 136.24平米 | 南 北 | 精装 | 低楼层(共11层)  | 暂无数据,1人关注 / 23天以前发布,85,"6,239元/平"
此房中间楼层 精装小三房 采光好 交通便利,鞍山家园 -四褐山街道,2室1厅 | 81.11平米 | 南 | 其他 | 中楼层(共22层)  | 平房,0人关注 / 20天以前发布,60,"7,398元/平"
婚房装修 保养九成新 精装修毛坯价出售 全天采光 可谈,伊顿公馆二期 -绿地镜湖新城,2室2厅 | 86.49平米 | 南 | 精装 | 高楼层(共29层)  | 板楼,0人关注 / 25天以前发布,107.8,"12,464元/平"
叠翠苑 3室2厅 南,叠翠苑 -繁昌县,3室2厅 | 129.4平米 | 南 | 精装 | 中楼层(共11层)  | 暂无数据,1人关注 / 30天以前发布,92,"7,110元/平"
城市之光 精装二房 几乎全新 满五唯一 拎包入住诚心卖,城市之光第一街区 -雕塑公园,2室2厅 | 84.92平米 | 南 | 精装 | 高楼层(共16层)  | 板楼,0人关注 / 29天以前发布,133,"15,662元/平"
国贸江景两房 精装全丢 带车位 满五唯一,国贸天琴湾 -城南滨江版块,2室2厅 | 99.42平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 16天以前发布,165,"16,597元/平"
中江新村西区，产证满五唯一，多层顶复,中江新村西区 -新时代商业街,5室1厅 | 143.06平米 | 东南 南 | 简装 | 高楼层(共6层)  | 板楼,0人关注 / 3个月以前发布,105,"7,340元/平"
铁佛花园 电梯房，近步行街，生活方便，交通便利，,铁佛花园 -中山路步行街,2室2厅 | 90.99平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 14天以前发布,139,"15,277元/平"
狮子山庄 精装两房 11中旁 刺眼采光 随时看房,狮子山庄 -八佰伴,2室1厅 | 81.04平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 16天以前发布,85,"10,489元/平"
美加印象 2室2厅 南,美加印象 -华强城,2室2厅 | 85.46平米 | 南 | 其他 | 中楼层(共18层)  | 板塔结合,0人关注 / 15天以前发布,106,"12,404元/平"
伊顿公馆精装2房，业主急售，随时看房子,绿地镜湖世纪城伊顿公馆一期 -绿地镜湖新城,2室2厅 | 86.32平米 | 南 | 精装 | 低楼层(共24层)  | 板塔结合,0人关注 / 13天以前发布,100,"11,585元/平"
精装全设 户型方正 诚心出售  看中随时签约,旭日天都二组团 -伟星星悦广场,2室1厅 | 84.41平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 13天以前发布,95,"11,255元/平"
中上楼层 采光好 精装修 拎包入住,绿地镜湖世纪城凯旋尚品 -绿地镜湖新城,2室2厅 | 77.63平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 11天以前发布,87,"11,208元/平"
小面积两房，首付少，两年左右的婚房装修,南瑞新城瑞东园 -南瑞新城,2室1厅 | 56.88平米 | 南 | 其他 | 高楼层(共7层)  | 板塔结合,0人关注 / 13天以前发布,53,"9,318元/平"
鸠兹家苑馨园 2室2厅 南,鸠兹家苑馨园 -大阳垾,2室2厅 | 92.3平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,0人关注 / 9天以前发布,80,"8,668元/平"
中间楼层|总价不高|南北通透|满五唯一,东部星城东区 -大阳垾,2室1厅 | 62.33平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,0人关注 / 9天以前发布,60,"9,627元/平"
此房诚意出售，格局方正，配套此房诚意出售，,无为碧桂园翡翠印象 -无为县,4室1厅 | 136平米 | 南 北 | 毛坯 | 高楼层(共15层)  | 暂无数据,0人关注 / 1个月以前发布,92,"6,765元/平"
房产证面积141 实际面积180多,中俊誉墅 -无为县,4室2厅 | 141平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 暂无数据,0人关注 / 25天以前发布,166,"11,774元/平"
此房南北通格局，楼层好，视野宽阔，采光充足,碧桂园塘溪源著 -柏庄时代广场,4室2厅 | 142.35平米 | 南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 28天以前发布,208,"14,612元/平"
融创玉兰公馆 3室2厅 南,融创玉兰公馆 -三山时代广场,3室2厅 | 112.3平米 | 南 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 1个月以前发布,90,"8,015元/平"
东方红郡科技房，大三室位置好！近轻轨2号线政务站,东方红郡怡园 -芜湖市政府,3室2厅 | 135平米 | 南 | 简装 | 高楼层(共16层)  | 板楼,132人关注 / 1个月以前发布,205,"15,186元/平"
东方龙城•景福苑 2室1厅 南,东方龙城•景福苑 -大砻坊,2室1厅 | 57.98平米 | 南 | 毛坯 | 中楼层(共27层)  | 塔楼,0人关注 / 1个月以前发布,81,"13,971元/平"
碧桂园翡翠公园毛坯新房118平方三室两厅两卫88万,碧桂园翡翠公园 -无为县,3室2厅 | 118平米 | 南 北 | 毛坯 | 低楼层(共16层)  | 暂无数据,0人关注 / 22天以前发布,88,"7,458元/平"
城北公园旁，新里城龙祥苑113平双卫毛坯三室业主急售,新里城龙祥苑 -BOBO商业步行街,3室2厅 | 112平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 暂无数据,0人关注 / 17天以前发布,95,"8,483元/平"
金元华府，好楼层，精装修，户型方正，诚心出售价可议,金元华府 -无为县,3室2厅 | 127平米 | 南 北 | 精装 | 中楼层(共26层)  | 暂无数据,0人关注 / 19天以前发布,96,"7,560元/平"
此房是业主买一手房一直空闲，南北三居 看房签约随时,紫约拉菲庄园 -无为县,3室2厅 | 127.59平米 | 南 北 | 毛坯 | 低楼层(共17层)  | 板楼,0人关注 / 24天以前发布,95,"7,446元/平"
上下两层 复式结构 正对青弋江 无遮挡采光 无出让金,棠梅园小区B区 -绿地镜湖新城,3室2厅 | 76.05平米 | 南 北 | 精装 | 高楼层(共5层)  | 板楼,1人关注 / 28天以前发布,71,"9,336元/平"
业主诚售碧桂园精装三房，户型方正，南北对流通风好。,碧桂园钻石湾天悦 -无为县,3室2厅 | 118.8平米 | 南 北 | 精装 | 高楼层(共11层)  | 暂无数据,0人关注 / 24天以前发布,137,"11,532元/平"
伟星长江之歌 4室2厅 南,伟星长江之歌 -城南滨江版块,4室2厅 | 276平米 | 南 | 毛坯 | 高楼层(共41层)  | 暂无数据,0人关注 / 25天以前发布,590,"21,377元/平"
精装，业主诚心出售，随时看房，价格可以谈,翰林公馆 -中央城财富街,3室2厅 | 101.25平米 | 南 | 精装 | 低楼层(共33层)  | 板塔结合,0人关注 / 31天以前发布,169,"16,692元/平"
此房阳光充足，楼层好，出行便利,世纪花园 -无为县,3室2厅 | 135平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 25天以前发布,135,"10,000元/平"
位置好 两梯3户 小高层 采光好 居住舒适 格局方正,官山花园 -八佰伴,3室1厅 | 116.37平米 | 南 | 毛坯 | 高楼层(共15层)  | 板塔结合,0人关注 / 28天以前发布,225,"19,335元/平"
蓝鼎柏悦园  118.13平  107万  房东诚心出售看房方便,蓝鼎中央城柏悦园 -无为县,3室1厅 | 118.13平米 | 南 北 | 其他 | 中楼层(共33层)  | 暂无数据,0人关注 / 24天以前发布,107,"9,058元/平"
东紫园，新上房源，全新毛坯 一次未住，随时看房,东紫园 -大阳垾,3室2厅 | 101.49平米 | 南 北 | 毛坯 | 低楼层(共8层)  | 板楼,0人关注 / 21天以前发布,122,"12,021元/平"
好楼层 南北格局 3房2卫大户型 有钥匙随时看房,官山花园 -八佰伴,3室1厅 | 122平米 | 南 | 毛坯 | 高楼层(共32层)  | 板塔结合,0人关注 / 30天以前发布,230,"18,853元/平"
一~中~，你值得拥有  ！！！！！！！！,兆通大观花园 -芜湖市政府,3室2厅 | 139.39平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,0人关注 / 一年前发布,245,"17,577元/平"
福达花园，精装修！采光无遮挡，满五！,福达花园 -弋矶山,3室2厅 | 110平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,1人关注 / 一年前发布,165,"15,000元/平"
莲塘新村 精装小三房 满2年无大税 点开仔细看实景更好,莲塘新邨藕香园 -方特一期,3室1厅 | 64.53平米 | 南 北 | 其他 | 高楼层(共7层)  | 塔楼,0人关注 / 一年前发布,74,"11,468元/平"
亚联商城 3室1厅 南,亚联商城 -中山路步行街,3室1厅 | 94.47平米 | 南 | 其他 | 高楼层(共7层)  | 暂无数据,0人关注 / 一年前发布,95,"10,057元/平"
团结新村四村 2室1厅 南,团结新村四村 -弋矶山,2室1厅 | 47.09平米 | 南 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 9个月以前发布,94,"19,962元/平"
锦天花苑南区 5室2厅 南 北,锦天花苑南区 -中山路步行街,5室2厅 | 202.28平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,270,"13,348元/平"
高速御府  安师大   三开间朝南,高速御府 -柏庄时代广场,3室2厅 | 114.2平米 | 南 北 | 其他 | 低楼层(共8层)  | 板塔结合,2人关注 / 一年前发布,165,"14,449元/平"
中江！看看我的比他们都好！！！！,兆通大观花园 -芜湖市政府,3室2厅 | 139.39平米 | 南 | 其他 | 中楼层(共16层)  | 板楼,1人关注 / 一年前发布,255,"18,294元/平"
高速御府 3室2厅 南,高速御府 -柏庄时代广场,3室2厅 | 109.37平米 | 南 | 其他 | 高楼层(共34层)  | 板塔结合,1人关注 / 9个月以前发布,149,"13,624元/平"
长江湾1号 3室2厅 南,长江湾1号 -弋矶山,3室2厅 | 131.62平米 | 南 | 其他 | 中楼层(共18层)  | 板楼,0人关注 / 一年前发布,212,"16,107元/平"
颐景湾畔 叠墅大平层 位置好 采光好,颐景湾畔 -方特一期,3室2厅 | 153.4平米 | 南 | 其他 | 4层  | 板楼,9人关注 / 9个月以前发布,310,"20,209元/平"
汇成名郡 3室2厅 南,汇成名郡 -柏庄时代广场,3室2厅 | 96.76平米 | 南 | 其他 | 中楼层(共6层)  | 板楼,5人关注 / 一年前发布,170,"17,570元/平"
房东诚心出售 ，满五唯一，户型方正，采光好,兆通大观花园 -芜湖市政府,3室2厅 | 133.83平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,2人关注 / 7个月以前发布,202,"15,094元/平"
伟星城精装3房  无个税  家具家电齐全  中上楼层,伟星城5期 -伟星星悦广场,3室2厅 | 117.12平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,179,"15,284元/平"
美加印象 3室2厅 南,美加印象 -华强城,3室2厅 | 119.52平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,1人关注 / 2个月以前发布,150,"12,551元/平"
黄果山供电小区 3室1厅 南 北,黄果山供电小区 -八佰伴,3室1厅 | 75.32平米 | 南 北 | 其他 | 高楼层(共6层)  | 暂无数据,3人关注 / 9个月以前发布,110,"14,605元/平"
此房通风好，楼层好，全天采光，入户花园，全新毛坯,翰林公馆 -中央城财富街,4室2厅 | 142.45平米 | 南 | 毛坯 | 高楼层(共15层)  | 板塔结合,6人关注 / 一年前发布,280,"19,657元/平"
万科城南区+满二年+精装修三房+中间位置+采光充畅,万科城南区 -伟星星悦广场,3室2厅 | 87.31平米 | 南 | 其他 | 低楼层(共17层)  | 板楼,3人关注 / 一年前发布,149,"17,066元/平"
工农路  户型好   采光好  配套齐全,工农路 -八佰伴,2室1厅 | 58.99平米 | 南 | 其他 | 高楼层(共6层)  | 板楼,3人关注 / 一年前发布,77,"13,054元/平"
文津花园 有车位 公摊小 视野好,文津花园 -中央城财富街,3室2厅 | 90.15平米 | 南 北 | 其他 | 高楼层(共6层)  | 板楼,1人关注 / 5个月以前发布,175,"19,413元/平"
金色水岸 精装南北三房 满五 中间楼层 有钥匙,金色水岸 -汀棠公园,3室2厅 | 96.93平米 | 南 北 | 其他 | 中楼层(共17层)  | 板楼,14人关注 / 一年前发布,175,"18,055元/平"
国贸天琴湾精装大3房，南北户型，配套齐全，即买即住,国贸天琴湾 -城南滨江版块,4室2厅 | 166.66平米 | 南 北 | 其他 | 低楼层(共33层)  | 板楼,8人关注 / 一年前发布,332,"19,921元/平"
南北通  透，飞机户型，格局好，采光无遮挡,信达外滩府 -八佰伴,3室2厅 | 122.98平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,330,"26,834元/平"
金域蓝湾，毛坯大三房，三室二卫的，诚心出售,伟星金域蓝湾A区 -新时代商业街,3室2厅 | 143.42平米 | 南 北 | 毛坯 | 低楼层(共34层)  | 板楼,24人关注 / 一年前发布,209,"14,573元/平"
春暖花开精装修三房 房东诚心出售,柏庄春暖花开 -柏庄时代广场,3室2厅 | 101.17平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,7人关注 / 一年前发布,154,"15,222元/平"
金浩仁和天地，大三房，采光无遮挡,金浩·仁和天地 -芜湖市政府,3室2厅 | 112.09平米 | 南 | 其他 | 高楼层(共19层)  | 板楼,8人关注 / 一年前发布,165,"14,721元/平"
芜湖碧桂园白鹭湾 2室2厅 南,芜湖碧桂园白鹭湾 -龙湖街道,2室2厅 | 85.72平米 | 南 | 精装 | 低楼层(共30层)  | 板塔结合,8人关注 / 一年前发布,56.5,"6,592元/平"
美式全新精装修，实木家具，真皮沙发，拎包即住,东方龙城采薇苑 -大砻坊,3室2厅 | 130.23平米 | 南 | 精装 | 中楼层(共34层)  | 板楼,7人关注 / 一年前发布,198,"15,204元/平"
育红小  学旁  仅靠滨江公园  步行街旁  随时看房,吉园小区 -中山路步行街,3室1厅 | 97.52平米 | 南 | 其他 | 中楼层(共6层)  | 暂无数据,1人关注 / 10个月以前发布,152,"15,587元/平"
绿地伊顿公馆二期 独栋 大三房 1万3 毛坯 随时看,伊顿公馆二期 -绿地镜湖新城,3室2厅 | 138.4平米 | 南 北 | 简装 | 高楼层(共33层)  | 板塔结合,2人关注 / 9个月以前发布,178,"12,862元/平"
此房是顶楼复式，地理位置好，楼上还个大阳台，大三室,中江新村东区 -新时代商业街,3室2厅 | 109.42平米 | 南 | 其他 | 高楼层(共7层)  | 板楼,21人关注 / 一年前发布,98,"8,957元/平"
老人小孩的居住选择，医院，学*，100米处.,红梅新村 -五一广场,2室1厅 | 56.55平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,10人关注 / 一年前发布,79,"13,970元/平"
东部星城 电梯三房 满二无大税 随时看房,东部星城东区 -大阳垾,3室2厅 | 90.85平米 | 南 北 | 其他 | 低楼层(共9层)  | 板楼,2人关注 / 一年前发布,87,"9,577元/平"
万达商圈 南北户型 洋房的中层 全天采光 诚意出售,荣盛华府 -雕塑公园,3室2厅 | 137.69平米 | 南 北 | 其他 | 高楼层(共11层)  | 板楼,5人关注 / 8个月以前发布,230,"16,705元/平"
此小区常年鸟语花香，生活居住舒适。,劳动路132号 -八佰伴,2室2厅 | 95.9平米 | 南 北 | 其他 | 高楼层(共6层)  | 塔楼,0人关注 / 5个月以前发布,115,"11,992元/平"
美加印象精装三房 南北通透采光充足,美加印象 -华强城,3室2厅 | 124.66平米 | 南 北 | 其他 | 低楼层(共20层)  | 板塔结合,0人关注 / 1个月以前发布,165,"13,237元/平"
水岸星城 3室2厅 南 北,水岸星城 -绿地镜湖新城,3室2厅 | 106平米 | 南 北 | 其他 | 中楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,70,"6,604元/平"
满两年没有大税，伟星物业24小时安保管理,香格里拉花园 -华强城,3室2厅 | 127.12平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,169,"13,295元/平"
信德华府毛坯大三房 南北通 靠公园 随时看房,信德华府 -银湖公园,3室2厅 | 91.74平米 | 南 | 其他 | 低楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,115,"12,536元/平"
此房满两年无增值税，婚房装修，干净简约，楼层采光好,万科城北区 -伟星星悦广场,3室2厅 | 89.12平米 | 南 | 精装 | 中楼层(共16层)  | 板楼,1人关注 / 2个月以前发布,133,"14,924元/平"
小区绿化覆盖较好，配有娱乐设施，,新华联·梦想城 -鸠兹古镇,3室2厅 | 131.6平米 | 南 | 其他 | 低楼层(共16层)  | 板楼,4人关注 / 一年前发布,138,"10,487元/平"
政务旁一楼带院子，全新毛坯 视野开阔 通风效果好,安展·蔚然家园 -芜湖市政府,3室1厅 | 169.45平米 | 南 | 毛坯 | 低楼层(共11层)  | 板塔结合,2人关注 / 5个月以前发布,283.8,"16,749元/平"
品质小区 户型方正 房东诚心出售  随时可以看房,万科城南区 -伟星星悦广场,3室1厅 | 113.98平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 3个月以前发布,190,"16,670元/平"
户型方正| 南北双阳台 |诚心出售,新华联·梦想城 -鸠兹古镇,3室2厅 | 122.59平米 | 南 | 其他 | 中楼层(共11层)  | 板楼,1人关注 / 一年前发布,168,"13,705元/平"
赛纳丽城  大三房 无增值税 楼层好 视野开阔 随时看房,城市庄园住宅赛纳丽城小区 -华强城,3室2厅 | 134.19平米 | 南 | 其他 | 低楼层(共18层)  | 板塔结合,15人关注 / 一年前发布,193,"14,383元/平"
玲珑湾 全新毛坯小三房 靠湖  小区中间位置  全天采光,伟星玲珑湾 -凤鸣湖景区,3室2厅 | 86.43平米 | 南 | 其他 | 中楼层(共17层)  | 板楼,0人关注 / 一年前发布,98,"11,339元/平"
此房是二期的多层的房子，通透户型，全天采光，公摊小,伟星玲珑湾 -凤鸣湖景区,3室2厅 | 88.88平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,0人关注 / 11个月以前发布,88,"9,901元/平"
伟星玲珑湾 次新小区 人车分流 环境优美,伟星玲珑湾 -凤鸣湖景区,3室2厅 | 103.79平米 | 南 | 其他 | 低楼层(共17层)  | 板塔结合,10人关注 / 一年前发布,90,"8,672元/平"
房东诚心出售，。南北通透采光好,柏庄春暖花开 -柏庄时代广场,2室1厅 | 90.02平米 | 南 北 | 其他 | 低楼层(共18层)  | 板塔结合,3人关注 / 一年前发布,145,"16,108元/平"
罗兰小镇，全新毛坯，楼层好，采光刺眼,罗兰小镇 -未知商圈,4室2厅 | 141.63平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,4人关注 / 一年前发布,155,"10,945元/平"
江景三居室 中上楼层 业主诚心出售 随时看房,城市庄园住宅赛纳丽城小区 -华强城,3室2厅 | 98.93平米 | 南 北 | 其他 | 高楼层(共16层)  | 板塔结合,2人关注 / 一年前发布,150,"15,163元/平"
东紫园电梯洋房  满二无贷款 看中随时签约,东紫园 -大阳垾,3室2厅 | 120.48平米 | 南 | 其他 | 中楼层(共8层)  | 板楼,6人关注 / 9个月以前发布,167.8,"13,928元/平"
伟星玲珑湾 3室2厅 南,伟星玲珑湾 -凤鸣湖景区,3室2厅 | 88.26平米 | 南 | 其他 | 高楼层(共6层)  | 板塔结合,2人关注 / 8个月以前发布,100,"11,331元/平"
城市之光第四街区 3室2厅 南 北,城市之光第四街区 -雕塑公园,3室2厅 | 123.41平米 | 南 北 | 其他 | 高楼层(共16层)  | 暂无数据,1人关注 / 7个月以前发布,220,"17,827元/平"
香江碧水城 2室2厅 南,香江碧水城 -凤鸣湖景区,2室2厅 | 91.38平米 | 南 | 其他 | 中楼层(共6层)  | 板塔结合,2人关注 / 一年前发布,90,"9,849元/平"
阳光绿苑 低总价 育红荟萃 配套设施齐全,阳光绿苑 -中山路步行街,2室2厅 | 60.45平米 | 南 北 | 其他 | 高楼层(共7层)  | 板楼,48人关注 / 一年前发布,68,"11,249元/平"
伟星玲珑湾一期  开发商精装带车位，中上楼层湖景房！,伟星玲珑湾 -凤鸣湖景区,3室2厅 | 85.86平米 | 南 | 其他 | 中楼层(共17层)  | 板塔结合,0人关注 / 8个月以前发布,93,"10,832元/平"
芜湖碧桂园白鹭湾 3室2厅 南 北,芜湖碧桂园白鹭湾 -龙湖街道,3室2厅 | 129.08平米 | 南 北 | 其他 | 中楼层(共32层)  | 板塔结合,1人关注 / 7个月以前发布,98,"7,593元/平"
城市之光四街区  非一非顶  业主诚心卖 价格可谈,城市之光第四街区 -雕塑公园,3室1厅 | 122.72平米 | 南 | 其他 | 低楼层(共16层)  | 暂无数据,3人关注 / 11个月以前发布,175,"14,261元/平"
此房满2 无增值税 看房方便 业主要异地置业诚心出售,官山翰林 -八佰伴,2室1厅 | 85.81平米 | 南 | 其他 | 中楼层(共31层)  | 板塔结合,0人关注 / 1个月以前发布,180,"20,977元/平"
满二朝南、楼层好视野开阔采光足、配套完善、交通便利,柏庄春暖花开 -柏庄时代广场,4室2厅 | 128.69平米 | 南 | 其他 | 高楼层(共11层)  | 板塔结合,51人关注 / 一年前发布,170,"13,211元/平"
朝向南北户型通透，看房方便，满两年无大税。,龙湖湾 -BOBO商业步行街,3室2厅 | 106.47平米 | 南 北 | 其他 | 中楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,85,"7,984元/平"
朝向南北户型通透，小区环境优美，产权清晰业主出售,龙湖湾 -BOBO商业步行街,3室2厅 | 104.03平米 | 南 | 毛坯 | 高楼层(共26层)  | 板塔结合,0人关注 / 2个月以前发布,80,"7,691元/平"
中梁江城 毛坯大四房 户型南北通透 采光充足 视野好,中梁江城1621 -柏庄时代广场,4室2厅 | 119.23平米 | 南 北 | 其他 | 高楼层(共34层)  | 塔楼,0人关注 / 5个月以前发布,158,"13,252元/平"
中梁江城1621 房型板正 双大阳台,中梁江城1621 -柏庄时代广场,4室2厅 | 121.03平米 | 南 | 其他 | 低楼层(共34层)  | 塔楼,8人关注 / 一年前发布,166,"13,716元/平"
赭园小区简装两房，随时看房，交通便利，,赭园小区 -镜湖中心,2室1厅 | 69.54平米 | 南 | 简装 | 高楼层(共6层)  | 板楼,9人关注 / 一年前发布,72,"10,354元/平"
产证满5年唯一 住房中上楼层 随时看房 采光好,兆通大观花园 -芜湖市政府,3室2厅 | 129.66平米 | 南 北 | 精装 | 中楼层(共17层)  | 板楼,4人关注 / 4个月以前发布,160,"12,340元/平"
东方龙城雅乐苑南区 三室精装修,东方龙城雅乐苑南区 -大砻坊,3室2厅 | 91.84平米 | 南 | 其他 | 低楼层(共34层)  | 板楼,8人关注 / 一年前发布,115,"12,522元/平"
中梁1621全新毛坯房 一次未住 看房便利,中梁江城1621 -柏庄时代广场,4室2厅 | 119.23平米 | 北 南 | 毛坯 | 低楼层(共34层)  | 塔楼,4人关注 / 10个月以前发布,145,"12,162元/平"
翡翠公园一楼边户带院子130平三室两厅两卫105万,碧桂园翡翠公园 -无为县,4室2厅 | 130.29平米 | 南 北 | 其他 | 低楼层(共9层)  | 暂无数据,0人关注 / 16天以前发布,108,"8,290元/平"
