标题,开发商,房子信息,发布信息,售价/万,单价
箭八组合，步梯3楼，离菜市近，户型方正，采光好,华庭苑 -箭盘山,3室2厅 | 129.79平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,0人关注 / 10天以前发布,103,"7,936元/平"
公园派出所宿舍 柳江河畔 配套齐全 环境好,公园派出所宿舍 -五星商圈,2室2厅 | 73平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,3人关注 / 一年前发布,48,"6,576元/平"
此房满五不唯一，楼层好，视野开阔,中房胜利小区六区 -胜利商圈,1室1厅 | 48.74平米 | 南 | 精装 | 中楼层(共32层)  | 塔楼,5人关注 / 一年前发布,42,"8,618元/平"
此房证满5年，孝心2楼，适合老人小孩居住，一家人居住,富鸿蔚澜湾 -柳钢商圈,2室2厅 | 79.16平米 | 南 北 | 毛坯 | 低楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,62.7,"7,921元/平"
立新路好房出售　中装两房　总价低单价实惠！,立新路44号 -五星商圈,2室1厅 | 53.83平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,6人关注 / 一年前发布,47,"8,732元/平"
煤田单位宿舍，三房一厅，户型方正，交通便利,煤田单位宿舍 -龙潭公园,3室1厅 | 58.55平米 | 东 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 6个月以前发布,45,"7,686元/平"
楼层结构：采光好 无遮挡 楼距也很宽，配套完善,鹿山嘉园 -马鹿山商圈,3室2厅 | 123.59平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 塔楼,3人关注 / 一年前发布,90,"7,283元/平"
跃进路糖果厂宿舍两房一厅一厨一卫,糖果厂宿舍 -黄村商圈,2室1厅 | 62.27平米 | 西 东 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,34,"5,461元/平"
北雀路.柳化职工住宅楼+正规两房，中高楼层，带柴房,柳化职工住宅楼 -胜利商圈,2室2厅 | 60.96平米 | 南 北 | 简装 | 中楼层(共5层)  | 平房,8人关注 / 10个月以前发布,33,"5,414元/平"
香颂诺丁山小区  电梯3房公摊少 毛坯 装修风格你作主,香颂潭中西路33号项目 -十一冶商圈,3室2厅 | 100.83平米 | 南 北 | 毛坯 | 中楼层(共34层)  | 平房,5人关注 / 一年前发布,64.8,"6,427元/平"
如果要考虑，建议您看完这套房子，一定不会让您失望,文惠路63号 -五星商圈,2室2厅 | 60.68平米 | 西南 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,41,"6,757元/平"
来福新居，115平，3房2厅2卫，二楼，报96万,来福新居 -航一路商圈,3室2厅 | 115平米 | 南 | 精装 | 低楼层(共6层)  | 板塔结合,0人关注 / 一年前发布,88,"7,653元/平"
高新区，文源华都精装三房，电梯中层，税费低,文源华都紫京城 -高新技术开发区,3室2厅 | 113.04平米 | 南 | 精装 | 低楼层(共30层)  | 塔楼,5人关注 / 5个月以前发布,190,"16,809元/平"
海润阳光2栋门面，面积近35平，可使用70平，已装修。,海润阳光 -柳城县,2室1厅 | 34.78平米 | 南 | 简装 | 低楼层(共1层)  | 暂无数据,0人关注 / 7个月以前发布,26.8,"7,706元/平"
柳江区金碧苑清水毛坯 价格优惠,腾安世纪金碧苑 -柳江商业广场,3室2厅 | 115.53平米 | 南 北 | 毛坯 | 高楼层(共34层)  | 板塔结合,0人关注 / 一年前发布,65,"5,627元/平"
桂中花苑 精装 3房 带一层6台 业主诚心出售,桂中花苑 -桂中商圈,3室1厅 | 95.64平米 | 南 北 | 简装 | 高楼层(共9层)  | 板塔结合,0人关注 / 7个月以前发布,77.5,"8,104元/平"
华润万象府 3室2厅 南,华润万象府 -柳东新区,3室2厅 | 104.05平米 | 南 | 毛坯 | 中楼层(共14层)  | 暂无数据,1人关注 / 6个月以前发布,86,"8,266元/平"
万达旁聚贤佳苑大三房，方正户型，好楼层,聚贤佳苑 -城中万达,3室2厅 | 149.03平米 | 南 | 毛坯 | 高楼层(共18层)  | 塔楼,4人关注 / 10个月以前发布,142,"9,529元/平"
十五中  景行小   雅儒路   江景房,滨江西路 -青云商圈,2室1厅 | 65.59平米 | 南 | 简装 | 高楼层(共9层)  | 板楼,4人关注 / 8个月以前发布,49,"7,471元/平"
桂中大道   中房世纪广场4房  体育中  心旁,中房世纪广场 -高新技术开发区,3室2厅 | 140.61平米 | 东 南 | 毛坯 | 中楼层(共56层)  | 板塔结合,2人关注 / 一年前发布,185,"13,157元/平"
柳城县靓房出售.............,隆升小区 -柳城县,2室1厅 | 70.02平米 | 南 | 毛坯 | 高楼层(共11层)  | 暂无数据,10人关注 / 一年前发布,21.5,"3,071元/平"
新希望三房两厅，精装修，南北通，满五唯一，诚心出售,新希望 -河东开发区,3室2厅 | 131.2平米 | 南 | 精装 | 中楼层(共18层)  | 塔楼,6人关注 / 一年前发布,123,"9,375元/平"
城中区滨江东路证满税底红本在手,滨江东路(柳江路) -五星商圈,2室2厅 | 84.7平米 | 南 北 | 简装 | 中楼层(共8层)  | 板塔结合,1人关注 / 一年前发布,90,"10,626元/平"
业主诚心出售，龙光玖珑府中间楼层，视野好彩光足,龙光玖珑府 -柳东新区,3室2厅 | 87.22平米 | 东南 | 毛坯 | 中楼层(共32层)  | 平房,4人关注 / 8个月以前发布,57,"6,536元/平"
西班牙小区精装3房2厅2卫，电梯好楼层，视野开阔.,西班牙名园 -柳城县,3室2厅 | 129.17平米 | 南 北 | 精装 | 中楼层(共28层)  | 塔楼,0人关注 / 2个月以前发布,73,"5,652元/平"
柳城繁华地段小区，物业费用低，高性价,西班牙名园 -柳城县,3室2厅 | 105.94平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,2人关注 / 7个月以前发布,38.8,"3,663元/平"
此小区封闭式环境优雅，交通便利，适合各种人群居住。,柳城碧桂园 -柳城县,4室2厅 | 143.42平米 | 南 北 | 毛坯 | 中楼层(共18层)  | 暂无数据,3人关注 / 10个月以前发布,64.8,"4,519元/平"
此房源地理位置好，小区好交通便利，适合各种人群居住,日田地王国际 -柳城县,3室2厅 | 124.33平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,0人关注 / 8个月以前发布,53.8,"4,328元/平"
文华苑小区，精装修两房两厅，小区安静,文华苑 -柳城县,2室2厅 | 85.34平米 | 南 北 | 精装 | 中楼层(共6层)  | 暂无数据,0人关注 / 7个月以前发布,37,"4,336元/平"
富都商城中间楼层，采光通风好、毛坯房,富都商城 -柳城县,3室2厅 | 129.51平米 | 南 北 | 毛坯 | 中楼层(共7层)  | 暂无数据,0人关注 / 6个月以前发布,42,"3,243元/平"
金地华府 3室2厅 南 北,金地华府 -鹿寨县,3室2厅 | 112平米 | 南 北 | 毛坯 | 低楼层(共12层)  | 平房,1人关注 / 7个月以前发布,59,"5,268元/平"
兆兴园 温馨简约的两房 花园社区 直接入住,兆兴园 -柳邕路商圈,2室2厅 | 87.51平米 | 东北 | 精装 | 高楼层(共6层)  | 塔楼,0人关注 / 4个月以前发布,65,"7,428元/平"
白云小区一村小3房，售价6字头,白云小区一村 -九头山,3室1厅 | 65.11平米 | 南 北 | 简装 | 高楼层(共8层)  | 板楼,13人关注 / 一年前发布,39,"5,990元/平"
和谐家园电梯小两房，精装修，业主急售,和谐家园 -航四路商圈,2室1厅 | 45.71平米 | 南 | 简装 | 高楼层(共18层)  | 板塔结合,0人关注 / 一年前发布,41.8,"9,145元/平"
金鹅小区 此房证满五唯一，视野宽阔，采光充足,金鹅福地 -城站路商圈,2室2厅 | 88.71平米 | 南 北 | 精装 | 高楼层(共32层)  | 板楼,0人关注 / 2个月以前发布,74,"8,342元/平"
兆兴园精装大三房位于小区花园边。,兆兴园 -柳邕路商圈,3室2厅 | 105.56平米 | 南 北 | 精装 | 中楼层(共7层)  | 板塔结合,4人关注 / 一年前发布,74,"7,011元/平"
柳北区老配套出行方便，房子户型方正采光好,桃源居 -胜利商圈,2室2厅 | 83.96平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,3人关注 / 11个月以前发布,50,"5,956元/平"
此房业主诚心出售，看房方便，证满不唯一,桥园小区 -颐华·雍和城,3室2厅 | 129.73平米 | 南 北 | 毛坯 | 中楼层(共6层)  | 塔楼,0人关注 / 一年前发布,85,"6,553元/平"
楼层低小区干净整洁空气新鲜绿化很好 配套成熟,徽州小院 -龙潭公园,3室2厅 | 99.6平米 | 南 | 精装 | 中楼层(共6层)  | 板塔结合,1人关注 / 10个月以前发布,76,"7,631元/平"
嘉年华庭 精装3房 安全 安静 安心,嘉年華庭 -石尚1966,3室2厅 | 96.87平米 | 南 北 | 简装 | 中楼层(共7层)  | 板塔结合,10人关注 / 一年前发布,76,"7,846元/平"
户型方正，采光通风良好，居住，养老都很好,和興園 -杨柳郡商圈,2室2厅 | 69.49平米 | 北 | 简装 | 低楼层(共23层)  | 塔楼,4人关注 / 一年前发布,59,"8,491元/平"
柳邕路.华韵上城.精装2房2厅.电梯中层.彩光充足,华韵上城 -基隆商圈,2室2厅 | 83.04平米 | 东南 | 精装 | 高楼层(共18层)  | 板塔结合,0人关注 / 2个月以前发布,62,"7,467元/平"
地理位置优越，配套齐全，交通便捷，采光充足,柳二空职工生活小区 -汽车总站,2室2厅 | 68.09平米 | 南 北 | 简装 | 高楼层(共8层)  | 暂无数据,3人关注 / 9个月以前发布,36,"5,288元/平"
彰泰城毛坯四房出售诚心出售，南北通透带车位,彰泰城 -河东开发区,4室2厅 | 117.87平米 | 南 北 | 毛坯 | 低楼层(共33层)  | 塔楼,0人关注 / 7个月以前发布,148,"12,557元/平"
优质两房，诚心出售，空气好清新,柳泥小区 -河西商圈,2室2厅 | 64.49平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,18.3,"2,838元/平"
德润商圈 华林君邸 步梯4楼 4＋1房 得房高,华林君邸 -石尚1966,4室1厅 | 161.72平米 | 东南 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 4个月以前发布,149,"9,214元/平"
汇景天城3房 朝南户型 清水毛坯 户型方正,兴佳•汇景天城 -河东开发区,3室2厅 | 96.57平米 | 南 | 毛坯 | 中楼层(共27层)  | 暂无数据,160人关注 / 9个月以前发布,83,"8,595元/平"
华展华园 清水毛坯 电梯2房 园林绿化 家主诚心出售,华展·华园 -万象城商圈,2室1厅 | 79.25平米 | 南 | 毛坯 | 中楼层(共22层)  | 板塔结合,9人关注 / 一年前发布,77,"9,717元/平"
成熟小区 小两房 总价低 交通便利  买菜方便~,西船大院 -西江宾馆,2室2厅 | 60.01平米 | 南 | 简装 | 高楼层(共7层)  | 板楼,1人关注 / 8个月以前发布,42,"6,999元/平"
柳南区城站路94号二区步梯二房子空置。,城站路94号二区 -汽车总站,2室2厅 | 59.99平米 | 南 北 | 简装 | 高楼层(共7层)  | 板楼,0人关注 / 7个月以前发布,30,"5,001元/平"
全新毛坯房任意装修，使用空间大,兴佳•汇景天城 -河东开发区,3室1厅 | 88.8平米 | 东南 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 一年前发布,90,"10,136元/平"
康盛花苑3楼 毛坯3房急售 随时过户,康盛花苑 -基隆商圈,3室2厅 | 101.71平米 | 东南 | 毛坯 | 中楼层(共8层)  | 暂无数据,0人关注 / 4个月以前发布,55,"5,408元/平"
此房满二唯一，南朝向，户型方正电梯房白沙大桥绿城旁,利华嘉园 -杨柳郡商圈,2室1厅 | 61.43平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,0人关注 / 2个月以前发布,58,"9,442元/平"
阳光100城市广场见江朝南三房空房出售,阳光100城市广场D2区 -阳光100商圈,3室2厅 | 116.63平米 | 南 | 精装 | 高楼层(共28层)  | 塔楼,11人关注 / 10个月以前发布,103,"8,832元/平"
飞鹅路精装婚房电梯房视野无遮挡，业主诚心卖采光充足,谷埠街国际商城 -谷埠街商圈,3室1厅 | 96.51平米 | 南 | 精装 | 中楼层(共21层)  | 板塔结合,0人关注 / 一年前发布,83,"8,601元/平"
跃进路东三巷 35中旁 保利旁,跃进路东三巷小区 -保利商圈,2室2厅 | 66.85平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,55,"8,228元/平"
跃进路东三巷 35中旁 保利旁,跃进路东三巷小区 -保利商圈,2室2厅 | 66.85平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,55,"8,228元/平"
满二唯一 电梯中层 全新装修未入住 急售,华柳佳苑 -永前路商圈,3室2厅 | 107.56平米 | 南 北 | 精装 | 高楼层(共17层)  | 塔楼,4人关注 / 11个月以前发布,98,"9,112元/平"
汇景天城毛坯现房电梯中层视野好,兴佳•汇景天城 -河东开发区,4室2厅 | 110.85平米 | 南 北 | 毛坯 | 中楼层(共30层)  | 暂无数据,3人关注 / 9个月以前发布,105,"9,473元/平"
此房满五税低 无欠款 视野很开拓 采光明亮,风情港购物中心 -五星商圈,2室2厅 | 87.44平米 | 南 | 精装 | 高楼层(共49层)  | 塔楼,8人关注 / 一年前发布,94.2,"10,774元/平"
此房方正，采光好阳光充足，环境优美，交通便利，,盛天龙湾北区 -古亭山商圈,1室1厅 | 48.7平米 | 东南 | 精装 | 高楼层(共25层)  | 塔楼,3人关注 / 一年前发布,28,"5,750元/平"
蝴蝶园健康楼层即买即收租两房急售,蝴蝶园 -九头山,2室1厅 | 69.14平米 | 南 | 简装 | 中楼层(共8层)  | 塔楼,3人关注 / 3个月以前发布,36.5,"5,280元/平"
城南步梯中楼层，采光通风好，户型方正,宁鑫苑 -鹿寨县,3室2厅 | 113.47平米 | 南 北 | 简装 | 中楼层(共7层)  | 暂无数据,14人关注 / 一年前发布,48,"4,231元/平"
柳南万达 商圈 航鹰 兆安俊园 中层 精装修 拎包入住,兆安俊园二期 -航二路商圈,3室2厅 | 104.42平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,5人关注 / 7个月以前发布,77,"7,375元/平"
北站路8号一楼带柴房三房出售，价格实惠,北站路8号 -三中商圈,3室1厅 | 79.23平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,5人关注 / 一年前发布,55,"6,942元/平"
飞鹅商圈，户型方正、采光通透、林溪小区3房,林溪小区 -永前路商圈,3室2厅 | 86.96平米 | 南 | 简装 | 中楼层(共7层)  | 塔楼,0人关注 / 6个月以前发布,62,"7,130元/平"
晶远花苑  铸造厂生活区  成熟地段,铸造厂生活区 -箭盘山,2室2厅 | 61平米 | 南 | 简装 | 高楼层(共8层)  | 板塔结合,19人关注 / 一年前发布,36,"5,902元/平"
保利商圈景秀园顺风区步梯两房朝南户型视野开阔采光足,景秀园顺风区 -保利商圈,2室1厅 | 70.61平米 | 南 | 精装 | 高楼层(共7层)  | 塔楼,1人关注 / 10个月以前发布,56,"7,931元/平"
均价5200，朝南户型，凤凰楼层，采光通风好，满五税低,丽江新村 -雅儒商圈,2室1厅 | 63平米 | 南 | 简装 | 高楼层(共8层)  | 板楼,0人关注 / 1个月以前发布,33,"5,239元/平"
恒大城精装房  大三房 户型方正,恒大城 -古亭山商圈,3室2厅 | 114.5平米 | 南 | 精装 | 高楼层(共32层)  | 塔楼,2人关注 / 一年前发布,86,"7,511元/平"
46中旁林溪小区 82平米 方正3房2厅 仅售52万 随时看房,林溪小区 -永前路商圈,3室2厅 | 81.7平米 | 南 | 简装 | 高楼层(共7层)  | 塔楼,0人关注 / 5个月以前发布,50,"6,120元/平"
桂中花苑 3室2厅 南,桂中花苑 -桂中商圈,3室2厅 | 95.64平米 | 南 | 精装 | 低楼层(共9层)  | 板塔结合,0人关注 / 5个月以前发布,89.5,"9,359元/平"
桂中商圈 三大院 户型方正 三面采光通风走路读书,市直机关三大院 -桂中商圈,3室2厅 | 106.44平米 | 南 | 简装 | 高楼层(共7层)  | 板塔结合,1人关注 / 5个月以前发布,91.5,"8,597元/平"
拎包入住的精装楼中楼.附双露台.南北通透.视野开阔.,兆安四季花城 -航三路商圈,3室2厅 | 151.75平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,0人关注 / 2个月以前发布,89,"5,865元/平"
润和苑二期 3房 方正，空间感好，空气通透,润和苑二期 -城站路商圈,3室2厅 | 120.55平米 | 南 北 | 精装 | 中楼层(共8层)  | 板楼,0人关注 / 2个月以前发布,85,"7,052元/平"
海润阳光一楼门面，简单装修，总价低，经营店面优选。,海润阳光 -柳城县,1室1厅 | 40.04平米 | 南 | 简装 | 低楼层(共18层)  | 暂无数据,1人关注 / 11个月以前发布,20,"4,996元/平"
河东万象城 大城小院 孝心一楼,碧园大城小院 -万象城商圈,3室2厅 | 110.37平米 | 南 | 精装 | 低楼层(共18层)  | 塔楼,16人关注 / 一年前发布,93,"8,427元/平"
荣军路比较好的一个小区完全的电梯房居住方便,碧桂园城央首府·珑府 -九头山,4室2厅 | 144.16平米 | 南 | 毛坯 | 中楼层(共17层)  | 板楼,2人关注 / 一年前发布,115,"7,978元/平"
屏山小区，低楼层，采光好，户型方正,屏山小區 -箭盘山,3室1厅 | 73.49平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,28人关注 / 10个月以前发布,44,"5,988元/平"
华展华园  电梯舒适三房 户型方正 含全屋家具家电,华展·华园 -万象城商圈,3室2厅 | 126.36平米 | 北 | 精装 | 高楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,126,"9,972元/平"
南北通透三居室 低楼层 精装空闲  柳南,广电小区 -航二路商圈,3室2厅 | 91.89平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,59.8,"6,508元/平"
柳南区成熟社区，户型方正，采光很好，花园式小区！,香颂潭中西路33号项目 -十一冶商圈,2室2厅 | 75.24平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,50,"6,646元/平"
此房满五不唯一。型方正 视野宽阔。,怡园新苑 -柳钢商圈,2室1厅 | 61.36平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,32,"5,216元/平"
柳南区鹅岗路利民小区精装3房带柴房户型方正,利民小区 -飞鹅商圈,3室2厅 | 108.59平米 | 南 | 简装 | 中楼层(共8层)  | 板楼,6人关注 / 一年前发布,87,"8,012元/平"
柳南银山万达一步之遥，航生航五学府，首期18W,万润濠庭 -航四路商圈,3室2厅 | 103.23平米 | 东南 | 毛坯 | 低楼层(共30层)  | 板塔结合,0人关注 / 8个月以前发布,84.8,"8,215元/平"
清水毛坯，4房2厅2卫，南北对流通透,魅力首座 -航三路商圈,4室2厅 | 137.39平米 | 南 北 | 毛坯 | 中楼层(共28层)  | 塔楼,6人关注 / 一年前发布,107,"7,789元/平"
华展华园  电梯舒适三房 户型方正 含全屋家具家电,华展·华园 -万象城商圈,3室2厅 | 126.36平米 | 北 | 精装 | 高楼层(共18层)  | 板塔结合,6人关注 / 一年前发布,126,"9,972元/平"
三〇五核地质大队 3室2厅 东南,三〇五核地质大队 -航二路商圈,3室2厅 | 86.57平米 | 东南 | 精装 | 低楼层(共7层)  | 板塔结合,0人关注 / 3个月以前发布,58,"6,700元/平"
龙潭公园旁精美公园式小区，价格美丽 业主诚心出售,大美天第 -龙潭公园,3室2厅 | 130.14平米 | 南 北 | 精装 | 低楼层(共8层)  | 板塔结合,0人关注 / 4个月以前发布,107,"8,222元/平"
南北通透三居室 低楼层 精装空闲  柳南,广电小区 -航二路商圈,3室2厅 | 91.89平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,0人关注 / 2个月以前发布,59.8,"6,508元/平"
此房满五不唯一。型方正 视野宽阔。,怡园新苑 -柳钢商圈,2室1厅 | 61.36平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,32,"5,216元/平"
柳南区成熟社区，户型方正，采光很好，花园式小区！,香颂潭中西路33号项目 -十一冶商圈,2室2厅 | 75.24平米 | 南 北 | 毛坯 | 高楼层(共33层)  | 塔楼,2人关注 / 一年前发布,50,"6,646元/平"
天悦华府现房毛坯  3房2厅2卫 户型朝南 好楼层,天悦华府 -基隆商圈,3室2厅 | 95.75平米 | 北 | 毛坯 | 中楼层(共30层)  | 板楼,2人关注 / 10个月以前发布,70,"7,311元/平"
柳南万达银山和美隔壁四季花城精装电梯2房急售,兆安四季花城 -航三路商圈,2室2厅 | 89.64平米 | 南 北 | 精装 | 中楼层(共16层)  | 板塔结合,0人关注 / 7个月以前发布,65,"7,252元/平"
福柳宏都 2室2厅 南 北,福柳宏都 -西环商圈,2室2厅 | 78.79平米 | 南 北 | 精装 | 高楼层(共7层)  | 塔楼,4人关注 / 9个月以前发布,49,"6,220元/平"
朝南向，楼层好，采光充足。配套设施齐全，交通便利。,正和城二期 -柳东新区,3室2厅 | 90.45平米 | 南 北 | 精装 | 高楼层(共30层)  | 板楼,2人关注 / 一年前发布,75,"8,292元/平"
海关路 中级人民法院宿舍 弯小文华书院 00年房,柳州市中级人民法院宿舍 -桂中商圈,3室2厅 | 120.63平米 | 南 | 精装 | 中楼层(共8层)  | 板楼,14人关注 / 一年前发布,105,"8,705元/平"
基隆经典方方正正无遮挡靓靓靓房,金岭市场综合楼 -基隆商圈,3室2厅 | 110.1平米 | 南 北 | 精装 | 中楼层(共5层)  | 板楼,4人关注 / 8个月以前发布,63.8,"5,795元/平"
临江巷靓房出售　中装两房两厅　价钱实惠！,保险公司宿舍-临江巷6号 -广雅商圈,2室2厅 | 76平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,3人关注 / 一年前发布,51,"6,711元/平"
基隆8号地精装三房 满五唯一税费少有车库 有车位,基隆开发区居宁路西六街21号 -航五路商圈,3室2厅 | 98.28平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,57.5,"5,851元/平"
通风好，楼间距宽，无遮挡视野好。,正和城C区 -柳东新区,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,3人关注 / 一年前发布,66,"6,948元/平"
基隆优质三房，电梯房，户型方正，价格美丽,金御华府 -基隆商圈,3室1厅 | 95.78平米 | 南 | 毛坯 | 高楼层(共20层)  | 板楼,0人关注 / 7个月以前发布,62.5,"6,526元/平"
阳光三楼 高得房率两房 读书方便 入户花园,保险公司宿舍-临江巷6号 -广雅商圈,2室1厅 | 63.07平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 11个月以前发布,54.8,"8,689元/平"
燎原路白云小区三村带装修三房视野好上校近,白云小区三村 -九头山,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 5个月以前发布,80,"6,780元/平"
柳南万达商圈宝城苑步梯4楼简装3房总价合理随时看房,宝城苑 -柳南万达,3室2厅 | 106.38平米 | 南 | 简装 | 中楼层(共7层)  | 板楼,7人关注 / 一年前发布,63,"5,923元/平"
步步高商圈北站路15号两房出售，价格实惠，户型方正,北站路15号 -步步高商圈,2室1厅 | 58.87平米 | 南 北 | 简装 | 高楼层(共7层)  | 暂无数据,2人关注 / 3个月以前发布,34,"5,776元/平"
户型方正，客厅宽房间大，采光好，配套完善便利,雒容林纸厂宿舍 -柳东新区,2室1厅 | 66平米 | 南 北 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,25,"3,788元/平"
房满两年 楼层高 视野开阔 通风采光好,盛天悦景台悦锦园 -东环商厦,3室2厅 | 122.91平米 | 南 | 毛坯 | 中楼层(共31层)  | 板楼,3人关注 / 10个月以前发布,119,"9,682元/平"
华韵上城电梯三房两卫毛坯首套12万月共2000多,华韵上城 -基隆商圈,3室2厅 | 106.52平米 | 南 北 | 毛坯 | 低楼层(共18层)  | 板塔结合,0人关注 / 1个月以前发布,65,"6,103元/平"
晶远花苑，步梯3楼，户型好，适合刚需人群，采光充足,晶远花苑 -箭盘山,2室1厅 | 73.04平米 | 南 | 精装 | 中楼层(共8层)  | 板塔结合,6人关注 / 9个月以前发布,50,"6,846元/平"
一楼带花园，户型方正，采光通风，南北通透，拎包入住,川海友邻 -鹿寨县,3室1厅 | 129.25平米 | 南 北 | 精装 | 低楼层(共11层)  | 板楼,2人关注 / 4个月以前发布,65,"5,030元/平"
碧桂园悦府 全新毛胚大三房 户型方正 采光通透,碧桂园悦府 -九头山,3室2厅 | 103.07平米 | 南 北 | 毛坯 | 高楼层(共18层)  | 板楼,2人关注 / 6个月以前发布,82,"7,956元/平"
航二路，民航苑，没有公摊面积的，3房2厅，总价65,民航苑 -柳邕路商圈,3室2厅 | 92.29平米 | 南 | 精装 | 高楼层(共6层)  | 暂无数据,2人关注 / 8个月以前发布,58,"6,285元/平"
万达旁精装修大三房，步梯中间楼层，房东急售,金山麗園 -航一路商圈,3室2厅 | 126.47平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 8个月以前发布,82,"6,484元/平"
鱼峰区柳石路宝莲大厦步梯四楼大三房单价5千多,宝莲大厦 -九头山,3室2厅 | 133.99平米 | 南 | 毛坯 | 中楼层(共5层)  | 塔楼,0人关注 / 5个月以前发布,80,"5,971元/平"
电梯楼房楼层好。瞰视风雨桥人来车往,和谐家园公寓 -三江侗族自治县,2室0厅 | 69.97平米 | 南 北 | 精装 | 中楼层(共11层)  | 暂无数据,0人关注 / 一年前发布,33,"4,717元/平"
燎原路白云小区三村带装修三房视野好上校近,白云小区三村 -九头山,3室2厅 | 118平米 | 南 | 精装 | 中楼层(共7层)  | 板塔结合,0人关注 / 5个月以前发布,80,"6,780元/平"
临江巷靓房出售　中装两房两厅　价钱实惠！,保险公司宿舍-临江巷6号 -广雅商圈,2室2厅 | 76平米 | 南 | 精装 | 高楼层(共8层)  | 板塔结合,3人关注 / 一年前发布,51,"6,711元/平"
基隆8号地精装三房 满五唯一税费少有车库 有车位,基隆开发区居宁路西六街21号 -航五路商圈,3室2厅 | 98.28平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,57.5,"5,851元/平"
恒大御景湾 5室3厅2卫 140.5平,恒大御景湾 -阳和商圈,5室3厅 | 140.5平米 | 南 | 精装 | 低楼层(共7层)  | 暂无数据,1人关注 / 一年前发布,160,"11,388元/平"
阳光三楼 高得房率两房 读书方便 入户花园,保险公司宿舍-临江巷6号 -广雅商圈,2室1厅 | 63.07平米 | 南 | 简装 | 中楼层(共7层)  | 板塔结合,0人关注 / 11个月以前发布,54.8,"8,689元/平"
通风好，楼间距宽，无遮挡视野好。,正和城C区 -柳东新区,3室2厅 | 95平米 | 南 | 精装 | 高楼层(共26层)  | 塔楼,3人关注 / 一年前发布,66,"6,948元/平"
基隆优质三房，电梯房，户型方正，价格美丽,金御华府 -基隆商圈,3室1厅 | 95.78平米 | 南 | 毛坯 | 高楼层(共20层)  | 板楼,0人关注 / 7个月以前发布,62.5,"6,526元/平"
一站到龙潭公园，一楼即菜市，满五唯一无贷无公摊,龙潭小区 -龙潭公园,3室1厅 | 81.48平米 | 西北 | 简装 | 中楼层(共8层)  | 暂无数据,28人关注 / 一年前发布,46,"5,646元/平"
新希望正正三房两厅一卫，户型方正,新希望 -河东开发区,3室2厅 | 91.46平米 | 南 北 | 精装 | 高楼层(共11层)  | 塔楼,0人关注 / 3个月以前发布,100,"10,934元/平"
低楼层 户型方正 采光很好 通风及好,金鸿福邸 -柳东新区,3室2厅 | 117.74平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,2人关注 / 6个月以前发布,59.8,"5,079元/平"
雒容广场旁105平方三房两厅一卫急售,广元路33号 -柳东新区,3室2厅 | 104.27平米 | 南 | 简装 | 中楼层(共6层)  | 暂无数据,1人关注 / 一年前发布,58,"5,563元/平"
