标题,开发商,房子信息,发布信息,售价/万,单价
好房推荐盛世雲景153平仅售90万,盛世雲景 -卫东区,4室2厅 | 153.36平米 | 东 | 精装 | 高楼层(共11层)  | 板塔结合,0人关注 / 25天以前发布,90,"5,869元/平"
凤凰花园，含车位9万，户型好，餐客一体,凤凰花园A03春华苑 -新华区,3室2厅 | 140平米 | 南 西 | 毛坯 | 低楼层(共28层)  | 平房,0人关注 / 3个月以前发布,105,"7,500元/平"
临湖位置，合理4室精装40万带停车车位拎包入住！,康馨苑 -新华区,4室2厅 | 196平米 | 东 | 精装 | 高楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,136,"6,939元/平"
三室两厅一卫.有证.看房方便.精装修,西堤漫步小区 -新华区,3室2厅 | 95平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,4人关注 / 5个月以前发布,69,"7,264元/平"
姚电大道，鹰城铭座，有证满二，大套可办公,鹰城铭座 -湛河区,3室2厅 | 181平米 | 东 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 7个月以前发布,150,"8,288元/平"
临湖位置，合理4室精装40万带停车车位拎包入住！,康馨苑 -新华区,4室2厅 | 196平米 | 东 | 精装 | 高楼层(共5层)  | 暂无数据,3人关注 / 一年前发布,136,"6,939元/平"
凤凰小区 4室2厅 南 北,凤凰小区 -湛河区,4室2厅 | 180平米 | 南 北 | 毛坯 | 高楼层(共30层)  | 板塔结合,0人关注 / 3个月以前发布,118,"6,556元/平"
和谐佳苑上上城4室两厅141平有证可贷款,和谐佳苑上上城 -卫东区,4室2厅 | 141平米 | 东 | 精装 | 中楼层(共16层)  | 暂无数据,1人关注 / 5个月以前发布,77,"5,461元/平"
恒大珺睿府一期现房123平 精装修 3室2厅2卫,平顶山恒大珺睿府 -湛河区,3室2厅 | 123平米 | 西 | 精装 | 低楼层(共28层)  | 暂无数据,0人关注 / 2个月以前发布,98,"7,968元/平"
大乘领仕馆现房毛坯户型好随时看房相中再谈价钱,大乘领仕馆 -湛河区,3室2厅 | 130平米 | 东 | 毛坯 | 低楼层(共18层)  | 暂无数据,1人关注 / 8个月以前发布,69,"5,308元/平"
电梯房东方星河湾，3室精装房，带家具家电，急售,东方星河湾 -湛河区,3室2厅 | 160平米 | 南 | 精装 | 低楼层(共24层)  | 板楼,2人关注 / 7个月以前发布,88,"5,500元/平"
：荣邦花园小区3 室2厅2卫 小区环境干净舒适 适合居住,荣邦花园二期 -卫东区,3室2厅 | 124平米 | 东 | 精装 | 中楼层(共29层)  | 暂无数据,0人关注 / 1个月以前发布,103,"8,307元/平"
图书馆对 面有证可分期，大三室可 4室,湛南路246号 -湛河区,3室2厅 | 133.6平米 | 南 | 简装 | 高楼层(共7层)  | 平房,2人关注 / 6个月以前发布,59.9,"4,484元/平"
工作调动诚意出售，低于市场价，水岸豪庭现房直接装修,水岸豪庭 -新华区,3室2厅 | 128平米 | 东北 | 毛坯 | 中楼层(共25层)  | 暂无数据,29人关注 / 一年前发布,70,"5,469元/平"
三室两厅一卫.有证.看房方便.精装修,西堤漫步小区 -新华区,3室2厅 | 95平米 | 南 北 | 精装 | 中楼层(共18层)  | 暂无数据,4人关注 / 5个月以前发布,69,"7,264元/平"
姚电大道，鹰城铭座，有证满二，大套可办公,鹰城铭座 -湛河区,3室2厅 | 181平米 | 东 | 精装 | 低楼层(共22层)  | 板塔结合,0人关注 / 7个月以前发布,150,"8,288元/平"
恒大名都129平三室两厅两卫，有证有暖可分期,平顶山恒大名都 -湛河区,3室2厅 | 129平米 | 东北 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 3个月以前发布,95,"7,365元/平"
矿工路新华路西南角～步梯6楼～干净整洁,天意花园 -卫东区,3室2厅 | 145平米 | 南 | 简装 | 高楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,77,"5,311元/平"
新城区康馨苑，大三室两厅两卫，有证有暖,康馨苑 -新华区,3室2厅 | 150平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,99.8,"6,654元/平"
上上城精装修三室两厅两卫证件齐全,和谐佳苑上上城 -卫东区,3室2厅 | 135平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,2人关注 / 11个月以前发布,67,"4,963元/平"
恒大御景半岛3室2厅2卫 有证有暖精装修 品牌家具家电,恒大御景半岛 -新华区,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共18层)  | 平房,0人关注 / 5个月以前发布,130,"9,775元/平"
凯蒂名苑   步梯四楼   大阳台  有证  可随时过户,凯蒂名苑 -湛河区,3室2厅 | 148平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 8个月以前发布,68,"4,595元/平"
装修风格简单温馨您可以选择直接拎包入住,龙腾国际 -湛河区,3室2厅 | 135平米 | 东北 | 精装 | 高楼层(共27层)  | 塔楼,1人关注 / 8个月以前发布,85,"6,297元/平"
中兴路湛渔台豪园3室两厅两卫，户型方正，有证可贷款,湛渔台豪园 -新华区,3室2厅 | 164.74平米 | 西北 | 简装 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,98,"5,949元/平"
九龙广场精装修151平，四室仅售100万,九龙广场 -湛河区,4室2厅 | 151平米 | 东 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 4个月以前发布,100,"6,623元/平"
中房紫丁苑  103平3室  全新装修未入住,紫汀苑 -湛河区,3室2厅 | 103平米 | 南 | 精装 | 中楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,60,"5,826元/平"
湛河旁  春华国际名都，三卧朝南.可走一首房贷款,春华国际茗都 -湛河区,3室2厅 | 125平米 | 东 | 毛坯 | 低楼层(共32层)  | 暂无数据,1人关注 / 10个月以前发布,75,"6,000元/平"
倾城小区顶层复式 上下三层可分为两套三室住宅随时看,倾城小区 -湛河区,6室4厅 | 260平米 | 东 | 简装 | 高楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,116,"4,462元/平"
九龙广场精装修134平方89万三开间朝南,九龙广场 -湛河区,3室2厅 | 133.33平米 | 南 北 | 精装 | 低楼层(共32层)  | 板塔结合,0人关注 / 4个月以前发布,89,"6,676元/平"
中梁壹号院三室两厅两卫毛坯房。,中梁壹号院 -新华区,3室2厅 | 109平米 | 南 | 毛坯 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,72,"6,606元/平"
华庭四季城95平3室精装有证满2餐客一体,华廷四季城 -湛河区,3室2厅 | 95平米 | 西南 | 精装 | 中楼层(共33层)  | 板楼,3人关注 / 7个月以前发布,54,"5,685元/平"
大乘领仕馆中层毛坯现房139平3室2厅2卫,大乘领仕馆 -湛河区,3室2厅 | 139平米 | 西 | 毛坯 | 中楼层(共22层)  | 暂无数据,0人关注 / 4个月以前发布,79,"5,684元/平"
带车库，带院子！新城区洋房12复式，水岸豪庭毛坯房,水岸豪庭 -新华区,4室3厅 | 156平米 | 南 北 | 毛坯 | 4层  | 暂无数据 | 联排别墅 ,7人关注 / 5个月以前发布,120,"7,693元/平"
恒大名都137平大三室两厅两卫带储藏室精装 有证满二,平顶山恒大名都 -湛河区,3室2厅 | 137平米 | 东南 | 精装 | 高楼层(共33层)  | 暂无数据,0人关注 / 7个月以前发布,96,"7,008元/平"
jungang花园141平3室  有证有暖,优越路126号 -卫东区,3室2厅 | 141平米 | 南 | 简装 | 低楼层(共7层)  | 暂无数据,0人关注 / 2个月以前发布,102,"7,235元/平"
大乘领仕馆中层毛坯现房139平3室2厅2卫,大乘领仕馆 -湛河区,3室2厅 | 139平米 | 西 | 毛坯 | 中楼层(共22层)  | 暂无数据,0人关注 / 4个月以前发布,79,"5,684元/平"
九龙广场精装修151平，四室仅售100万,九龙广场 -湛河区,4室2厅 | 151平米 | 东 | 精装 | 中楼层(共33层)  | 板塔结合,2人关注 / 4个月以前发布,100,"6,623元/平"
建业十八城 三室两厅  小区环境干净舒适 适合居住,建业十八城 -新华区,3室2厅 | 118平米 | 南 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 8个月以前发布,80,"6,780元/平"
随时约看，视野开阔，契税满两年,常绿·九天庄园 -新华区,3室2厅 | 130平米 | 东 | 精装 | 中楼层(共29层)  | 塔楼,1人关注 / 一年前发布,148,"11,385元/平"
君临天下小区 3室2厅交通便利 小区环境舒适 适合居住,君临天下 -新华区,3室2厅 | 135.21平米 | 东 | 精装 | 中楼层(共24层)  | 塔楼,0人关注 / 5个月以前发布,96,"7,101元/平"
叠加别墅三层带车库带露台大使用面积邻白龟湖森林半岛,建业森林半岛 -新华区,4室2厅 | 287平米 | 南 北 | 毛坯 | 中楼层(共4层)  | 暂无数据,5人关注 / 一年前发布,280,"9,757元/平"
中梁壹号院前排湖景房 127平有证有暖.一梯一户中,中梁壹号院 -新华区,3室2厅 | 127平米 | 东 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,80,"6,300元/平"
中兴路湛渔台豪园3室两厅两卫，户型方正，有证可贷款,湛渔台豪园 -新华区,3室2厅 | 164.74平米 | 西北 | 简装 | 高楼层(共32层)  | 暂无数据,0人关注 / 3个月以前发布,98,"5,949元/平"
凯蒂名苑   步梯四楼   大阳台  有证  可随时过户,凯蒂名苑 -湛河区,3室2厅 | 148平米 | 南 北 | 简装 | 中楼层(共7层)  | 板楼,4人关注 / 8个月以前发布,68,"4,595元/平"
装修风格简单温馨您可以选择直接拎包入住,龙腾国际 -湛河区,3室2厅 | 135平米 | 东北 | 精装 | 高楼层(共27层)  | 塔楼,1人关注 / 8个月以前发布,85,"6,297元/平"
恒大御景半岛3室2厅2卫 有证有暖精装修 品牌家具家电,恒大御景半岛 -新华区,3室2厅 | 133平米 | 南 | 精装 | 低楼层(共18层)  | 平房,0人关注 / 5个月以前发布,130,"9,775元/平"
新城区康馨苑，大三室两厅两卫，有证有暖,康馨苑 -新华区,3室2厅 | 150平米 | 南 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,99.8,"6,654元/平"
上上城精装修三室两厅两卫证件齐全,和谐佳苑上上城 -卫东区,3室2厅 | 135平米 | 南 | 精装 | 低楼层(共7层)  | 板塔结合,2人关注 / 11个月以前发布,67,"4,963元/平"
可观湖！中间楼层，采光充足，交通便利，环境好物业好,中梁壹号院 -新华区,3室2厅 | 108平米 | 南 | 毛坯 | 中楼层(共33层)  | 塔楼,0人关注 / 一年前发布,75,"6,945元/平"
南北通透，有证满二，餐客分离户型，附带私家大平台,常绿·大阅城 -新华区,3室2厅 | 118平米 | 南 北 | 精装 | 高楼层(共24层)  | 板塔结合,12人关注 / 一年前发布,80,"6,780元/平"
建业十八城77平+77平上下两层一楼带花园带车位,建业十八城 -新华区,2室2厅 | 77平米 | 南 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 一年前发布,99,"12,858元/平"
水岸佳苑129平米三室双卫精装修拎包入住有证有暖,水岸佳苑 -卫东区,3室2厅 | 127.88平米 | 西南 南 | 精装 | 高楼层(共30层)  | 板塔结合,2人关注 / 11个月以前发布,71,"5,553元/平"
康馨苑 湖景房 中间楼层 3室2卫 精装修 随时过户,康馨苑 -新华区,3室2厅 | 161平米 | 南 | 精装 | 中楼层(共6层)  | 塔楼,0人关注 / 1个月以前发布,110,"6,833元/平"
理想家，152平4室2厅2卫精装修户型方正适合居住楼层好,理想家 -湛河区,4室2厅 | 152平米 | 西 | 精装 | 低楼层(共19层)  | 板楼,0人关注 / 4个月以前发布,95,"6,250元/平"
锦绣花园  精装室空房   3室2厅有证可贷款,锦绣花园 -湛河区,3室2厅 | 144平米 | 东 | 精装 | 低楼层(共6层)  | 暂无数据,0人关注 / 一年前发布,79,"5,487元/平"
春华国际，106平简装3室，釆光好，,春华国际茗都 -湛河区,3室2厅 | 106平米 | 南 | 简装 | 中楼层(共27层)  | 暂无数据,3人关注 / 一年前发布,62,"5,850元/平"
逸居印象湖景房，3室两厅两卫！看房方便,逸居印象 -新华区,3室2厅 | 142平米 | 南 北 | 毛坯 | 低楼层(共29层)  | 暂无数据,3人关注 / 一年前发布,95,"6,691元/平"
湛景苑全湖，此房满3年，户型方正，出行方便，舒适。,湛景苑 -新华区,3室2厅 | 148平米 | 东 | 毛坯 | 高楼层(共22层)  | 塔楼,0人关注 / 8个月以前发布,110,"7,433元/平"
大四居室，户型方正，格局合理，湖景房！,蓝湾翠园 -新华区,4室2厅 | 181平米 | 南 北 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,147,"8,122元/平"
抢了!翠林蓝湾电梯精装大三房户型漂亮有证,翠林蓝湾D区 -新华区,3室2厅 | 164平米 | 南 北 | 精装 | 中楼层(共11层)  | 板楼,2人关注 / 一年前发布,125,"7,622元/平"
百汇国贸 三室两厅 采光好 视野开阔,百汇国贸中心 -新华区,3室2厅 | 121平米 | 东南 | 简装 | 低楼层(共33层)  | 暂无数据,1人关注 / 10个月以前发布,93,"7,686元/平"
林溪美境毛坯4室两厅两卫！随时看房,林溪美境 -新华区,4室2厅 | 145平米 | 东 | 毛坯 | 低楼层(共32层)  | 板楼,6人关注 / 一年前发布,92,"6,345元/平"
金水桶大厦三室两厅两卫，西南户采光好看湛河一览无余,金水桶大厦 -新华区,3室2厅 | 120平米 | 南 | 简装 | 高楼层(共29层)  | 暂无数据,0人关注 / 一年前发布,95,"7,917元/平"
凌云路雅苑小区多层复式270多平方的五室三厅精装修,雅苑小区 -新华区,5室3厅 | 273平米 | 西 | 精装 | 高楼层(共6层)  | 板楼,1人关注 / 8个月以前发布,165,"6,044元/平"
通透明亮，品质社区蓝湾新城，精装三房两厅，满五唯一,蓝湾新城 -新华区,3室2厅 | 139平米 | 南 | 精装 | 高楼层(共29层)  | 塔楼,0人关注 / 4个月以前发布,108,"7,770元/平"
恒大御景半岛 3室2厅 东,恒大御景半岛 -新华区,3室2厅 | 135平米 | 东 | 精装 | 高楼层(共23层)  | 塔楼,0人关注 / 3个月以前发布,135,"10,000元/平"
蓝湾新城 3室2厅 南,蓝湾新城 -新华区,3室2厅 | 138平米 | 南 | 简装 | 中楼层(共28层)  | 塔楼,0人关注 / 3个月以前发布,125,"9,058元/平"
豫森时代新城 3室2厅 西南,豫森时代新城 -湛河区,3室2厅 | 135平米 | 西南 | 毛坯 | 中楼层(共30层)  | 暂无数据,0人关注 / 3个月以前发布,75,"5,556元/平"
十八城洋房，CBD位置。未来发展空间很大，小区环境,建业十八城 -新华区,4室2厅 | 180平米 | 南 北 | 毛坯 | 低楼层(共7层)  | 板塔结合,0人关注 / 一年前发布,170,"9,445元/平"
中梁壹号院舒适洋房带车位，只要115万看房更方便,中梁壹号院 -新华区,4室2厅 | 131平米 | 东 | 毛坯 | 高楼层(共6层)  | 板楼,1人关注 / 一年前发布,115,"8,779元/平"
不要心疼的放弃，只要幸福的得到！,建业森林半岛 -新华区,5室3厅 | 251平米 | 南 北 | 毛坯 | 低楼层(共5层)  | 板楼,0人关注 / 一年前发布,390,"15,538元/平"
临湖 湖景房 三室 有证 含车位 基装 93万 随时看,林溪美境 -新华区,3室2厅 | 122平米 | 南 北 | 毛坯 | 高楼层(共31层)  | 板塔结合,2人关注 / 11个月以前发布,93,"7,623元/平"
湖光花园公务员 小区 一梯两户含储藏室 诚售,凤起园 -新华区,3室2厅 | 139.8平米 | 南 北 | 简装 | 中楼层(共6层)  | 板楼,2人关注 / 一年前发布,96,"6,867元/平"
金世纪和谐家园三室两厅两卫，交通便利，小区环境优美,金世纪和谐家园 -新华区,3室2厅 | 130平米 | 南 | 精装 | 低楼层(共29层)  | 板楼,15人关注 / 一年前发布,85,"6,539元/平"
常绿大阅城 精装五室 有证满五唯一 随时看房,常绿·大阅城 -新华区,5室2厅 | 155平米 | 南 北 | 精装 | 中楼层(共29层)  | 暂无数据,1人关注 / 8个月以前发布,119,"7,678元/平"
少见房源，欧式装修精装，铭牌装修，小区环境优美。,常绿·九天庄园 -新华区,6室3厅 | 246.52平米 | 南 北 | 精装 | 高楼层(共6层)  | 板塔结合,1人关注 / 7个月以前发布,165,"6,694元/平"
前排全湖景蓝湾翠园180平带车位4室2厅2卫无高税,蓝湾翠园 -新华区,4室2厅 | 180平米 | 东南 | 毛坯 | 高楼层(共26层)  | 暂无数据,1人关注 / 7个月以前发布,150,"8,334元/平"
福园小区一梯两户 四室两厅两卫 带车位 有证看房方便,宝创福园小区 -新华区,4室2厅 | 172平米 | 南 北 | 毛坯 | 高楼层(共17层)  | 暂无数据,0人关注 / 7个月以前发布,115,"6,687元/平"
九天庄园步梯三楼，大三室，全明户型，精装修全部带,常绿·九天庄园 -新华区,3室2厅 | 144.44平米 | 东 南 | 精装 | 中楼层(共6层)  | 暂无数据,1人关注 / 8个月以前发布,110,"7,616元/平"
森林半岛2层139平3室2厅简装诚意出售随时看房,建业森林半岛 -新华区,3室2厅 | 139平米 | 西 | 精装 | 低楼层(共6层)  | 平房,1人关注 / 7个月以前发布,115,"8,274元/平"
空中别墅，精装全新未住，你想要的品质都在这里180万,建业桂园 -新华区,4室2厅 | 200.33平米 | 东 | 精装 | 低楼层(共33层)  | 暂无数据,3人关注 / 一年前发布,168,"8,387元/平"
新城区建业十八城一楼带院145平精装修，有证可贷款,建业十八城 -新华区,4室2厅 | 145平米 | 西 | 精装 | 低楼层(共18层)  | 暂无数据,0人关注 / 4个月以前发布,270,"18,621元/平"
交通便利 小区环境干净舒适 适合居住,精品嘉园 -湛河区,3室2厅 | 142平米 | 南 | 简装 | 中楼层(共7层)  | 暂无数据,2人关注 / 一年前发布,68,"4,789元/平"
恒大名都129平带入户花园 有证满二 可贷款,平顶山恒大名都 -湛河区,3室2厅 | 129平米 | 东 | 精装 | 中楼层(共33层)  | 暂无数据,4人关注 / 11个月以前发布,86,"6,667元/平"
明珠世纪城交通便利 小区环境干净舒适 适合居住,明珠世纪城B区 -卫东区,4室2厅 | 162平米 | 南 北 | 精装 | 高楼层(共7层)  | 暂无数据,2人关注 / 3个月以前发布,66,"4,075元/平"
新景翡翠4室2厅 交通便利 小区环境干净舒适 适合居住,新景翡翠三期 -卫东区,4室2厅 | 157平米 | 东 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 1个月以前发布,95,"6,051元/平"
光明路南段，一中旁边，水库管理局家属院,白龟山水库管理局家属院 -湛河区,3室2厅 | 119平米 | 南 北 | 简装 | 高楼层(共6层)  | 板楼,6人关注 / 一年前发布,42,"3,530元/平"
恒大名都128平三室两厅两卫有证可分期,平顶山恒大名都 -湛河区,3室2厅 | 128平米 | 东南 | 精装 | 高楼层(共33层)  | 板楼,2人关注 / 11个月以前发布,88,"6,875元/平"
大乘领事馆 3室2厅交通便利 环境干净舒适 适合居住,大乘领仕馆 -湛河区,3室2厅 | 141平米 | 南 北 | 毛坯 | 高楼层(共26层)  | 暂无数据,0人关注 / 8个月以前发布,68.8,"4,880元/平"
千田新开元复式 毛坯随意装修 有证可分期 看房随时,千田·新开元 -湛河区,2室2厅 | 117平米 | 东 | 毛坯 | 低楼层(共30层)  | 暂无数据,0人关注 / 4个月以前发布,65,"5,556元/平"
大乘领仕馆三室双卫一梯两户电梯小高层南北通透公摊小,大乘领仕馆 -湛河区,3室2厅 | 131平米 | 南 北 西 | 毛坯 | 低楼层(共18层)  | 暂无数据,0人关注 / 5个月以前发布,70,"5,344元/平"
中建嘉天下3室2厅 交通便利 小区环境干净舒适 适合居,中建·嘉天下 -湛河区,3室2厅 | 90平米 | 西 | 简装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,61,"6,778元/平"
银基三期，248平，户型方正，采光好，适合居住，1楼,银基誉府名铸 -湛河区,6室4厅 | 248平米 | 西 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,146,"5,888元/平"
桃花源3室2厅2卫，实际面积113平，精装修拎包住。,桃花源小区 -湛河区,3室2厅 | 99平米 | 东 南 北 | 简装 | 高楼层(共6层)  | 暂无数据,3人关注 / 一年前发布,60,"6,061元/平"
金世纪和谐家园三室两厅 带观景大阳台 带十万车位,金世纪和谐家园 -新华区,3室2厅 | 157平米 | 西 | 毛坯 | 高楼层(共29层)  | 板楼,0人关注 / 5个月以前发布,100,"6,370元/平"
佳田塞纳城，3楼，三室两厅140平方，精装修,佳田塞纳城欣苑小区 -新华区,3室2厅 | 143平米 | 北 南 | 简装 | 中楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,97,"6,784元/平"
阳光苑社区，1楼，三室两厅120平方，三卧朝南，有暖气,阳光苑小区 -湛河区,3室2厅 | 120平米 | 南 北 | 简装 | 低楼层(共6层)  | 暂无数据,1人关注 / 4个月以前发布,66,"5,500元/平"
秀水名居，电梯房，三室两厅，户型合理方正，精装修,秀水名居 -湛河区,3室2厅 | 121平米 | 南 | 精装 | 低楼层(共17层)  | 暂无数据,0人关注 / 5个月以前发布,77,"6,364元/平"
瑞鑫苑，三室两厅113平方，精装修,瑞鑫苑 -湛河区,3室2厅 | 113平米 | 东北 | 精装 | 中楼层(共31层)  | 暂无数据,1人关注 / 5个月以前发布,67.5,"5,974元/平"
1楼，三室两厅两卫126平方，户型合理方正，格局大方。,金建悦和园红盾山水苑 -新华区,3室2厅 | 126平米 | 南 北 | 毛坯 | 低楼层(共6层)  | 暂无数据,2人关注 / 5个月以前发布,77,"6,112元/平"
公园南门，2楼，三室两厅，三室朝南，采光好,程庄街35号 -湛河区,3室2厅 | 125平米 | 南 北 | 简装 | 低楼层(共7层)  | 暂无数据,2人关注 / 5个月以前发布,65,"5,200元/平"
林溪谷  有证可分期 有暖 新装修婚房 可观湖随时看,常绿·林溪谷 -湛河区,3室2厅 | 93平米 | 南 | 精装 | 高楼层(共32层)  | 板楼,6人关注 / 一年前发布,59.5,"6,398元/平"
龙腾国际小区 3室2厅交通便利 小区环境舒适 适合居住,龙腾国际 -湛河区,3室2厅 | 122平米 | 东南 | 简装 | 低楼层(共21层)  | 暂无数据,0人关注 / 一年前发布,73.8,"6,050元/平"
中建嘉天下精装三室两厅两卫，随时可看，有证可贷款,中建·嘉天下 -湛河区,3室2厅 | 106平米 | 东 | 精装 | 中楼层(共6层)  | 暂无数据,2人关注 / 一年前发布,74,"6,982元/平"
恒大名都 137平三房两卫  有证满2 二次装修 提前约,平顶山恒大名都 -湛河区,3室2厅 | 137平米 | 西 | 精装 | 中楼层(共33层)  | 暂无数据,0人关注 / 一年前发布,100,"7,300元/平"
恒大名都 有证满2无高税 有车位二次装修 提前约,平顶山恒大名都 -湛河区,2室2厅 | 80平米 | 南 | 精装 | 低楼层(共33层)  | 板楼,0人关注 / 一年前发布,65,"8,125元/平"
恒大御景半岛前排湖景房，经典三室2厅2卫,恒大御景半岛 -新华区,3室2厅 | 122.17平米 | 西南 | 精装 | 低楼层(共23层)  | 塔楼,0人关注 / 2个月以前发布,110,"9,004元/平"
更好的楼层，更好的户型，三房两卫，有钥匙随时看房,常绿·大阅城 -新华区,3室2厅 | 115平米 | 西 | 毛坯 | 低楼层(共29层)  | 塔楼,1人关注 / 11个月以前发布,70,"6,087元/平"
十八城毛坯大三室，视野开阔，户型好随时可看房,建业十八城 -新华区,3室2厅 | 136平米 | 西 | 毛坯 | 中楼层(共33层)  | 暂无数据,0人关注 / 2个月以前发布,86,"6,324元/平"
业主急售，林溪美境四室两厅，全体采光,林溪美境 -新华区,4室2厅 | 148平米 | 南 西南 | 毛坯 | 低楼层(共32层)  | 板楼,0人关注 / 7个月以前发布,95,"6,419元/平"
前排高层无遮挡，带车位，客厅餐厅南北双阳台,常绿·林溪美地 -新华区,3室2厅 | 122平米 | 西南 | 毛坯 | 高楼层(共29层)  | 暂无数据,0人关注 / 3个月以前发布,79,"6,476元/平"
新城区常绿大阅城117平毛坯，有钥匙随时看,常绿·大阅城 -新华区,3室2厅 | 117平米 | 西 | 毛坯 | 低楼层(共18层)  | 塔楼,0人关注 / 一年前发布,70,"5,983元/平"
陽光花苑小区 3室2厅 交通便利 小区环境舒适 适合居住,陽光花苑 -新华区,3室2厅 | 130平米 | 东 | 简装 | 低楼层(共6层)  | 暂无数据,0人关注 / 10个月以前发布,124,"9,539元/平"
建业十八城更好位置，四房两卫，含车位，138万,建业十八城 -新华区,4室2厅 | 173平米 | 西 | 毛坯 | 高楼层(共18层)  | 暂无数据,2人关注 / 一年前发布,138,"7,977元/平"
翠林蓝湾尚郡大三室户型方正精装修,翠林蓝湾尚郡 -新华区,3室2厅 | 155平米 | 东 南 | 精装 | 低楼层(共6层)  | 塔楼,0人关注 / 8个月以前发布,109,"7,033元/平"
房东精装修的房子，南北通风，装修很用心，户型很好,蓝湾翠园 -新华区,4室2厅 | 167平米 | 东 | 精装 | 低楼层(共29层)  | 暂无数据,3人关注 / 6个月以前发布,131,"7,845元/平"
建业森林半岛临湖而居，精装修带私家车库，安家养老首,建业森林半岛 -新华区,4室3厅 | 192平米 | 东北 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,185,"9,636元/平"
蓝湾翠园前排观湖景现房，大平层带车位，采光通风好！,蓝湾翠园 -新华区,4室2厅 | 179平米 | 西北 | 毛坯 | 中楼层(共29层)  | 暂无数据,1人关注 / 一年前发布,154,"8,604元/平"
此房位置在轻工路西段交通方便购物方便南临高铁站高速,昌建·峰璟 -湛河区,3室2厅 | 130平米 | 南 北 | 毛坯 | 中楼层(共33层)  | 暂无数据,1人关注 / 1个月以前发布,67,"5,154元/平"
此房位置在轻工路东段，环境优美，出入方便，适合居住,盐厂家属院 -湛河区,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,50,"3,907元/平"
马庄转盘盛世华庭三室满五地段好,盛世华庭 -湛河区,3室2厅 | 128平米 | 南 北 | 毛坯 | 中楼层(共26层)  | 板塔结合,0人关注 / 4个月以前发布,79,"6,172元/平"
建业十八城三期，低楼层！急卖！三室！有证可贷款,建业十八城 -新华区,3室2厅 | 118平米 | 西 | 毛坯 | 低楼层(共33层)  | 暂无数据,0人关注 / 4个月以前发布,75,"6,356元/平"
建业十八城三室两厅两卫毛坯房，户型方正合理，,建业十八城 -新华区,3室2厅 | 119平米 | 南 | 毛坯 | 高楼层(共33层)  | 板塔结合,1人关注 / 一年前发布,75,"6,303元/平"
名 门世家 有证可分期 基础装修已做 户型方正,名门世家 -新华区,6室2厅 | 306平米 | 南 | 简装 | 高楼层(共33层)  | 暂无数据,2人关注 / 一年前发布,256,"8,367元/平"
成熟社区百合金山大平层 空间大单价低 有证 可以贷款,百合金山 -新华区,4室2厅 | 212平米 | 南 | 精装 | 低楼层(共34层)  | 暂无数据,0人关注 / 4个月以前发布,135,"6,368元/平"
蓝湾翠园前排观湖景现房，大平层带车位，采光通风好！,蓝湾翠园 -新华区,4室2厅 | 179平米 | 西北 | 毛坯 | 中楼层(共29层)  | 暂无数据,1人关注 / 一年前发布,154,"8,604元/平"
九天庄园精装修毛胚价，依山而建，伴水而居，临湖百米,常绿·九天庄园 -新华区,3室2厅 | 136.33平米 | 西北 | 精装 | 高楼层(共6层)  | 暂无数据,0人关注 / 5个月以前发布,80,"5,869元/平"
建业森林半岛临湖而居，精装修带私家车库，安家养老首,建业森林半岛 -新华区,4室3厅 | 192平米 | 东北 | 精装 | 中楼层(共5层)  | 暂无数据,2人关注 / 一年前发布,185,"9,636元/平"
此房位置在轻工路东段，环境优美，出入方便，适合居住,盐厂家属院 -湛河区,3室2厅 | 128平米 | 南 北 | 精装 | 中楼层(共7层)  | 暂无数据,0人关注 / 4个月以前发布,50,"3,907元/平"
此房位置好，小区成熟，户型方正，南北通透。,开南小区 -湛河区,3室2厅 | 108.55平米 | 南 北 | 精装 | 中楼层(共8层)  | 塔楼,2人关注 / 5个月以前发布,49.9,"4,597元/平"
